Species_name	References
"""Alnus incana (L.) Moench"""	"""Bobkova (2001); Büsgen (1921); Jäger and Werner (2002); Kiermeier (1983)"""
"""Alopecurus aequalis Sobol."""	"""Mühlberg (1967); Schubert et al. (1987); Klimešová, pers. obs."""
"""Alopecurus arundinaceus Poir."""	"""Schubert et al. (1987)"""
"""Alopecurus bulbosus Gouan"""	"""Kutschera and Lichtenegger (1982)"""
"""Alopecurus geniculatus L."""	"""Grime et al. (1988); Kutschera and Lichtenegger (1982); Mühlberg (1967); Schubert et al. (1987)"""
"""Alopecurus myosuroides Huds."""	"""Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Alopecurus pratensis L."""	"""Kutschera and Lichtenegger (1982); Mühlberg (1967); Schubert et al. (1987); Klimešová, pers. obs."""
"""Alopecurus rendlei Eig"""	"""Schubert et al. (1987)"""
"""Alopecurus vaginatus (Willd.) Pall. ex Kunth"""	"""Serebriakova (1972)"""
"""Althaea hirsuta L."""	"""Schubert et al. (1987)"""
"""Althaea officinalis L."""	"""Schubert et al. (1987)"""
"""Alyssum alyssoides (L.) L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Alyssum montanum L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Amaranthus albus L."""	"""Schubert et al. (1987)"""
"""Amaranthus blitoides S. Watson"""	"""Schubert et al. (1987)"""
"""Amaranthus blitum L."""	"""Schubert et al. (1987)"""
"""Amaranthus bouchonii Thell."""	"""Schubert et al. (1987)"""
"""Amaranthus caudatus L."""	"""Schubert et al. (1987)"""
"""Amaranthus crispus (Lesp. et Thévenau) N. Terracc."""	"""Schubert et al. (1987)"""
"""Amaranthus deflexus L."""	"""Schubert et al. (1987)"""
"""Amaranthus graecizans L."""	"""Schubert et al. (1987)"""
"""Amaranthus hybridus L."""	"""Schubert et al. (1987)"""
"""Amaranthus retroflexus L."""	"""Schubert et al. (1987)"""
"""Ambrosia artemisiifolia L."""	"""Bassett and Crompton (1975); Schubert et al. (1987)"""
"""Ambrosia psilostachya DC."""	"""Bassett and Crompton (1975); Schubert et al. (1987)"""
"""Ambrosia trifida L."""	"""Schubert et al. (1987)"""
"""Amelanchier ovalis Medik."""	"""Beijerinck (1887); Jäger and Werner (2002)"""
"""Ammi majus L."""	"""Schubert et al. (1987)"""
"""Ammophila arenaria (L.) Link"""	"""Huiskes (1979); Kutschera and Lichtenegger (1982); Lukasiewitz (1985); Schubert et al. (1987); van der Stoel et al. (2002)"""
"""Anacamptis pyramidalis (L.) Rich."""	"""Schubert et al. (1987); Ziegenspeck (1936)"""
"""Anagallis arvensis L."""	"""Beijerinck (1887); Rauh (1937); Schubert et al. (1987); Wydler (1850); Klimešová, pers. obs."""
"""Anagallis foemina Mill."""	"""Schubert et al. (1987)"""
"""Anagallis tenella (L.) L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Anarrhinum bellidifolium (L.) Willd."""	"""Schubert et al. (1987)"""
"""Anchusa officinalis L."""	"""Korsmo (1930); Kutschera (1960); Lukasiewicz (1962); Schubert et al. (1987)"""
"""Andromeda polifolia L."""	"""Grevillius and Kirchner (1925a); Jacquemart (1998); Schubert et al. (1987); Warming (1908); Klimešová, pers. obs."""
"""Androsace alpina (L.) Lam."""	"""Hess (1909); Kutschera and Lichtenegger (1992); Rauh (1939); Klimešová, pers. obs."""
"""Androsace chamaejasme Wulfen"""	"""Hartmann (1957); Hess (1909); Rauh (1939); Schubert et al. (1987)"""
"""Androsace elongata L."""	"""Schubert et al. (1987)"""
"""Androsace hausmannii Leyb."""	"""Schubert et al. (1987)"""
