Species_name	References
"""Hirschfeldia incana (L.) Lagr.-Foss."""	"""Schubert et al. (1987)"""
"""Holcus lanatus L."""	"""Beddows (1961); Grime et al. (1988); Kutschera and Lichtenegger (1982); Mühlberg (1967); Purves and Law (2002); Schubert et al. (1987); Thompson and Turkington (1988); Klimešová, pers. obs."""
"""Holcus mollis L."""	"""Grime et al. (1988); Mühlberg (1967); Ovington and Scurfield (1956); Schubert et al. (1987)"""
"""Holosteum umbellatum L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Homogyne alpina (L.) Cass."""	"""Kutschera and Lichtenegger (1992); Schmidt (1986); Schubert et al. (1987); Klimešová, pers. obs."""
"""Homogyne discolor (Jacq.) Cass."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Honckenya peploides (L.) Ehrh."""	"""Lukasiewitz (1985); Schubert et al. (1987); Klimešová, pers. obs."""
"""Hordelymus europaeus (L.) Harz"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Hordeum bulbosum L."""	"""Kutschera and Lichtenegger (1982); Troll (1941-1942)"""
"""Hordeum jubatum L."""	"""Best et al. (1978); Schubert et al. (1987)"""
"""Hordeum marinum agg."""	"""Schubert et al. (1987)"""
"""Hordeum murinum L."""	"""Schubert et al. (1987)"""
"""Hordeum secalinum Schreb."""	"""Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Hordeum vulgare L."""	"""Schubert et al. (1987)"""
"""Horminum pyrenaicum L."""	"""Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Schubert et al. (1987)"""
"""Hornungia alpina (L.) Appel"""	"""Hess (1909); Schubert et al. (1987); Klimešová, pers. obs."""
"""Hornungia petraea (L.) Rchb."""	"""Ratcliffe (1959); Schubert et al. (1987); Klimešová, pers. obs."""
"""Hornungia procumbens (L.) Hayek"""	"""Schubert et al. (1987)"""
"""Hottonia palustris L."""	"""Brock et al. (1989); Schubert et al. (1987)"""
"""Humulus lupulus L."""	"""Jäger and Werner (2002); Lukasiewicz (1962); Walter (1938)"""
"""Huperzia selago (L.) Schrank et Mart."""	"""Jäger and Werner (2002); Plotnikov (1977a); Schubert et al. (1987); Klimešová, pers. obs."""
"""Hyacinthoides non-scripta (L.) Chouard ex Rothm."""	"""Blackman and Rutter (1954); Corbet (1998); Grime et al. (1988); Loew and Kirchner (1934i); Schubert et al. (1987)"""
"""Hydrilla verticillata (L. f.) Royle"""	"""Bartley and Spence (1987); Cook and Lüönd (1982); Glück and Kirchner (1908); Graebner and Kirchner (1908); Haller et al. (1976); Langeland (1990); Narayanayya (1928)"""
"""Hydrocharis morsus-ranae L."""	"""Bartley and Spence (1987); Glück (1906); Graebner and Kirchner (1908); Jäger and Werner (2002); Richards and Blakemore (1975); Zhmylev et al. (1995)"""
"""Hydrocotyle bonariensis Comm. ex Lam."""	"""Evans (1991); Evans (1992)"""
"""Hydrocotyle vulgaris L."""	"""Grime et al. (1988); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Hylotelephium maximum (L.) Holub"""	"""Schubert et al. (1987)"""
"""Hylotelephium telephium (L.) H. Ohba"""	"""Schubert et al. (1987); Velenovský (1904)"""
"""Hymenophyllum tunbrigense (L.) Sm."""	"""Richards and Evans (1972); Schubert et al. (1987)"""
"""Hyoscyamus niger L."""	"""Schubert et al. (1987)"""
"""Hyparrhenia hirta (L.) Stapf"""	"""Vokart et al. ( (1908)"""
"""Hypericum elegans Willd."""	"""Hageman (1983); Schubert et al. (1987)"""
"""Hypericum elodes L."""	"""Hageman (1983); Schubert et al. (1987)"""
"""Hypericum hirsutum L."""	"""Hageman (1983); Schubert et al. (1987); Klimešová, pers. obs."""
"""Hypericum humifusum L."""	"""Hageman (1983); Schubert et al. (1987); Klimešová, pers. obs."""
"""Hypericum linarifolium Vahl"""	"""Ivimey-Cook (1963)"""
"""Hypericum maculatum agg. """	"""Hageman (1983); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Hypericum montanum L."""	"""Hageman (1983); Schubert et al. (1987)"""
"""Hypericum perforatum L."""	"""Bockemühl (1983); Crompton et al. (1988); Grime et al. (1988); Hageman (1983); Jäger and Werner (2002); Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Rysin and Rysina (1987); Klimešová, pers. obs."""
"""Hypericum pulchrum L."""	"""Hageman (1983); Schubert et al. (1987)"""
"""Hypericum tetrapterum Fr."""	"""Hageman (1983); Schubert et al. (1987)"""
"""Hypochaeris glabra L."""	"""Schubert et al. (1987)"""
"""Hypochaeris maculata L."""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1992); Wells (1976); Klimešová, pers. obs."""
"""Hypochaeris radicata L."""	"""Aarsen (1981); Fone (1989); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Turkington and Aarssen (1983); Klimešová, pers. obs."""
"""Hypochaeris uniflora Vill."""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1992)"""
"""Hyssopus officinalis L."""	"""Schubert et al. (1987)"""
"""Iberis amara L."""	"""Schubert et al. (1987)"""
"""Iberis linifolia L."""	"""Schubert et al. (1987)"""
"""Iberis umbellata L."""	"""Schubert et al. (1987)"""
"""Ilex aquifolium L."""	"""Obeso (1997); Obeso and Fernández-Calvo (2002)"""
"""Illecebrum verticillatum L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Impatiens balsamina L."""	"""Schubert et al. (1987)"""
"""Impatiens glandulifera Royle"""	"""Beerling and Perrins (1993); Schubert et al. (1987) """
"""Impatiens noli-tangere L."""	"""Schubert et al. (1987)"""
"""Impatiens parviflora DC."""	"""Coombe (1956); Schubert et al. (1987); Klimešová, pers. obs."""
"""Inula britannica L."""	"""Beijerinck (1887); Kutschera and Lichtenegger (1992); Rauh (1937); Schubert et al. (1987)"""
"""Inula conyzae (Griess.) DC."""	"""Schubert et al. (1987)"""
"""Inula ensifolia L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Inula germanica L."""	"""Schubert et al. (1987)"""
"""Inula helenium L."""	"""Lukasiewicz (1962); Schubert et al. (1987)"""
"""Inula helvetica Weber"""	"""Schubert et al. (1987)"""
"""Inula hirta L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Inula salicina L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Iris aphylla L."""	"""Buxbaum (1934b); Schubert et al. (1987); Wróblewska et al. (2003)"""
"""Iris arenaria Waldst. et Kit."""	"""Buxbaum (1934b); Klimešová, pers. obs."""
"""Iris graminea L."""	"""Buxbaum (1934b); Irmisch (1850); Kutschera and Lichtenegger (1982); Schubert et al. (1987); Klimešová, pers. obs."""
"""Iris pseudacorus L."""	"""Buxbaum (1934b); Schubert et al. (1987); Sutherland (1990)"""
"""Iris pumila L."""	"""Buxbaum (1934b); Irmisch (1850); Schubert et al. (1987); Klimešová, pers. obs."""
"""Iris sibirica L."""	"""Buxbaum (1934b); Kutschera and Lichtenegger (1982); Schubert et al. (1987); Klimešová, pers. obs."""
"""Iris spuria L."""	"""Buxbaum (1934b); Schubert et al. (1987)"""
"""Iris variegata L."""	"""Buxbaum (1934b); Schubert et al. (1987); Klimešová, pers. obs."""
"""Iris versicolor L."""	"""Kron et al. (1993); Schubert et al. (1987)"""
"""Iris x germanica L."""	"""Buxbaum (1934b); Schubert et al. (1987); Troll (1941-1942)"""
"""Iris x sambucina L."""	"""Buxbaum (1934b); Schubert et al. (1987)"""
"""Isatis tinctoria L."""	"""Beijerinck (1887); Dubard (1903); Jäger and Werner (2002); Rauh (1937)"""
"""Isoëtes echinospora Durieu"""	"""Schubert et al. (1987)"""
"""Isoëtes lacustris L."""	"""Möbius (1940); Schubert et al. (1987)"""
"""Isolepis fluitans (L.) R. Br."""	"""Schubert et al. (1987)"""
"""Isolepis setacea (L.) R. Br."""	"""Schubert et al. (1987)"""
"""Isopyrum thalictroides L."""	"""Klimešová, pers. obs."""
"""Iva xanthiifolia Nutt."""	"""Schubert et al. (1987)"""
"""Jasione laevis Lam."""	"""Schubert et al. (1987)"""
"""Jasione montana L."""	"""Kutschera and Lichtenegger (1992); Parnell (1985); Schubert et al. (1987); Klimešová, pers. obs."""
"""Jovibarba globifera (L.) J. Parn. subsp. globifera """	"""Rauh (1939); Schubert et al. (1987)"""
"""Jovibarba globifera subsp. arenaria (W. D. J. Koch) J. Parn."""	"""Schubert et al. (1987)"""
"""Juglans nigra L."""	"""Udvardy (1998)"""
"""Juglans regia L."""	"""Fankhauser and Kirchner (1921)"""
"""Juncus acutiflorus Hoffm."""	"""Graebner (1934); Schubert et al. (1987)"""
"""Juncus acutus L."""	"""Graebner and Flahault (1908); Jones et al. (1954)"""
"""Juncus anceps Laharpe"""	"""Graebner (1934); Schubert et al. (1987)"""
"""Juncus arcticus Willd."""	"""Graebner (1934)"""
"""Juncus articulatus L."""	"""Graebner (1934)"""
"""Juncus atratus Krock."""	"""Graebner (1934); Schubert et al. (1987)"""
"""Juncus balticus Willd."""	"""Graebner (1908); Schubert et al. (1987); Stasiak (1994)"""
"""Juncus bufonius agg. """	"""Grime et al. (1988); Schubert et al. (1987); Wagenitz (1996); Klimešová, pers. obs."""
"""Juncus bulbosus L."""	"""Glück (1911); Graebner (1934); Grime et al. (1988); Nilsson and Snogerup (1972); Schubert et al. (1987)"""
"""Juncus capitatus Weigel"""	"""Schubert et al. (1987)"""
"""Juncus castaneus Sm."""	"""Graebner (1934); Klimešová, pers. obs."""
"""Juncus compressus Jacq."""	"""Graebner (1934); Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Juncus conglomeratus L."""	"""Graebner (1934); Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Juncus effusus L."""	"""Ervin and Wetzel (1997); Graebner (1934); Grime et al. (1988); Kutschera and Lichtenegger (1982); Richards and Clapham (1941a); Schubert et al. (1987); Klimešová, pers. obs."""
"""Juncus filiformis L."""	"""Graebner (1934); Kutschera and Lichtenegger (1982); Richards (1943a); Schubert et al. (1987); Klimešová, pers. obs."""
"""Juncus gerardii Loisel."""	"""Bouzillé et al. (1997); Graebner (1934); Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Juncus inflexus L."""	"""Graebner (1934); Kutschera and Lichtenegger (1982); Lukasiewicz (1962); Richards and Clapham (1941b); Schubert et al. (1987); Klimešová, pers. obs."""
"""Juncus jacquinii L."""	"""Graebner (1934); Kutschera and Lichtenegger (1982); Schubert et al. (1987); Klimešová, pers. obs."""
"""Juncus maritimus Lam."""	"""Graebner (1934); Schubert et al. (1987)"""
"""Juncus monanthos Jacq."""	"""Graebner (1934); Hartmann (1957); Kutschera and Lichtenegger (1982); Schubert et al. (1987); Klimešová, pers. obs."""
"""Juncus ranarius Songeon et E. P. Perrier"""	"""Schubert et al. (1987)"""
"""Juncus sphaerocarpus Nees"""	"""Schubert et al. (1987)"""
"""Juncus squarrosus L."""	"""Graebner (1934); Grime et al. (1988); Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Juncus stygius L."""	"""Graebner (1934); Schubert et al. (1987)"""
"""Juncus subnodulosus Schrank"""	"""Graebner (1934); Richards and Clapham (1941c); Schubert et al. (1987); Klimešová, pers. obs."""
"""Juncus tenageia L. f."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Juncus tenuis Willd."""	"""Graebner (1934); Richards (1943b); Schubert et al. (1987); Klimešová, pers. obs."""
"""Juncus trifidus L."""	"""Graebner (1934); Hartmann (1957); Kutschera and Lichtenegger (1982); Schubert et al. (1987); Klimešová, pers. obs."""
"""Juncus triglumis L."""	"""Graebner (1934); Schubert et al. (1987); Klimešová, pers. obs."""
"""Juniperus communis L."""	"""Klimešová, pers. obs."""
"""Jurinea cyanoides (L.) Rchb."""	"""Beijerinck (1887); Kutschera and Lichtenegger (1992); Rysin and Rysina (1987); Schubert et al. (1987)"""
"""Jurinea mollis (L.) Rchb."""	"""Kutschera and Lichtenegger (1992)"""
"""Kalmia procumbens (L.) Gift & Kron ex Galasso et al."""	"""Grevillius and Kirchner (1925a); Kutschera and Lichtenegger (1992); Warming (1908); Klimešová, pers. obs."""
"""Kernera saxatilis (L.) Sweet"""	"""Schubert et al. (1987)"""
"""Kerria japonica (L.) DC."""	"""Beijerinck (1887); Jäger and Werner (2002)"""
"""Kickxia elatine (L.) Dumort."""	"""Rauh (1937); Schubert et al. (1987); Klimešová, pers. obs."""
"""Kickxia spuria (L.) Dumort."""	"""Rauh (1937); Schubert et al. (1987); Klimešová, pers. obs."""
"""Knautia arvensis (L.) J. M. Coult."""	"""Korsmo (1930); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Vange (2004); Wehsarg (1954); Klimešová, pers. obs."""
"""Knautia drymeia Heuff."""	"""Schubert et al. (1987)"""
"""Knautia kitaibelii (Schult.) Borbás"""	"""Klimešová, pers. obs."""
"""Knautia maxima (Opiz) Ortmann"""	"""Schubert et al. (1987)"""
"""Kobresia myosuroides (Vill.) Fiori"""	"""Klimešová, pers. obs."""
"""Kobresia simpliciuscula (Wahlenb.) Mack."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Koeleria glauca (Schrad.) DC."""	"""Schubert et al. (1987)"""
"""Koeleria hirsuta (DC.) Gaudin"""	"""Klimešová, pers. obs."""
"""Koeleria macrantha (Ledeb.) Schult."""	"""Dixon (2000); Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Koeleria pyramidata (Lam.) P. Beauv."""	"""Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Koeleria splendens C.Presl"""	"""Kutschera and Lichtenegger (1982)"""
"""Koeleria vallesiana (Honck.) Gaudin"""	"""Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Laburnum anagyroides Medik."""	"""Beijerinck (1887); Christiansen (1938-42)"""
"""Lactuca perennis L."""	"""Dubard (1903); Jäger and Reckardt (1998); Klimešová, pers. obs."""
"""Lactuca quercina L."""	"""Schubert et al. (1987)"""
"""Lactuca saligna L."""	"""Schubert et al. (1987)"""
"""Lactuca sativa L."""	"""Schubert et al. (1987)"""
"""Lactuca serriola L."""	"""Schubert et al. (1987)"""
"""Lactuca sibirica (L.) Maxim."""	"""Wennström and Ericson (1992)"""
"""Lactuca tatarica (L.) C. A. Mey."""	""" Bylova (1975); Bylova (1958); Schubert et al. (1987)"""
"""Lactuca viminea (L.) J. Presl et C. Presl"""	"""Schubert et al. (1987)"""
"""Lactuca virosa L."""	"""Schubert et al. (1987)"""
"""Lamium album L."""	"""Grime et al. (1988); Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Lamium amplexicaule L."""	"""Schubert et al. (1987)"""
"""Lamium confertum Fr."""	"""Grime et al. (1988); Schubert et al. (1987); Klimešová, pers. obs."""
"""Lamium hybridum Vill."""	"""Grime et al. (1988); Schubert et al. (1987); Klimešová, pers. obs."""
"""Lamium maculatum L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Lamium purpureum L."""	"""Grime et al. (1988); Schubert et al. (1987); Klimešová, pers. obs."""
"""Lamprocapnos spectabilis (L.) Fukuhara"""	"""Lukasiewicz (1962); Schubert et al. (1987)"""
"""Lappula squarrosa (Retz.) Dumort."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Lapsana communis L."""	"""Schubert et al. (1987)"""
"""Larix decidua Mill."""	"""Klimešová, pers. obs."""
"""Laser trilobum (L.) Borkh."""	"""Schubert et al. (1987)"""
"""Laserpitium latifolium L."""	"""Schubert et al. (1987)"""
"""Laserpitium peucedanoides L."""	"""Klimešová, pers. obs."""
"""Laserpitium prutenicum L."""	"""Schubert et al. (1987)"""
"""Laserpitium siler L."""	"""Schubert et al. (1987)"""
"""Lathraea squamaria L."""	"""Schubert et al. (1987); Troll (1941-1942); Klimešová, pers. obs."""
"""Lathyrus aphaca L."""	"""Christiansen (1938-42); Schubert et al. (1987)"""
"""Lathyrus bauhinii P.A. Genty"""	"""Schubert et al. (1987)"""
"""Lathyrus heterophyllus L."""	"""Schubert et al. (1987)"""
"""Lathyrus hirsutus L."""	"""Christiansen (1938-42); Schubert et al. (1987)"""
"""Lathyrus japonicus Willd."""	"""Brightmore and White (1963); Christiansen (1938-42); Schubert et al. (1987); Vitkus (1984)"""
"""Lathyrus laevigatus (Waldst. & Kit.) Gren."""	"""Schubert et al. (1987)"""
"""Lathyrus latifolius L."""	"""Hosseart-McKey and Jarry (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Lathyrus linifolius (Reichard) Bässler"""	"""Christiansen (1938-42); Grime et al. (1988); Schubert et al. (1987)"""
"""Lathyrus niger (L.) Bernh."""	"""Christiansen (1938-42); Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Lathyrus nissolia L."""	"""Christiansen (1938-42); Schubert et al. (1987)"""
"""Lathyrus odoratus L."""	"""Schubert et al. (1987)"""
"""Lathyrus palustris L."""	"""Christiansen (1938-42); Schubert et al. (1987)"""
"""Lathyrus pannonicus subsp. collinus (J. Ortmann) Soó"""	"""Christiansen (1938-42); Schubert et al. (1987)"""
"""Lathyrus pisiformis L."""	"""Christiansen (1938-42)"""
"""Lathyrus pratensis L."""	"""Christiansen (1938-42); Grime et al. (1988); Kirillova (1977); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Lathyrus sylvestris L."""	"""Christiansen (1938-42); Gulenkova (1977); Hosseart-McKey and Jarry (1992); Lukasiewicz (1962); Schubert et al. (1987)"""
"""Lathyrus tuberosus L."""	"""Christiansen (1938-42); Kutschera (1960); Rauh (1941); Schubert et al. (1987)"""
"""Lathyrus venetus (Mill.) Wohlf."""	"""Christiansen (1938-42)"""
"""Lathyrus vernus (L.) Bernh."""	"""Christiansen (1938-42); Lukasiewicz (1962); Serebrjakov (1952); Serebriakov and Serebriakova (1965); Schubert et al. (1987); Klimešová, pers. obs."""
"""Lavatera thuringiaca L."""	"""Schubert et al. (1987)"""
"""Leersia oryzoides (L.) Sw."""	"""Schubert et al. (1987); Volkart et al. (1908)"""
"""Legousia hybrida (L.) Delarbre"""	"""Schubert et al. (1987)"""
"""Legousia speculum-veneris (L.) Chaix"""	"""Schubert et al. (1987)"""
"""Lemna gibba L."""	"""Landolt and Kandeler (1987); Ludwig (1934); Schubert et al. (1987)"""
"""Lemna minor L."""	"""Grime et al. (1988); Landolt and Kandeler (1987); Ludwig (1934); Schubert et al. (1987)"""
"""Lemna trisulca L."""	"""Ludwig (1934); Schubert et al. (1987)"""
"""Leontodon hispidus L."""	"""Grime et al. (1988); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Leontodon incanus (L.) Schrank"""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Leontopodium alpinum Cass."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Leonurus cardiaca L. subsp. cardiaca """	"""Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Leonurus marrubiastrum L."""	"""Schubert et al. (1987)"""
"""Lepidium campestre (L.) W. T. Aiton"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Lepidium coronopus (L.) Al-Shehbaz"""	"""Schubert et al. (1987)"""
"""Lepidium densiflorum Schrad."""	"""Schubert et al. (1987)"""
"""Lepidium didymus L."""	"""Schubert et al. (1987)"""
"""Lepidium draba (L.) Desv."""	"""Korsmo (1930); Kutschera (1960); Mulligan and Findlay (1974); Rauh (1937); Schubert et al. (1987); Scurfield (1962); Wehsarg (1954); Klimešová, pers. obs."""
"""Lepidium graminifolium L."""	"""Jäger and Werner (2002)"""
"""Lepidium heterophyllum Benth."""	"""Korsmo (1930); Schubert et al. (1987)"""
"""Lepidium latifolium L."""	"""Schubert et al. (1987); Young et al. (1997); Klimešová, pers. obs."""
"""Lepidium perfoliatum L."""	"""Schubert et al. (1987)"""
"""Lepidium ruderale L."""	"""Schubert et al. (1987)"""
"""Lepidium sativum L."""	"""Schubert et al. (1987)"""
"""Lepidium virginicum L."""	"""Schubert et al. (1987)"""
"""Leucanthemopsis alpina (L.) Heywood"""	"""Hartmann (1957); Klimešová, pers. obs."""
"""Leucanthemum atratum (Jacq.) DC."""	"""Schubert et al. (1987)"""
"""Leucanthemum ircutianum DC."""	"""Kutschera and Lichtenegger (1992)"""
"""Leucanthemum rotundifolium (Willd.) DC."""	"""Klimešová, pers. obs."""
"""Leucanthemum vulgare agg. """	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Leucojum aestivum L."""	"""Buxbaum (1934a); Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Leucojum vernum L."""	"""Buxbaum (1934a); Irmisch (1850); Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Levisticum officinale W. D. J. Koch"""	"""Schubert et al. (1987)"""
"""Leymus arenarius (L.) Hochst."""	"""Bond (1950); Schubert et al. (1987)"""
"""Libanotis pyrenaica (L.) Bourg."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Ligusticum mutellina (L.) Crantz"""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1992); Klimešová, pers. obs."""
"""Ligusticum mutellinoides (Crantz) Vill."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Ligusticum scoticum L."""	"""Palin (1988)"""
"""Ligustrum vulgare L."""	"""Dubard (1903)"""
"""Lilium bulbiferum L."""	"""Irmisch (1850); Loew and Kirchner (1934g); Pascher (1939); Schubert et al. (1987)"""
"""Lilium candidum L."""	"""Irmisch (1850); Lukasiewicz (1962); Schubert et al. (1987)"""
"""Lilium martagon L."""	"""Irmisch (1850); Loew and Kirchner (1934g); Schubert et al. (1987)"""
"""Limodorum abortivum (L.) Sw."""	"""Schubert et al. (1987); Ziegenspeck (1936)"""
"""Limonium vulgare Mill."""	"""Eber and Veenhuis (1991); Jäger and Werner (2002); Klimešová, pers. obs."""
"""Limosella aquatica L."""	"""Schubert et al. (1987)"""
"""Linaria alpina (L.) Mill."""	"""Hess (1909); Jäger and Werner (2002); Lichtenegger et al. (1997); Rauh (1937); Klimešová, pers. obs."""
"""Linaria arvensis (L.) Desf."""	"""Schubert et al. (1987)"""
"""Linaria dalmatica (L.) Mill."""	"""Rauh (1937)"""
"""Linaria genistifolia (L.) Mill."""	"""Jäger and Werner (2002); Rauh (1937); Reichardt (1857); Klimešová, pers. obs."""
"""Linaria odora (M. Bieb.) Fisch."""	"""Lukasiewitz (1985); Stasiak (1987)"""
"""Linaria purpurea (L.) Mill."""	"""Rauh (1937)"""
"""Linaria repens (L.) Mill."""	"""Irmisch (1857); Jäger and Werner (2002); Lukasiewicz (1962); Rauh (1937)"""
"""Linaria spartea (L.) Willd."""	"""Schubert et al. (1987)"""
"""Linaria vulgaris Mill."""	"""Beijerinck (1887); Grime et al. (1988); Irmisch (1857); Jäger and Werner (2002); Korsmo (1930); Kutschera (1960); Rauh (1937); Rysin and Rysina (1987); Wehsarg (1954); Klimešová, pers. obs."""
"""Lindernia dubia (L.) Pennell"""	"""Schubert et al. (1987)"""
"""Lindernia procumbens (Krock.) Borbás"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Linnaea borealis L."""	"""Eriksson (1992); Mazurenko (1978); Schubert et al. (1987); Weberling (1966b); Klimešová, pers. obs."""
"""Linum austriacum L."""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1992); Rauh (1937)"""
"""Linum bienne Mill."""	"""Rauh (1937)"""
"""Linum catharticum L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Linum flavum L."""	"""Jäger and Werner (2002); Rauh (1937)"""
"""Linum leonii F. W. Schultz"""	"""Jäger and Werner (2002)"""
"""Linum perenne L."""	"""Lukasiewicz (1962); Rauh (1937)"""
"""Linum tenuifolium L."""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1992); Rauh (1937); Klimešová, pers. obs."""
"""Linum usitatissimum L."""	"""Rauh (1937); Schubert et al. (1987)"""
"""Linum viscosum L."""	"""Jäger and Werner (2002)"""
"""Liparis loeselii (L.) Rich."""	"""Irmisch (1850); Schubert et al. (1987); Troll (1941-1942); Ziegenspeck (1936)"""
"""Listera cordata (L.) R. Br."""	"""Jäger and Werner (2002); Rauh (1937); Varligina (1995); Ziegenspeck (1936); Klimešová, pers. obs."""
"""Listera ovata (L.) R. Br."""	"""Jäger and Werner (2002); Varligina (1995); Ziegenspeck (1936); Klimešová, pers. obs."""
"""Lithospermum officinale L."""	"""Schubert et al. (1987)"""
"""Littorella uniflora (L.) Asch."""	"""Glück (1911); Hostrup and Wiegleb (1991); Schubert et al. (1987); Klimešová, pers. obs."""
"""Lloydia serotina (L.) Rchb."""	"""Graebner and Kirchner (1934c); Schubert et al. (1987); Woodhead (1950a)"""
"""Lobelia dortmanna L."""	"""Farmer (1989); Farmer and Spence (1987); Schubert et al. (1987); Smolders et al. (1995); Szmeja (1987); Woodhead (1950b)"""
"""Lobularia maritima (L.) Desv."""	"""Jäger and Werner (2002); Schubert et al. (1987)"""
"""Lolium multiflorum Lam."""	"""Beddows (1973); Cooper and Saed (1949); Schubert et al. (1987)"""
"""Lolium perenne L."""	"""Kays and Harper (1974); Kutschera and Lichtenegger (1982); Purves and Law (2002); Schubert et al. (1987); Klimešová, pers. obs."""
"""Lolium remotum Schrank"""	"""Schubert et al. (1987)"""
"""Lolium temulentum L."""	"""Schubert et al. (1987)"""
"""Lomatogonium carinthiacum (Wulfen) Rchb."""	"""Schubert et al. (1987)"""
"""Lonicera caprifolium L."""	"""Jäger and Werner (2002)"""
"""Lonicera nigra L."""	"""Klimešová, pers. obs."""
"""Lonicera periclymenum L."""	"""Grime et al. (1988)"""
"""Lonicera xylosteum L."""	"""Vakhramejeva (1983)"""
"""Loranthus europaeus Jacq."""	"""Jäger and Werner (2002); Wangerin and Buxbaum (1938)"""
"""Lotus alpinus (DC.) Ramond"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Lotus corniculatus L."""	"""Christiansen (1938-42); Jones and Turkington (1986); Kutschera (1960); Mikhailovskaya (1967); Piskovackova and Mikhajlovskaya (1983); Schubert et al. (1987); Turkington and Franko (1980); Klimešová, pers. obs."""
"""Lotus maritimus L."""	"""Christiansen (1938-42); Schubert et al. (1987); Klimešová, pers. obs."""
"""Lotus pedunculatus Cav."""	""" Christiansen (1938-42); Grime et al. (1988); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Lotus tenuis Willd."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Ludwigia palustris (L.) Elliott"""	"""Hegi and Berger (1975c); Schubert et al. (1987)"""
"""Lunaria annua L."""	"""Schubert et al. (1987)"""
"""Lunaria rediviva L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Lupinus angustifolius L."""	"""Schubert et al. (1987)"""
"""Lupinus luteus L."""	"""Schubert et al. (1987)"""
"""Lupinus polyphyllus Lindl."""	"""Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Luronium natans (L.) Rafin."""	"""Barrat-Segretain et al. (1998); Glück (1905); Glück and Kirchner (1908); Schubert et al. (1987)"""
"""Luzula alpinopilosa (Chaix) Breistr."""	"""Graebner (1934); Hartmann (1957); Hess (1909); Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Luzula campestris (L.) DC."""	"""Graebner (1934); Grime et al. (1988); Kutschera and Lichtenegger (1982); Schubert et al. (1987); Klimešová, pers. obs."""
"""Luzula confusa Lindeb."""	"""Klimešová, pers. obs."""
"""Luzula desvauxii Kunth"""	"""Schubert et al. (1987)"""
