"accepted_taxa","original_taxa_BIEN","Flower.color_BIEN","Leaf.area_mm2_BIEN","SLA_m2.kg-1_BIEN","Leaf.carbon.to.nitrogen.content_mg.g-1_BIEN","Leaf.dry.mass.content_mg.g-1_BIEN","Leaf.nitrogen.content_mg.g-1_BIEN","Flowering_begin.month_BIEN","Seed.mass_mg_BIEN","Plant.height_m_BIEN"
"Allium sativum","Allium sativum","",NA,NA,NA,NA,NA,"7",NA,0.375
"Allium scaberrimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium scorodoprasum","Allium scorodoprasum","",670.5,4.826,NA,208.384,NA,"6",1.2525,0.425
"Allium sphaerocephalon","Allium sphaerocephalon","",1940.63,5.668,NA,141.662,NA,"6",1.37185714285714,0.225
"Allium subhirsutum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium triquetrum","Allium triquetrum","",NA,23.9,NA,NA,NA,"",NA,NA
"Allium ursinum","Allium ursinum","",6656.66666666667,37.25,NA,114.333333333333,NA,"5",5.31833333333333,0.31875
"Allium vineale","Allium vineale","",1195,18.7,NA,170.5,NA,"6",19,0.25
"Alnus glutinosa","Alnus glutinosa","Purple",3146.725,14.9289468413254,10.185,248,31.275,"3",1.84827819047619,11.6695759036145
"Alopecurus","Alopecurus aequalis_Alopecurus geniculatus_Alopecurus myosuroides_Alopecurus pratensis_Alopecurus rendlei","Green_Yellow",617.618700980392,29.8340557858617,NA,254.312051948052,NA,"5_5_6",0.694904954954955,0.260391278571429
"Alopecurus aequalis","Alopecurus aequalis","Green",341.75,24.808,NA,176.686,NA,"5_6",0.209333333333333,0.14
"Alopecurus geniculatus","Alopecurus geniculatus","",260.25,28.9329686153846,NA,219.778571428571,NA,"5",0.2768,0.2125
"Alopecurus myosuroides","Alopecurus myosuroides","Green",949.463333333333,27.2666666666667,NA,272,NA,"5",1.52,0.3
"Alopecurus pratensis","Alopecurus pratensis","Yellow",919.011470588235,38.3285878613953,NA,348.783636363636,NA,"5_6",0.773486486486486,0.349456392857143
"Alopecurus pratensis subsp. pratensis","Alopecurus pratensis","Yellow",919.011470588235,38.3285878613953,NA,348.783636363636,NA,"5_6",0.773486486486486,0.349456392857143
"Alopecurus rendlei","Alopecurus rendlei","",NA,NA,NA,NA,NA,"5",NA,0.3
"Alopecurus utriculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Althaea cannabina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Althaea officinalis","Althaea officinalis","",4066.625,23.752,NA,210.768,NA,"7",10.75,0.714583333333333
"Alyssum","Alyssum alyssoides_Alyssum minutum_Alyssum montanum_Alyssum simplex","",53.1752843774194,21.8970801515152,NA,227.405,NA,"3_4",0.965764705882353,0.165418918918919
"Alyssum alyssoides","Alyssum alyssoides","",67.3505687548387,31.4261603030303,NA,207.182,NA,"4",1.61729411764706,0.245837837837838
"Alyssum granatense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alyssum minutum","Alyssum minutum","",NA,NA,NA,NA,NA,"",0.54,NA
"Alyssum montanum","Alyssum montanum","",39,12.368,NA,247.628,NA,"3",NA,0.085
"Alyssum simplex","Alyssum simplex","",NA,NA,NA,NA,NA,"",0.74,NA
"Amaranthaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus","Amaranthus albus_Amaranthus blitoides_Amaranthus blitum_Amaranthus caudatus_Amaranthus crispus_Amaranthus deflexus_Amaranthus graecizans_Amaranthus hybridus_Amaranthus powellii_Amaranthus retroflexus_Amaranthus spinosus_Amaranthus tricolor_Amaranthus viridis","",3335.23289871429,18.0281743082667,9.772,197.124529411765,36.6,"6_6_7_7",0.510435941558442,0.46260582010582
"Amaranthus albus","Amaranthus albus","",NA,NA,NA,NA,NA,"7",0.334857142857143,0.3
"Amaranthus blitoides","Amaranthus blitoides","",NA,18.140411352,9.772,NA,43.2,"7",0.9294,0.49375
"Amaranthus blitum","Amaranthus blitum","",NA,NA,NA,NA,NA,"6_7",NA,NA
"Amaranthus blitum subsp. emarginatus","Amaranthus blitum","",NA,NA,NA,NA,NA,"6_7",NA,NA
"Amaranthus caudatus","Amaranthus caudatus","",4117.22,19.624,NA,177.772,NA,"7",0.44,0.664285714285714
"Amaranthus crispus","Amaranthus crispus","",NA,NA,NA,NA,NA,"7",NA,0.25
"Amaranthus deflexus","Amaranthus deflexus","",NA,NA,NA,NA,NA,"6",0.5296,0.3
"Amaranthus graecizans","Amaranthus graecizans","",NA,NA,NA,NA,NA,"6_7",0.23,0.425
"Amaranthus hybridus","Amaranthus hybridus","",NA,NA,NA,NA,NA,"6_7",0.427775,0.5625
"Amaranthus powellii","Amaranthus powellii","",NA,NA,NA,NA,NA,"7",NA,0.6
"Amaranthus powellii subsp. bouchonii","Amaranthus powellii","",NA,NA,NA,NA,NA,"7",NA,0.6
"Amaranthus retroflexus","Amaranthus retroflexus","",2553.24579742857,16.3201115728,9.772,216.477058823529,30,"6_7",0.407727272727273,0.567916666666667
"Amaranthus spinosus","Amaranthus spinosus","",NA,NA,NA,NA,NA,"",0.18,NA
"Amaranthus tricolor","Amaranthus tricolor","",NA,NA,NA,NA,NA,"",0.6,NA
"Amaranthus viridis","Amaranthus viridis","",NA,NA,NA,NA,NA,"",1.025,NA
"Ambrosia artemisiifolia","Ambrosia artemisiifolia","",3877,25.01,12.742,150.114,25.5,"8",4.005,1.17857142857143
"Ambrosia psilostachya","Ambrosia psilostachya","",NA,NA,10.414,NA,NA,"",6.727,NA
"Ambrosia trifida","Ambrosia trifida","",5202.5,25.2407692307692,10.898,188.655,44.1,"6_7_8",10.757,1.11
"Ammi","Ammi majus","",77.6666666666667,34.4433333333333,NA,142.805333333333,NA,"6",0.5375,0.372857142857143
"Ammi majus","Ammi majus","",77.6666666666667,34.4433333333333,NA,142.805333333333,NA,"6",0.5375,0.372857142857143
"Ammoides pusilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacamptis morio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacamptis pyramidalis","Anacamptis pyramidalis","",1190,49.8057142857143,NA,116.786,NA,"6",NA,0.3
"Anacyclus clavatus","Anacyclus clavatus","",93.09,17.5041,NA,NA,NA,"",0.5,0.0732
"Anacyclus radiatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anagyris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anaphalis margaritacea","Anaphalis margaritacea","Yellow",1471,12.8,NA,294,NA,"7",0.049685,0.9
"Anchusa","Anchusa azurea_Anchusa officinalis","",2494.1525,21.071,NA,118.3885,NA,"5",2.4,0.6825
"Anchusa azurea","Anchusa azurea","",3611.68,19.04,NA,123.36,NA,"5",2.4,0.89
"Anchusa hybrida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anchusa officinalis","Anchusa officinalis","",1376.625,23.102,NA,113.417,NA,"5",NA,0.475
"Anchusa puechii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrachne telephioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Androsace elongata","Androsace elongata","",NA,NA,NA,NA,NA,"4",NA,0.015
"Androsace maxima","Androsace maxima","",87.75,24.21,NA,139.18,NA,"4",1.155,0.0141666666666667
"Andryala","Andryala integrifolia","",NA,NA,NA,NA,NA,"",0.19,NA
"Andryala integrifolia","Andryala integrifolia","",NA,NA,NA,NA,NA,"",0.19,NA
"Andryala rothia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anemone coronaria","Anemone coronaria","",NA,NA,NA,NA,NA,"",0.45,NA
"Anemone hortensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anemone nemorosa","Anemone nemorosa","",3003,28.3736363636364,NA,205,NA,"3",3.89666666666667,0.170555555555556
"Anethum graveolens","Anethum graveolens","",781.265,18.295,NA,166.723,NA,"7",1.7,0.632857142857143
"Angelica archangelica","Angelica archangelica","",65794.2966666667,19.2286666666667,NA,223.126,NA,"6",4.1,0.834375
"Angelica sylvestris","Angelica sylvestris","",40902,26.93231906,NA,220,NA,"7",1.1825,0.972222222222222
"Anisantha diandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anisantha fasciculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anisantha madritensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anisantha rigida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anisantha rubens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anisantha sterilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anisantha tectorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antennaria dioica","Antennaria dioica","",2652.66107918889,22.587166543,NA,249,NA,"5",0.049,0.0259655172413793
"Anthemis","Anthemis arvensis_Anthemis austriaca_Anthemis cotula_Anthemis ruthenica","",193.133023506744,27.0018860861423,NA,126.89819047619,NA,"5_6_7_7",0.5503945,0.275824438202247
"Anthemis arvensis","Anthemis arvensis","",125.649070520231,27.449658258427,NA,129.418571428571,NA,"5",0.650789,0.168297752808989
"Anthemis arvensis subsp. arvensis","Anthemis arvensis","",125.649070520231,27.449658258427,NA,129.418571428571,NA,"5",0.650789,0.168297752808989
"Anthemis arvensis subsp. incrassata","Anthemis arvensis","",125.649070520231,27.449658258427,NA,129.418571428571,NA,"5",0.650789,0.168297752808989
"Anthemis austriaca","Anthemis austriaca","",NA,NA,NA,NA,NA,"7",NA,0.325
"Anthemis cotula","Anthemis cotula","",138,22.4,NA,107,NA,"6_7",0.45,0.285
"Anthemis maritima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthemis ruthenica","Anthemis ruthenica","",315.75,31.156,NA,144.276,NA,"5",NA,0.325
