"original_taxa","accepted_wfo","wfo_taxonID","wfo_rank","wfo_authorship","wfo_family","wfo_genus","wfo_status","wfo_match"
"Senecio vulgaris","Senecio vulgaris","wfo-0000011329","species","L.","Asteraceae","Senecio","Accepted","MATCH"
"Senecio vulgaris vulgaris","Senecio vulgaris","wfo-0000011329","species","L.","Asteraceae","Senecio","Accepted","FUZZY"
"Serapias lingua","Serapias lingua","wfo-0000309419","species","L.","Orchidaceae","Serapias","Accepted","MATCH"
"Serapias vomeracea","Serapias vomeracea","wfo-0000309552","species","(Burm.f.) Briq.","Orchidaceae","Serapias","Accepted","MATCH"
"Setaria","Setaria","wfo-4000035199","genus","P.Beauv.","Poaceae","Setaria","Accepted","MATCH"
"Setaria adhaerens","Setaria adhaerens","wfo-0000898969","species","(Forssk.) Chiov.","Poaceae","Setaria","Accepted","MATCH"
"Setaria faberi","Setaria faberi","wfo-0000899140","species","R.A.W.Herrm.","Poaceae","Setaria","Accepted","MATCH"
"Setaria glauca","Cenchrus americanus","wfo-0000917339","species","(L.) Morrone","Poaceae","Cenchrus","Accepted","MATCH"
"Setaria italica","Setaria italica","wfo-0000899281","species","(L.) P.Beauv.","Poaceae","Setaria","Accepted","MATCH"
"Setaria italica italica","Setaria italica","wfo-0000899281","species","(L.) P.Beauv.","Poaceae","Setaria","Accepted","FUZZY"
"Setaria italica viridis","Setaria italica","wfo-0000899281","species","(L.) P.Beauv.","Poaceae","Setaria","Accepted","FUZZY"
"Setaria parviflora","Setaria parviflora","wfo-0000899442","species","(Poir.) Kerguélen","Poaceae","Setaria","Accepted","MATCH"
"Setaria pumila","Setaria pumila","wfo-0000899491","species","(Poir.) Roem. & Schult.","Poaceae","Setaria","Accepted","MATCH"
"Setaria verticillata","Setaria verticillata","wfo-0000899661","species","(L.) P.Beauv.","Poaceae","Setaria","Accepted","MATCH"
"Setaria verticillata ambigua","Setaria verticillata","wfo-0000899661","species","(L.) P.Beauv.","Poaceae","Setaria","Accepted","FUZZY"
"Setaria viridis","Setaria viridis","wfo-0000899679","species","(L.) P.Beauv.","Poaceae","Setaria","Accepted","MATCH"
"Setaria viridis viridis","Setaria viridis","wfo-0000899679","species","(L.) P.Beauv.","Poaceae","Setaria","Accepted","FUZZY"
"Sheradia arvensis","Sherardia arvensis","wfo-0000309707","species","L.","Rubiaceae","Sherardia","Accepted","FUZZY"
"Sherardia","Sherardia","wfo-4000035242","genus","L.","Rubiaceae","Sherardia","Accepted","MATCH"
"Sherardia arvensis","Sherardia arvensis","wfo-0000309707","species","L.","Rubiaceae","Sherardia","Accepted","MATCH"
"Sicyos","Sicyos","wfo-4000035299","genus","L.","Cucurbitaceae","Sicyos","Accepted","MATCH"
"Sicyos angulatus","Sicyos angulatus","wfo-0000441537","species","L.","Cucurbitaceae","Sicyos","Accepted","MATCH"
"Sideritis romana","Sideritis romana","wfo-0000310409","species","L.","Lamiaceae","Sideritis","Accepted","MATCH"
"Sideritis romana romana","Sideritis romana","wfo-0000310409","species","L.","Lamiaceae","Sideritis","Accepted","FUZZY"
"Silaum silaus","Silaum silaus","wfo-0000434202","species","(L.) Schinz & Thell.","Apiaceae","Silaum","Accepted","MATCH"
"Silena gallica","Silene gallica","wfo-0000440573","species","L.","Caryophyllaceae","Silene","Accepted","FUZZY"
"Silene","Silene","wfo-4000035363","genus","L.","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene alba","Silene latifolia subsp. alba","wfo-0000440845","subspecies","(Mill.) Greuter & Burdet","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene armeria","Atocion armeria","wfo-0000555618","species","(L.) Raf.","Caryophyllaceae","Atocion","Accepted","MATCH"
"Silene bellidifolia","Silene bellidifolia","wfo-0000438851","species","Jacq.","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene conica","Silene conica","wfo-0000438672","species","L.","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene conoidea","Silene conoidea","wfo-0000438677","species","L.","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene coronaria","Silene coronaria","wfo-0000440513","species","(L.) Clairv.","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene cretica","Silene cretica","wfo-0000440510","species","L.","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene dichotoma","Silene dichotoma","wfo-0000440488","species","Ehrh.","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene dioica","Silene dioica","wfo-0000440478","species","(L.) Clairv.","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene dioica dioica","Silene dioica","wfo-0000440478","species","(L.) Clairv.","Caryophyllaceae","Silene","Accepted","FUZZY"
"Silene flos-cuculi","Silene flos-cuculi","wfo-0000438691","species","(L.) Greuter & Burdet","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene gallica","Silene gallica","wfo-0000440573","species","L.","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene italica","Silene italica","wfo-0000440393","species","(L.) Pers.","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene latifolia","Silene latifolia","wfo-0000440842","species","Poir.","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene latifolia alba","Silene latifolia subsp. alba","wfo-0000440845","subspecies","(Mill.) Greuter & Burdet","Caryophyllaceae","Silene","Accepted","FUZZY"
"Silene latifolia latifolia","Silene latifolia","wfo-0000440842","species","Poir.","Caryophyllaceae","Silene","Accepted","FUZZY"
"Silene muscipula","Silene muscipula","wfo-0000440676","species","L.","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene nicaeensis","Silene nicaeensis","wfo-0000440672","species","All.","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene niceensis","Silene nicaeensis","wfo-0000440672","species","All.","Caryophyllaceae","Silene","Accepted","FUZZY"
"Silene noctiflora","Silene noctiflora","wfo-0000440809","species","L.","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene nocturna","Silene nocturna","wfo-0000440805","species","L.","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene nutans","Silene nutans","wfo-0000440799","species","L.","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene nutans nutans","Silene nutans","wfo-0000440799","species","L.","Caryophyllaceae","Silene","Accepted","FUZZY"
"Silene sicula","Silene italica subsp. sicula","wfo-0000440376","subspecies","(Ucria) Jeanm.","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene stricta","Silene stricta","wfo-0000439608","species","L.","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene vulgaris","Silene vulgaris","wfo-0000440200","species","(Moench) Garcke","Caryophyllaceae","Silene","Accepted","MATCH"
"Silene vulgaris vulgaris","Silene vulgaris","wfo-0000440200","species","(Moench) Garcke","Caryophyllaceae","Silene","Accepted","FUZZY"
"Silphium perfoliatum","Silphium perfoliatum","wfo-0000086134","species","L.","Asteraceae","Silphium","Accepted","MATCH"
"Silybum","Silybum","wfo-4000035387","genus","Adans.","Asteraceae","Silybum","Accepted","MATCH"
"Silybum marianum","Silybum marianum","wfo-0000014591","species","(L.) Gaertn.","Asteraceae","Silybum","Accepted","MATCH"
"Sinapis","Sinapis","wfo-4000035420","genus","L.","Brassicaceae","Sinapis","Accepted","MATCH"
"Sinapis alba","Sinapis alba","wfo-0000432649","species","L.","Brassicaceae","Sinapis","Accepted","MATCH"
"Sinapis alba alba","Sinapis alba","wfo-0000432649","species","L.","Brassicaceae","Sinapis","Accepted","FUZZY"
"Sinapis arvensis","Mutarda arvensis","wfo-1000044269","species","(L.) D.A.German","Brassicaceae","Mutarda","Accepted","MATCH"
"Sinapis arvensis arvensis","Mutarda arvensis","wfo-1000044269","species","(L.) D.A.German","Brassicaceae","Mutarda","Accepted","FUZZY"
"Sison","Sison","wfo-4000035544","genus","L.","Apiaceae","Sison","Accepted","MATCH"
"Sison amomum","Sison amomum","wfo-0000431407","species","L.","Apiaceae","Sison","Accepted","MATCH"
"Sison segetum","Sison segetum","wfo-0000431444","species","L.","Apiaceae","Sison","Accepted","MATCH"
"Sisymbrella aspera","Sisymbrella aspera","wfo-0000432550","species","(L.) Spach","Brassicaceae","Sisymbrella","Accepted","MATCH"
"Sisymbrium","Sisymbrium","wfo-4000035549","genus","L.","Brassicaceae","Sisymbrium","Accepted","MATCH"
"Sisymbrium altissimum","Sisymbrium altissimum","wfo-0000432490","species","L.","Brassicaceae","Sisymbrium","Accepted","MATCH"
"Sisymbrium austriacum","Sisymbrium austriacum","wfo-0000432508","species","Jacq.","Brassicaceae","Sisymbrium","Accepted","MATCH"
"Sisymbrium irio","Sisymbrium irio","wfo-0000431928","species","L.","Brassicaceae","Sisymbrium","Accepted","MATCH"
"Sisymbrium loeselii","Sisymbrium loeselii","wfo-0000432028","species","L.","Brassicaceae","Sisymbrium","Accepted","MATCH"
"Sisymbrium officinale","Sisymbrium officinale","wfo-0000432010","species","(L.) Scop.","Brassicaceae","Sisymbrium","Accepted","MATCH"
"Sisymbrium orientale","Sisymbrium orientale","wfo-0000432013","species","L.","Brassicaceae","Sisymbrium","Accepted","MATCH"
"Sisymbrium runcinatum","Sisymbrium runcinatum","wfo-0000431807","species","Lag. ex DC.","Brassicaceae","Sisymbrium","Accepted","MATCH"
"Sixalix atropurpurea maritima","Scabiosa atropurpurea","wfo-0000500186","species","L.","Caprifoliaceae","Scabiosa","Accepted","FUZZY"
"Smilax aspera","Smilax aspera","wfo-0000740704","species","L.","Smilacaceae","Smilax","Accepted","MATCH"
"Smyrnium olusatrum","Smyrnium olusatrum","wfo-0000431292","species","L.","Apiaceae","Smyrnium","Accepted","MATCH"
"Solanum","Solanum","wfo-4000035688","genus","L.","Solanaceae","Solanum","Accepted","MATCH"
"Solanum americanum","Solanum americanum","wfo-0001025878","species","Mill.","Solanaceae","Solanum","Accepted","MATCH"
"Solanum chenopodioides","Solanum chenopodioides","wfo-0001026988","species","Lam.","Solanaceae","Solanum","Accepted","MATCH"
"Solanum dulcamara","Solanum dulcamara","wfo-0001027661","species","L.","Solanaceae","Solanum","Accepted","MATCH"
"Solanum lycopersicum","Solanum lycopersicum","wfo-0001029216","species","L.","Solanaceae","Solanum","Accepted","MATCH"
"Solanum nigrum","Solanum nigrum","wfo-0001029815","species","L.","Solanaceae","Solanum","Accepted","MATCH"
"Solanum nigrum nigrum","Solanum americanum","wfo-0001025878","species","Mill.","Solanaceae","Solanum","Accepted","FUZZY"
"Solanum nigrum schultesii","Solanum nigrum","wfo-0001029815","species","L.","Solanaceae","Solanum","Accepted","FUZZY"
"Solanum nigrum villosum","Solanum villosum","wfo-0001032383","species","Mill.","Solanaceae","Solanum","Accepted","FUZZY"
"Solanum physalifolium","Solanum physalifolium","wfo-0001030389","species","Rusby","Solanaceae","Solanum","Accepted","MATCH"
"Solanum tuberosum","Solanum tuberosum","wfo-0001031908","species","L.","Solanaceae","Solanum","Accepted","MATCH"
"Solanum villosum","Solanum villosum","wfo-0001032383","species","Mill.","Solanaceae","Solanum","Accepted","MATCH"
"Solidago","Solidago","wfo-4000035732","genus","L.","Asteraceae","Solidago","Accepted","MATCH"
"Solidago canadensis","Solidago canadensis","wfo-0000060775","species","L.","Asteraceae","Solidago","Accepted","MATCH"
"Solidago gigantea","Solidago gigantea","wfo-0000130517","species","Aiton","Asteraceae","Solidago","Accepted","MATCH"
"Solidago virgaurea","Solidago virgaurea","wfo-0000019900","species","Bigelow","Asteraceae","Solidago","Accepted","MATCH"
"Sonchus","Sonchus","wfo-4000035760","genus","L.","Asteraceae","Sonchus","Accepted","MATCH"
"Sonchus arvenses","Sonchus arvensis","wfo-0000092611","species","L.","Asteraceae","Sonchus","Accepted","FUZZY"
"Sonchus arvensis","Sonchus arvensis","wfo-0000092611","species","L.","Asteraceae","Sonchus","Accepted","MATCH"
"Sonchus arvensis arvensis","Sonchus arvensis","wfo-0000092611","species","L.","Asteraceae","Sonchus","Accepted","FUZZY"
"Sonchus arvensis uliginosus","Sonchus arvensis","wfo-0000092611","species","L.","Asteraceae","Sonchus","Accepted","FUZZY"
