"accepted_taxa","original_taxa_Midolo2023","Disturbance.Frequency_Midolo2023","Disturbance.Frequency.herblayer_Midolo2023","Disturbance.Severity_Midolo2023","Disturbance.Severity.herblayer_Midolo2023","Grazing.Pressure_Midolo2023","Mowing.Frequency_Midolo2023","Soil.Disturbance_Midolo2023","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023"
"Medicago minima","Medicago minima",1.3135,1.96756,0.60999,0.5758,0.33143,0.39686,0.31818,"Medicago minima",8.7,2.8,NA,7.4,0.4,7,"Medicago minima","1","Local non-specific dispersal",0.148486111111111,0.960859999999999
"Medicago monspeliaca","Medicago monspeliaca",1.5244,2.057,0.72102,0.6589,0.35461,0.33731,0.37727,"Medicago monspeliaca",8.1,2.8,NA,7.8,0,8.1,"Medicago monspeliaca","1","Local non-specific dispersal",0.1225,0.644
"Medicago murex","Medicago murex",1.44576,2.02836,0.74598,0.67955,0.29111,0.37725,0.36778,"Medicago murex",8,5,5,5,0,10,"Medicago murex","6","Epizoochory",0.09,6.4
"Medicago orbicularis","Medicago orbicularis",1.14246,1.998,0.80846,0.73698,0.26073,0.57055,0.4175,"Medicago orbicularis",7.6,3.6,NA,7.5,0,8.2,"Medicago orbicularis","2","Local non-specific dispersal",0.313333333333333,3.8
"Medicago polyceratia","Medicago polyceratia",2.08355,2.07058,0.825,0.825,0.255,0.42655,0.54881,"Medicago polyceratia",8,3,6,8,0,8,"Medicago polyceratia","6","Epizoochory",NA,NA
"Medicago polymorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Medicago polymorpha","1","Local non-specific dispersal",0.295416666666667,37.3946666666666
"Medicago praecox","Medicago praecox",1.50183,1.96524,0.72292,0.68431,0.348,0.40024,0.386,"Medicago praecox",8,3.5,5.5,7.5,0.5,10,"Medicago praecox","6","Epizoochory",0.12,2.1
"Medicago rigidula","Medicago rigidula",1.53037,2.13789,0.72014,0.69397,0.29766,0.51769,0.40812,"Medicago rigidula",8.4,2.4,NA,7.7,1,7.9,"Medicago rigidula","1","Local non-specific dispersal",0.238333333333333,3.3825
"Medicago rugosa","Medicago rugosa",1.57057,2.19749,0.84828,0.70435,0.22917,0.23456,0.508,"Medicago rugosa",8,2.5,5.5,7.5,0.5,11,"Medicago rugosa","1","Local non-specific dispersal",0.115,8.2
"Medicago sativa",NA,NA,NA,NA,NA,NA,NA,NA,"Medicago sativa",8,4.4,5.7,7.4,0.1,NA,"Medicago sativa","2","Local non-specific dispersal",0.543,2.37299999999999
"Medicago sativa sativa",NA,NA,NA,NA,NA,NA,NA,NA,"Medicago sativa",8,4.4,5.7,7.4,0.1,NA,"Medicago sativa","2","Local non-specific dispersal",0.543,2.37299999999999
"Medicago scutellata","Medicago scutellata",1.55918,2.16853,0.85946,0.83784,0.17027,0.63522,0.57568,"Medicago scutellata",7.7,5,6,6.7,0,NA,"Medicago scutellata","6","Epizoochory",0.1825,18.5
"Medicago truncatula","Medicago truncatula",1.34226,2.10526,0.8107,0.75714,0.27101,0.48463,0.40286,"Medicago truncatula",8,3,5,NA,2,9.5,"Medicago truncatula","6","Epizoochory",0.09,3.9
"Medicago turbinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Medicago turbinata","6","Epizoochory",0.09,7.35
"Medicago x varia","Medicago x varia",1.82936,1.97201,0.56521,0.5589,0.17317,1.1549,0.33783,NA,NA,NA,NA,NA,NA,NA,"Medicago x varia","2","Local non-specific dispersal",0.55,NA
"Melampyrum","Melampyrum arvense",1.1671,1.81398,0.53729,0.49325,0.28819,0.6682,0.20738,"Melampyrum arvense",7.1,3.8,3.5,8,0,6.4,"Melampyrum arvense","3","Myrmecochory",0.324,13.8242
"Melampyrum arvense","Melampyrum arvense",1.1671,1.81398,0.53729,0.49325,0.28819,0.6682,0.20738,"Melampyrum arvense",7.1,3.8,3.5,8,0,6.4,"Melampyrum arvense","3","Myrmecochory",0.324,13.8242
"Melia azedarach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Melia azedarach","6","Endozoochory",9.055,271.65
"Melica ciliata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Melica ciliata","2","Local non-specific dispersal",0.497,0.923337837833333
"Melica nutans","Melica nutans",0.05473,1.29214,0.68548,0.14074,0.19318,0.01706,0.10918,"Melica nutans",4.3,4.6,3.3,6.6,0,5.3,"Melica nutans","2","Local non-specific dispersal",0.385,3.01401975307407
"Melica transsilvanica","Melica transsilvanica",0.88829,1.56866,0.51304,0.42223,0.29853,0.31703,0.18374,"Melica transsilvanica",7.5,2.8,3,6.3,0,7.2,"Melica transsilvanica","2","Local non-specific dispersal",0.604166666666667,0.891933333333333
"Melica uniflora","Melica uniflora",0.02403,1.30342,0.69501,0.1202,0.19651,0.00744,0.10202,"Melica uniflora",3.8,5.3,5.1,6.4,0,5.7,"Melica uniflora","2","Local non-specific dispersal",0.415,2.89998181818182
"Melilotus","Melilotus albus_Melilotus altissimus_Melilotus indicus_Melilotus neapolitanus_Melilotus officinalis_Melilotus sulcatus",1.33744,1.78819333333333,0.682918333333333,0.648101666666667,0.22601,0.606673333333333,0.33128,"Melilotus albus_Melilotus altissimus_Melilotus indicus_Melilotus neapolitanus_Melilotus officinalis_Melilotus sulcatus",8.16666666666667,4.68,5.5,6.9,0.583333333333333,7.75,"Melilotus albus_Melilotus altissimus_Melilotus indicus_Melilotus neapolitanus_Melilotus officinalis_Melilotus sulcatus","1_2","Local non-specific dispersal",0.643069444444444,2.75152705802968
"Melilotus alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melilotus albus","Melilotus albus",1.33614,1.6797,0.68764,0.66289,0.17369,0.65754,0.31437,"Melilotus albus",8.7,NA,3.9,6.8,0.1,NA,"Melilotus albus","2","Local non-specific dispersal",0.946666666666667,2.32316666666666
"Melilotus altissimus","Melilotus altissimus",1.37188,1.70768,0.58045,0.5587,0.22248,0.76914,0.26136,"Melilotus altissimus",8,6.6,NA,7,1.2,6.2,"Melilotus altissimus","2","Local non-specific dispersal",0.98,4.09489743589743
"Melilotus indicus","Melilotus indicus",1.3559,1.85012,0.72067,0.68667,0.24069,0.54409,0.37891,"Melilotus indicus",8.3,4.2,5.8,6.5,1,NA,"Melilotus indicus","2","Local non-specific dispersal",0.321666666666667,2.27149999999999
"Melilotus neapolitanus","Melilotus neapolitanus",0.89374,1.6424,0.63772,0.5531,0.29217,0.24226,0.27411,"Melilotus neapolitanus",7.9,3.8,6.3,7.3,0,NA,"Melilotus neapolitanus","1","Local non-specific dispersal",0.2725,1.5
"Melilotus officinalis","Melilotus officinalis",1.38677,1.73606,0.67437,0.65088,0.19721,0.76711,0.32226,"Melilotus officinalis",8.1,3.8,NA,7.3,0.2,NA,"Melilotus officinalis","2","Local non-specific dispersal",1.013,2.51959824561403
"Melilotus officinalis","Melilotus officinalis",1.38677,1.73606,0.67437,0.65088,0.19721,0.76711,0.32226,"Melilotus officinalis",8.1,3.8,NA,7.3,0.2,NA,"Melilotus officinalis","2","Local non-specific dispersal",1.013,2.51959824561403
"Melilotus sulcatus","Melilotus sulcatus",1.68021,2.1132,0.79666,0.77637,0.22982,0.6599,0.43667,"Melilotus sulcatus",8,5,6,6.5,1,9.3,"Melilotus sulcatus","2","Local non-specific dispersal",0.324583333333333,3.8
"Melissa officinalis","Melissa officinalis",0.28416,1.47934,0.68042,0.36373,0.19931,0.12032,0.13913,"Melissa officinalis",6.1,NA,4.8,7.1,0,NA,"Melissa officinalis","3","Myrmecochory",0.617,0.75
"Melissa officinalis officinalis","Melissa officinalis",0.28416,1.47934,0.68042,0.36373,0.19931,0.12032,0.13913,"Melissa officinalis",6.1,NA,4.8,7.1,0,NA,"Melissa officinalis","3","Myrmecochory",0.617,0.75
"Melissa officinalis officinalis","Melissa officinalis",0.28416,1.47934,0.68042,0.36373,0.19931,0.12032,0.13913,"Melissa officinalis",6.1,NA,4.8,7.1,0,NA,"Melissa officinalis","3","Myrmecochory",0.617,0.75
"Melittis melissophyllum","Melittis melissophyllum",0.03342,1.3098,0.68498,0.12305,0.2021,0.01949,0.09975,"Melittis melissophyllum",NA,NA,3.1,NA,0,NA,"Melittis melissophyllum","2","Local non-specific dispersal",0.413,6.35333333333333
"Melomphis arabica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mentha","Mentha aquatica_Mentha arvensis_Mentha longifolia_Mentha pulegium_Mentha spicata_Mentha suaveolens",1.16550166666667,1.72298833333333,0.53052,0.48992,0.24759,0.484926666666667,0.232468333333333,"Mentha aquatica_Mentha arvensis_Mentha longifolia_Mentha pulegium_Mentha spicata_Mentha suaveolens",7.43333333333333,7.73333333333333,5.76666666666667,6.74,0.4,NA,"Mentha aquatica_Mentha arvensis_Mentha longifolia_Mentha pulegium_Mentha spicata_Mentha suaveolens_Mentha x piperita","2","Hydrochory_Local non-specific dispersal",0.49875,0.116523306882275
"Mentha aquatica","Mentha aquatica",1.01551,1.68217,0.39504,0.33995,0.19312,0.35812,0.12778,"Mentha aquatica",7.1,8.8,5,6.6,0.3,NA,"Mentha aquatica","2","Local non-specific dispersal",0.554166666666667,0.164161904785714
"Mentha arvensis","Mentha arvensis",1.34962,1.85831,0.61509,0.59357,0.18763,0.50581,0.39255,"Mentha arvensis",7.1,7.5,NA,5.9,0.1,NA,"Mentha arvensis","2","Local non-specific dispersal",0.355,0.240402222222222
"Mentha longifolia","Mentha longifolia",1.02559,1.42746,0.53309,0.48771,0.22399,0.54843,0.16352,"Mentha longifolia",7.3,8,NA,7.8,0.1,NA,"Mentha longifolia","2","Local non-specific dispersal",0.785,0.0772666666666666
"Mentha pulegium","Mentha pulegium",1.50989,2.01065,0.51452,0.49925,0.38576,0.41479,0.19565,"Mentha pulegium",8.2,7.2,NA,NA,1,NA,"Mentha pulegium","","Hydrochory",0.253333333333333,0.0840590476190476
"Mentha spicata","Mentha spicata",1.08186,1.63816,0.5918,0.54302,0.1964,0.58398,0.30711,"Mentha spicata",7,7.6,6.7,7.2,0.2,NA,"Mentha spicata","2","Local non-specific dispersal",0.6,NA
"Mentha suaveolens","Mentha suaveolens",1.01054,1.72118,0.53358,0.47602,0.29864,0.49843,0.2082,"Mentha suaveolens",7.9,7.3,5.6,6.2,0.7,NA,"Mentha suaveolens","2","Local non-specific dispersal",0.51875,0.0721499999999999
"Mentha suaveolens suaveolens","Mentha suaveolens",1.01054,1.72118,0.53358,0.47602,0.29864,0.49843,0.2082,"Mentha suaveolens",7.9,7.3,5.6,6.2,0.7,NA,"Mentha suaveolens","2","Local non-specific dispersal",0.51875,0.0721499999999999
"Mentha x piperita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mentha x piperita","2","Local non-specific dispersal",0.425,0.0611
"Mentha x villosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mercurialis","Mercurialis annua_Mercurialis perennis",0.66169,1.575905,0.752525,0.463165,0.184015,0.332515,0.369065,"Mercurialis annua_Mercurialis perennis",7.5,5.5,6.6,7.25,0.05,NA,"Mercurialis annua_Mercurialis perennis","3","Myrmecochory",0.274916666666667,5.17562294372294
"Mercurialis annua","Mercurialis annua",1.27269,1.85713,0.81782,0.78043,0.18293,0.65149,0.6358,"Mercurialis annua",7.5,NA,NA,7.1,0.1,NA,"Mercurialis annua","3","Myrmecochory",0.2895,2.27410303030303
"Mercurialis perennis","Mercurialis perennis",0.05069,1.29468,0.68723,0.1459,0.1851,0.01354,0.10233,"Mercurialis perennis",NA,5.5,6.6,7.4,0,NA,"Mercurialis perennis","3","Myrmecochory",0.260333333333333,8.07714285714285
"Meum athamanticum","Meum athamanticum",1.11501,1.62449,0.42968,0.383,0.25523,0.25746,0.18607,"Meum athamanticum",8.2,5,2.8,3.2,0,3.7,"Meum athamanticum","2","Local non-specific dispersal",0.353333333333333,7.89288333333333
"Mibora minima","Mibora minima",2.00372,2.1799,0.43308,0.42895,0.29046,0.34786,0.45891,"Mibora minima",8.5,2,2.3,NA,0,8.3,"Mibora minima","1","Local non-specific dispersal",0.0766666666666667,0.130096666666666
"Micromeria graeca","Micromeria graeca",0.58218,1.44174,0.65701,0.4411,0.36011,0.21627,0.17934,"Micromeria graeca",8.4,3.5,2.5,7.4,0,8.1,"Micromeria graeca","2","Local non-specific dispersal",0.3625,0.12095
"Microthlaspi perfoliatum","Noccaea perfoliata",0.92213,1.79252,0.58188,0.50633,0.2722,0.34525,0.32317,"Noccaea perfoliata",8.1,3.4,2.8,7.5,0,6.1,"Noccaea perfoliata","1","Local non-specific dispersal",0.148333333333333,0.428483333333333
"Milium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minuartia","Minuartia campestris_Minuartia mediterranea",1.21844,1.950555,0.819905,0.76434,0.35706,0.117255,0.3601,"Minuartia campestris_Minuartia mediterranea",8.45,2.7,4.5,7.1,0.7,9.35,"Minuartia campestris_Minuartia mediterranea","1","Local non-specific dispersal",0.065,NA
"Minuartia campestris","Minuartia campestris",1.23582,1.97469,0.87,0.84,0.365,0.06982,0.33,"Minuartia campestris",8.4,2.9,3.5,7.2,0.9,9,"Minuartia campestris","","Local non-specific dispersal",NA,NA
"Minuartia mediterranea","Minuartia mediterranea",1.20106,1.92642,0.76981,0.68868,0.34912,0.16469,0.3902,"Minuartia mediterranea",8.5,2.5,5.5,7,0.5,9.7,"Minuartia mediterranea","1","Local non-specific dispersal",0.065,NA
"Miscanthus sinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Misopates orontium","Misopates orontium",1.11028,1.82471,0.77084,0.68413,0.2471,0.44354,0.50788,"Misopates orontium",7.6,NA,5.3,NA,0.1,NA,"Misopates orontium","2","Local non-specific dispersal",0.337388888888889,0.14743
"Moehringia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Molinia caerulea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Molinia caerulea","2","Local non-specific dispersal",0.8125,1.19485128205128
"Montia fontana","Montia fontana",1.59842,1.62121,0.3053,0.30243,0.16546,0.13974,0.20959,"Montia fontana",8,8.6,3.3,4,0,NA,"Montia fontana","3","Myrmecochory",0.107777777777778,0.297166666666666
"Montia fontana chondrosperma","Montia fontana",1.59842,1.62121,0.3053,0.30243,0.16546,0.13974,0.20959,"Montia fontana",8,8.6,3.3,4,0,NA,"Montia fontana","3","Myrmecochory",0.107777777777778,0.297166666666666
"Moorochloa eruciformis",NA,NA,NA,NA,NA,NA,NA,NA,"Moorochloa eruciformis",8,8.5,6.5,8,0,9.3,"Moorochloa eruciformis","2","Local non-specific dispersal",0.425,NA
"Morus","Morus alba_Morus nigra",0.298765,1.45565,0.71838,0.338615,0.198115,0.062415,0.16672,"Morus nigra",7.8,5.3,4.5,5,0,7,"Morus alba_Morus nigra","6","Endozoochory",9.0625,3.325
"Morus alba","Morus alba",0.35131,1.50807,0.71262,0.374,0.19623,0.05066,0.15758,NA,NA,NA,NA,NA,NA,NA,"Morus alba","6","Endozoochory",9.16833333333333,5.05
"Morus nigra","Morus nigra",0.24622,1.40323,0.72414,0.30323,0.2,0.07417,0.17586,"Morus nigra",7.8,5.3,4.5,5,0,7,"Morus nigra","6","Endozoochory",8.95666666666667,1.6
"Muhlenbergia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mummenhoffia alliacea","Thlaspi alliaceum",1.12273,1.82328,0.7375,0.69577,0.21884,0.64183,0.575,"Thlaspi alliaceum",7.4,4,5.4,7,0,6.6,"Thlaspi alliaceum","2","Local non-specific dispersal",0.300833333333333,0.8489
"Muscari","Leopoldia comosa_Muscari botryoides_Muscari neglectum_Muscari racemosum",0.7190575,1.7046925,0.5737825,0.427155,0.2991675,0.306285,0.22834,"Leopoldia comosa_Muscari botryoides_Muscari neglectum_Muscari racemosum",7.225,3.55,4.15,7.375,0.05,7.025,"Leopoldia comosa_Muscari botryoides_Muscari neglectum_Muscari racemosum","1_2","Local non-specific dispersal",0.273875,4.95333666666666
"Muscari botryoides","Muscari botryoides",0.37657,1.53911,0.56584,0.30839,0.28075,0.21049,0.12961,"Muscari botryoides",6.8,4.9,3.5,7.3,0,5.9,"Muscari botryoides","1","Local non-specific dispersal",0.185,2.6546
"Muscari botryoides lelievrei","Muscari botryoides",0.37657,1.53911,0.56584,0.30839,0.28075,0.21049,0.12961,"Muscari botryoides",6.8,4.9,3.5,7.3,0,5.9,"Muscari botryoides","1","Local non-specific dispersal",0.185,2.6546
"Muscari comosum","Leopoldia comosa",0.60096,1.65878,0.64448,0.47956,0.25674,0.35645,0.28756,"Leopoldia comosa",7.3,3.4,4.8,6.7,0,7.4,"Leopoldia comosa","2","Local non-specific dispersal",0.525,5.18999999999999
"Muscari neglectum","Muscari neglectum",0.86091,1.75419,0.5153,0.41884,0.32896,0.27233,0.20686,"Muscari neglectum",7.3,3.4,NA,7,0.2,7.1,"Muscari neglectum","1","Local non-specific dispersal",0.198,3.16874666666666
"Muscari racemosum","Muscari racemosum",1.03779,1.86669,0.56951,0.50183,0.33022,0.38587,0.28933,"Muscari racemosum",7.5,2.5,NA,8.5,0,7.7,"Muscari racemosum","1","Local non-specific dispersal",0.1875,8.8
"Mutarda arvensis","Sinapis arvensis",1.78482,1.97219,0.83003,0.82471,0.13604,0.48138,0.7566,"Sinapis arvensis",7.4,4.4,6.4,7.7,0.1,5.4,"Sinapis arvensis","2","Local non-specific dispersal",0.546666666666667,2.04738253968254
"Mutarda carinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mutarda nigra","Brassica nigra",1.27948,1.66029,0.72571,0.69712,0.16331,0.65909,0.50213,"Brassica nigra",8.1,NA,6.7,7.6,0.2,NA,"Brassica nigra","2","Local non-specific dispersal",1.16266666666667,1.06304285714285
"Myagrum perfoliatum","Myagrum perfoliatum",2.09241,2.09241,0.82206,0.82206,0.18429,0.95217,0.75909,"Myagrum perfoliatum",7,3.9,4.4,8.8,0.2,7.4,"Myagrum perfoliatum","2","Local non-specific dispersal",0.32,18.9630999999999
"Myosotis","Myosotis arvensis_Myosotis discolor_Myosotis ramosissima_Myosotis stricta_Myosotis sylvatica",1.037776,1.776002,0.607822,0.494572,0.23052,0.385654,0.407994,"Myosotis arvensis_Myosotis corsicana_Myosotis discolor_Myosotis minutiflora_Myosotis ramosissima_Myosotis stricta_Myosotis sylvatica",7.31428571428571,3.94285714285714,3.9,4.63333333333333,0,5.3,"Myosotis arvensis_Myosotis corsicana_Myosotis discolor_Myosotis minutiflora_Myosotis ramosissima_Myosotis scorpioides_Myosotis stricta_Myosotis sylvatica","1_2","Local non-specific dispersal",0.25797619047619,0.285312986111111
"Myosotis arvensis","Myosotis arvensis",1.36974,1.95508,0.75464,0.73051,0.15567,0.45974,0.6659,"Myosotis arvensis",6.7,4.5,5.8,5.3,0,5.3,"Myosotis arvensis","2","Local non-specific dispersal",0.306,0.368316666666666
"Myosotis corsicana",NA,NA,NA,NA,NA,NA,NA,NA,"Myosotis corsicana",7,5,3,3,0,4,"Myosotis corsicana","","Local non-specific dispersal",NA,NA
"Myosotis discolor","Myosotis discolor",1.1251,1.93068,0.5456,0.50096,0.29097,0.62518,0.40047,"Myosotis discolor",7.8,3.6,2.6,3.9,0,6.8,"Myosotis discolor","1","Local non-specific dispersal",0.2545,0.20105875
"Myosotis minutiflora",NA,NA,NA,NA,NA,NA,NA,NA,"Myosotis minutiflora",7.5,3.5,3,4,0,5,"Myosotis minutiflora","1","Local non-specific dispersal",0.185,NA
"Myosotis palustris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myosotis ramosissima","Myosotis ramosissima",1.02121,1.67002,0.506,0.44835,0.25824,0.34316,0.34742,"Myosotis ramosissima",8.5,2.5,NA,NA,0,NA,"Myosotis ramosissima","1","Local non-specific dispersal",0.174333333333333,0.21965
"Myosotis scorpioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myosotis scorpioides","2","Local non-specific dispersal",0.420666666666667,0.30065
"Myosotis stricta","Myosotis stricta",1.51462,2.04471,0.59976,0.58348,0.25644,0.42497,0.49835,"Myosotis stricta",8.2,2.9,2.3,5.4,0,6.1,"Myosotis stricta","1","Local non-specific dispersal",0.142,0.144919166666666
"Myosotis sylvatica","Myosotis sylvatica",0.15821,1.27952,0.63311,0.20956,0.19128,0.07522,0.12783,"Myosotis sylvatica",5.5,5.6,6.7,6.2,0,4.6,"Myosotis sylvatica","2","Local non-specific dispersal",0.323333333333333,0.477283333333333
"Myrrhis odorata","Myrrhis odorata",0.30948,1.2099,0.57394,0.27292,0.1617,0.10573,0.12339,"Myrrhis odorata",7.5,NA,6.5,6.7,0,3.7,"Myrrhis odorata","2","Local non-specific dispersal",0.920833333333333,40.5545166666666
"Nardus stricta","Nardus stricta",1.22062,1.64011,0.39501,0.35948,0.28915,0.29895,0.18212,"Nardus stricta",8,5.8,2.1,2.3,0,3.8,"Nardus stricta","1","Local non-specific dispersal",0.195,0.464447916666666
"Nasturtium officinale","Nasturtium officinale",1.23683,1.68486,0.30298,0.2792,0.08209,0.10412,0.10202,"Nasturtium officinale",7.1,10.4,NA,6.6,0.3,NA,"Nasturtium officinale","2","Local non-specific dispersal",0.388,0.193833333333333
"Nelumbo nucifera",NA,NA,NA,NA,NA,NA,NA,NA,"Nelumbo nucifera",9,11.5,7,7,0,8.5,"Nelumbo nucifera","","Hydrochory",1.4,NA
"Neottia ovata","Neottia ovata",0.25729,1.43765,0.61394,0.27293,0.20191,0.17034,0.13802,"Neottia ovata",NA,6.1,NA,6.7,0,NA,"Neottia ovata","5","Anemochory",0.362,0.0011112
"Nepeta cataria","Nepeta cataria",1.00355,1.60371,0.64375,0.58017,0.19076,0.58605,0.26949,"Nepeta cataria",7.7,3.9,6.6,7,0.2,6.9,"Nepeta cataria","2","Local non-specific dispersal",0.688333333333333,0.543226666666666
"Nepeta nepetella","Nepeta nepetella",0.72268,1.53249,0.50882,0.38529,0.26733,0.20363,0.19903,"Nepeta nepetella",8,2.5,2,6.5,0,NA,"Nepeta nepetella","2","Local non-specific dispersal",0.45,0.825
"Neslia apiculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neslia paniculata","Neslia paniculata",1.69218,2.00313,0.85205,0.8435,0.14193,0.47268,0.80819,"Neslia paniculata",7.2,3.8,4.9,7.9,0,NA,"Neslia paniculata","2","Local non-specific dispersal",0.408,3.10275
"Nicandra physalodes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nicandra physalodes","2","Local non-specific dispersal",0.687,1.0854
"Nigella arvensis","Nigella arvensis",1.57332,1.89022,0.61491,0.60078,0.3188,0.70613,0.32164,"Nigella arvensis",8.1,3.4,NA,8.3,0.2,NA,"Nigella arvensis","1","Local non-specific dispersal",0.254,1.36653333333333
"Nigella damascena","Nigella damascena",1.00991,1.80281,0.79479,0.68339,0.28571,0.37682,0.38247,"Nigella damascena",7.9,4,5,6.3,0,NA,"Nigella damascena","2","Local non-specific dispersal",0.3305,2.10475
"Nigella gallica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nigella hispanica","Nigella hispanica",1.17939,1.83121,0.78378,0.75135,0.19189,0.63358,0.66486,NA,NA,NA,NA,NA,NA,NA,"Nigella hispanica","2","Local non-specific dispersal",NA,2.6
"Nigella nigellastrum",NA,NA,NA,NA,NA,NA,NA,NA,"Garidella nigellastrum",8.2,3.8,5,8,0,NA,"Garidella nigellastrum","2","Local non-specific dispersal",0.4,NA
"Noccaea caerulescens","Noccaea caerulescens",1.0857,1.94833,0.50215,0.44603,0.17312,0.79546,0.30163,"Noccaea caerulescens",7.9,4.8,3,5.1,0,4.1,"Noccaea caerulescens","1","Local non-specific dispersal",0.2525,0.556230555555555
"Nonea lutea",NA,NA,NA,NA,NA,NA,NA,NA,"Nonea lutea",8,3,3,7,0,9,"Nonea lutea","3","Myrmecochory",0.265,NA
"Nonea pallens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nonea pallens","3","Myrmecochory",0.27,NA
"Nonea pulla","Nonea pulla",1.76152,1.99097,0.54538,0.53982,0.3216,0.88741,0.21549,"Nonea pulla",7.6,3.6,3.3,7.8,0,NA,"Nonea pulla","3","Myrmecochory",0.335333333333333,7.2830069
"Odontites","Odontites jaubertianus_Odontites lanceolatus",0.69056,1.63135,0.58961,0.3605,0.270545,0.448125,0.164,"Odontites lanceolatus",8,3,2,7,0,6.5,"Odontites jaubertianus_Odontites lanceolatus_Odontites vernus_Odontites vulgaris","1_2","Local non-specific dispersal",0.284722222222222,0.229471428571428
"Odontites jaubertianus chrysanthus","Odontites jaubertianus",1.19552,1.78516,0.52,0.49,0.26364,0.767,0.155,NA,NA,NA,NA,NA,NA,NA,"Odontites jaubertianus","","Local non-specific dispersal",NA,NA
"Odontites lanceolatus","Odontites lanceolatus",0.1856,1.47754,0.65922,0.231,0.27745,0.12925,0.173,"Odontites lanceolatus",8,3,2,7,0,6.5,"Odontites lanceolatus","2","Local non-specific dispersal",0.335,NA
"Odontites vernus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Odontites vernus","1","Local non-specific dispersal",0.265833333333333,0.206942857142857
"Odontites vernus vernus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Odontites vernus","1","Local non-specific dispersal",0.265833333333333,0.206942857142857
"Odontites vulgaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Odontites vulgaris","1","Local non-specific dispersal",0.253333333333333,0.252
"Odontites vulgaris vulgaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Odontites vulgaris","1","Local non-specific dispersal",0.253333333333333,0.252
"Oenanthe crocata","Oenanthe crocata",0.60513,1.5956,0.49218,0.3409,0.16302,0.08974,0.11812,"Oenanthe crocata",7.6,8.5,5.3,NA,0.8,NA,"Oenanthe crocata","2","Local non-specific dispersal",0.7575,3.2034
"Oenanthe fistulosa","Oenanthe fistulosa",1.81199,2.03485,0.42834,0.42466,0.40473,0.55942,0.10466,"Oenanthe fistulosa",7.1,8.6,5.1,7.1,0.3,NA,"Oenanthe fistulosa","2","Local non-specific dispersal",0.495,3.21795714285714
"Oenanthe lachenalii","Oenanthe lachenalii",1.67242,1.91802,0.42462,0.41286,0.33771,0.28587,0.17428,"Oenanthe lachenalii",8.3,7.8,5.5,7.5,2.6,7.3,"Oenanthe lachenalii","2","Local non-specific dispersal",0.85,1.15442857142857
