"accepted_taxa","original_taxa_Midolo2023","Disturbance.Frequency_Midolo2023","Disturbance.Frequency.herblayer_Midolo2023","Disturbance.Severity_Midolo2023","Disturbance.Severity.herblayer_Midolo2023","Grazing.Pressure_Midolo2023","Mowing.Frequency_Midolo2023","Soil.Disturbance_Midolo2023","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023"
"Aegonychon purpurocaeruleum","Aegonychon purpurocaeruleum",0.03342,1.30818,0.68578,0.12238,0.20725,0.01681,0.10024,"Aegonychon purpurocaeruleum",5.4,3.9,3.9,7.7,0,NA,"Aegonychon purpurocaeruleum","2","Local non-specific dispersal",0.407,14.8516666666666
"Aegopodium podagraria","Aegopodium podagraria",0.25686,1.37788,0.64607,0.31874,0.17788,0.15813,0.15586,"Aegopodium podagraria",4.9,6,7.7,6.7,0.2,5,"Aegopodium podagraria","2","Local non-specific dispersal",0.745666666666667,2.12286666666666
"Aesculus hippocastanum","Aesculus hippocastanum",0.08203,1.38372,0.70456,0.21257,0.18575,0.02743,0.12949,"Aesculus hippocastanum",5.4,5.5,6.6,5.8,0,6.4,"Aesculus hippocastanum","6","Dyszoochory",23.9258333333333,10342.325
"Aethusa","Aethusa cynapium",1.10771,1.78759,0.80849,0.76598,0.15284,0.48072,0.69388,"Aethusa cynapium",6.3,5.2,6.7,7.5,0,5.3,"Aethusa cynapium","2","Local non-specific dispersal",0.818333333333334,1.45201783333333
"Aethusa cynapium","Aethusa cynapium",1.10771,1.78759,0.80849,0.76598,0.15284,0.48072,0.69388,"Aethusa cynapium",6.3,5.2,6.7,7.5,0,5.3,"Aethusa cynapium","2","Local non-specific dispersal",0.818333333333334,1.45201783333333
"Aethusa cynapium cynapium","Aethusa cynapium",1.10771,1.78759,0.80849,0.76598,0.15284,0.48072,0.69388,"Aethusa cynapium",6.3,5.2,6.7,7.5,0,5.3,"Aethusa cynapium","2","Local non-specific dispersal",0.818333333333334,1.45201783333333
"Aethusa cynapium segetalis","Aethusa cynapium",1.10771,1.78759,0.80849,0.76598,0.15284,0.48072,0.69388,"Aethusa cynapium",6.3,5.2,6.7,7.5,0,5.3,"Aethusa cynapium","2","Local non-specific dispersal",0.818333333333334,1.45201783333333
"Aethusa cynapium segetalis","Aethusa cynapium",1.10771,1.78759,0.80849,0.76598,0.15284,0.48072,0.69388,"Aethusa cynapium",6.3,5.2,6.7,7.5,0,5.3,"Aethusa cynapium","2","Local non-specific dispersal",0.818333333333334,1.45201783333333
"Agrimonia","Agrimonia eupatoria",0.83225,1.69485,0.54101,0.43842,0.24194,0.60411,0.19299,"Agrimonia eupatoria",7.1,4.1,3.9,7.3,0.1,NA,"Agrimonia eupatoria","6","Epizoochory",0.659666666666667,15.0787308833333
"Agrimonia eupatoria","Agrimonia eupatoria",0.83225,1.69485,0.54101,0.43842,0.24194,0.60411,0.19299,"Agrimonia eupatoria",7.1,4.1,3.9,7.3,0.1,NA,"Agrimonia eupatoria","6","Epizoochory",0.659666666666667,15.0787308833333
"Agrimonia eupatoria eupatoria","Agrimonia eupatoria",0.83225,1.69485,0.54101,0.43842,0.24194,0.60411,0.19299,"Agrimonia eupatoria",7.1,4.1,3.9,7.3,0.1,NA,"Agrimonia eupatoria","6","Epizoochory",0.659666666666667,15.0787308833333
"Agropyron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostemma githago","Agrostemma githago",2.03298,2.12148,0.89201,0.88991,0.10406,0.28503,0.87023,"Agrostemma githago",7.3,3.9,5,6.3,0,5.9,"Agrostemma githago","2","Local non-specific dispersal",0.627,12.6999583333333
"Agrostis","Agrostis canina_Agrostis capillaris_Agrostis gigantea_Agrostis stolonifera",1.060565,1.725505,0.494265,0.43597,0.2659125,0.502145,0.2468175,"Agrostis canina_Agrostis capillaris_Agrostis gigantea_Agrostis stolonifera",7.6,6.76666666666667,4.075,4.46666666666667,0.225,5,"Agrostis canina_Agrostis capillaris_Agrostis gigantea_Agrostis stolonifera","2","Local non-specific dispersal",0.580875,0.0661212797619048
