"original_taxa","original_ID","database_ID","simplified_taxa","accepted_taxa","in_WFO","match","accepted_wfo"
"Anisantha sterilis",NA,"FR_VIN_HERAULT","Anisantha sterilis","Bromus sterilis","Accepted","Synonym","Bromus sterilis"
"Anisantha sterilis",NA,"FR_ALL_LANGUEDOC","Anisantha sterilis","Bromus sterilis","Accepted","Synonym","Bromus sterilis"
"Anisantha sterilis",NA,"FR_VIN_SAVM","Anisantha sterilis","Bromus sterilis","Accepted","Synonym","Bromus sterilis"
"Anisantha tectorum",NA,"FR_VIN_SAVM","Anisantha tectorum","Bromus tectorum","Accepted","Synonym","Bromus tectorum"
"Beta vulgaris subsp. maritima",NA,"FR_VIN_SAVM","Beta vulgaris maritima","Beta vulgaris","Accepted","Synonym","Beta vulgaris"
"Brassica nigra","BRSNI","FR_ANN_BARR","Brassica nigra","Mutarda nigra","Accepted","Synonym","Mutarda nigra"
"Brassica nigra","BRSNI","FR_ANN_BIOVIGILANCE","Brassica nigra","Mutarda nigra","Accepted","Synonym","Mutarda nigra"
"Bromopsis erecta","BROER","FR_VIN_BIOVIGILANCE","Bromopsis erecta","Bromus erectus","Accepted","Synonym","Bromus erectus"
"Bromopsis erecta",NA,"FR_VIN_HERAULT","Bromopsis erecta","Bromus erectus","Accepted","Synonym","Bromus erectus"
"Bromopsis erecta",NA,"FR_VIN_SAVM","Bromopsis erecta","Bromus erectus","Accepted","Synonym","Bromus erectus"
"Bryophyta",NA,"FR_VIN_SAVM","Bryophyta",NA,"NOT FOUND","NOT FOUND",NA
"Centranthus calcitrapae",NA,"FR_VIN_HERAULT","Centranthus calcitrapae","Valeriana calcitrapae","Accepted","Synonym","Valeriana calcitrapae"
"Centranthus calcitrapae",NA,"FR_ALL_LANGUEDOC","Centranthus calcitrapae","Valeriana calcitrapae","Accepted","Synonym","Valeriana calcitrapae"
"Centranthus calcitrapae",NA,"FR_VIN_SAVM","Centranthus calcitrapae","Valeriana calcitrapae","Accepted","Synonym","Valeriana calcitrapae"
"Centranthus ruber",NA,"FR_VIN_SAVM","Centranthus ruber","Valeriana rubra","Accepted","Synonym","Valeriana rubra"
