"original_taxa","original_ID","database_ID","simplified_taxa","accepted_taxa","in_WFO","match","accepted_wfo"
"Symphyotrichum squamatum",NA,"FR_OLI_GENTY","Symphyotrichum squamatum","Aster squamatus","Accepted","Synonym","Aster squamatus"
"Trigonella wojciechowskii",NA,"FR_OLI_GENTY","Trigonella wojciechowskii","Melilotus neapolitanus","Accepted","Synonym","Melilotus neapolitanus"
"Valerianella locusta",NA,"FR_OLI_GENTY","Valerianella locusta","Valeriana locusta","Accepted","Synonym","Valeriana locusta"
"Viola kaitaibeliana",NA,"FR_OLI_GENTY","Viola kaitaibeliana","Viola kitaibeliana","Accepted","Fuzzy","Viola kitaibeliana"
"Vulpia ciliata",NA,"FR_OLI_GENTY","Vulpia ciliata","Festuca ambigua","Accepted","Synonym","Festuca ambigua"
"Anisantha sterilis",NA,"FR_VINE_BDX","Anisantha sterilis","Bromus sterilis","Accepted","Synonym","Bromus sterilis"
"Bryophyta",NA,"FR_VINE_BDX","Bryophyta",NA,"NOT FOUND","NOT FOUND",NA
"Cerastium vulgare",NA,"FR_VINE_BDX","Cerastium vulgare","Cerastium fontanum vulgare","Accepted","Synonym","Cerastium fontanum subsp. vulgare"
"Elytrigia repens",NA,"FR_VINE_BDX","Elytrigia repens","Elymus repens","Accepted","Synonym","Elymus repens"
"Filago vulgaris",NA,"FR_VINE_BDX","Filago vulgaris","Filago germanica","Accepted","Synonym","Filago germanica"
"Gnaphalium antillanum",NA,"FR_VINE_BDX","Gnaphalium antillanum","Gamochaeta antillana","Accepted","Synonym","Gamochaeta antillana"
"Linum usitatissimum subsp angustifolium",NA,"FR_VINE_BDX","Linum usitatissimum angustifolium","Linum bienne","Accepted","Synonym","Linum bienne"
"Matricaria perforata",NA,"FR_VINE_BDX","Matricaria perforata","Tripleurospermum inodorum","Accepted","Synonym","Tripleurospermum inodorum"
"Oxalis fontana",NA,"FR_VINE_BDX","Oxalis fontana","Oxalis stricta","Accepted","Synonym","Oxalis stricta"
"Paspalum dilatum",NA,"FR_VINE_BDX","Paspalum dilatum","Paspalum dilatatum","Accepted","Fuzzy","Paspalum dilatatum"
"Picris echioides",NA,"FR_VINE_BDX","Picris echioides","Helminthotheca echioides","Accepted","Synonym","Helminthotheca echioides"
"Pisum sativum",NA,"FR_VINE_BDX","Pisum sativum","Lathyrus oleraceus","Accepted","Synonym","Lathyrus oleraceus"
"Poterium sanguisorba",NA,"FR_VINE_BDX","Poterium sanguisorba","Sanguisorba minor","Accepted","Synonym","Sanguisorba minor"
"Schedonorus arundinaceus",NA,"FR_VINE_BDX","Schedonorus arundinaceus","Lolium arundinaceum","Accepted","Synonym","Lolium arundinaceum"
"Setaria italica subsp viridis",NA,"FR_VINE_BDX","Setaria italica viridis","Setaria viridis","Accepted","Synonym","Setaria viridis"
"Silena gallica",NA,"FR_VINE_BDX","Silena gallica","Silene gallica","Accepted","Fuzzy","Silene gallica"
"Sinapis arvensis",NA,"FR_VINE_BDX","Sinapis arvensis","Mutarda arvensis","Accepted","Synonym","Mutarda arvensis"
"Sporobulus",NA,"FR_VINE_BDX","Sporobulus","Sporobolus","Accepted","Fuzzy","Sporobolus"
"Thlaspi alliaceum",NA,"FR_VINE_BDX","Thlaspi alliaceum","Mummenhoffia alliacea","Accepted","Synonym","Mummenhoffia alliacea"
"Trifolium campestris",NA,"FR_VINE_BDX","Trifolium campestris","Trifolium campestre","Accepted","Fuzzy","Trifolium campestre"
"Urtica dioïca",NA,"FR_VINE_BDX","Urtica dioïca","Urtica dioica","Accepted","Fuzzy","Urtica dioica"
"Valerianella locusta",NA,"FR_VINE_BDX","Valerianella locusta","Valeriana locusta","Accepted","Synonym","Valeriana locusta"
"Vicia fabia sp.",NA,"FR_VINE_BDX","Vicia fabia","Vicia faba","Accepted","Fuzzy","Vicia faba"
"Vulpia myuros",NA,"FR_VINE_BDX","Vulpia myuros","Festuca myuros","Accepted","Synonym","Festuca myuros"
"Elytrigia repens","AGRRE","FR_VINE_CA33","Elytrigia repens","Elymus repens","Accepted","Synonym","Elymus repens"
"Anisantha sterilis","BROST","FR_VINE_CA33","Anisantha sterilis","Bromus sterilis","Accepted","Synonym","Bromus sterilis"
"Cerastium vulgare","CERFO","FR_VINE_CA33","Cerastium vulgare","Cerastium fontanum vulgare","Accepted","Synonym","Cerastium fontanum subsp. vulgare"
"Coronopus didymus","COPDI","FR_VINE_CA33","Coronopus didymus","Lepidium didymum","Accepted","Synonym","Lepidium didymum"
"Cruciata laevipes opiz","ERXCA","FR_VINE_CA33","Cruciata laevipes opiz","Cruciata laevipes","Accepted","Synonym","Cruciata laevipes"
"Schedonorus arundinaceus","FESAR","FR_VINE_CA33","Schedonorus arundinaceus","Lolium arundinaceum","Accepted","Synonym","Lolium arundinaceum"
"Festuca pratensis","FESPR","FR_VINE_CA33","Festuca pratensis","Lolium pratense","Accepted","Synonym","Lolium pratense"
"Gagea arvensis","GGAAR","FR_VINE_CA33","Gagea arvensis","Gagea minima","Accepted","Synonym","Gagea minima"
"Gnaphalium antillanum","GNAAN","FR_VINE_CA33","Gnaphalium antillanum","Gamochaeta antillana","Accepted","Synonym","Gamochaeta antillana"
"Hypochoeris radicata","HRYRA","FR_VINE_CA33","Hypochoeris radicata","Hypochaeris radicata","Accepted","Fuzzy","Hypochaeris radicata"
"Matricaria perforata","MATIN","FR_VINE_CA33","Matricaria perforata","Tripleurospermum inodorum","Accepted","Synonym","Tripleurospermum inodorum"
"Bryophyta","MMMMM","FR_VINE_CA33","Bryophyta",NA,"NOT FOUND","NOT FOUND",NA
"Oxalis fontana","OXAEU","FR_VINE_CA33","Oxalis fontana","Oxalis stricta","Accepted","Synonym","Oxalis stricta"
"Picris echioides","PICEC","FR_VINE_CA33","Picris echioides","Helminthotheca echioides","Accepted","Synonym","Helminthotheca echioides"
"Poterium sanguisorba","SANMI","FR_VINE_CA33","Poterium sanguisorba","Sanguisorba minor","Accepted","Synonym","Sanguisorba minor"
"Setaria italica subsp viridis","SETVI","FR_VINE_CA33","Setaria italica viridis","Setaria viridis","Accepted","Synonym","Setaria viridis"
"Silena gallica","SILGA","FR_VINE_CA33","Silena gallica","Silene gallica","Accepted","Fuzzy","Silene gallica"
"Sporobulus","SPZSS","FR_VINE_CA33","Sporobulus","Sporobolus","Accepted","Fuzzy","Sporobolus"
"Trifolium campestris","TRFCA","FR_VINE_CA33","Trifolium campestris","Trifolium campestre","Accepted","Fuzzy","Trifolium campestre"
"Urtica dioïca","URTDI","FR_VINE_CA33","Urtica dioïca","Urtica dioica","Accepted","Fuzzy","Urtica dioica"
"Valerianella locusta","VLLLO","FR_VINE_CA33","Valerianella locusta","Valeriana locusta","Accepted","Synonym","Valeriana locusta"
"Vulpia myuros","VLPMY","FR_VINE_CA33","Vulpia myuros","Festuca myuros","Accepted","Synonym","Festuca myuros"
"Conyza canadensis",NA,"DE_VIN_SECBIVIT","Conyza canadensis","Erigeron canadensis","Accepted","Synonym","Erigeron canadensis"
"Cyanus segetum",NA,"DE_VIN_SECBIVIT","Cyanus segetum","Centaurea cyanus","Accepted","Synonym","Centaurea cyanus"
"Sinapis arvensis",NA,"DE_VIN_SECBIVIT","Sinapis arvensis","Mutarda arvensis","Accepted","Synonym","Mutarda arvensis"
"Valerianella carinata",NA,"DE_VIN_SECBIVIT","Valerianella carinata","Valeriana carinata","Accepted","Synonym","Valeriana carinata"
"Pisum sativum",NA,"DE_VIN_SECBIVIT","Pisum sativum","Lathyrus oleraceus","Accepted","Synonym","Lathyrus oleraceus"
"Vicia angustifolia",NA,"DE_VIN_SECBIVIT","Vicia angustifolia","Vicia sativa nigra","Accepted","Synonym","Vicia sativa nigra"
"Festuca arundinacea",NA,"DE_VIN_SECBIVIT","Festuca arundinacea","Lolium arundinaceum","Accepted","Synonym","Lolium arundinaceum"
"Ficaria verna",NA,"DE_VIN_SECBIVIT","Ficaria verna","Ranunculus ficaria","Accepted","Synonym","Ranunculus ficaria"
"Anagallis arvensis",NA,"RO_VIN_SECBIVIT","Anagallis arvensis","Lysimachia arvensis","Accepted","Synonym","Lysimachia arvensis"
"Bromus squarossus",NA,"RO_VIN_SECBIVIT","Bromus squarossus","Bromus squarrosus","Accepted","Fuzzy","Bromus squarrosus"
"Cardaria draba",NA,"RO_VIN_SECBIVIT","Cardaria draba","Lepidium draba","Accepted","Synonym","Lepidium draba"
"Cerastium holosteoides",NA,"RO_VIN_SECBIVIT","Cerastium holosteoides","Cerastium fontanum vulgare","Accepted","Synonym","Cerastium fontanum subsp. vulgare"
"Cirsium erisitales",NA,"RO_VIN_SECBIVIT","Cirsium erisitales","Cirsium erisithales","Accepted","Fuzzy","Cirsium erisithales"
"Consolida regalis",NA,"RO_VIN_SECBIVIT","Consolida regalis","Delphinium consolida","Accepted","Synonym","Delphinium consolida"
"Crategus monogyna",NA,"RO_VIN_SECBIVIT","Crategus monogyna","Crataegus monogyna","Accepted","Fuzzy","Crataegus monogyna"
"Crepis bienis",NA,"RO_VIN_SECBIVIT","Crepis bienis","Crepis biennis","Accepted","Fuzzy","Crepis biennis"
"Cynoglosum officinale",NA,"RO_VIN_SECBIVIT","Cynoglosum officinale","Cynoglossum officinale","Accepted","Fuzzy","Cynoglossum officinale"
"Doricnium pethapillum",NA,"RO_VIN_SECBIVIT","Doricnium pethapillum","Lotus dorycnium","Accepted","Fuzzy","Lotus dorycnium"
"Elymus elongatus",NA,"RO_VIN_SECBIVIT","Elymus elongatus","Thinopyrum elongatum","Accepted","Synonym","Thinopyrum elongatum"
"Festuca pratensis",NA,"RO_VIN_SECBIVIT","Festuca pratensis","Lolium pratense","Accepted","Synonym","Lolium pratense"
"Geranium pheum",NA,"RO_VIN_SECBIVIT","Geranium pheum","Geranium phaeum","Accepted","Fuzzy","Geranium phaeum"
"Hieracium aurantiacum",NA,"RO_VIN_SECBIVIT","Hieracium aurantiacum","Pilosella aurantiaca","Accepted","Synonym","Pilosella aurantiaca"
"Hieracium pilosella",NA,"RO_VIN_SECBIVIT","Hieracium pilosella","Pilosella officinarum","Accepted","Synonym","Pilosella officinarum"
"Juncus effusum",NA,"RO_VIN_SECBIVIT","Juncus effusum","Juncus effusus","Accepted","Fuzzy","Juncus effusus"
"Leontodon autumnalis",NA,"RO_VIN_SECBIVIT","Leontodon autumnalis","Scorzoneroides autumnalis","Accepted","Synonym","Scorzoneroides autumnalis"
"Portulaca oleraceae",NA,"RO_VIN_SECBIVIT","Portulaca oleraceae","Portulaca oleracea","Accepted","Fuzzy","Portulaca oleracea"
"Prunella alba",NA,"RO_VIN_SECBIVIT","Prunella alba","Prunella laciniata","Accepted","Synonym","Prunella laciniata"
"Scirpus silvaticus",NA,"RO_VIN_SECBIVIT","Scirpus silvaticus","Scirpus sylvaticus","Accepted","Fuzzy","Scirpus sylvaticus"
"Senecio jacobea",NA,"RO_VIN_SECBIVIT","Senecio jacobea","Jacobaea vulgaris","Accepted","Synonym","Jacobaea vulgaris"
"Setaria glauca",NA,"RO_VIN_SECBIVIT","Setaria glauca","Cenchrus americanus","Accepted","Synonym","Cenchrus americanus"
"Stellaria holostea",NA,"RO_VIN_SECBIVIT","Stellaria holostea","Rabelera holostea","Accepted","Synonym","Rabelera holostea"
"Thlapsi arvense",NA,"RO_VIN_SECBIVIT","Thlapsi arvense","Thlaspi arvense","Accepted","Fuzzy","Thlaspi arvense"
"Achillea odorata","12","EU_HMETCALF","Achillea odorata","Verbesina montevidensis","Accepted","Synonym","Verbesina montevidensis"
"Anacyclus radiatus","75","EU_HMETCALF","Anacyclus radiatus","Porophyllum ruderale macrocephalum","Accepted","Synonym","Porophyllum ruderale subsp. macrocephalum"
"Anagallis","76","EU_HMETCALF","Anagallis","Lysimachia","Accepted","Synonym","Lysimachia"
"Anagallis arvensis","78","EU_HMETCALF","Anagallis arvensis","Lysimachia arvensis","Accepted","Synonym","Lysimachia arvensis"
"Anagallis arvensis subsp. foemina","79","EU_HMETCALF","Anagallis arvensis foemina","Lysimachia foemina","Accepted","Synonym","Lysimachia foemina"
"Andryala laxiflora","88","EU_HMETCALF","Andryala laxiflora","Andryala rothia","Accepted","Synonym","Andryala rothia"
"Potentilla anserina","121","EU_HMETCALF","Potentilla anserina","Argentina anserina","Accepted","Synonym","Argentina anserina"
"Asperula aristata","137","EU_HMETCALF","Asperula aristata","Cynanchica aristata","Accepted","Synonym","Cynanchica aristata"
"Brassica nigra","186","EU_HMETCALF","Brassica nigra","Mutarda nigra","Accepted","Synonym","Mutarda nigra"
"Cenchrus incertus","240","EU_HMETCALF","Cenchrus incertus","Cenchrus spinifex","Accepted","Synonym","Cenchrus spinifex"
"Pennisetum glaucum","241","EU_HMETCALF","Pennisetum glaucum","Cenchrus americanus","Accepted","Synonym","Cenchrus americanus"
"Centranthus calcitrapa","257","EU_HMETCALF","Centranthus calcitrapa","Valeriana calcitrapae","Accepted","Synonym","Valeriana calcitrapae"
"Cereal","268","EU_HMETCALF","Cereal",NA,"NOT FOUND","NOT FOUND",NA
"Consolida orientalis","303","EU_HMETCALF","Consolida orientalis","Delphinium ajacis","Accepted","Synonym","Delphinium ajacis"
"Consolida pubescens","304","EU_HMETCALF","Consolida pubescens","Delphinium pubescens","Accepted","Synonym","Delphinium pubescens"
"Consolida regalis","305","EU_HMETCALF","Consolida regalis","Delphinium consolida","Accepted","Synonym","Delphinium consolida"
"Coronopus","316","EU_HMETCALF","Coronopus",NA,"NOT FOUND","NOT FOUND",NA
"Cyanus depressus","347","EU_HMETCALF","Cyanus depressus","Centaurea depressa","Accepted","Synonym","Centaurea depressa"
"Cyanus segetum","348","EU_HMETCALF","Cyanus segetum","Centaurea cyanus","Accepted","Synonym","Centaurea cyanus"
"Erophila verna","384","EU_HMETCALF","Erophila verna","Draba verna","Accepted","Synonym","Draba verna"
"Elymus hispidus","396","EU_HMETCALF","Elymus hispidus","Thinopyrum intermedium intermedium","Accepted","Synonym","Thinopyrum intermedium subsp. intermedium"
"Euphorbia esula subsp. tommasiniana","439","EU_HMETCALF","Euphorbia esula tommasiniana","Euphorbia tommasiniana","Accepted","Synonym","Euphorbia tommasiniana"
"Ficaria verna","464","EU_HMETCALF","Ficaria verna","Ranunculus ficaria","Accepted","Synonym","Ranunculus ficaria"
"Gypsophila muralis","533","EU_HMETCALF","Gypsophila muralis","Psammophiliella muralis","Accepted","Synonym","Psammophiliella muralis"
"Helianthus petiolaris var. canescens","540","EU_HMETCALF","Helianthus petiolaris canescens","Helianthus niveus canescens","Accepted","Synonym","Helianthus niveus subsp. canescens"
"Sedum telephium","567","EU_HMETCALF","Sedum telephium","Hylotelephium telephium","Accepted","Synonym","Hylotelephium telephium"
"Knautia integrifola","599","EU_HMETCALF","Knautia integrifola","Knautia integrifolia","Accepted","Fuzzy","Knautia integrifolia"
"Lamium purpureum var. hybridum","613","EU_HMETCALF","Lamium purpureum hybridum","Lamium hybridum","Accepted","Synonym","Lamium hybridum"
"Lens culinaris","633","EU_HMETCALF","Lens culinaris","Vicia lens","Accepted","Synonym","Vicia lens"
"Leopoldia comosa","637","EU_HMETCALF","Leopoldia comosa","Muscari comosum","Accepted","Synonym","Muscari comosum"
"Chenopodium polyspermum","660","EU_HMETCALF","Chenopodium polyspermum","Lipandra polysperma","Accepted","Synonym","Lipandra polysperma"
"Lycopersicon esculentum","676","EU_HMETCALF","Lycopersicon esculentum","Solanum lycopersicum","Accepted","Synonym","Solanum lycopersicum"
"Medicago intertexta subsp. ciliaris","705","EU_HMETCALF","Medicago intertexta ciliaris","Medicago ciliaris","Accepted","Synonym","Medicago ciliaris"
"Medicago sativa subsp. varia","717","EU_HMETCALF","Medicago sativa varia","Medicago x varia","Accepted","Synonym","Medicago × varia"
"Mimulus moschatus","737","EU_HMETCALF","Mimulus moschatus","Erythranthe moschata","Accepted","Synonym","Erythranthe moschata"
"Minuartia hybrida","739","EU_HMETCALF","Minuartia hybrida","Sabulina tenuifolia hybrida","Accepted","Synonym","Sabulina tenuifolia subsp. hybrida"
"Moribund dicot","742","EU_HMETCALF","Moribund dicot",NA,"NOT FOUND","NOT FOUND",NA
"Moribund grass","743","EU_HMETCALF","Moribund grass",NA,"NOT FOUND","NOT FOUND",NA
"Myosurus minimus","752","EU_HMETCALF","Myosurus minimus","Ranunculus minimus","Accepted","Synonym","Ranunculus minimus"
"Neslia paniculata subsp. thracica","755","EU_HMETCALF","Neslia paniculata thracica","Neslia apiculata","Accepted","Synonym","Neslia apiculata"
"Thlaspi perfoliatum","760","EU_HMETCALF","Thlaspi perfoliatum","Microthlaspi perfoliatum","Accepted","Synonym","Microthlaspi perfoliatum"
"Odontites verna","765","EU_HMETCALF","Odontites verna","Odontites vernus","Accepted","Fuzzy","Odontites vernus"
"Odontites vernus subsp. salinus","766","EU_HMETCALF","Odontites vernus salinus","Odontites vulgaris vulgaris","Accepted","Synonym","Odontites vulgaris subsp. vulgaris"
"Ononis repens","775","EU_HMETCALF","Ononis repens","Ononis spinosa procurrens","Accepted","Synonym","Ononis spinosa subsp. procurrens"
"Orlaya kochii","781","EU_HMETCALF","Orlaya kochii","Orlaya daucoides","Accepted","Synonym","Orlaya daucoides"
"Chenopodium glaucum","800","EU_HMETCALF","Chenopodium glaucum","Oxybasis glauca","Accepted","Synonym","Oxybasis glauca"
"Chenopodium urbicum","801","EU_HMETCALF","Chenopodium urbicum","Oxybasis urbica","Accepted","Synonym","Oxybasis urbica"
"Papaver apulum","811","EU_HMETCALF","Papaver apulum","Roemeria apula","Accepted","Synonym","Roemeria apula"
"Papaver argemone","812","EU_HMETCALF","Papaver argemone","Roemeria argemone","Accepted","Synonym","Roemeria argemone"
"Papaver hybridum","814","EU_HMETCALF","Papaver hybridum","Roemeria hispida","Accepted","Synonym","Roemeria hispida"
"Parthenocissus inserta","819","EU_HMETCALF","Parthenocissus inserta","Parthenocissus quinquefolia","Accepted","Synonym","Parthenocissus quinquefolia"
"Petroselinum segetum","833","EU_HMETCALF","Petroselinum segetum","Sison segetum","Accepted","Synonym","Sison segetum"
"Pisum","857","EU_HMETCALF","Pisum","Lathyrus","Accepted","Synonym","Lathyrus"
"Pisum sativum","858","EU_HMETCALF","Pisum sativum","Lathyrus oleraceus","Accepted","Synonym","Lathyrus oleraceus"
"Plantago uliginosa","869","EU_HMETCALF","Plantago uliginosa","Plantago gentianoides","Accepted","Synonym","Plantago gentianoides"
"Plantago barbata subsp. monanthos","872","EU_HMETCALF","Plantago barbata monanthos","Plantago monanthos","Accepted","Synonym","Plantago monanthos"
"Podospermum","882","EU_HMETCALF","Podospermum","Scorzonera sect podospermum","Accepted","Synonym","Scorzonera sect. Podospermum"
"Podospermum laciniatum","883","EU_HMETCALF","Podospermum laciniatum","Scorzonera laciniata","Accepted","Synonym","Scorzonera laciniata"
"Festuca arundinacea","985","EU_HMETCALF","Festuca arundinacea","Lolium arundinaceum","Accepted","Synonym","Lolium arundinaceum"
"Festuca pratensis","986","EU_HMETCALF","Festuca pratensis","Lolium pratense","Accepted","Synonym","Lolium pratense"
"Securigera varia","1000","EU_HMETCALF","Securigera varia","Coronilla varia","Accepted","Synonym","Coronilla varia"
"Sedum maximum","1003","EU_HMETCALF","Sedum maximum","Hylotelephium maximum","Accepted","Synonym","Hylotelephium maximum"
"Pennisetum glaucum","1013","EU_HMETCALF","Pennisetum glaucum","Cenchrus americanus","Accepted","Synonym","Cenchrus americanus"
"Sinapis arvensis","1045","EU_HMETCALF","Sinapis arvensis","Mutarda arvensis","Accepted","Synonym","Mutarda arvensis"
"Stellaria holostea","1083","EU_HMETCALF","Stellaria holostea","Rabelera holostea","Accepted","Synonym","Rabelera holostea"
"Stipa capensis","1085","EU_HMETCALF","Stipa capensis","Stipellula capensis","Accepted","Synonym","Stipellula capensis"
"Malcolmia africana","1086","EU_HMETCALF","Malcolmia africana","Strigosella africana","Accepted","Synonym","Strigosella africana"
"Dysphania aristata","1095","EU_HMETCALF","Dysphania aristata","Teloxys aristata","Accepted","Synonym","Teloxys aristata"
"Triticum spelta","1167","EU_HMETCALF","Triticum spelta","Triticum aestivum spelta","Accepted","Synonym","Triticum aestivum subsp. spelta"
"Triticum durum","1168","EU_HMETCALF","Triticum durum","Triticum turgidum durum","Accepted","Synonym","Triticum turgidum subsp. durum"
"Acalypha ostryifolia","1172","EU_HMETCALF","Acalypha ostryifolia","Acalypha persimilis","Accepted","Synonym","Acalypha persimilis"
"Unknown","1173","EU_HMETCALF","Unknown",NA,"NOT FOUND","NOT FOUND",NA
"Rorippa armoracioides","1174","EU_HMETCALF","Rorippa armoracioides","Rorippa x armoracioides","Accepted","Fuzzy","Rorippa x armoracioides"
"Hymenocarpos circinnata subsp. nummularius","1175","EU_HMETCALF","Hymenocarpos circinnata nummularius","Anthyllis circinnata","Accepted","Synonym","Anthyllis circinnata"
"Onopordon","1176","EU_HMETCALF","Onopordon","Onopordum","Accepted","Fuzzy","Onopordum"
"Populus canescens","1179","EU_HMETCALF","Populus canescens","Populus x canescens","Accepted","Fuzzy","Populus x canescens"
"Unknown dicot","1180","EU_HMETCALF","Unknown dicot",NA,"NOT FOUND","NOT FOUND",NA
"unknown monocot","1181","EU_HMETCALF","Unknown monocot",NA,"NOT FOUND","NOT FOUND",NA
"Vaccaria hispanica","1186","EU_HMETCALF","Vaccaria hispanica","Gypsophila vaccaria","Accepted","Synonym","Gypsophila vaccaria"
"Valeriana sambucifolia","1187","EU_HMETCALF","Valeriana sambucifolia","Valeriana excelsa sambucifolia","Accepted","Synonym","Valeriana excelsa subsp. sambucifolia"
"Valerianella pumila","1189","EU_HMETCALF","Valerianella pumila","Valeriana pumila","Accepted","Synonym","Valeriana pumila"
"Valerianella dentata","1190","EU_HMETCALF","Valerianella dentata","Valeriana dentata","Accepted","Synonym","Valeriana dentata"
"Valerianella discoidea","1191","EU_HMETCALF","Valerianella discoidea","Valeriana discoidea","Accepted","Synonym","Valeriana discoidea"
"Valerianella eriocarpa","1193","EU_HMETCALF","Valerianella eriocarpa","Valeriana eriocarpa","Accepted","Synonym","Valeriana eriocarpa"
"Valerianella locusta","1194","EU_HMETCALF","Valerianella locusta","Valeriana locusta","Accepted","Synonym","Valeriana locusta"
"Valerianella discoidea","1195","EU_HMETCALF","Valerianella discoidea","Valeriana discoidea","Accepted","Synonym","Valeriana discoidea"
"Valerianella rimosa","1196","EU_HMETCALF","Valerianella rimosa","Valeriana rimosa","Accepted","Synonym","Valeriana rimosa"
"Vulpia","1248","EU_HMETCALF","Vulpia","Festuca","Accepted","Synonym","Festuca"
"Vulpia ciliata","1249","EU_HMETCALF","Vulpia ciliata","Festuca ambigua","Accepted","Synonym","Festuca ambigua"
"Vulpia geniculata","1250","EU_HMETCALF","Vulpia geniculata","Festuca geniculata","Accepted","Synonym","Festuca geniculata"
"Vulpia ligustica","1251","EU_HMETCALF","Vulpia ligustica","Festuca ligustica","Accepted","Synonym","Festuca ligustica"
"Vulpia myuros","1252","EU_HMETCALF","Vulpia myuros","Festuca myuros","Accepted","Synonym","Festuca myuros"
"Vulpia unilateralis","1253","EU_HMETCALF","Vulpia unilateralis","Festuca maritima","Accepted","Synonym","Festuca maritima"
"Anagallis arvensis","77","EU_HMETCALF","Anagallis arvensis","Lysimachia arvensis","Accepted","Synonym","Lysimachia arvensis"
"Anagallis foemina","79","EU_HMETCALF","Anagallis foemina","Lysimachia foemina","Accepted","Synonym","Lysimachia foemina"
"Anisantha diandra","92","EU_HMETCALF","Anisantha diandra","Bromus diandrus","Accepted","Synonym","Bromus diandrus"
"Anisantha madritensis","93","EU_HMETCALF","Anisantha madritensis","Bromus madritensis","Accepted","Synonym","Bromus madritensis"
"Anisantha madritensis","94","EU_HMETCALF","Anisantha madritensis","Bromus madritensis","Accepted","Synonym","Bromus madritensis"
"Anisantha madritensis","95","EU_HMETCALF","Anisantha madritensis","Bromus madritensis","Accepted","Synonym","Bromus madritensis"
"Anisantha rigida","96","EU_HMETCALF","Anisantha rigida","Bromus rigidus","Accepted","Synonym","Bromus rigidus"
"Anisantha rubens","97","EU_HMETCALF","Anisantha rubens","Bromus rubens","Accepted","Synonym","Bromus rubens"
"Anisantha sterilis","98","EU_HMETCALF","Anisantha sterilis","Bromus sterilis","Accepted","Synonym","Bromus sterilis"
"Anisantha tectorum","99","EU_HMETCALF","Anisantha tectorum","Bromus tectorum","Accepted","Synonym","Bromus tectorum"
"Atriplex hastata","146","EU_HMETCALF","Atriplex hastata","Atriplex prostrata calotheca","Accepted","Synonym","Atriplex prostrata subsp. calotheca"
"Bidens bipinnatus","173","EU_HMETCALF","Bidens bipinnatus","Bidens bipinnata","Accepted","Fuzzy","Bidens bipinnata"
"Bidens tripartitus","174","EU_HMETCALF","Bidens tripartitus","Bidens tripartita","Accepted","Fuzzy","Bidens tripartita"
"Bistorta officinalis","178","EU_HMETCALF","Bistorta officinalis","Persicaria bistorta","Accepted","Synonym","Persicaria bistorta"
"Bromopsis inermis","191","EU_HMETCALF","Bromopsis inermis","Bromus inermis","Accepted","Synonym","Bromus inermis"
"Cenchrus spicatus","241","EU_HMETCALF","Cenchrus spicatus","Cenchrus americanus","Accepted","Synonym","Cenchrus americanus"
"Centranthus calcitrapae","257","EU_HMETCALF","Centranthus calcitrapae","Valeriana calcitrapae","Accepted","Synonym","Valeriana calcitrapae"
"Ceratochloa cathartica","267","EU_HMETCALF","Ceratochloa cathartica","Bromus catharticus","Accepted","Synonym","Bromus catharticus"
"Crambe abyssinica","323","EU_HMETCALF","Crambe abyssinica","Crambe hispanica abyssinica","Accepted","Synonym","Crambe hispanica subsp. abyssinica"
"Echinochloa colonum","388","EU_HMETCALF","Echinochloa colonum","Echinochloa colona","Accepted","Fuzzy","Echinochloa colona"
"Elytrigia campestris","395","EU_HMETCALF","Elytrigia campestris","Elymus pungens campestris","Accepted","Synonym","Elymus pungens subsp. campestris"
"Elytrigia repens","397","EU_HMETCALF","Elytrigia repens","Elymus repens","Accepted","Synonym","Elymus repens"
"Hypericum linarifolium","575","EU_HMETCALF","Hypericum linarifolium","Hypericum linariifolium","Accepted","Fuzzy","Hypericum linariifolium"
"Lycopsis arvensis","677","EU_HMETCALF","Lycopsis arvensis","Anchusa arvensis","Accepted","Synonym","Anchusa arvensis"
"Medicago sativa nothosubsp. varia","717","EU_HMETCALF","Medicago sativa nothosubsp varia","Medicago sativa","Accepted","Synonym","Medicago sativa"
"Microrrhinum minus","736","EU_HMETCALF","Microrrhinum minus","Chaenorhinum minus","Accepted","Synonym","Chaenorhinum minus"
"Myosoton aquaticum","751","EU_HMETCALF","Myosoton aquaticum","Stellaria aquatica","Accepted","Synonym","Stellaria aquatica"
"Noccaea perfoliata","760","EU_HMETCALF","Noccaea perfoliata","Microthlaspi perfoliatum","Accepted","Synonym","Microthlaspi perfoliatum"
"Ochlopoa annua","763","EU_HMETCALF","Ochlopoa annua","Poa annua","Accepted","Synonym","Poa annua"
"Oxalis fontana","797","EU_HMETCALF","Oxalis fontana","Oxalis stricta","Accepted","Synonym","Oxalis stricta"
"Panicum miliaceum subsp. miliaceum","807","EU_HMETCALF","Panicum miliaceum miliaceum","Panicum miliaceum","Accepted","Synonym","Panicum miliaceum"
"Panicum miliaceum subsp. ruderale","808","EU_HMETCALF","Panicum miliaceum ruderale","Panicum miliaceum","Accepted","Synonym","Panicum miliaceum"
"Panicum miliaceum subsp. ruderale","809","EU_HMETCALF","Panicum miliaceum ruderale","Panicum miliaceum","Accepted","Synonym","Panicum miliaceum"
"Phalaroides arundinacea","841","EU_HMETCALF","Phalaroides arundinacea","Phalaris arundinacea","Accepted","Synonym","Phalaris arundinacea"
"Phleum ambiguum","842","EU_HMETCALF","Phleum ambiguum","Phleum hirsutum","Accepted","Synonym","Phleum hirsutum"
