"accepted_taxa","full_name","wfo_rank"
"Anthriscus","Anthriscus Pers.","genus"
"Anthriscus caucalis","Anthriscus caucalis M.Bieb.","species"
"Anthriscus cerefolium","Anthriscus cerefolium Hoffm.","species"
"Anthriscus sylvestris","Anthriscus sylvestris (L.) Hoffm.","species"
"Anthyllis circinnata","Anthyllis circinnata (L.) D.D.Sokoloff","species"
"Anthyllis vulneraria","Anthyllis vulneraria L.","species"
"Antirrhinum majus","Antirrhinum majus L.","species"
"Apera interrupta","Apera interrupta (L.) P.Beauv.","species"
"Apera spica-venti","Apera spica-venti (L.) P.Beauv.","species"
"Aphyllanthes","Aphyllanthes L.","genus"
"Aphyllanthes monspeliensis","Aphyllanthes monspeliensis L.","species"
"Apiaceae","Apiaceae Lindl.","family"
"Apium","Apium L.","genus"
"Apium graveolens","Apium graveolens L.","species"
"Aquilegia","Aquilegia L.","genus"
"Aquilegia vulgaris","Aquilegia vulgaris L.","species"
"Arabidopsis","Arabidopsis Heynh.","genus"
"Arabidopsis arenosa","Arabidopsis arenosa (L.) Lawalrée","species"
"Arabidopsis arenosa arenosa","Arabidopsis arenosa subsp. arenosa Lawalrée","subspecies"
"Arabidopsis halleri","Arabidopsis halleri (L.) O'Kane & Al-Shehbaz","species"
"Arabidopsis thaliana","Arabidopsis thaliana (L.) Heynh.","species"
"Arabis","Arabis L.","genus"
"Arabis hirsuta","Arabis hirsuta (L.) Scop.","species"
"Arabis sagittata","Arabis sagittata (Bertol.) DC.","species"
"Arctium","Arctium L.","genus"
"Arctium lappa","Arctium lappa L.","species"
"Arctium minus","Arctium minus (Hill) Bernh.","species"
"Arctium tomentosum","Arctium tomentosum Mill.","species"
"Aremonia agrimonoides","Aremonia agrimonoides (L.) DC.","species"
"Arenaria","Arenaria L.","genus"
"Arenaria hispanica","Arenaria hispanica Spreng.","species"
"Arenaria serpyllifolia","Arenaria serpyllifolia L.","species"
"Arenaria serpyllifolia leptoclados","Arenaria serpyllifolia subsp. leptoclados (Rchb.) Nyman","subspecies"
"Argentina anserina","Argentina anserina (L.) Rydb.","species"
"Aria edulis","Aria edulis (Willd.) M.Roem.","species"
"Arisarum simorrhinum","Arisarum simorrhinum Durieu","species"
"Arisarum vulgare","Arisarum vulgare O.Targ.Tozz.","species"
"Aristolochia clematitis","Aristolochia clematitis L.","species"
