"accepted_taxa","full_name","wfo_rank"
"Hibiscus trionum","Hibiscus trionum L.","species"
"Hieracium","Hieracium L.","genus"
"Hieracium amplexicaule","Hieracium amplexicaule L.","species"
"Hieracium cymosum","Hieracium cymosum Vill.","species"
"Hieracium lachenalii","Hieracium lachenalii Suter","species"
"Hieracium laevigatum","Hieracium laevigatum Froel.","species"
"Hieracium murorum","Hieracium murorum C.B.Clarke","species"
"Hieracium sabaudum","Hieracium sabaudum L.","species"
"Hieracium umbellatum","Hieracium umbellatum L.","species"
"Hieracium villosum","Hieracium villosum Jacq.","species"
"Himantoglossum hircinum","Himantoglossum hircinum (L.) Spreng.","species"
"Himantoglossum robertianum","Himantoglossum robertianum (Loisel.) P.Delforge","species"
"Hippocrepis","Hippocrepis L.","genus"
"Hippocrepis biflora","Hippocrepis biflora Spreng.","species"
"Hippocrepis comosa","Hippocrepis comosa L.","species"
"Hippophae rhamnoides","Hippophae rhamnoides L.","species"
"Hirschfeldia incana","Hirschfeldia incana (L.) Lagr.-Foss.","species"
"Holcus","Holcus L.","genus"
"Holcus hybridus","Holcus hybridus Wein","species"
"Holcus lanatus","Holcus lanatus L.","species"
"Holcus mollis","Holcus mollis L.","species"
"Holosteum umbellatum","Holosteum umbellatum L.","species"
"Honorius boucheanus","Honorius boucheanus (Kunth) Holub","species"
"Honorius nutans","Honorius nutans (L.) Gray","species"
"Hordelymus europaeus","Hordelymus europaeus (L.) Jess. ex Harz","species"
"Hordeum","Hordeum L.","genus"
"Hordeum distichon","Hordeum distichon L.","species"
"Hordeum marinum","Hordeum marinum Huds.","species"
"Hordeum murinum","Hordeum murinum L.","species"
"Hordeum secalinum","Hordeum secalinum Schreb.","species"
"Hordeum vulgare","Hordeum vulgare L.","species"
"Hornungia petraea","Hornungia petraea (L.) Rchb.","species"
"Humulus lupulus","Humulus lupulus L.","species"
"Hyacinthoides","Hyacinthoides Heist. ex Fabr.","genus"
"Hyacinthoides non-scripta","Hyacinthoides non-scripta (L.) Chouard ex Rothm.","species"
"Hyacinthus orientalis","Hyacinthus orientalis L.","species"
"Hydrocotyle sibthorpioides","Hydrocotyle sibthorpioides Lam.","species"
"Hylotelephium","Hylotelephium H.Ohba","genus"
"Hylotelephium maximum","Hylotelephium maximum (L.) Holub","species"
"Hylotelephium telephium","Hylotelephium telephium (L.) H.Ohba","species"
"Hylotelephium telephium fabaria","Hylotelephium telephium subsp. fabaria (W.D.J.Koch) H.Ohba","subspecies"
"Hyoscyamus niger","Hyoscyamus niger L.","species"
"Hyoseris radiata","Hyoseris radiata L.","species"
"Hypecoum","Hypecoum Tourn. ex L.","genus"
"Hypecoum imberbe","Hypecoum imberbe Sm.","species"
"Hypecoum pendulum","Hypecoum pendulum L.","species"
"Hypecoum procumbens","Hypecoum procumbens L.","species"
"Hypericum","Hypericum Tourn. ex L.","genus"
"Hypericum androsaemum","Hypericum androsaemum L.","species"
"Hypericum australe","Hypericum australe Ten.","species"
"Hypericum hirsutum","Hypericum hirsutum L.","species"
"Hypericum humifusum","Hypericum humifusum L.","species"
"Hypericum linariifolium","Hypericum linariifolium Vahl","species"
"Hypericum maculatum","Hypericum maculatum Crantz","species"
"Hypericum perfoliatum","Hypericum perfoliatum L.","species"
"Hypericum perforatum","Hypericum perforatum L.","species"
"Hypericum perforatum veronense","Hypericum perforatum subsp. veronense (Schrank) H.Lindb.","subspecies"
"Hypericum tetrapterum","Hypericum tetrapterum Fr.","species"
"Hypericum triquetrifolium","Hypericum triquetrifolium Turra","species"
"Hypochaeris","Hypochaeris L.","genus"
"Hypochaeris achyrophorus","Hypochaeris achyrophorus L.","species"
"Hypochaeris glabra","Hypochaeris glabra L.","species"
"Hypochaeris radicata","Hypochaeris radicata L.","species"
"Hyssopus officinalis","Hyssopus officinalis L.","species"
"Iberis amara","Iberis amara L.","species"
"Iberis pinnata","Iberis pinnata L.","species"
"Iberis sempervirens","Iberis sempervirens L.","species"
"Ilex aquifolium","Ilex aquifolium L.","species"
"Illecebrum verticillatum","Illecebrum verticillatum L.","species"
"Imbribryum subapiculatum","Imbribryum subapiculatum (Hampe) D.Bell & Holyoak","species"
"Impatiens glandulifera","Impatiens glandulifera Royle","species"
"Imperata cylindrica","Imperata cylindrica (L.) Raeusch.","species"
"Inula britannica","Inula britannica L.","species"
"Inula conyza","Inula conyza DC.","species"
"Inula helenium","Inula helenium L.","species"
"Ipomoea purpurea","Ipomoea purpurea (L.) Roth","species"
"Iris foetidissima","Iris foetidissima L.","species"
"Iris pseudacorus","Iris pseudacorus L.","species"
"Isatis tinctoria","Isatis tinctoria L.","species"
"Iva xanthiifolia","Iva xanthiifolia Nutt.","species"
"Jacobaea","Jacobaea Mill.","genus"
"Jacobaea aquatica","Jacobaea aquatica (Hill) G.Gaertn., B.Mey. & Scherb.","species"
"Jacobaea erucifolia","Jacobaea erucifolia (L.) P.Gaertn., B.Mey. & Schreb.","species"
"Jacobaea vulgaris","Jacobaea vulgaris Gaertn.","species"
"Jasione","Jasione L.","genus"
"Jasione maritima","Jasione maritima (Duby) L.M.Dufour ex Merino","species"
"Jasione montana","Jasione montana L.","species"
"Juglans","Juglans L.","genus"
"Juglans nigra","Juglans nigra L.","species"
"Juglans regia","Juglans regia L.","species"
"Juncus","Juncus L.","genus"
"Juncus acutiflorus","Juncus acutiflorus Ehrh. ex Hoffm.","species"
"Juncus articulatus","Juncus articulatus L.","species"
"Juncus bufonius","Juncus bufonius L.","species"
"Juncus capitatus","Juncus capitatus Weigel","species"
"Juncus conglomeratus","Juncus conglomeratus L.","species"
"Juncus effusus","Juncus effusus L.","species"
"Juncus filiformis","Juncus filiformis L.","species"
"Juncus inflexus","Juncus inflexus L.","species"
"Juncus minutulus","Juncus minutulus (Albert & Jahand.) Prain","species"
"Juncus tenuis","Juncus tenuis Willd.","species"
"Juniperus oxycedrus","Juniperus oxycedrus L.","species"
"Kandis perfoliata","Kandis perfoliata (L.) Kerguélen","species"
"Kernera saxatilis","Kernera saxatilis (L.) Sweet","species"
"Kickxia","Kickxia Dumort.","genus"
"Kickxia commutata","Kickxia commutata (Bernh. ex Rchb.) Fritsch","species"
"Kickxia elatine","Kickxia elatine (L.) Dumort.","species"
"Kickxia spuria","Kickxia spuria (L.) Dumort.","species"
"Knautia","Knautia L.","genus"
"Knautia arvensis","Knautia arvensis (L.) Coult.","species"
"Knautia collina","Knautia collina (Gaudin) Jord.","species"
"Knautia integrifolia","Knautia integrifolia (L.) Bertol.","species"
"Koeleria vallesiana","Koeleria vallesiana (Honck.) Gaudin","species"
"Krubera peregrina","Krubera peregrina Lowe","species"
"Lactuca","Lactuca L.","genus"
"Lactuca muralis","Lactuca muralis (L.) Fresen.","species"
"Lactuca perennis","Lactuca perennis L.","species"
"Lactuca saligna","Lactuca saligna L.","species"
"Lactuca sativa","Lactuca sativa L.","species"
"Lactuca serriola","Lactuca serriola L.","species"
"Lactuca viminea","Lactuca viminea (L.) J.Presl & C.Presl","species"
"Lactuca virosa","Lactuca virosa L.","species"
"Lagurus ovatus","Lagurus ovatus L.","species"
"Lamiaceae","Lamiaceae Martinov","family"
"Lamium","Lamium L.","genus"
"Lamium album","Lamium album L.","species"
"Lamium amplexicaule","Lamium amplexicaule L.","species"
"Lamium galeobdolon","Lamium galeobdolon (L.) L.","species"
"Lamium hybridum","Lamium hybridum Vill.","species"
"Lamium maculatum","Lamium maculatum (L.) L.","species"
"Lamium purpureum","Lamium purpureum L.","species"
"Laphangium luteoalbum","Laphangium luteoalbum (L.) Tzvelev","species"
"Lappula squarrosa","Lappula squarrosa (Retz.) Dumort.","species"
"Lapsana","Lapsana L.","genus"
"Lapsana communis","Lapsana communis L.","species"
"Larix decidua","Larix decidua (L.) Mill.","species"
"Lasiospora hirsuta","Lasiospora hirsuta (Gouan) Cass.","species"
"Lathyrus","Lathyrus L.","genus"
"Lathyrus angulatus","Lathyrus angulatus L.","species"
"Lathyrus annuus","Lathyrus annuus L.","species"
"Lathyrus aphaca","Lathyrus aphaca L.","species"
"Lathyrus cicera","Lathyrus cicera Hauman","species"
"Lathyrus clymenum","Lathyrus clymenum L.","species"
"Lathyrus hirsutus","Lathyrus hirsutus L.","species"
"Lathyrus inconspicuus","Lathyrus inconspicuus L.","species"
"Lathyrus latifolius","Lathyrus latifolius L.","species"
"Lathyrus linifolius","Lathyrus linifolius (Reichard) Bässler","species"
"Lathyrus niger","Lathyrus niger (L.) Bernh.","species"
"Lathyrus nissolia","Lathyrus nissolia L.","species"
"Lathyrus ochrus","Lathyrus ochrus (L.) DC.","species"
"Lathyrus odoratus","Lathyrus odoratus L.","species"
"Lathyrus oleraceus","Lathyrus oleraceus Lam.","species"
"Lathyrus palustris","Lathyrus palustris L.","species"
"Lathyrus pratensis","Lathyrus pratensis L.","species"
"Lathyrus sativus","Lathyrus sativus L.","species"
"Lathyrus setifolius","Lathyrus setifolius L.","species"
"Lathyrus sphaericus","Lathyrus sphaericus Retz.","species"
"Lathyrus sylvestris","Lathyrus sylvestris L.","species"
"Lathyrus tuberosus","Lathyrus tuberosus L.","species"
"Laurus nobilis","Laurus nobilis L.","species"
"Lavandula","Lavandula L.","genus"
"Leersia oryzoides","Leersia oryzoides (L.) Sw.","species"
"Legousia","Legousia Durande","genus"
"Legousia falcata","Legousia falcata (Ten.) Fritsch","species"
"Legousia hybrida","Legousia hybrida (L.) Delarbre","species"
"Legousia speculum-veneris","Legousia speculum-veneris (L.) Chaix","species"
"Lemna minor","Lemna minor L.","species"
"Lemna trisulca","Lemna trisulca L.","species"
"Leontodon","Leontodon L.","genus"
"Leontodon hirtus","Leontodon hirtus L.","species"
"Leontodon hispidus","Leontodon hispidus L.","species"
"Leontodon saxatilis","Leontodon saxatilis Lam.","species"
"Lepidium","Lepidium L.","genus"
"Lepidium campestre","Lepidium campestre (L.) W.T.Aiton","species"
"Lepidium coronopus","Lepidium coronopus (L.) Al-Shehbaz","species"
"Lepidium densiflorum","Lepidium densiflorum Schrad.","species"
"Lepidium didymum","Lepidium didymum L.","species"
"Lepidium draba","Lepidium draba L.","species"
"Lepidium graminifolium","Lepidium graminifolium L.","species"
"Lepidium heterophyllum","Lepidium heterophyllum Benth.","species"
"Lepidium latifolium","Lepidium latifolium L.","species"
"Lepidium ruderale","Lepidium ruderale L.","species"
"Leucanthemum","Leucanthemum Mill.","genus"
"Leucanthemum ircutianum","Leucanthemum ircutianum DC.","species"
"Leucanthemum superbum","Leucanthemum superbum (Bergmans ex J.W.Ingram) D.H.Kent","species"
"Leucanthemum vulgare","Leucanthemum vulgare Lam.","species"
"Ligustrum","Ligustrum L.","genus"
"Ligustrum lucidum","Ligustrum lucidum W.T.Aiton","species"
"Ligustrum vulgare","Ligustrum vulgare L.","species"
"Liliaceae","Liliaceae Juss.","family"
"Lilium","Lilium L.","genus"
"Linaria","Linaria Mill.","genus"
"Linaria amethystea","Linaria amethystea (Vent.) Hoffmanns. & Link","species"
"Linaria angustissima","Linaria angustissima (Loisel.) Borbás","species"
"Linaria arvensis","Linaria arvensis (L.) Desf.","species"
"Linaria chalepensis","Linaria chalepensis (L.) Mill.","species"
"Linaria hirta","Linaria hirta (L.) Moench","species"
"Linaria latifolia","Linaria latifolia Desf.","species"
"Linaria micrantha","Linaria micrantha (Cav.) Hoffmanns. & Link","species"
"Linaria pelisseriana","Linaria pelisseriana (L.) Mill.","species"
"Linaria purpurea","Linaria purpurea (L.) Mill.","species"
"Linaria reflexa","Linaria reflexa (L.) Chaz.","species"
"Linaria repens","Linaria repens (L.) Mill.","species"
"Linaria simplex","Linaria simplex Desf.","species"
"Linaria supina","Linaria supina (L.) Chaz.","species"
"Linaria vulgaris","Linaria vulgaris Mill.","species"
"Lindernia dubia","Lindernia dubia (L.) Pennell","species"
"Linum","Linum L.","genus"
"Linum bienne","Linum bienne Mill.","species"
"Linum catharticum","Linum catharticum L.","species"
"Linum leonii","Linum leonii F.W.Schultz","species"
"Linum narbonense","Linum narbonense L.","species"
"Linum perenne","Linum perenne L.","species"
"Linum strictum","Linum strictum L.","species"
"Linum tenuifolium","Linum tenuifolium L.","species"
"Linum usitatissimum","Linum usitatissimum L.","species"
"Lipandra polysperma","Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch","species"
"Lobularia maritima","Lobularia maritima (L.) Desv.","species"
"Logfia gallica","Logfia gallica (L.) Coss. & Germ.","species"
"Lolium","Lolium L.","genus"
"Lolium arundinaceum","Lolium arundinaceum (Schreb.) Darbysh.","species"
"Lolium boucheanum","Lolium boucheanum Kunth","species"
"Lolium giganteum","Lolium giganteum (L.) Darbysh.","species"
"Lolium multiflorum","Lolium multiflorum Lam.","species"
"Lolium perenne","Lolium perenne L.","species"
"Lolium pratense","Lolium pratense (Huds.) Darbysh.","species"
"Lolium remotum","Lolium remotum Schrank","species"
"Lolium rigidum","Lolium rigidum Gaudin","species"
"Lolium temulentum","Lolium temulentum L.","species"
"Loncomelos narbonense","Loncomelos narbonense (L.) Raf.","species"
"Loncomelos pyramidale","Loncomelos pyramidale (L.) Raf.","species"
"Loncomelos pyrenaicum","Loncomelos pyrenaicum (L.) L.D.Hrouda","species"
"Lonicera","Lonicera L.","genus"
"Lonicera japonica","Lonicera japonica Thunb.","species"
"Lonicera periclymenum","Lonicera periclymenum L.","species"
"Lonicera xylosteum","Lonicera xylosteum L.","species"
"Lotus","Lotus L.","genus"
"Lotus angustissimus","Lotus angustissimus L.","species"
"Lotus castellanus","Lotus castellanus Boiss. & Reut.","species"
"Lotus corniculatus","Lotus corniculatus L.","species"
"Lotus dorycnium","Lotus dorycnium L.","species"
"Lotus edulis","Lotus edulis L.","species"
"Lotus hirsutus","Lotus hirsutus L.","species"
"Lotus maritimus","Lotus maritimus L.","species"
"Lotus ornithopodioides","Lotus ornithopodioides L.","species"
"Lotus palustris","Lotus palustris Willd.","species"
"Lotus parviflorus","Lotus parviflorus Desf.","species"
"Lotus pedunculatus","Lotus pedunculatus Cav.","species"
"Lotus rectus","Lotus rectus L.","species"
"Lotus tenuis","Lotus tenuis Waldst. & Kit. ex Willd.","species"
"Lunaria","Lunaria Tourn. ex L.","genus"
"Lunaria annua","Lunaria annua L.","species"
"Lupinus","Lupinus L.","genus"
"Lupinus albus","Lupinus albus L.","species"
"Lupinus angustifolius","Lupinus angustifolius L.","species"
"Lupinus luteus","Lupinus luteus L.","species"
"Luzula","Luzula DC.","genus"
"Luzula campestris","Luzula campestris (L.) DC.","species"
"Luzula multiflora","Luzula multiflora (Ehrh.) Lej.","species"
"Lycopus europaeus","Lycopus europaeus L.","species"
"Lysimachia","Lysimachia L.","genus"
"Lysimachia arvensis","Lysimachia arvensis (L.) U.Manns & Anderb.","species"
"Lysimachia foemina","Lysimachia foemina (Mill.) U.Manns & Anderb.","species"
"Lysimachia loeflingii","Lysimachia loeflingii F.J.Jiménez & M.Talavera","species"
"Lysimachia nummularia","Lysimachia nummularia L.","species"
"Lysimachia punctata","Lysimachia punctata L.","species"
"Lysimachia vulgaris","Lysimachia vulgaris L.","species"
"Lythrum","Lythrum L.","genus"
"Lythrum acutangulum","Lythrum acutangulum Lag.","species"
"Lythrum borysthenicum","Lythrum borysthenicum (Schrank) Litv.","species"
"Lythrum hyssopifolia","Lythrum hyssopifolia L.","species"
"Lythrum salicaria","Lythrum salicaria L.","species"
"Lythrum virgatum","Lythrum virgatum L.","species"
"Malus","Malus Mill.","genus"
"Malus domestica","Malus domestica Baumg.","species"
"Malus sylvestris","Malus sylvestris (L.) Mill.","species"
"Malva","Malva L.","genus"
"Malva alcea","Malva alcea L.","species"
"Malva arborea","Malva arborea (L.) Webb & Berthel.","species"
"Malva cretica","Malva cretica Cav.","species"
"Malva moschata","Malva moschata L.","species"
"Malva multiflora","Malva multiflora (Cav.) Soldano, Banfi & Galasso","species"
"Malva neglecta","Malva neglecta Wallr.","species"
"Malva nicaeensis","Malva nicaeensis All.","species"
"Malva olbia","Malva olbia (L.) Alef.","species"
"Malva parviflora","Malva parviflora L.","species"
"Malva punctata","Malva punctata (All.) Alef.","species"
"Malva pusilla","Malva pusilla Sm.","species"
"Malva setigera","Malva setigera K.F.Schimp. & Spenn.","species"
"Malva sylvestris","Malva sylvestris L.","species"
"Malva thuringiaca","Malva thuringiaca (L.) Vis.","species"
"Mantisalca salmantica","Mantisalca salmantica (L.) Briq. & Cavill.","species"
"Marchantia polymorpha","Marchantia polymorpha L.","species"
"Marcus-kochia littorea","Marcus-kochia littorea (L.) Al-Shehbaz","species"
"Marrubium","Marrubium L.","genus"
"Marrubium vulgare","Marrubium vulgare L.","species"
"Matricaria","Matricaria L.","genus"
"Matricaria chamomilla","Matricaria chamomilla L.","species"
"Matricaria discoidea","Matricaria discoidea DC.","species"
"Matricaria matricarioides","Matricaria matricarioides (Less.) Porter","species"
"Matricaria recutita","Matricaria recutita L.","species"
"Matthiola","Matthiola W.T.Aiton","genus"
"Medicago","Medicago L.","genus"
"Medicago arabica","Medicago arabica (L.) Huds.","species"
"Medicago disciformis","Medicago disciformis DC.","species"
"Medicago doliata","Medicago doliata Carmign.","species"
"Medicago falcata","Medicago falcata L.","species"
"Medicago intertexta","Medicago intertexta (L.) Mill.","species"
"Medicago laciniata","Medicago laciniata (L.) Mill.","species"
"Medicago littoralis","Medicago littoralis Rohde ex Loisel.","species"
"Medicago lupulina","Medicago lupulina L.","species"
"Medicago minima","Medicago minima (L.) Bartal.","species"
"Medicago monspeliaca","Medicago monspeliaca (L.) Trautv.","species"
"Medicago murex","Medicago murex Willd.","species"
"Medicago orbicularis","Medicago orbicularis (L.) Bartal.","species"
"Medicago polyceratia","Medicago polyceratia (L.) Sauvages ex Trautv.","species"
"Medicago polymorpha","Medicago polymorpha L.","species"
"Medicago praecox","Medicago praecox DC.","species"
"Medicago rigidula","Medicago rigidula (L.) All.","species"
"Medicago rugosa","Medicago rugosa Desr.","species"
"Medicago sativa","Medicago sativa L.","species"
"Medicago sativa sativa","Medicago sativa subsp. sativa ","subspecies"
"Medicago scutellata","Medicago scutellata (L.) Mill.","species"
"Medicago truncatula","Medicago truncatula Gaertn.","species"
"Medicago turbinata","Medicago turbinata (L.) All.","species"
"Melampyrum","Melampyrum L.","genus"
"Melampyrum arvense","Melampyrum arvense L.","species"
"Melia azedarach","Melia azedarach L.","species"
"Melica ciliata","Melica ciliata L.","species"
"Melica nutans","Melica nutans L.","species"
"Melica transsilvanica","Melica transsilvanica Schur","species"
"Melica uniflora","Melica uniflora Retz.","species"
"Melilotus","Melilotus Mill.","genus"
"Melilotus albus","Melilotus albus Medik.","species"
"Melilotus altissimus","Melilotus altissimus Thuill.","species"
"Melilotus indicus","Melilotus indicus (L.) All.","species"
"Melilotus neapolitanus","Melilotus neapolitanus Ten. ex Guss.","species"
"Melilotus officinalis","Melilotus officinalis (L.) Pall.","species"
"Melilotus officinalis","Melilotus officinalis (L.) Lam.","species"
"Melilotus sulcatus","Melilotus sulcatus Desf.","species"
"Melissa officinalis","Melissa officinalis L.","species"
"Melittis melissophyllum","Melittis melissophyllum L.","species"
"Melomphis arabica","Melomphis arabica (L.) Raf.","species"
"Mentha","Mentha L.","genus"
"Mentha aquatica","Mentha aquatica L.","species"
"Mentha arvensis","Mentha arvensis L.","species"
"Mentha longifolia","Mentha longifolia (L.) L.","species"
"Mentha pulegium","Mentha pulegium L.","species"
"Mentha spicata","Mentha spicata L.","species"
"Mentha suaveolens","Mentha suaveolens Ehrh.","species"
"Mentha x piperita","Mentha × piperita L.","species"
"Mentha x villosa","Mentha × villosa Huds.","species"
"Mercurialis","Mercurialis L.","genus"
"Mercurialis annua","Mercurialis annua L.","species"
"Mercurialis perennis","Mercurialis perennis L.","species"
"Meum athamanticum","Meum athamanticum Jacq.","species"
"Mibora minima","Mibora minima (L.) Desv.","species"
"Micromeria graeca","Micromeria graeca (L.) Benth. ex Rchb.","species"
"Microthlaspi perfoliatum","Microthlaspi perfoliatum (L.) F.K.Mey.","species"
"Milium","Milium L.","genus"
"Minuartia","Minuartia Loefl.","genus"
"Minuartia campestris","Minuartia campestris L.","species"
"Miscanthus sinensis","Miscanthus sinensis Andersson","species"
"Misopates orontium","Misopates orontium (L.) Raf.","species"
"Moehringia","Moehringia L.","genus"
"Molinia caerulea","Molinia caerulea (L.) Moench","species"
"Montia fontana","Montia fontana L.","species"
"Moorochloa eruciformis","Moorochloa eruciformis (Sm.) Veldkamp","species"
"Morus","Morus L.","genus"
"Morus alba","Morus alba L.","species"
"Morus nigra","Morus nigra L.","species"
"Muhlenbergia","Muhlenbergia Schreb.","genus"
"Mummenhoffia alliacea","Mummenhoffia alliacea (L.) Esmailbegi & Al-Shehbaz","species"
"Muscari","Muscari Mill.","genus"
"Muscari botryoides","Muscari botryoides (L.) Mill.","species"
"Muscari comosum","Muscari comosum (L.) Mill.","species"
"Muscari neglectum","Muscari neglectum Guss. ex Ten. & Sangiovanni","species"
"Muscari racemosum","Muscari racemosum Mill.","species"
"Mutarda arvensis","Mutarda arvensis (L.) D.A.German","species"
"Mutarda carinata","Mutarda carinata (A.Braun) D.A.German","species"
"Mutarda nigra","Mutarda nigra Bernh.","species"
"Myagrum perfoliatum","Myagrum perfoliatum L.","species"
"Myosotis","Myosotis L.","genus"
"Myosotis arvensis","Myosotis arvensis (L.) Hill","species"
"Myosotis corsicana","Myosotis corsicana (Fiori) Grau","species"
"Myosotis discolor","Myosotis discolor Pers.","species"
"Myosotis minutiflora","Myosotis minutiflora Boiss. & Reut.","species"
"Myosotis ramosissima","Myosotis ramosissima Rochel","species"
"Myosotis scorpioides","Myosotis scorpioides L.","species"
"Myosotis stricta","Myosotis stricta Link ex Roem. & Schult.","species"
"Myosotis sylvatica","Myosotis sylvatica Hoffm.","species"
"Myrrhis odorata","Myrrhis odorata (L.) Scop.","species"
"Nardus stricta","Nardus stricta L.","species"
"Nasturtium officinale","Nasturtium officinale R.Br.","species"
"Nelumbo nucifera","Nelumbo nucifera Gaertn.","species"
"Neottia ovata","Neottia ovata Bluff & Fingerh.","species"
"Nepeta cataria","Nepeta cataria L.","species"
"Nepeta nepetella","Nepeta nepetella L.","species"
"Neslia paniculata","Neslia paniculata (L.) Desv.","species"
"Nicandra physalodes","Nicandra physalodes (L.) Gaertn.","species"
"Nigella arvensis","Nigella arvensis L.","species"
"Nigella damascena","Nigella damascena L.","species"
"Nigella gallica","Nigella gallica Jord.","species"
"Nigella hispanica","Nigella hispanica L.","species"
"Nigella nigellastrum","Nigella nigellastrum (L.) Willk.","species"
"Noccaea caerulescens","Noccaea caerulescens (J.Presl & C.Presl) F.K.Mey.","species"
"Nonea lutea","Nonea lutea (Desr.) DC.","species"
"Nonea pallens","Nonea pallens Petrovič","species"
"Nonea pulla","Nonea pulla (L.) DC.","species"
"Odontites","Odontites Ludw.","genus"
"Odontites jaubertianus","Odontites jaubertianus (Boreau) D.Dietr. ex Walp.","species"
"Odontites luteus","Odontites luteus (L.) Clairv.","species"
"Odontites vernus","Odontites vernus (Bellardi) Dumort.","species"
"Odontites vulgaris","Odontites vulgaris Moench","species"
"Oenanthe crocata","Oenanthe crocata L.","species"
"Oenanthe fistulosa","Oenanthe fistulosa L.","species"
"Oenanthe lachenalii","Oenanthe lachenalii C.C.Gmel.","species"
"Oenanthe pimpinelloides","Oenanthe pimpinelloides L.","species"
"Oenothera","Oenothera L.","genus"
"Oenothera biennis","Oenothera biennis L.","species"
"Oenothera glazioviana","Oenothera glazioviana Micheli","species"
"Olea europaea","Olea europaea L.","species"
"Oloptum miliaceum","Oloptum miliaceum (L.) Röser & Hamasha","species"
"Omalotheca sylvatica","Omalotheca sylvatica (L.) Sch.Bip. & F.W.Schultz","species"
"Onobrychis alba","Onobrychis alba (Waldst. & Kit.) Desv.","species"
"Onobrychis arenaria","Onobrychis arenaria (Kit.) DC.","species"
"Onobrychis caput-galli","Onobrychis caput-galli (L.) Lam.","species"
"Onobrychis viciifolia","Onobrychis viciifolia Scop.","species"
"Ononis","Ononis L.","genus"
"Ononis minutissima","Ononis minutissima L.","species"
"Ononis natrix","Ononis natrix L.","species"
"Ononis reclinata","Ononis reclinata L.","species"
"Ononis rotundifolia","Ononis rotundifolia L.","species"
"Ononis spinosa","Ononis spinosa L.","species"
"Ononis spinosa procurrens","Ononis spinosa subsp. procurrens (Wallr.) Briq.","subspecies"
"Ononis viscosa","Ononis viscosa L.","species"
"Onopordinae","Onopordinae Garcia-Jacas & Susanna","subtribe"
"Onopordum acanthium","Onopordum acanthium L.","species"
"Onopordum acaulon","Onopordum acaulon L.","species"
"Onopordum corymbosum","Onopordum corymbosum Willk.","species"
"Onopordum illyricum","Onopordum illyricum L.","species"
"Onopordum nervosum","Onopordum nervosum Boiss.","species"
"Ophioglossum vulgatum","Ophioglossum vulgatum L.","species"
"Ophrys apifera","Ophrys apifera Huds.","species"
"Ophrys insectifera","Ophrys insectifera L.","species"
"Ophrys sphegodes sphegodes","Ophrys sphegodes subsp. sphegodes ","subspecies"
"Orchidaceae","Orchidaceae Juss.","family"
"Orchis","Orchis Tourn. ex L.","genus"
"Origanum","Origanum L.","genus"
"Origanum majorana","Origanum majorana L.","species"
"Origanum vulgare","Origanum vulgare L.","species"
"Orlaya","Orlaya Hoffm.","genus"
"Orlaya daucoides","Orlaya daucoides (L.) Greuter","species"
"Orlaya grandiflora","Orlaya grandiflora (L.) Hoffm.","species"
"Ornithogalum","Ornithogalum L.","genus"
"Ornithogalum divergens","Ornithogalum divergens Boreau","species"
"Ornithogalum umbellatum","Ornithogalum umbellatum L.","species"
"Ornithopus","Ornithopus L.","genus"
"Ornithopus compressus","Ornithopus compressus L.","species"
"Ornithopus perpusillus","Ornithopus perpusillus L.","species"
"Ornithopus sativus","Ornithopus sativus Brot.","species"
"Orobanche","Orobanche L.","genus"
"Orobanche amethystea","Orobanche amethystea Thuill.","species"
"Orobanche caryophyllacea","Orobanche caryophyllacea Sm.","species"
"Orobanche cernua","Orobanche cernua Loefl.","species"
"Orobanche crenata","Orobanche crenata Forssk.","species"
"Orobanche cumana","Orobanche cumana Wallr.","species"
"Orobanche minor","Orobanche minor Sm.","species"
"Orobanche nana","Orobanche nana Noë ex Rchb.","species"
"Orobanche picridis","Orobanche picridis F.Schulz","species"
"Orobanche picridis-hieracioidis","Orobanche picridis-hieracioidis Holandre","species"
"Orobanche purpurea","Orobanche purpurea Jacq.","species"
"Orobanche ramosa","Orobanche ramosa L.","species"
"Oryza","Oryza L.","genus"
"Oryza sativa","Oryza sativa L.","species"
"Osyris alba","Osyris alba L.","species"
"Oxalis","Oxalis L.","genus"
"Oxalis acetosella","Oxalis acetosella L.","species"
"Oxalis corniculata","Oxalis corniculata L.","species"
"Oxalis dillenii","Oxalis dillenii Jacq.","species"
"Oxalis latifolia","Oxalis latifolia Kunth","species"
"Oxalis pes-caprae","Oxalis pes-caprae L.","species"
"Oxalis stricta","Oxalis stricta L.","species"
"Oxybasis","Oxybasis Kar. & Kir.","genus"
"Oxybasis glauca","Oxybasis glauca (L.) S.Fuentes, Uotila & Borsch","species"
"Oxybasis urbica","Oxybasis urbica (L.) S.Fuentes, Uotila & Borsch","species"
"Pallenis spinosa","Pallenis spinosa (L.) Cass.","species"
"Pancratium maritimum","Pancratium maritimum L.","species"
"Panicum","Panicum L.","genus"
"Panicum capillare","Panicum capillare L.","species"
"Panicum dichotomiflorum","Panicum dichotomiflorum Michx.","species"
"Panicum hillmanii","Panicum hillmanii Chase","species"
"Panicum miliaceum","Panicum miliaceum L.","species"
"Panicum virgatum","Panicum virgatum L.","species"
"Papaver","Papaver L.","genus"
"Papaver dubium","Papaver dubium L.","species"
"Papaver rhoeas","Papaver rhoeas L.","species"
"Papaver somniferum","Papaver somniferum L.","species"
"Papaver x strigosum","Papaver × strigosum (Boenn.) Schur","species"
