"accepted_taxa","original_taxa_CLOPLA","Clonal.index_CLOPLA","offspring_CLOPLA","offspring.wsmall_CLOPLA","lateral.spread_cm_CLOPLA"
"Populus x canescens",NA,NA,NA,NA,NA
"Porophyllum ruderale macrocephalum",NA,NA,NA,NA,NA
"Portulaca","""portulaca oleracea l.""","",NA,NA,NA
"Portulaca oleracea","""portulaca oleracea l.""","",NA,NA,NA
"Potamogeton","""potamogeton lucens l.""","7",4.3,4.3,13
"Potamogeton berchtoldii",NA,NA,NA,NA,NA
"Potamogeton lucens","""potamogeton lucens l.""","7",4.3,4.3,13
"Potentilla","""potentilla argentea l.""_""potentilla norvegica l.""_""potentilla recta l.""_""potentilla reptans l.""_""potentilla supina l.""_""potentilla verna l.""","2",3.9,3.9,18.1
"Potentilla anglica",NA,NA,NA,NA,NA
"Potentilla argentea","""potentilla argentea l.""","",NA,NA,NA
"Potentilla crantzii",NA,NA,NA,NA,NA
"Potentilla erecta",NA,NA,NA,NA,NA
"Potentilla indica",NA,NA,NA,NA,NA
"Potentilla micrantha",NA,NA,NA,NA,NA
"Potentilla neumanniana",NA,NA,NA,NA,NA
"Potentilla norvegica","""potentilla norvegica l.""","",NA,NA,NA
"Potentilla recta","""potentilla recta l.""","",NA,NA,NA
"Potentilla reptans","""potentilla reptans l.""","2",3.9,3.9,18.1
"Potentilla sterilis",NA,NA,NA,NA,NA
"Potentilla supina","""potentilla supina l.""","",NA,NA,NA
"Potentilla verna","""potentilla verna l.""","",NA,NA,NA
"Primula","""primula veris l.""","3",2,2,2.6
"Primula elatior",NA,NA,NA,NA,NA
"Primula latifolia",NA,NA,NA,NA,NA
"Primula veris","""primula veris l.""","3",2,2,2.6
"Primula vulgaris",NA,NA,NA,NA,NA
"Primulaceae",NA,NA,NA,NA,NA
"Prunella","""prunella laciniata (l.) l.""_""prunella vulgaris l.""","3_5",3.1,3.1,6.75
"Prunella grandiflora",NA,NA,NA,NA,NA
"Prunella laciniata","""prunella laciniata (l.) l.""","3",1,1,0.5
"Prunella vulgaris","""prunella vulgaris l.""","5",5.2,5.2,13
"Prunus","""prunus avium (l.) l.""_""prunus cerasus l.""_""prunus domestica l.""_""prunus padus l.""_""prunus spinosa l.""","",NA,NA,NA
"Prunus avium","""prunus avium (l.) l.""","",NA,NA,NA
"Prunus cerasifera",NA,NA,NA,NA,NA
"Prunus cerasus","""prunus cerasus l.""","",NA,NA,NA
"Prunus domestica","""prunus domestica l.""","",NA,NA,NA
"Prunus dulcis",NA,NA,NA,NA,NA
"Prunus laurocerasus",NA,NA,NA,NA,NA
"Prunus mahaleb",NA,NA,NA,NA,NA
"Prunus padus","""prunus padus l.""","",NA,NA,NA
"Prunus serotina",NA,NA,NA,NA,NA
"Prunus spinosa","""prunus spinosa l.""","",NA,NA,NA
"Psammophiliella muralis","""gypsophila muralis l.""","",NA,NA,NA
"Psoralea",NA,NA,NA,NA,NA
"Pteridium",NA,NA,NA,NA,NA
"Pteridium aquilinum",NA,NA,NA,NA,NA
"Pterolepis glomerata",NA,NA,NA,NA,NA
"Pulicaria arabica hispanica",NA,NA,NA,NA,NA
"Pulicaria dysenterica",NA,NA,NA,NA,NA
"Pulicaria odora",NA,NA,NA,NA,NA
"Pulicaria vulgaris",NA,NA,NA,NA,NA
"Pulmonaria","""pulmonaria officinalis l.""","5",6,6,8.8
"Pulmonaria officinalis","""pulmonaria officinalis l.""","5",6,6,8.8
"Pyrus communis",NA,NA,NA,NA,NA
"Quercus","""quercus cerris l.""_""quercus robur l.""_""quercus rubra l.""","",NA,NA,NA
"Quercus cerris","""quercus cerris l.""","",NA,NA,NA
"Quercus coccifera",NA,NA,NA,NA,NA
"Quercus ilex",NA,NA,NA,NA,NA
"Quercus petraea",NA,NA,NA,NA,NA
"Quercus pubescens",NA,NA,NA,NA,NA
"Quercus robur","""quercus robur l.""","",NA,NA,NA
"Quercus robur robur","""quercus robur l.""","",NA,NA,NA
"Quercus rubra","""quercus rubra l.""","",NA,NA,NA
"Quercus suber",NA,NA,NA,NA,NA
"Rabelera holostea","""stellaria holostea l.""","4",2.7,2.7,13
"Ranunculus","""myosurus minimus l.""_""ranunculus acris l.""_""ranunculus arvensis l.""_""ranunculus auricomus agg. ""_""ranunculus bulbosus l.""_""ranunculus flammula l.""_""ranunculus lanuginosus l.""_""ranunculus repens l.""_""ranunculus reptans l.""_""ranunculus sceleratus l.""","3_4_5_6",2.54285714285714,2.54285714285714,7.45714285714286
"Ranunculus acris","""ranunculus acris l.""","3",2.1,2.1,1.9
"Ranunculus acris acris","""ranunculus acris l.""","3",2.1,2.1,1.9
"Ranunculus acris friesianus","""ranunculus acris l.""","3",2.1,2.1,1.9
"Ranunculus arvensis","""ranunculus arvensis l.""","",NA,NA,NA
"Ranunculus auricomus","""ranunculus auricomus agg. ""","3",1,1,0.5
"Ranunculus breyninus",NA,NA,NA,NA,NA
"Ranunculus bulbosus","""ranunculus bulbosus l.""","3",1.6,1.6,0.5
"Ranunculus falcatus",NA,NA,NA,NA,NA
"Ranunculus ficaria",NA,NA,NA,NA,NA
"Ranunculus flammula","""ranunculus flammula l.""","4",1,1,13.4
"Ranunculus gramineus",NA,NA,NA,NA,NA
"Ranunculus lanuginosus","""ranunculus lanuginosus l.""","3",1,1,0.5
"Ranunculus macrophyllus",NA,NA,NA,NA,NA
"Ranunculus minimus","""myosurus minimus l.""","",NA,NA,NA
"Ranunculus muricatus",NA,NA,NA,NA,NA
"Ranunculus paludosus",NA,NA,NA,NA,NA
"Ranunculus parviflorus",NA,NA,NA,NA,NA
"Ranunculus repens","""ranunculus repens l.""","6",5.1,5.1,25.5
"Ranunculus reptans","""ranunculus reptans l.""","5",6,6,9.9
"Ranunculus sardous",NA,NA,NA,NA,NA
"Ranunculus sceleratus","""ranunculus sceleratus l.""","",NA,NA,NA
"Ranunculus tuberosus",NA,NA,NA,NA,NA
"Raphanus","""raphanus raphanistrum l.""_""raphanus sativus l.""","",NA,NA,NA
"Raphanus raphanistrum","""raphanus raphanistrum l.""","",NA,NA,NA
"Raphanus raphanistrum raphanistrum","""raphanus raphanistrum l.""","",NA,NA,NA
"Raphanus raphanistrum sativus","""raphanus raphanistrum l.""","",NA,NA,NA
"Raphanus sativus","""raphanus sativus l.""","",NA,NA,NA
"Rapistrum perenne",NA,NA,NA,NA,NA
"Rapistrum rugosum",NA,NA,NA,NA,NA
"Reichardia",NA,NA,NA,NA,NA
"Reichardia picroides",NA,NA,NA,NA,NA
"Reseda","""reseda lutea l.""_""reseda luteola l.""","",NA,NA,NA
"Reseda alba",NA,NA,NA,NA,NA
"Reseda lanceolata",NA,NA,NA,NA,NA
"Reseda lutea","""reseda lutea l.""","",NA,NA,NA
"Reseda luteola","""reseda luteola l.""","",NA,NA,NA
"Reseda phyteuma",NA,NA,NA,NA,NA
"Reseda undata",NA,NA,NA,NA,NA
"Retama sphaerocarpa",NA,NA,NA,NA,NA
"Reynoutria japonica",NA,NA,NA,NA,NA
"Rhagadiolus edulis",NA,NA,NA,NA,NA
"Rhagadiolus stellatus",NA,NA,NA,NA,NA
"Rhamnus","""rhamnus cathartica l.""","",NA,NA,NA
"Rhamnus alaternus",NA,NA,NA,NA,NA
"Rhamnus cathartica","""rhamnus cathartica l.""","",NA,NA,NA
"Rhamnus saxatilis",NA,NA,NA,NA,NA
"Rheum rhabarbarum",NA,NA,NA,NA,NA
"Rheum x hybridum",NA,NA,NA,NA,NA
"Rhinanthus","""rhinanthus minor l.""","",NA,NA,NA
"Rhinanthus alectorolophus",NA,NA,NA,NA,NA
"Rhinanthus minor","""rhinanthus minor l.""","",NA,NA,NA
"Rhinanthus pumilus",NA,NA,NA,NA,NA
"Rhizogemma staphylina",NA,NA,NA,NA,NA
"Ribes uva-crispa","""ribes uva-crispa l.""","",NA,NA,NA
"Riccia",NA,NA,NA,NA,NA
"Riccia sorocarpa",NA,NA,NA,NA,NA
"Riccia warnstorfii",NA,NA,NA,NA,NA
"Ridolfia segetum",NA,NA,NA,NA,NA
"Robinia pseudoacacia","""robinia pseudoacacia l.""","",NA,NA,NA
"Roemeria apula",NA,NA,NA,NA,NA
"Roemeria argemone","""papaver argemone l.""","",NA,NA,NA
"Roemeria hispida","""papaver hybridum l.""","",NA,NA,NA
"Roemeria hybrida",NA,NA,NA,NA,NA
"Rorippa",NA,NA,NA,NA,NA
"Rorippa amphibia",NA,NA,NA,NA,NA
"Rorippa austriaca",NA,NA,NA,NA,NA
"Rorippa islandica",NA,NA,NA,NA,NA
"Rorippa palustris",NA,NA,NA,NA,NA
"Rorippa sylvestris",NA,NA,NA,NA,NA
"Rorippa x armoracioides",NA,NA,NA,NA,NA
"Rosa","""rosa canina agg. ""_""rosa rubiginosa l.""","",NA,NA,NA
"Rosa agrestis",NA,NA,NA,NA,NA
"Rosa arvensis",NA,NA,NA,NA,NA
"Rosa canina","""rosa canina agg. ""","",NA,NA,NA
"Rosa multiflora",NA,NA,NA,NA,NA
"Rosa rubiginosa","""rosa rubiginosa l.""","",NA,NA,NA
"Rosa sempervirens",NA,NA,NA,NA,NA
"Rosaceae",NA,NA,NA,NA,NA
"Rostraria",NA,NA,NA,NA,NA
"Rostraria cristata",NA,NA,NA,NA,NA
"Rubia peregrina","""rubia peregrina l.""","",1,1,13
"Rubia peregrina peregrina","""rubia peregrina l.""","",1,1,13
"Rubia tinctorum",NA,NA,NA,NA,NA
"Rubiaceae",NA,NA,NA,NA,NA
"Rubus","""rubus arcticus l.""_""rubus caesius l.""_""rubus fruticosus agg. ""_""rubus idaeus l.""","3_4_5",1.5,2.325,15.275
"Rubus arcticus","""rubus arcticus l.""","3",1,1,0.5
"Rubus armeniacus",NA,NA,NA,NA,NA
"Rubus caesius","""rubus caesius l.""","4",1,1,13
"Rubus fruticosus","""rubus fruticosus agg. ""","5",1,4.3,31
"Rubus idaeus","""rubus idaeus l.""","4",3,3,16.6
"Rubus idenus",NA,NA,NA,NA,NA
"Rubus polonicus",NA,NA,NA,NA,NA
"Rubus spectabilis",NA,NA,NA,NA,NA
"Rubus ulmifolius",NA,NA,NA,NA,NA
"Rubus vestitus",NA,NA,NA,NA,NA
"Rumex","""rumex acetosa l.""_""rumex acetosella l.""_""rumex crispus l.""_""rumex obtusifolius l.""_""rumex patientia l.""_""rumex pulcher l.""_""rumex sanguineus l.""_""rumex scutatus l.""","3_5",2,2,16
"Rumex acetosa","""rumex acetosa l.""","3",1,1,2.6
"Rumex acetosella","""rumex acetosella l.""","5",3,3,29.4
"Rumex aquitanicus",NA,NA,NA,NA,NA
"Rumex bucephalophorus",NA,NA,NA,NA,NA
"Rumex confertus",NA,NA,NA,NA,NA
"Rumex conglomeratus",NA,NA,NA,NA,NA
"Rumex crispus","""rumex crispus l.""","",NA,NA,NA
"Rumex crispus crispus","""rumex crispus l.""","",NA,NA,NA
"Rumex cristatus",NA,NA,NA,NA,NA
"Rumex longifolius",NA,NA,NA,NA,NA
"Rumex obtusifolius","""rumex obtusifolius l.""","",NA,NA,NA
"Rumex palustris",NA,NA,NA,NA,NA
"Rumex patientia","""rumex patientia l.""","",NA,NA,NA
"Rumex pulcher","""rumex pulcher l.""","",NA,NA,NA
"Rumex pulcher woodsii","""rumex pulcher l.""","",NA,NA,NA
"Rumex roseus",NA,NA,NA,NA,NA
"Rumex sanguineus","""rumex sanguineus l.""","",NA,NA,NA
"Rumex scutatus","""rumex scutatus l.""","",NA,NA,NA
"Rumex stenophyllus",NA,NA,NA,NA,NA
"Rumex thyrsiflorus",NA,NA,NA,NA,NA
"Rumex thyrsoides",NA,NA,NA,NA,NA
"Rumex x pratensis",NA,NA,NA,NA,NA
"Ruscus",NA,NA,NA,NA,NA
"Ruscus aculeatus",NA,NA,NA,NA,NA
"Ruta chalepensis",NA,NA,NA,NA,NA
"Ruta graveolens","""ruta graveolens l.""","",NA,NA,NA
"Sabulina tenuifolia",NA,NA,NA,NA,NA
"Sabulina tenuifolia hybrida",NA,NA,NA,NA,NA
"Sabulina tenuifolia hybrida",NA,NA,NA,NA,NA
"Sabulina tenuifolia laxa",NA,NA,NA,NA,NA
"Sagina","""sagina procumbens l.""","",NA,NA,NA
"Sagina apetala",NA,NA,NA,NA,NA
"Sagina procumbens","""sagina procumbens l.""","",NA,NA,NA
"Salix","""salix alba l.""_""salix aurita l.""_""salix caprea l.""_""salix cinerea l.""_""salix purpurea l.""_""salix triandra l.""","",NA,NA,NA
"Salix alba","""salix alba l.""","",NA,NA,NA
"Salix atrocinerea",NA,NA,NA,NA,NA
"Salix aurita","""salix aurita l.""","",NA,NA,NA
"Salix caprea","""salix caprea l.""","",NA,NA,NA
"Salix cinerea","""salix cinerea l.""","",NA,NA,NA
"Salix fragilis",NA,NA,NA,NA,NA
"Salix myrsinifolia",NA,NA,NA,NA,NA
"Salix purpurea","""salix purpurea l.""","",NA,NA,NA
"Salix triandra","""salix triandra l.""","",NA,NA,NA
"Salix x fragilis",NA,NA,NA,NA,NA
"Salsola kali","""salsola kali l.""","",NA,NA,NA
"Salsola vermiculata",NA,NA,NA,NA,NA
"Salvia","""salvia nemorosa l.""_""salvia officinalis l.""_""salvia pratensis l.""_""salvia verticillata l.""","",NA,NA,NA
"Salvia nemorosa","""salvia nemorosa l.""","",NA,NA,NA
"Salvia officinalis","""salvia officinalis l.""","",NA,NA,NA
"Salvia pratensis","""salvia pratensis l.""","",NA,NA,NA
"Salvia rosmarinus",NA,NA,NA,NA,NA
"Salvia sclarea",NA,NA,NA,NA,NA
"Salvia verbenaca",NA,NA,NA,NA,NA
"Salvia verticillata","""salvia verticillata l.""","",NA,NA,NA
"Salvia viridis",NA,NA,NA,NA,NA
"Sambucus","""sambucus ebulus l.""_""sambucus nigra l.""","5",1,1,26.5
"Sambucus ebulus","""sambucus ebulus l.""","5",1,1,26.5
"Sambucus nigra","""sambucus nigra l.""","",NA,NA,NA
"Sanguisorba","""sanguisorba officinalis l.""","2",0.5,0.5,2.6
"Sanguisorba minor",NA,NA,NA,NA,NA
"Sanguisorba minor verrucosa",NA,NA,NA,NA,NA
"Sanguisorba officinalis","""sanguisorba officinalis l.""","2",0.5,0.5,2.6
"Sanguisorba verrucosa",NA,NA,NA,NA,NA
"Santolina chamaecyparissus",NA,NA,NA,NA,NA
"Saponaria ocymoides ocymoides","""saponaria ocymoides l.""","",NA,NA,NA
"Saponaria officinalis","""saponaria officinalis l.""","5",6,6,13
"Satureja",NA,NA,NA,NA,NA
"Satureja montana",NA,NA,NA,NA,NA
"Saxifraga granulata","""saxifraga granulata l.""","3",1,4.8,0.5
"Saxifraga tridactylites","""saxifraga tridactylites l.""","",NA,NA,NA
"Scabiosa","""scabiosa atropurpurea l.""_""scabiosa columbaria l.""","",NA,NA,NA
"Scabiosa atropurpurea","""scabiosa atropurpurea l.""","",NA,NA,NA
"Scabiosa columbaria","""scabiosa columbaria l.""","",NA,NA,NA
"Scabiosa lucida",NA,NA,NA,NA,NA
"Scandix australis",NA,NA,NA,NA,NA
"Scandix pecten-veneris","""scandix pecten-veneris l.""","",NA,NA,NA
"Schedonorus arundinaceus arundinaceus",NA,NA,NA,NA,NA
"Schedonorus pratensis pratensis",NA,NA,NA,NA,NA
"Scirpoides holoschoenus",NA,NA,NA,NA,NA
"Scirpus sylvaticus","""scirpus sylvaticus l.""","6",4,4,21.3
"Scleranthus annuus","""scleranthus annuus l.""","",NA,NA,NA
"Scleranthus perennis","""scleranthus perennis l.""","",NA,NA,NA
"Sclerochloa dura",NA,NA,NA,NA,NA
"Scolymus",NA,NA,NA,NA,NA
"Scolymus hispanicus",NA,NA,NA,NA,NA
"Scolymus maculatus",NA,NA,NA,NA,NA
"Scorpiurus muricatus",NA,NA,NA,NA,NA
"Scorpiurus vermiculatus",NA,NA,NA,NA,NA
"Scorzonera","""scorzonera laciniata l.""","",NA,NA,NA
"Scorzonera hirsuta",NA,NA,NA,NA,NA
"Scorzonera laciniata","""scorzonera laciniata l.""","",NA,NA,NA
"Scorzonera laciniata","""scorzonera laciniata l.""","",NA,NA,NA
"Scorzonera sect podospermum",NA,NA,NA,NA,NA
"Scorzoneroides",NA,NA,NA,NA,NA
"Scorzoneroides autumnalis",NA,NA,NA,NA,NA
"Scrophularia auriculata","""scrophularia auriculata l.""","4",1,1,13
"Scrophularia nodosa","""scrophularia nodosa l.""","4",1,1,13
"Scutellaria galericulata","""scutellaria galericulata l.""","6",6,6,26.5
"Secale","""secale cereale l.""","",NA,NA,NA
"Secale cereale","""secale cereale l.""","",NA,NA,NA
"Sedum","""sedum acre l.""_""sedum album l.""_""sedum rubens l.""","5",5.15,5.15,8.35
"Sedum acre","""sedum acre l.""","5",4.3,4.3,9.9
"Sedum album","""sedum album l.""","5",6,6,6.8
"Sedum anglicum",NA,NA,NA,NA,NA
"Sedum rubens","""sedum rubens l.""","",NA,NA,NA
"Selinum carvifolium","""selinum carvifolia (l.) l.""","3",1,1,0.5
"Senecio","""senecio sylvaticus l.""_""senecio viscosus l.""_""senecio vulgaris l.""","",NA,NA,NA
"Senecio gallicus",NA,NA,NA,NA,NA
"Senecio inaequidens",NA,NA,NA,NA,NA
"Senecio jacobaea",NA,NA,NA,NA,NA
"Senecio leucanthemifolius",NA,NA,NA,NA,NA
"Senecio leucanthemifolius vernalis",NA,NA,NA,NA,NA
"Senecio lividus",NA,NA,NA,NA,NA
"Senecio sylvaticus","""senecio sylvaticus l.""","",NA,NA,NA
"Senecio vernalis",NA,NA,NA,NA,NA
"Senecio viscosus","""senecio viscosus l.""","",NA,NA,NA
"Senecio vulgaris","""senecio vulgaris l.""","",NA,NA,NA
"Senecio vulgaris vulgaris","""senecio vulgaris l.""","",NA,NA,NA
"Serapias lingua",NA,NA,NA,NA,NA
"Serapias vomeracea",NA,NA,NA,NA,NA
"Setaria",NA,NA,NA,NA,NA
"Setaria adhaerens",NA,NA,NA,NA,NA
"Setaria faberi",NA,NA,NA,NA,NA
"Setaria italica",NA,NA,NA,NA,NA
"Setaria italica italica",NA,NA,NA,NA,NA
"Setaria parviflora",NA,NA,NA,NA,NA
"Setaria pumila",NA,NA,NA,NA,NA
"Setaria verticillata",NA,NA,NA,NA,NA
"Setaria verticillata ambigua",NA,NA,NA,NA,NA
"Setaria viridis",NA,NA,NA,NA,NA
"Sherardia","""sherardia arvensis l.""","",NA,NA,NA
"Sherardia arvensis","""sherardia arvensis l.""","",NA,NA,NA
"Sicyos",NA,NA,NA,NA,NA
"Sicyos angulatus",NA,NA,NA,NA,NA
"Sideritis romana",NA,NA,NA,NA,NA
"Sideritis romana romana",NA,NA,NA,NA,NA
"Silaum silaus",NA,NA,NA,NA,NA
"Silene","""lychnis flos-cuculi l.""_""silene conica l.""_""silene gallica l.""_""silene noctiflora l.""_""silene nutans l.""","",NA,NA,NA
"Silene baccifera",NA,NA,NA,NA,NA
"Silene bellidifolia",NA,NA,NA,NA,NA
"Silene conica","""silene conica l.""","",NA,NA,NA
"Silene conoidea",NA,NA,NA,NA,NA
"Silene coronaria",NA,NA,NA,NA,NA
"Silene cretica",NA,NA,NA,NA,NA
"Silene dichotoma",NA,NA,NA,NA,NA
"Silene dioica",NA,NA,NA,NA,NA
"Silene flos-cuculi","""lychnis flos-cuculi l.""","",NA,NA,NA
"Silene gallica","""silene gallica l.""","",NA,NA,NA
"Silene italica",NA,NA,NA,NA,NA
"Silene italica sicula",NA,NA,NA,NA,NA
"Silene latifolia",NA,NA,NA,NA,NA
"Silene latifolia alba",NA,NA,NA,NA,NA
"Silene muscipula",NA,NA,NA,NA,NA
"Silene nicaeensis",NA,NA,NA,NA,NA
"Silene noctiflora","""silene noctiflora l.""","",NA,NA,NA
"Silene nocturna",NA,NA,NA,NA,NA
"Silene nutans","""silene nutans l.""","",NA,NA,NA
"Silene nutans nutans","""silene nutans l.""","",NA,NA,NA
"Silene stricta",NA,NA,NA,NA,NA
"Silene vulgaris",NA,NA,NA,NA,NA
"Silphium perfoliatum","""silphium perfoliatum l.""","4",1,1,13
"Silybum",NA,NA,NA,NA,NA
"Silybum marianum",NA,NA,NA,NA,NA
"Sinapis","""sinapis alba l.""","",NA,NA,NA
"Sinapis alba","""sinapis alba l.""","",NA,NA,NA
"Sinapis alba alba","""sinapis alba l.""","",NA,NA,NA
"Sison",NA,NA,NA,NA,NA
"Sison amomum",NA,NA,NA,NA,NA
"Sison segetum",NA,NA,NA,NA,NA
"Sisymbrella aspera",NA,NA,NA,NA,NA
"Sisymbrium","""sisymbrium altissimum l.""_""sisymbrium irio l.""_""sisymbrium loeselii l.""_""sisymbrium orientale l.""","",NA,NA,NA
"Sisymbrium altissimum","""sisymbrium altissimum l.""","",NA,NA,NA
"Sisymbrium austriacum",NA,NA,NA,NA,NA
"Sisymbrium irio","""sisymbrium irio l.""","",NA,NA,NA
"Sisymbrium loeselii","""sisymbrium loeselii l.""","",NA,NA,NA
"Sisymbrium officinale",NA,NA,NA,NA,NA
"Sisymbrium orientale","""sisymbrium orientale l.""","",NA,NA,NA
"Sisymbrium runcinatum",NA,NA,NA,NA,NA
"Smilax aspera",NA,NA,NA,NA,NA
"Smyrnium olusatrum",NA,NA,NA,NA,NA
"Solanum","""solanum dulcamara l.""_""solanum lycopersicum l.""_""solanum nigrum l.""_""solanum tuberosum l.""","5",4.75,5.15,16
"Solanum americanum",NA,NA,NA,NA,NA
"Solanum chenopodioides",NA,NA,NA,NA,NA
"Solanum dulcamara","""solanum dulcamara l.""","5",3.5,4.3,19
"Solanum lycopersicum","""solanum lycopersicum l.""","",NA,NA,NA
"Solanum nigrum","""solanum nigrum l.""","",NA,NA,NA
"Solanum physalifolium",NA,NA,NA,NA,NA
"Solanum tuberosum","""solanum tuberosum l.""","5",6,6,13
"Solanum villosum",NA,NA,NA,NA,NA
"Solidago","""solidago canadensis l.""","5",6.6,6.6,16.9
"Solidago canadensis","""solidago canadensis l.""","5",6.6,6.6,16.9
"Solidago gigantea",NA,NA,NA,NA,NA
"Solidago virgaurea",NA,NA,NA,NA,NA
"Sonchus","""sonchus arvensis l.""_""sonchus oleraceus l.""","4",4.8,4.8,15.1
"Sonchus arvensis","""sonchus arvensis l.""","4",4.8,4.8,15.1
"Sonchus arvensis arvensis","""sonchus arvensis l.""","4",4.8,4.8,15.1
"Sonchus arvensis uliginosus","""sonchus arvensis l.""","4",4.8,4.8,15.1
"Sonchus asper",NA,NA,NA,NA,NA
"Sonchus asper asper",NA,NA,NA,NA,NA
"Sonchus asper glaucescens",NA,NA,NA,NA,NA
"Sonchus oleraceus","""sonchus oleraceus l.""","",NA,NA,NA
"Sonchus tenerrimus",NA,NA,NA,NA,NA
"Sorbus","""sorbus aucuparia l.""","",NA,NA,NA
"Sorbus aucuparia","""sorbus aucuparia l.""","",NA,NA,NA
"Sorbus aucuparia aucuparia","""sorbus aucuparia l.""","",NA,NA,NA
"Sorghum",NA,NA,NA,NA,NA
"Sorghum bicolor",NA,NA,NA,NA,NA
"Sorghum halepense",NA,NA,NA,NA,NA
"Sparganium erectum","""sparganium erectum l.""","5",3.4,3.4,16.9
"Spergula","""spergula arvensis l.""_""spergula pentandra l.""","",NA,NA,NA
"Spergula arvensis","""spergula arvensis l.""","",NA,NA,NA
"Spergula arvensis chieusseana","""spergula arvensis l.""","",NA,NA,NA
"Spergula morisonii",NA,NA,NA,NA,NA
"Spergula pentandra","""spergula pentandra l.""","",NA,NA,NA
"Spergula rubra",NA,NA,NA,NA,NA
"Spergula segetalis",NA,NA,NA,NA,NA
"Spergularia",NA,NA,NA,NA,NA
"Spergularia diandra",NA,NA,NA,NA,NA
"Spergularia media",NA,NA,NA,NA,NA
"Spergularia rubra",NA,NA,NA,NA,NA
"Spergularia segetalis",NA,NA,NA,NA,NA
"Sporobolus",NA,NA,NA,NA,NA
"Sporobolus indicus",NA,NA,NA,NA,NA
"Stachys","""stachys annua (l.) l.""_""stachys arvensis (l.) l.""_""stachys germanica l.""_""stachys palustris l.""_""stachys recta l.""_""stachys sylvatica l.""","5",5.6,5.6,22
"Stachys annua","""stachys annua (l.) l.""","",NA,NA,NA
"Stachys arvensis","""stachys arvensis (l.) l.""","",NA,NA,NA
"Stachys germanica","""stachys germanica l.""","",NA,NA,NA
"Stachys germanica germanica","""stachys germanica l.""","",NA,NA,NA
"Stachys officinalis",NA,NA,NA,NA,NA
"Stachys palustris","""stachys palustris l.""","5",5.2,5.2,22
"Stachys recta","""stachys recta l.""","",NA,NA,NA
"Stachys recta labiosa","""stachys recta l.""","",NA,NA,NA
"Stachys sylvatica","""stachys sylvatica l.""","5",6,6,22
"Stellaria","""stellaria graminea l.""_""stellaria media agg. ""","4",1,1,13
"Stellaria aquatica",NA,NA,NA,NA,NA
"Stellaria graminea","""stellaria graminea l.""","4",1,1,13
"Stellaria media","""stellaria media agg. ""","",NA,NA,NA
"Stellaria neglecta",NA,NA,NA,NA,NA
"Stellaria pallida",NA,NA,NA,NA,NA
"Stellaria palustris",NA,NA,NA,NA,NA
"Stellaria uliginosa",NA,NA,NA,NA,NA
"Stipa capillata","""stipa capillata l.""","3",2.7,2.7,0.5
"Stipellula capensis",NA,NA,NA,NA,NA
"Strigosella africana",NA,NA,NA,NA,NA
"Succisa pratensis",NA,NA,NA,NA,NA
"Succowia balearica",NA,NA,NA,NA,NA
"Symphoricarpos albus",NA,NA,NA,NA,NA
"Symphyotrichum",NA,NA,NA,NA,NA
"Symphyotrichum lanceolatum",NA,NA,NA,NA,NA
"Symphytum","""symphytum officinale l.""_""symphytum tuberosum l.""","4",1,1,13
"Symphytum officinale","""symphytum officinale l.""","",NA,NA,NA
"Symphytum officinale officinale","""symphytum officinale l.""","",NA,NA,NA
"Symphytum orientale",NA,NA,NA,NA,NA
"Symphytum tuberosum","""symphytum tuberosum l.""","4",1,1,13
"Syringa vulgaris","""syringa vulgaris l.""","",NA,NA,NA
"Taeniatherum caput-medusae",NA,NA,NA,NA,NA
"Tagetes",NA,NA,NA,NA,NA
"Tagetes minuta",NA,NA,NA,NA,NA
"Tanacetum","""tanacetum vulgare l.""","5",3.5,3.5,13
"Tanacetum annuum",NA,NA,NA,NA,NA
"Tanacetum corymbosum",NA,NA,NA,NA,NA
"Tanacetum vulgare","""tanacetum vulgare l.""","5",3.5,3.5,13
"Taraxacum",NA,NA,NA,NA,NA
"Taraxacum campylodes",NA,NA,NA,NA,NA
"Taraxacum erythrospermum",NA,NA,NA,NA,NA
"Taraxacum officinale",NA,NA,NA,NA,NA
"Taraxacum tiroliense",NA,NA,NA,NA,NA
"Taxus baccata","""taxus baccata l.""","",NA,NA,NA
"Teesdalia nudicaulis",NA,NA,NA,NA,NA
"Teloxys aristata",NA,NA,NA,NA,NA
"Teucrium","""teucrium botrys l.""_""teucrium chamaedrys l.""_""teucrium scorodonia l.""","6",4.8,4.8,26.5
"Teucrium botrys","""teucrium botrys l.""","",NA,NA,NA
"Teucrium chamaedrys","""teucrium chamaedrys l.""","6",4.8,4.8,26.5
"Teucrium polium",NA,NA,NA,NA,NA
"Teucrium scorodonia","""teucrium scorodonia l.""","",NA,NA,NA
"Thalictrum flavum","""thalictrum flavum l.""","4",1,1,13
"Thalictrum lucidum","""thalictrum lucidum l.""","3",2.7,2.7,0.5
"Thalictrum minus","""thalictrum minus l.""","3",1,1,0.5
"Thapsia",NA,NA,NA,NA,NA
"Thesium dollineri",NA,NA,NA,NA,NA
"Thesium humile",NA,NA,NA,NA,NA
"Thinopyrum elongatum",NA,NA,NA,NA,NA
"Thinopyrum intermedium",NA,NA,NA,NA,NA
"Thinopyrum intermedium intermedium",NA,NA,NA,NA,NA
"Thinopyrum junceum",NA,NA,NA,NA,NA
"Thlaspi","""thlaspi arvense l.""","",NA,NA,NA
"Thlaspi arvense","""thlaspi arvense l.""","",NA,NA,NA
