"synonym_taxa","synonym_full_name","accepted_taxa"
"Echinopus minor","Echinopus minor Bubani, 1899","Echinops ritro"
"Argyrexias","Argyrexias Raf.","Echium"
"Echion","Echion St.-Lag.","Echium"
"Isoplesion","Isoplesion Raf.","Echium"
"Larephes","Larephes Raf.","Echium"
"Echium arenarium debile","Echium arenarium var. debile Pamp.","Echium arenarium"
"Echium arenarium sieberi","Echium arenarium var. sieberi A.DC.","Echium arenarium"
"Echium calycinum arenarium","Echium calycinum subsp. arenarium (Guss.) R.C.V.Douin","Echium arenarium"
"Echium delileanum","Echium delileanum Lojac.","Echium arenarium"
"Echium prostratum","Echium prostratum Sieber","Echium arenarium"
"Echium sieberi","Echium sieberi (A.DC.) Lojac.","Echium arenarium"
"Echium asperrinum","Echium asperrinum Lam.","Echium asperrimum"
"Echium hispidissimum","Echium hispidissimum Litard.","Echium asperrimum"
"Echium italicum pyrenaicum","Echium italicum subsp. pyrenaicum (Desf.) Rouy","Echium asperrimum"
"Echium pyrenaicum","Echium pyrenaicum Desf.","Echium asperrimum"
"Isoplesion pyrenaicum","Isoplesion pyrenaicum (Desf.) Raf.","Echium asperrimum"
"Echium alonsoi","Echium alonsoi Sennen & Mauricio","Echium plantagineum"
"Echium bonariense","Echium bonariense Poir.","Echium plantagineum"
"Echium creticum","Echium creticum Lam.","Echium plantagineum"
"Echium creticum maritimum","Echium creticum subsp. maritimum (Willd.) Malag., 1977","Echium plantagineum"
"Echium creticum plantagineum","Echium creticum subsp. plantagineum (L.) Malag.","Echium plantagineum"
"Echium latifolium","Echium latifolium Bubani, 1897","Echium plantagineum"
"Echium longistamineum","Echium longistamineum Pourr.","Echium plantagineum"
"Echium lusitanicum","Echium lusitanicum Mill.","Echium plantagineum"
"Echium maritimum","Echium maritimum Willd.","Echium plantagineum"
"Echium murale","Echium murale Hill","Echium plantagineum"
"Echium orientale","Echium orientale Stephan","Echium plantagineum"
"Echium plantagineum roseum","Echium plantagineum f. roseum H.Lindb.","Echium plantagineum"
"Echium plantagineum album","Echium plantagineum var. album Mattos","Echium plantagineum"
"Echium plantagineum maroccanum","Echium plantagineum var. maroccanum Sennen","Echium plantagineum"
"Echium plantagineum monodasystemon","Echium plantagineum var. monodasystemon Beauverd & Felipp.","Echium plantagineum"
"Echium plantagineum sennenii","Echium plantagineum var. sennenii (Pau) Sauvage & Vindt","Echium plantagineum"
"Echium plantaginifolium","Echium plantaginifolium L.","Echium plantagineum"
"Echium plantaginoides","Echium plantaginoides Roem. & Schult.","Echium plantagineum"
"Echium pseudoviolaceum","Echium pseudoviolaceum Schur","Echium plantagineum"
"Echium sennenii","Echium sennenii Pau","Echium plantagineum"
"Echium violaceum","Echium violaceum L.","Echium plantagineum"
"Echium violaceum medium","Echium violaceum var. medium Kuntze","Echium plantagineum"
"Echium vulgare violaceum","Echium vulgare subsp. violaceum (L.) Ces.","Echium plantagineum"
"Echium argentii","Echium argentii Pau","Echium vulgare"
"Echium vulgare vulgare","Echium vulgare f. vulgare","Echium vulgare"
"Agriopyrum caninum","Agriopyrum caninum (L.) Pall.","Elymus caninus"
"Agropyron abchazicum","Agropyron abchazicum Woronow","Elymus caninus"
"Agropyron alpinum","Agropyron alpinum (Schur) P.Candargy, 1901","Elymus caninus"
"Agropyron biflorum","Agropyron biflorum (Brign.) Roem. & Schult.","Elymus caninus"
"Agropyron caninum","Agropyron caninum (L.) Gaertn.","Elymus caninus"
"Agropyron caninum coloratum","Agropyron caninum f. coloratum Montell","Elymus caninus"
"Agropyron caninum muticum","Agropyron caninum f. muticum Holmb.","Elymus caninus"
"Agropyron caninum subglaucum","Agropyron caninum f. subglaucum Soó","Elymus caninus"
"Agropyron caninum submuticum","Agropyron caninum f. submuticum (Peterm.) Soó","Elymus caninus"
"Agropyron caninum biflorum","Agropyron caninum subsp. biflorum (Brign.) Arcang.","Elymus caninus"
"Agropyron caninum subtriflorum","Agropyron caninum subsp. subtriflorum (Parl.) K.Richt.","Elymus caninus"
"Agropyron caninum alpestre","Agropyron caninum var. alpestre (Brügger) Podp.","Elymus caninus"
"Agropyron caninum alpinum","Agropyron caninum var. alpinum Schur","Elymus caninus"
"Agropyron caninum asperum","Agropyron caninum var. asperum Opiz","Elymus caninus"
"Agropyron caninum behmii","Agropyron caninum var. behmii (Melderis) B.Nord.","Elymus caninus"
"Agropyron caninum dasyrhachis","Agropyron caninum var. dasyrhachis (Celak.) Podp.","Elymus caninus"
"Agropyron caninum dominii","Agropyron caninum var. dominii Rohlena","Elymus caninus"
"Agropyron caninum flexuosa","Agropyron caninum var. flexuosa Harz","Elymus caninus"
"Agropyron caninum glabrum","Agropyron caninum var. glabrum Opiz","Elymus caninus"
"Agropyron caninum glaucum","Agropyron caninum var. glaucum Chevall.","Elymus caninus"
"Agropyron caninum gracile","Agropyron caninum var. gracile Lange","Elymus caninus"
"Agropyron caninum gracilius","Agropyron caninum var. gracilius Lange","Elymus caninus"
"Agropyron caninum lapponicum","Agropyron caninum var. lapponicum (Laest.) Holmb.","Elymus caninus"
"Agropyron caninum majus","Agropyron caninum var. majus Baumg.","Elymus caninus"
"Agropyron caninum pauciflorum","Agropyron caninum var. pauciflorum Volkart","Elymus caninus"
"Agropyron caninum rigidum","Agropyron caninum var. rigidum Foucaud","Elymus caninus"
"Agropyron caninum strictum","Agropyron caninum var. strictum (Harz) Podp.","Elymus caninus"
"Agropyron caninum subrepens","Agropyron caninum var. subrepens Callay","Elymus caninus"
"Agropyron caninum tenue","Agropyron caninum var. tenue Opiz","Elymus caninus"
"Agropyron caninum triflorum","Agropyron caninum var. triflorum Schur","Elymus caninus"
"Agropyron caninum ustulatum","Agropyron caninum var. ustulatum Roem. & Schult.","Elymus caninus"
"Agropyron donianum","Agropyron donianum F.B.White","Elymus caninus"
"Agropyron pauciflorum","Agropyron pauciflorum Schur","Elymus caninus"
"Agropyron pseudocaninum","Agropyron pseudocaninum Schur","Elymus caninus"
"Agropyron repens biflorum","Agropyron repens subsp. biflorum (Brign.) P.Fourn.","Elymus caninus"
"Agropyron rupestre","Agropyron rupestre (Fisch. ex Link) Schult.","Elymus caninus"
"Agropyron sepium","Agropyron sepium (Lam.) P.Beauv.","Elymus caninus"
"Brachypodium biflorum","Brachypodium biflorum (Brign.) Kunth","Elymus caninus"
"Brachypodium caninum","Brachypodium caninum (L.) F.Hermann","Elymus caninus"
"Braconotia canina","Braconotia canina (L.) Fourr.","Elymus caninus"
"Braconotia elymoides","Braconotia elymoides Godr.","Elymus caninus"
"Elymus caninus biflorus","Elymus caninus subsp. biflorus (Brign.) Á.Löve & D.Löve","Elymus caninus"
"Elymus caninus donianus","Elymus caninus subsp. donianus (F.B.White) P.D.Sell","Elymus caninus"
"Elymus caninus behmii","Elymus caninus var. behmii (Melderis) Jaaska","Elymus caninus"
"Elymus caninus major","Elymus caninus var. major Roth","Elymus caninus"
"Elymus caninus muticus","Elymus caninus var. muticus (Holmb.) Karlsson","Elymus caninus"
"Elymus donianus","Elymus donianus (F.B.White) Á.Löve & D.Löve","Elymus caninus"
"Elymus helveticus","Elymus helveticus Schmid-Holl.","Elymus caninus"
"Elymus longispicatus","Elymus longispicatus Kotukhov","Elymus caninus"
"Elymus pauciflorus","Elymus pauciflorus Lam.","Elymus caninus"
"Elymus trachycaulus donianus","Elymus trachycaulus subsp. donianus (F.B.White) Á.Löve","Elymus caninus"
"Elytrigia canina","Elytrigia canina (L.) Drobow","Elymus caninus"
"Festuca nutans","Festuca nutans Moench","Elymus caninus"
"Goulardia biflora","Goulardia biflora (Brign.) Husn.","Elymus caninus"
"Goulardia canina","Goulardia canina (L.) Husn.","Elymus caninus"
"Roegneria behmii","Roegneria behmii Melderis","Elymus caninus"
"Roegneria canina","Roegneria canina (L.) Nevski","Elymus caninus"
"Roegneria canina mutica","Roegneria canina f. mutica (Holmb.) Hyl.","Elymus caninus"
"Roegneria canina canina","Roegneria canina subsp. canina","Elymus caninus"
"Roegneria canina glauca","Roegneria canina var. glauca (Hack. ex Čelak.) Prokh.","Elymus caninus"
"Roegneria doniana","Roegneria doniana (F.B.White) Melderis","Elymus caninus"
"Roegneria tuskaulensis","Roegneria tuskaulensis Vassilcz.","Elymus caninus"
"Triticum alpestre","Triticum alpestre Brügger","Elymus caninus"
"Triticum alpinum","Triticum alpinum G.Don","Elymus caninus"
"Triticum biflorum","Triticum biflorum Brign.","Elymus caninus"
"Triticum caninum","Triticum caninum L.","Elymus caninus"
"Triticum caninum dasyrrhachis","Triticum caninum f. dasyrrhachis (Čelak.) Junge","Elymus caninus"
"Triticum caninum gracilius","Triticum caninum f. gracilius (Lange) Neuman","Elymus caninus"
"Triticum caninum alpestre","Triticum caninum subsp. alpestre Killias","Elymus caninus"
"Triticum caninum vaginans","Triticum caninum subsp. vaginans Pers.","Elymus caninus"
"Triticum caninum biflorum","Triticum caninum var. biflorum Blytt","Elymus caninus"
"Triticum caninum lapponicum","Triticum caninum var. lapponicum Laest.","Elymus caninus"
"Triticum caninum montanum","Triticum caninum var. montanum Laest.","Elymus caninus"
"Triticum caninum nemorale","Triticum caninum var. nemorale Laest.","Elymus caninus"
"Triticum caninum pseudocaninum","Triticum caninum var. pseudocaninum Simonk.","Elymus caninus"
"Triticum caninum strictum","Triticum caninum var. strictum Harz","Elymus caninus"
"Agropyron elongatum","Agropyron elongatum (Host) P.Beauv.","Elytrigia elongata"
"Agropyron elongatum ruthenium","Agropyron elongatum subsp. ruthenium (Griseb.) K.Richt.","Elytrigia elongata"
"Agropyron elongatum scirpeum","Agropyron elongatum subsp. scirpeum (C.Presl) Cif. & Giacom.","Elytrigia elongata"
"Agropyron elongatum stipifolium","Agropyron elongatum var. stipifolium (Trautv. ex B.Fedtsch.) B.Fedtsch.","Elytrigia elongata"
"Agropyron elongatum vestitum","Agropyron elongatum var. vestitum (Velen.) Hayek","Elytrigia elongata"
"Agropyron giganteum","Agropyron giganteum (Roth) Roem. & Schult.","Elytrigia elongata"
"Agropyron haifense","Agropyron haifense (Melderis) Bor","Elytrigia elongata"
"Agropyron rigidum","Agropyron rigidum (Schrad.) P.Beauv.","Elytrigia elongata"
"Agropyron rigidum elongatum","Agropyron rigidum subsp. elongatum (Host) P.Candargy","Elytrigia elongata"
"Agropyron scirpeum","Agropyron scirpeum C.Presl","Elytrigia elongata"
"Agropyron scirpeum gracile","Agropyron scirpeum var. gracile Tineo","Elytrigia elongata"
"Agropyron scirpeum involucratum","Agropyron scirpeum var. involucratum Lojac.","Elytrigia elongata"
"Braconotia rigida","Braconotia rigida (Schrad.) Godr.","Elytrigia elongata"
"Elymus elongatus","Elymus elongatus (Host) Greuter","Elytrigia elongata"
"Elymus elongatus haifensis","Elymus elongatus subsp. haifensis (Melderis) Runemark","Elytrigia elongata"
"Elymus elongatus salsus","Elymus elongatus subsp. salsus Melderis","Elytrigia elongata"
"Elymus haifensis","Elymus haifensis (Melderis) Forsan","Elytrigia elongata"
"Elymus scirpeus","Elymus scirpeus (C.Presl) Arrigoni","Elytrigia elongata"
"Elytrigia elongata haifensis","Elytrigia elongata subsp. haifensis (Melderis) Valdés & H.Scholz","Elytrigia elongata"
"Elytrigia elongata salsa","Elytrigia elongata subsp. salsa (Melderis) Valdés & H.Scholz","Elytrigia elongata"
"Elytrigia elongata scirpea","Elytrigia elongata subsp. scirpea (C.Presl) Kerguélen","Elytrigia elongata"
"Elytrigia pontica pontica","Elytrigia pontica subsp. pontica","Elytrigia elongata"
"Elytrigia scirpea","Elytrigia scirpea (C.Presl) Holub","Elytrigia elongata"
"Lophopyrum elongatum","Lophopyrum elongatum (Host) Á.Löve","Elytrigia elongata"
"Lophopyrum haifense","Lophopyrum haifense (Melderis) Á.Löve","Elytrigia elongata"
"Lophopyrum scirpeum","Lophopyrum scirpeum (C.Presl) Á.Löve","Elytrigia elongata"
"Thinopyrum scirpeum","Thinopyrum scirpeum (C.Presl) D.R.Dewey","Elytrigia elongata"
"Triticum elongatum","Triticum elongatum Host","Elytrigia elongata"
"Triticum giganteum","Triticum giganteum (Roth) Roth","Elytrigia elongata"
"Triticum junceum giganteum","Triticum junceum var. giganteum Roth","Elytrigia elongata"
"Triticum junceum rigidum","Triticum junceum var. rigidum (Schrad.) Wahlenb.","Elytrigia elongata"
"Triticum pilosum","Triticum pilosum Seenus","Elytrigia elongata"
"Triticum rigidum","Triticum rigidum Schrad.","Elytrigia elongata"
"Triticum scirpeum","Triticum scirpeum (C.Presl) Guss.","Elytrigia elongata"
"Agropyron elongatum littorale","Agropyron elongatum var. littorale Lavrenko","Elytrigia intermedia"
"Agropyron glaucum angustifolium","Agropyron glaucum var. angustifolium Krylov","Elytrigia intermedia"
"Agropyron glaucum intermedium","Agropyron glaucum var. intermedium (Host) Beck","Elytrigia intermedia"
"Agropyron glaucum latronum","Agropyron glaucum var. latronum (Godr.) K.Richt.","Elytrigia intermedia"
"Agropyron glaucum pilosum","Agropyron glaucum var. pilosum Le Grand, 1871","Elytrigia intermedia"
"Agropyron glaucum villiferum","Agropyron glaucum var. villiferum Beck","Elytrigia intermedia"
"Agropyron goiranicum","Agropyron goiranicum Vis., 1874","Elytrigia intermedia"
"Agropyron intermedium","Agropyron intermedium (Host) P.Beauv.","Elytrigia intermedia"
"Agropyron intermedium virescens","Agropyron intermedium f. virescens (Pani) Hayek, 1933","Elytrigia intermedia"
"Agropyron intermedium angustifolium","Agropyron intermedium var. angustifolium (Krylov) Schmalh.","Elytrigia intermedia"
"Agropyron intermedium hispidum","Agropyron intermedium var. hispidum (Asch. & Graebn.) Hayek","Elytrigia intermedia"
"Agropyron intermedium longiaristatum","Agropyron intermedium var. longiaristatum (Posp.) Hayek","Elytrigia intermedia"
"Agropyron intermedium major","Agropyron intermedium var. major Morariu","Elytrigia intermedia"
"Agropyron intermedium megastachyum","Agropyron intermedium var. megastachyum (Cernajex.) Podp.","Elytrigia intermedia"
"Agropyron intermedium mucronatum","Agropyron intermedium var. mucronatum (Schur) Pdop.","Elytrigia intermedia"
"Agropyron intermedium savignonii","Agropyron intermedium var. savignonii (DeNot.) Beck","Elytrigia intermedia"
"Agropyron intermedium villiferum","Agropyron intermedium var. villiferum (Beck) Hayek","Elytrigia intermedia"
"Agropyron intermedium villosulum","Agropyron intermedium var. villosulum (Podp.) Podp.","Elytrigia intermedia"
"Agropyron intermedium villosum","Agropyron intermedium var. villosum Schmalh.","Elytrigia intermedia"
"Agropyron pilosum","Agropyron pilosum Schur","Elytrigia intermedia"
"Agropyron pouzolzii latronum","Agropyron pouzolzii var. latronum (Godr.) Rouy ex Litard.","Elytrigia intermedia"
"Agropyron repens virescens","Agropyron repens var. virescens (Pancic) K.Richt.","Elytrigia intermedia"
"Agropyron savignonii","Agropyron savignonii DeNot.","Elytrigia intermedia"
"Agropyron trichophorum goiranicum","Agropyron trichophorum var. goiranicum (Vis.) Anghel & Morariu","Elytrigia intermedia"
"Agropyrum intermedium","Agropyrum intermedium","Elytrigia intermedia"
"Agropyrum intermedium virescens","Agropyrum intermedium f. virescens","Elytrigia intermedia"
"Elytrigia intermedia latronum","Elytrigia intermedia var. latronum (Godr.) Prokudin","Elytrigia intermedia"
"Elytrigia intermedia virescens","Elytrigia intermedia var. virescens (Pancic) Prokudin","Elytrigia intermedia"
"Trichopyrum intermedium","Trichopyrum intermedium (Host) Á.Löve","Elytrigia intermedia"
"Triticum arenicola","Triticum arenicola A.Kern.","Elytrigia intermedia"
"Triticum glaucum pilosum","Triticum glaucum f. pilosum Borbás","Elytrigia intermedia"
"Triticum glaucum virescens","Triticum glaucum f. virescens Pani, 1856","Elytrigia intermedia"
"Triticum glaucum aristatum","Triticum glaucum var. aristatum Sadl. ex Zapal.","Elytrigia intermedia"
"Triticum glaucum hispidum","Triticum glaucum var. hispidum Asch. & Graebn.","Elytrigia intermedia"
"Triticum glaucum latronum","Triticum glaucum var. latronum (Godr.) Asch. & Graebn.","Elytrigia intermedia"
"Triticum goiranicum","Triticum goiranicum (Vis.) Nyman, 1884","Elytrigia intermedia"
"Triticum intermedium elongatum","Triticum intermedium f. elongatum Waisb.","Elytrigia intermedia"
"Triticum intermedium pilosulum","Triticum intermedium f. pilosulum Borbás","Elytrigia intermedia"
"Triticum intermedium longiaristatum","Triticum intermedium var. longiaristatum Posp.","Elytrigia intermedia"
"Triticum intermedium macrostachyum","Triticum intermedium var. macrostachyum Cernajex.","Elytrigia intermedia"
"Triticum intermedium villosulum","Triticum intermedium var. villosulum Podp.","Elytrigia intermedia"
"Triticum repens intermedium","Triticum repens subsp. intermedium (Host) Simonk.","Elytrigia intermedia"
"Triticum repens glaucum","Triticum repens var. glaucum (Roem. & Schult.) Coss. & Durieu","Elytrigia intermedia"
"Triticum rigidum stipifolium","Triticum rigidum var. stipifolium Trautv. ex B.Fedtsch.","Elytrigia intermedia"
"Triticum rigidum vestitum","Triticum rigidum var. vestitum Velen.","Elytrigia intermedia"
"Triticum truncatus","Triticum truncatus Link","Elytrigia intermedia"
"Agropyron balearicum","Agropyron balearicum Bianor","Elytrigia campestris"
"Agropyron campestre","Agropyron campestre Godr. & Gren.","Elytrigia campestris"
"Agropyron campestre boraeanum","Agropyron campestre var. boraeanum Rouy","Elytrigia campestris"
"Agropyron godronii","Agropyron godronii Kerguélen","Elytrigia campestris"
"Agropyron intermedium campestre","Agropyron intermedium subsp. campestre (Godr. & Gren.) Vollm.","Elytrigia campestris"
"Agropyron ligericinum","Agropyron ligericinum Rouy","Elytrigia campestris"
"Agropyron repens campestre","Agropyron repens subsp. campestre (Godr. & Gren.) Corb.","Elytrigia campestris"
"Elymus campestris","Elymus campestris (Godr. & Gren.) Kerguélen","Elytrigia campestris"
"Elytrigia godronii","Elytrigia godronii Holub","Elytrigia campestris"
"Elytrigia intermedia campestris","Elytrigia intermedia subsp. campestris (Godr. & Gren.) Dostál","Elytrigia campestris"
"Elytrigia pungens campestris","Elytrigia pungens subsp. campestris (Godr. & Gren.) Á.Löve","Elytrigia campestris"
"Psammopyrum pungens campestre","Psammopyrum pungens subsp. campestre (Godr. & Gren.) Á.Löve","Elytrigia campestris"
"Psammopyrum pungens campestris","Psammopyrum pungens subsp. campestris (Gren. & Godr.) Á.Löve","Elytrigia campestris"
"Triticum campestre","Triticum campestre (Godr. & Gren.) Nyman","Elytrigia campestris"
"Triticum intermedium campestre","Triticum intermedium subsp. campestre (Godr. & Gren.) Nyman","Elytrigia campestris"
"Agropyron altissimum","Agropyron altissimum (Schur) P.Candargy","Elytrigia repens"
"Agropyron boroei","Agropyron boroei Le Grand, 1873","Elytrigia repens"
"Agropyron dumetorum","Agropyron dumetorum Opiz, 1836","Elytrigia repens"
"Agropyron junceum repens","Agropyron junceum var. repens (L.) T.Marsson","Elytrigia repens"
"Agropyron leersianum","Agropyron leersianum Opiz, 1836","Elytrigia repens"
"Agropyron maeoticum","Agropyron maeoticum Prokudin ex Des.-Shost.","Elytrigia repens"
"Agropyron reichenbachianum","Agropyron reichenbachianum Opiz, 1836","Elytrigia repens"
"Agropyron repens","Agropyron repens (L.) P.Beauv.","Elytrigia repens"
"Agropyron repens distans","Agropyron repens f. distans Lange","Elytrigia repens"
"Agropyron repens repens","Agropyron repens subsp. repens","Elytrigia repens"
"Agropyron repens arenosum","Agropyron repens var. arenosum (Spenn.) Fiori","Elytrigia repens"
"Agropyron repens capillare","Agropyron repens var. capillare (Pers. ex Peterm.) Roem. & Schult.","Elytrigia repens"
"Agropyron repens dumetorum","Agropyron repens var. dumetorum Rchb.","Elytrigia repens"
"Agropyron repens firmum","Agropyron repens var. firmum (J.Presl & C.Presl) Rchb.","Elytrigia repens"
"Agropyron repens glaucescens","Agropyron repens var. glaucescens (Engl. ex Asch. & Graebn.) Hegi","Elytrigia repens"
"Agropyron repens littorale","Agropyron repens var. littorale (Bab.) Lange","Elytrigia repens"
"Agropyron repens vulgare","Agropyron repens var. vulgare (Doell.) Kneuck.","Elytrigia repens"
"Agropyron seidlii","Agropyron seidlii Opiz, 1836","Elytrigia repens"
"Agropyron vaillantianum","Agropyron vaillantianum Opiz, 1836","Elytrigia repens"
"Braconotia officinarum","Braconotia officinarum Godr.","Elytrigia repens"
"Elymus repens glauca","Elymus repens subsp. glauca (Döll) Adema","Elytrigia repens"
"Elytrigia maeotica","Elytrigia maeotica Produkin","Elytrigia repens"
"Elytrigia repens aristata","Elytrigia repens var. aristata Prokudin","Elytrigia repens"
"Elytrigia repens leersianum","Elytrigia repens var. leersianum (Roem. & Schult.) Prokudin","Elytrigia repens"
"Elytrigia repens vulgare","Elytrigia repens var. vulgare (Doell.) Prokudin","Elytrigia repens"
"Frumentum repens","Frumentum repens (L.) E.H.L.Krause","Elytrigia repens"
"Triticum caesium","Triticum caesium Harz","Elytrigia repens"
"Triticum festuceum","Triticum festuceum Wulfen, 1858","Elytrigia repens"
"Triticum infestum","Triticum infestum Salisb.","Elytrigia repens"
"Triticum leersianum","Triticum leersianum Roem. & Schult., 1817","Elytrigia repens"
"Triticum repens","Triticum repens L.","Elytrigia repens"
"Triticum repens capillare","Triticum repens f. capillare Pers.","Elytrigia repens"
"Triticum repens hirsutum","Triticum repens f. hirsutum Jansen & Wacht.","Elytrigia repens"
"Triticum repens multiflorum","Triticum repens f. multiflorum Peterm.","Elytrigia repens"
"Triticum repens pectinatum","Triticum repens f. pectinatum R. & O.Schulz","Elytrigia repens"
"Triticum repens scabrum","Triticum repens f. scabrum Jansen & Wacht.","Elytrigia repens"
"Triticum repens viride","Triticum repens f. viride M.Marsson","Elytrigia repens"
"Triticum repens arenosum","Triticum repens subsp. arenosum Spenn.","Elytrigia repens"
"Triticum repens aristatum","Triticum repens var. aristatum Doell.","Elytrigia repens"
"Triticum repens glaucescens","Triticum repens var. glaucescens Engl.","Elytrigia repens"
"Triticum repens littorale","Triticum repens var. littorale Bab.","Elytrigia repens"
"Triticum repens majus","Triticum repens var. majus Doell.","Elytrigia repens"
"Triticum repens pubescens","Triticum repens var. pubescens Doell.","Elytrigia repens"
"Triticum stenophyllum","Triticum stenophyllum Asch. & Graebn.","Elytrigia repens"
"Triticum vaillantianum","Triticum vaillantianum Wulfen","Elytrigia repens"
"Zeia repens","Zeia repens (L.) Lunell","Elytrigia repens"
"Agropyron elongatum argaea","Agropyron elongatum var. argaea Rech.f.","Elytrigia juncea"
"Agropyron farctum","Agropyron farctum (Viv.) Rothm.","Elytrigia juncea"
"Agropyron junceum","Agropyron junceum (L.) P.Beauv.","Elytrigia juncea"
"Agropyron junceum humile","Agropyron junceum f. humile Hausskn.","Elytrigia juncea"
"Agropyron junceum majus","Agropyron junceum f. majus Hausskn.","Elytrigia juncea"
"Agropyron junceum mediterraneum","Agropyron junceum subsp. mediterraneum Simonet","Elytrigia juncea"
"Agropyron junceum sartori","Agropyron junceum subsp. sartori (Boiss. & Heldr.) Maire","Elytrigia juncea"
"Agropyron junceum affine","Agropyron junceum var. affine Rchb.","Elytrigia juncea"
"Agropyron junceum confertum","Agropyron junceum var. confertum Hausskn.","Elytrigia juncea"
"Agropyron junceum crassum","Agropyron junceum var. crassum Gray","Elytrigia juncea"
"Agropyron junceum foliosum","Agropyron junceum var. foliosum Gray","Elytrigia juncea"
"Agropyron junceum glabrum","Agropyron junceum var. glabrum Maire","Elytrigia juncea"
"Agropyron junceum megastachyum","Agropyron junceum var. megastachyum (Fr.) PérezLara","Elytrigia juncea"
"Agropyron junceum parvispicum","Agropyron junceum var. parvispicum Costa","Elytrigia juncea"
"Agropyron junceum reflexum","Agropyron junceum var. reflexum Sennen & Maire","Elytrigia juncea"
"Agropyron junceum sartorii","Agropyron junceum var. sartorii Boiss. & Heldr.","Elytrigia juncea"
"Agropyron junceum velutinum","Agropyron junceum var. velutinum H.Lindb.","Elytrigia juncea"
"Agropyron lepturoides","Agropyron lepturoides Lojac.","Elytrigia juncea"
"Agropyron repens junceum","Agropyron repens subsp. junceum (L.) Bonnier & Layens","Elytrigia juncea"
"Agropyron sartorii","Agropyron sartorii (Boiss. & Heldr.) Grecescu","Elytrigia juncea"
"Braconotia juncea","Braconotia juncea (L.) Godr.","Elytrigia juncea"
"Bromus truncatus","Bromus truncatus Scop.","Elytrigia juncea"
"Elymus farctus","Elymus farctus (Viv.) Runemark","Elytrigia juncea"
"Elymus farctus sartorii","Elymus farctus var. sartorii (Boiss. & Heldr.) Melderis","Elytrigia juncea"
"Elymus farctus striatulus","Elymus farctus var. striatulus (Runemark) Melderis","Elytrigia juncea"
"Elymus multinodus","Elymus multinodus Gould","Elytrigia juncea"
"Elymus striatulus","Elymus striatulus Runemark","Elytrigia juncea"
"Elytrigia farcta","Elytrigia farcta (Viv.) Holub","Elytrigia juncea"
"Elytrigia juncea juncea","Elytrigia juncea subsp. juncea","Elytrigia juncea"
"Elytrigia juncea mediterranea","Elytrigia juncea subsp. mediterranea (Simonet) Hyl.","Elytrigia juncea"
"Elytrigia juncea sartorii","Elytrigia juncea var. sartorii (Boiss. & Heldr.) Täckh.","Elytrigia juncea"
"Elytrigia mediterranea","Elytrigia mediterranea (Simonet) Prokudin","Elytrigia juncea"
"Elytrigia rechingerae","Elytrigia rechingerae (Runemark) Holub","Elytrigia juncea"
"Elytrigia sartorii","Elytrigia sartorii (Boiss. & Heldr.) Holub","Elytrigia juncea"
"Elytrigia striatula","Elytrigia striatula (Runemark) Holub","Elytrigia juncea"
"Festuca juncea","Festuca juncea (L.) Moench","Elytrigia juncea"
"Frumentum junceum","Frumentum junceum (L.) E.H.L.Krause","Elytrigia juncea"
"Lolium subulatum","Lolium subulatum Degen","Elytrigia juncea"
"Thinopyrum junceum mediterraneum","Thinopyrum junceum subsp. mediterraneum (Simonet) Á.Löve","Elytrigia juncea"
"Thinopyrum runemarkii","Thinopyrum runemarkii Á.Löve","Elytrigia juncea"
"Thinopyrum sartorii","Thinopyrum sartorii (Boiss. & Heldr.) Á.Löve","Elytrigia juncea"
"Triticum farctum","Triticum farctum Viv.","Elytrigia juncea"
"Triticum junceum pungens","Triticum junceum subsp. pungens Pers.","Elytrigia juncea"
"Triticum junceum sartorii","Triticum junceum subsp. sartorii (Boiss. & Heldr.) Nyman","Elytrigia juncea"
"Triticum junceum megastachyum","Triticum junceum var. megastachyum Fr.","Elytrigia juncea"
"Triticum junceum microstachyum","Triticum junceum var. microstachyum Fr.","Elytrigia juncea"
"Triticum litoreum","Triticum litoreum Brot.","Elytrigia juncea"
"Triticum sartorii","Triticum sartorii (Boiss. & Held.) Boiss. & Heldr. ex Nyman","Elytrigia juncea"
"Boisduvalia","Boisduvalia Spach","Epilobium"
"Boisduvallia","Boisduvallia","Epilobium"
"Chamaenerium","Chamaenerium É.Spach, 1835","Epilobium"
"Chamaerion","Chamaerion Holub, 1972","Epilobium"
"Chamerion","Chamerion Raf. ex Holub","Epilobium"
"Cordylophorum","Cordylophorum Rydb.","Epilobium"
"Cratericarpium","Cratericarpium Spach","Epilobium"
"Crossostigma","Crossostigma Spach","Epilobium"
"Epilobiopsis","Epilobiopsis Speg. ex H.Lév.","Epilobium"
"Pyrogennema","Pyrogennema Lunell","Epilobium"
"Zauschneria","Zauschneria C.Presl","Epilobium"
"Epilboium adenocaulon","Epilboium adenocaulon","Epilobium ciliatum"
"Epilobium brevistylum","Epilobium brevistylum Barb.Rodr.","Epilobium ciliatum"
"Epilobium maximowitzii","Epilobium maximowitzii Hausskn., 1879","Epilobium ciliatum"
"Chamaerion fleischeri","Chamaerion fleischeri (Hochst.) Holub, 1972","Chamaenerion fleischeri"
"Chamerion fleischeri","Chamerion fleischeri (Hochst.) Holub","Chamaenerion fleischeri"
"Epilobium denticulatum","Epilobium denticulatum Wender.","Chamaenerion fleischeri"
"Epilobium dodonaei platyphyllum","Epilobium dodonaei f. platyphyllum Hausskn.","Chamaenerion fleischeri"
