"spec.name","spec.name.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name"
"Achillea collina","Achillea collina",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,16,1,"wfo-0000070589","urn:lsid:ipni.org:names:60477838-2","GCC-51BC773E-6287-4E76-B382-32AB5F684695","Achillea collina","species","wfo-4000000214","(Becker ex Rchb.f.) Heimerl","Asteraceae","Asteroideae","Anthemideae","","Achillea","","collina","","species","Valid","Sched. Fl. Exs. Austro-Hung. [Kerner] 3: 116. 1883","Accepted","","wfo-0000108357",NA,"Source in seed data: gcc More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-27395 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/gcc-27395 >The Plant List v.1.0</a>","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1089108","The Asteraceaae TEN","A","gcc-27395","",TRUE,"Synonym","wfo-0000008845","Achillea collina"
"Achillea collina","Achillea collina",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,16,2,"wfo-0000040535","urn:lsid:ipni.org:names:180482-1","GCC-BC8FF78B-439C-4586-AF8E-19DAD43AB6E8","Aspilia silphioides","species","wfo-4000003335","Benth. & Hook.f.","Asteraceae","Asteroideae","Heliantheae","Ecliptinae","Aspilia","","silphioides","","species","Valid","Gen. Pl. 2(1): 372 (1873)","Accepted","","wfo-0000137257",NA,"Source in seed data: gcc Update namepublishedIn from 372 1873 to Gen. Pl. 2(1): 372 (1873), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-13920 >The Plant List v","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1086225","The Asteraceaae TEN","A","gcc-13920","",TRUE,"Synonym","wfo-0000024249","Achillea collina"
"Achillea collina","Achillea collina",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,16,3,"wfo-0000070589","urn:lsid:ipni.org:names:60477838-2","GCC-51BC773E-6287-4E76-B382-32AB5F684695","Achillea collina","species","wfo-4000000214","(Becker ex Rchb.f.) Heimerl","Asteraceae","Asteroideae","Anthemideae","","Achillea","","collina","","species","Valid","Sched. Fl. Exs. Austro-Hung. [Kerner] 3: 116. 1883","Accepted","","wfo-0000108357",NA,"Source in seed data: gcc More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-27395 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/gcc-27395 >The Plant List v.1.0</a>","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1089108","The Asteraceaae TEN","A","gcc-27395","",FALSE,"","",""
"Achillea ligustica","Achillea ligustica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,17,1,"wfo-0000092435","urn:lsid:ipni.org:names:2332-2","GCC-C757D4E2-E96E-40D3-A4C2-5A3039CAE062","Achillea nobilis","species","wfo-4000000214","L.","Asteraceae","Asteroideae","Anthemideae","","Achillea","","nobilis","","species","Valid","Sp. Pl. : 899 (1753)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 899 1753 to Sp. Pl. : 899 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-48678 >The Plant Lis","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1094272","The Asteraceaae TEN","A","gcc-48678","",TRUE,"Synonym","wfo-0000029015","Achillea ligustica"
"Achillea ligustica","Achillea ligustica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,17,2,"wfo-0000032595","urn:lsid:ipni.org:names:174075-1","GCC-FAA9BB14-EB85-4459-88CD-E1196454C278","Achillea ligustica","species","wfo-4000000214","All.","Asteraceae","Asteroideae","Anthemideae","","Achillea","","ligustica","","species","Valid","Auct. Syn. Meth. Stirp. Hort. Regii Taur. : 17 (1773)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Auct. Syn. Meth. Stirp. Hort. Regii Taur. 17. 1773 ; Mélanges Philos. Math. Soc. Roy. Turin 5: 69. 1774 to Auct. Syn. Meth. Stirp. Hort. Regii Taur. : 17 (1773), information provided by Alan E. on ema","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1111343","The Asteraceaae TEN","A","gcc-131521","",FALSE,"","",""
"Achillea millefolium","Achillea millefolium",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,18,1,"wfo-0000042097","urn:lsid:ipni.org:names:2294-2","GCC-40160FE1-53D5-4C15-9595-F5B87A104673","Achillea millefolium","species","wfo-4000000214","L.","Asteraceae","Asteroideae","Anthemideae","","Achillea","","millefolium","","species","Valid","Sp. Pl. : 899 (1753)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 2 899 1753 to Sp. Pl. : 899 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-140712 >The Plant ","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=993723","The Asteraceaae TEN","A","gcc-140712","",FALSE,"","",""
"Achillea millefolium ceretanica","Achillea millefolium ceretanica",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,11,19,1,"wfo-0000042097","urn:lsid:ipni.org:names:2294-2","GCC-40160FE1-53D5-4C15-9595-F5B87A104673","Achillea millefolium","species","wfo-4000000214","L.","Asteraceae","Asteroideae","Anthemideae","","Achillea","","millefolium","","species","Valid","Sp. Pl. : 899 (1753)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 2 899 1753 to Sp. Pl. : 899 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-140712 >The Plant ","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=993723","The Asteraceaae TEN","A","gcc-140712","",FALSE,"","",""
"Achillea millefolium millefolium","Achillea millefolium millefolium",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,20,1,"wfo-0000042097","urn:lsid:ipni.org:names:2294-2","GCC-40160FE1-53D5-4C15-9595-F5B87A104673","Achillea millefolium","species","wfo-4000000214","L.","Asteraceae","Asteroideae","Anthemideae","","Achillea","","millefolium","","species","Valid","Sp. Pl. : 899 (1753)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 2 899 1753 to Sp. Pl. : 899 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-140712 >The Plant ","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=993723","The Asteraceaae TEN","A","gcc-140712","",TRUE,"Synonym","wfo-0000019140","Achillea millefolium f. millefolium"
"Achillea nobilis","Achillea nobilis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,21,1,"wfo-0000024466","urn:lsid:ipni.org:names:174142-1","GCC-4D33310B-17CC-4FC6-8AD4-CECE45FA2DAC","Achillea nobilis","species","","Roch. ex Nyman","Asteraceae","Asteroideae","Anthemideae","","Achillea","","nobilis","","species","Valid","Consp. Fl. Eur. 2: 367 (1879)","Unchecked","","",NA,"Source in seed data: gcc Update namepublishedIn from Consp. Fl. Eur. 2: 367. 1879 [Oct 1879] to Consp. Fl. Eur. 2: 367 (1879), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1142715","The Asteraceaae TEN","A","gcc-123642","",FALSE,"","",""
"Achillea nobilis","Achillea nobilis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,21,2,"wfo-0000092435","urn:lsid:ipni.org:names:2332-2","GCC-C757D4E2-E96E-40D3-A4C2-5A3039CAE062","Achillea nobilis","species","wfo-4000000214","L.","Asteraceae","Asteroideae","Anthemideae","","Achillea","","nobilis","","species","Valid","Sp. Pl. : 899 (1753)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 899 1753 to Sp. Pl. : 899 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-48678 >The Plant Lis","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1094272","The Asteraceaae TEN","A","gcc-48678","",FALSE,"","",""
