"accepted_taxa","original_taxa_Midolo2023","Disturbance.Frequency_Midolo2023","Disturbance.Frequency.herblayer_Midolo2023","Disturbance.Severity_Midolo2023","Disturbance.Severity.herblayer_Midolo2023","Grazing.Pressure_Midolo2023","Mowing.Frequency_Midolo2023","Soil.Disturbance_Midolo2023","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023","original_taxa_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor","original_taxa_YvozValPol","Flower.color_YvozValPol","Flower.class_YvozValPol","Flower.type_YvozValPol","PV.Bees_YvozValPol","PV.Bumblebees_YvozValPol","PV.butterflies_YvozValPol","PV.Hoverflies_YvozValPol","Nectar.quantity_YvozValPol","Pollen.quantity_YvozValPol","Floral.symmetry_YvozValPol","Flower.UV.reflectance.centre_YvozValPol","Flower.UV.reflectance.periphery_YvozValPol","original_taxa_SPVignes","Flowering.onset_SPVignes","Plant.height_cm_SPVignes","Strategy_Grime_SPVignes","Lifeform_Raunkier_SPVignes","original_taxa_ATVinedivers","Growth.form_ATVinedivers","Strategy.Grime_ATVinedivers","Plant.lifespan_ATVinedivers","original_taxa_Hodgson2023","Lifecycle_Hodgson2023","SLA_mm2.mg-1_Hodgson2023","Vegetative.propagation_Hodgson2023","original_taxa_GIFT","Dispersal.mode_1_GIFT","Dispersal.mode_2_GIFT","Flower.color_GIFT","Flower.length_max_cm_GIFT","Flower.length_min_cm_GIFT","Flower.width_max_cm_GIFT","Flower.width_min_cm_GIFT","Inflorescence_GIFT","Leaf.area_cm2_GIFT","Lifecycle_GIFT","Photosynthetic.pathway_GIFT","Plant.height_max_m_GIFT","Plant.height_mean_m_GIFT","Pollination.syndrome_1_GIFT","Pollination.syndrome_2_GIFT","Pollination.syndrome_3_GIFT","Seed.mass_g_GIFT","SLA_cm2.g-1_GIFT","original_taxa_FlorealData","Flower.color_FlorealData","Lifeform_FlorealData","Plant.height_cm_FlorealData","original_taxa_Ecoflora","Plant.height_m_Ecoflora","Seed.mass_mg_Ecoflora","original_taxa_Biolflor","Flower.UV.reflectance_Biolflor","Seed.mass_mg_Biolflor","original_taxa_CLOPLA","Clonal.index_CLOPLA","offspring_CLOPLA","offspring.wsmall_CLOPLA","lateral.spread_cm_CLOPLA","original_taxa_Ladouceur2019","Clonal.index_Ladouceur2019","Clonal.presence_Ladouceur2019","Flowering.duration_month_Ladouceur2019","Flowering.onset_month_Ladouceur2019","Plant.height_cm_Ladouceur2019","Radial.growth_mm.year-1_Ladouceur2019","Seed.dormancy_Ladouceur2019","Seed.mass_mg_Ladouceur2019","Seeding.onset_month_Ladouceur2019","Seeding.season_Ladouceur2019","SLA_cm2.g-1_Ladouceur2019"
"Heracleum sphondylium sphondylium","Heracleum sphondylium",0.61406,1.54846,0.56226,0.41637,0.16075,0.46699,0.26335,"Heracleum sphondylium",7.1,5.5,7.2,6.6,0.1,4.5,"Heracleum sphondylium","2","Local non-specific dispersal",1.08625,6.22033956709956,"Heracleum sphondylium subsp. sphondylium","Européen","Blanc","Anémochore","6-9","Ombelle d'ombellules","Entomogame","Heracleum sphondylium","White","Flowers with open nectar","Disk flowers with nectar open",1,5.14,6.33,6.96,"Present","Present","Zygomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heracleum sphondylium","Herb.perenn",23.19454545,"0","Heracleum sphondylium","Unspecialized",NA,NA,NA,NA,NA,NA,NA,819.50667,"Perennial","C3",2,1.231,"Biotic","Insect",NA,0.0062421785,221.72,"Heracleum sphondylium","Blanc","Autre",100,"Heracleum sphondylium",1.83333333333333,5.75,"Heracleum sphondylium",3.5,NA,"""heracleum sphondylium l.""",NA,NA,NA,NA,"Heracleum sphondylium",NA,"0",4,"5",183.3333333,NA,"Mpd",6.520725,"9","Late summer",16.2
"Herniaria","Herniaria glabra_Herniaria hirsuta",1.587095,2.06222,0.62012,0.60655,0.30154,0.45171,0.40289,"Herniaria glabra_Herniaria hirsuta",8.65,3.4,2.5,NA,0,5.9,"Herniaria glabra_Herniaria hirsuta_Herniaria lusitanica","1_6","Epizoochory_Local non-specific dispersal",0.1224,0.297540208333333,"Herniaria cinerea_Herniaria glabra_Herniaria hirsuta","Eurasiatique tempéré_Européen","Vert","Barochore","5-8_5-9","Glomérules","Entomogame","Herniaria glabra_Herniaria hirsuta","Green","Flowers with open nectar","Disk flowers with nectar open",3.310275921,2.7739552465,4.8054702155,3.772619533,"None_Present","Plenty","Actinomorphe",7.5,7.5,NA,NA,NA,NA,NA,"Herniaria hirsuta subsp. cinerea","H","R","P","Herniaria glabra_Herniaria hirsuta","Ann",24.97,NA,"Herniaria cinerea_Herniaria glabra_Herniaria hirsuta","Autochorous",NA,NA,0.14,0.1,0.25,0.14,NA,0.108375,"Annual","C3",0.3,0.0915,"Biotic","Insect","Insect",0.000348416666666666,234.325,NA,NA,NA,NA,"Herniaria glabra",0.014,NA,"Herniaria glabra_Herniaria hirsuta",11.5,0.0793333333333333,"""herniaria glabra l.""_""herniaria hirsuta l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Herniaria glabra","Herniaria glabra",1.6668,2.00922,0.5503,0.53805,0.3154,0.50104,0.3619,"Herniaria glabra",8.6,3.5,2.5,NA,0,5.9,"Herniaria glabra","6","Epizoochory",0.123,0.0837466666666666,"Herniaria glabra","Européen","Vert","Barochore","5-9","Glomérules","Entomogame","Herniaria glabra","Green","Flowers with open nectar","Disk flowers with nectar open",3.21715945,2.736757509,4.729994449,3.618131729,"None","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herniaria glabra","Ann",24.58666667,NA,"Herniaria glabra","Autochorous",NA,NA,NA,NA,NA,NA,NA,0.0755,NA,"C3",0.3,0.085,"Biotic","Insect","Insect",8.05e-05,199.25,NA,NA,NA,NA,"Herniaria glabra",0.014,NA,"Herniaria glabra",11.5,NA,"""herniaria glabra l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Herniaria hirsuta","Herniaria hirsuta",1.50739,2.11522,0.68994,0.67505,0.28768,0.40238,0.44388,"Herniaria hirsuta",8.7,3.3,NA,NA,0,NA,"Herniaria hirsuta","1","Local non-specific dispersal",0.1218,0.51133375,"Herniaria hirsuta","Eurasiatique tempéré","Vert","Barochore","5-8","Glomérules","Entomogame","Herniaria hirsuta","Green","Flowers with open nectar","Disk flowers with nectar open",3.403392392,2.811152984,4.880945982,3.927107337,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herniaria hirsuta","Ann",25.35333333,NA,"Herniaria hirsuta",NA,NA,NA,NA,NA,NA,NA,NA,0.14125,"Annual","C3",0.2,0.098,"Biotic","Insect",NA,0.000616333333333333,269.4,NA,NA,NA,NA,NA,NA,NA,"Herniaria hirsuta",NA,0.0793333333333333,"""herniaria hirsuta l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Herniaria hirsuta cinerea","Herniaria hirsuta",1.50739,2.11522,0.68994,0.67505,0.28768,0.40238,0.44388,"Herniaria hirsuta",8.7,3.3,NA,NA,0,NA,"Herniaria hirsuta","1","Local non-specific dispersal",0.1218,0.51133375,"Herniaria cinerea","Eurasiatique tempéré","Vert","Barochore","5-8","Glomérules","Entomogame","Herniaria hirsuta","Green","Flowers with open nectar","Disk flowers with nectar open",3.403392392,2.811152984,4.880945982,3.927107337,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,"Herniaria hirsuta subsp. cinerea","H","R","P","Herniaria hirsuta","Ann",25.35333333,NA,"Herniaria cinerea",NA,NA,NA,0.14,0.1,0.25,0.14,NA,NA,"Annual","C3",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herniaria hirsuta",NA,0.0793333333333333,"""herniaria hirsuta l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Herniaria hirsuta cinerea","Herniaria hirsuta",1.50739,2.11522,0.68994,0.67505,0.28768,0.40238,0.44388,"Herniaria hirsuta",8.7,3.3,NA,NA,0,NA,"Herniaria hirsuta","1","Local non-specific dispersal",0.1218,0.51133375,"Herniaria cinerea","Eurasiatique tempéré","Vert","Barochore","5-8","Glomérules","Entomogame","Herniaria hirsuta","Green","Flowers with open nectar","Disk flowers with nectar open",3.403392392,2.811152984,4.880945982,3.927107337,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,"Herniaria hirsuta subsp. cinerea","H","R","P","Herniaria hirsuta","Ann",25.35333333,NA,"Herniaria cinerea",NA,NA,NA,0.14,0.1,0.25,0.14,NA,NA,"Annual","C3",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herniaria hirsuta",NA,0.0793333333333333,"""herniaria hirsuta l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Herniaria lusitanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herniaria lusitanica",NA,"Local non-specific dispersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus trionum","Hibiscus trionum",1.91639,2.04081,0.82715,0.82549,0.15728,0.93899,0.75081,"Hibiscus trionum",7.7,5,6.6,6.6,0.2,NA,"Hibiscus trionum","2","Local non-specific dispersal",0.334,4.812,"Hibiscus trionum","Méditerranéen oriental","Rose","Barochore",NA,"Racème de cymes unipares scorpioïdes","Entomogame","Hibiscus trionum","Yellow","Pollen flowers","Disk flowers with nectar hidden nectaries at base of stamens",3.807043348,3.110485689,5.290953032,4.418656555,"None","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,"Hibiscus trionum","H","R","A",NA,NA,NA,NA,"Hibiscus trionum","Unspecialized",NA,NA,NA,NA,NA,NA,NA,NA,"Annual","C3",1.5,0.466666666666667,"Biotic","Insect","Insect",0.00442925,NA,NA,NA,NA,NA,NA,NA,NA,"Hibiscus trionum",NA,5.724,"""hibiscus trionum l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hieracium","Hieracium amplexicaule_Hieracium lachenalii_Hieracium laevigatum_Hieracium murorum_Hieracium sabaudum_Hieracium umbellatum_Hieracium villosum",0.309858571428571,1.30589142857143,0.557871428571429,0.222392857142857,0.217855714285714,0.0970442857142857,0.144598571428571,"Hieracium amplexicaule_Hieracium lachenalii_Hieracium laevigatum_Hieracium murorum_Hieracium sabaudum_Hieracium umbellatum_Hieracium villosum",6.76666666666667,4.6,2.51428571428571,5.04285714285714,0,4.68333333333333,"Hieracium amplexicaule_Hieracium lachenalii_Hieracium laevigatum_Hieracium murorum_Hieracium sabaudum_Hieracium umbellatum_Hieracium villosum","3_5","Anemochory",0.504047619047619,0.505858653510204,"Hieracium amplexicaule_Hieracium lachenalii_Hieracium laevigatum_Hieracium murorum_Hieracium sabaudum_Hieracium umbellatum_Hieracium villosum","Eurasiatique_Européen_Européen méridional_Holarctique_Orophyte méridional","Jaune","Anémochore","5-8_6-7_7-8_8-9","Corymbe de capitules_Racème de capitules","Apogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hieracium sp.","H","Na","P",NA,NA,NA,NA,"Hieracium amplexicaule_Hieracium lachenalii_Hieracium laevigatum_Hieracium murorum_Hieracium sabaudum_Hieracium umbellatum_Hieracium villosum","Anemochorous","Anemochorous",NA,NA,NA,NA,NA,NA,33.64675,"Perennial","C3",1.05714285714286,0.384166666666667,"Biotic","Insect","Insect",0.00049078569047619,354.366666666667,"Hieracium","Jaune","Autre",NA,"Hieracium lachenalii_Hieracium umbellatum",0.45,NA,"Hieracium amplexicaule_Hieracium cymosum_Hieracium lachenalii_Hieracium laevigatum_Hieracium murorum_Hieracium sabaudum_Hieracium umbellatum_Hieracium villosum",18.5,NA,"""hieracium amplexicaule l.""_""hieracium murorum l.""_""hieracium sabaudum l.""_""hieracium umbellatum l.""","3_4",1.25,1.25,2.375,"Hieracium cymosum_Hieracium murorum_Hieracium villosum","3","1",3.33333333333333,"5_7",17.8333333333333,0.2,NA,0.4,"9","Late summer",298.5
"Hieracium amplexicaule","Hieracium amplexicaule",0.39124,0.9278,0.4254,0.20588,0.1754,0.03213,0.12461,"Hieracium amplexicaule",8.3,3,2,6.5,0,3.8,"Hieracium amplexicaule","5","Anemochory",0.3475,0.676435714285714,"Hieracium amplexicaule","Européen méridional","Jaune","Anémochore","6-7","Racème de capitules","Apogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hieracium amplexicaule","Anemochorous","Anemochorous",NA,NA,NA,NA,NA,NA,62.97,"Perennial","C3",0.6,0.175,"Biotic","Insect","Insect",0.0006605,291.9,NA,NA,NA,NA,NA,NA,NA,"Hieracium amplexicaule",NA,NA,"""hieracium amplexicaule l.""","3",1,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hieracium cymosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hieracium cymosum",NA,NA,NA,NA,NA,NA,NA,"Hieracium cymosum",NA,NA,4,"5",20,NA,NA,NA,"9","Late summer",235.2
"Hieracium lachenalii","Hieracium lachenalii",0.1404,1.36758,0.63526,0.18451,0.21319,0.06868,0.13921,"Hieracium lachenalii",5.4,5,2.4,4,0,5,"Hieracium lachenalii","3","Anemochory",0.5325,0.386725,"Hieracium lachenalii","Européen","Jaune","Anémochore",NA,"Racème de capitules","Apogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hieracium lachenalii","Anemochorous",NA,NA,NA,NA,NA,NA,NA,36.745,"Perennial","C3",1,0.5,"Biotic","Insect",NA,0.000389,579.1,NA,NA,NA,NA,"Hieracium lachenalii",0.5,NA,"Hieracium lachenalii",18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hieracium laevigatum","Hieracium laevigatum",0.31791,1.49933,0.58609,0.28631,0.24444,0.22285,0.20196,"Hieracium laevigatum",6.6,5,2.2,3.1,0,5.4,"Hieracium laevigatum","3","Anemochory",0.673333333333333,0.364866666642857,"Hieracium laevigatum","Holarctique","Jaune","Anémochore","7-8","Racème de capitules","Apogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hieracium laevigatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perennial","C3",1.7,NA,"Biotic","Insect","Insect",0.000374,203.6,NA,NA,NA,NA,NA,NA,NA,"Hieracium laevigatum",18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hieracium murorum","Hieracium murorum",0.05334,1.25041,0.67108,0.13397,0.20331,0.0211,0.10946,"Hieracium murorum",5.2,5.1,3.6,5.2,0,NA,"Hieracium murorum","3","Anemochory",0.3225,0.41455,"Hieracium murorum","Eurasiatique","Jaune","Anémochore","5-8","Racème de capitules","Apogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hieracium murorum","Anemochorous",NA,NA,NA,NA,NA,NA,NA,40.69375,"Perennial","C3",0.8,0.2425,"Biotic","Insect",NA,0.000378333333333333,387.95,NA,NA,NA,NA,NA,NA,NA,"Hieracium murorum",18.5,NA,"""hieracium murorum l.""","3",1,1,0.5,"Hieracium murorum","3","1",4,"5",13.5,NA,NA,0.4,"9","Late summer",361.8
"Hieracium sabaudum","Hieracium sabaudum",0.07894,1.33791,0.66674,0.15908,0.2049,0.05628,0.12015,"Hieracium sabaudum",6.3,4.8,2.4,3.8,0,6,"Hieracium sabaudum","3","Anemochory",0.855,0.532849066666666,"Hieracium sabaudum","Européen méridional","Jaune","Anémochore","8-9","Racème de capitules","Apogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hieracium sabaudum","Anemochorous",NA,NA,NA,NA,NA,NA,NA,16.37,"Perennial","C3",1.2,0.7,"Biotic","Insect","Insect",0.000445,455.7,NA,NA,NA,NA,NA,NA,NA,"Hieracium sabaudum",18.5,NA,"""hieracium sabaudum l.""","3",1,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hieracium umbellatum","Hieracium umbellatum",0.42543,1.51611,0.55371,0.30438,0.22394,0.22402,0.22059,"Hieracium umbellatum",NA,4.7,2.2,4.2,0,5.6,"Hieracium umbellatum","3","Anemochory",0.5925,0.43558412697619,"Hieracium umbellatum","Holarctique","Jaune","Anémochore","8-9","Corymbe de capitules","Apogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hieracium umbellatum","Anemochorous",NA,NA,NA,NA,NA,NA,NA,11.455,"Perennial","C3",1.7,0.5375,"Biotic","Insect","Insect",0.0004586665,207.95,NA,NA,NA,NA,"Hieracium umbellatum",0.4,NA,"Hieracium umbellatum",NA,NA,"""hieracium umbellatum l.""","4",2,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hieracium villosum","Hieracium villosum",0.76175,1.2421,0.36682,0.28262,0.25981,0.05425,0.09621,"Hieracium villosum",8.8,NA,2.8,8.5,0,2.3,"Hieracium villosum","5","Anemochory",0.205,0.73,"Hieracium villosum","Orophyte méridional","Jaune","Anémochore","7-8","Racème de capitules","Apogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hieracium villosum","Anemochorous","Anemochorous",NA,NA,NA,NA,NA,NA,NA,"Perennial","C3",0.4,0.15,NA,NA,NA,0.00073,NA,NA,NA,NA,NA,NA,NA,NA,"Hieracium villosum",NA,NA,NA,NA,NA,NA,NA,"Hieracium villosum","3","1",2,"7",20,0.2,NA,NA,"9","Late summer",NA
"Himantoglossum hircinum","Himantoglossum hircinum",0.93813,1.734,0.52989,0.45275,0.30833,0.66284,0.15219,"Himantoglossum hircinum",7.4,2.8,2,8.6,0,7.2,"Himantoglossum hircinum","5","Anemochory",0.51,NA,"Himantoglossum hircinum","Méditerranéen(eury)-atlantique(eury)","Blanc","Anémochore","5-7","Épi simple","Entomogame","Himantoglossum hircinum","Green","Flowers with totally hidden nectar","Lip flowers",4.22,3.97,5.81,4.52,"Present","Plenty","Zygomorphe",3.5,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Himantoglossum hircinum","Anemochorous","Anemochorous",NA,NA,NA,NA,NA,NA,33.525,"Perennial","C3",0.8,0.25,"Biotic","Insect","Bee",NA,198.4,"Himantoglossum hircinum","Blanc","Autre",60,"Himantoglossum hircinum",0.521428571428571,NA,"Himantoglossum hircinum",18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Himantoglossum robertianum","Himantoglossum robertianum",0.22586,1.50413,0.70385,0.22336,0.27574,0.02677,0.14729,"Himantoglossum robertianum",7.3,4,5,6.7,0,9.3,"Himantoglossum robertianum","3","Anemochory",0.48,NA,"Himantoglossum robertianum","Méditerranéen","Rose","Anémochore","1-4","Épi simple","Entomogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Himantoglossum robertianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perennial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hippocrepis","Hippocrepis biflora_Hippocrepis comosa",0.85106,1.709285,0.61845,0.460075,0.33468,0.293685,0.197855,"Hippocrepis biflora_Hippocrepis comosa",7.9,2.7,3.25,6.7,0,7.6,"Hippocrepis biflora_Hippocrepis comosa","1","Local non-specific dispersal",0.201333333333333,3.65174722222222,"Hippocrepis biflora_Hippocrepis comosa","Européen méridional_Méditerranéen","Jaune","Épizoochore","4-6_4-7","Ombelle simple","Entomogame","Hippocrepis comosa","Yellow","Hymenoptere flowers","Flag blossom, fabaceae type",3.482498375,4.5301699,5.957226753,1.881436104,"None","Little","Zygomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hippocrepis comosa","Herb.perenn",15.10166667,"0","Hippocrepis biflora_Hippocrepis comosa","Autochorous",NA,NA,NA,NA,NA,NA,NA,2.18167,"Annual_Perennial","C3",0.34,0.163,"Biotic","Insect","Bee",0.0036416665,152.32,"Hippocrepis comosa","Jaune","Légumineuses",22.5,"Hippocrepis comosa",0.15,2.85,"Hippocrepis comosa",3.5,NA,"""hippocrepis comosa l.""",NA,NA,NA,NA,"Hippocrepis comosa",NA,"0",5,"4",15,NA,"Py",3.79864,"9","Late summer",148.5
"Hippocrepis biflora","Hippocrepis biflora",0.87305,1.81026,0.74113,0.52014,0.36667,0.15603,0.2635,"Hippocrepis biflora",8,2.5,4.5,6,0,10,"Hippocrepis biflora","1","Local non-specific dispersal",0.185,NA,"Hippocrepis biflora","Méditerranéen","Jaune","Épizoochore","4-6","Ombelle simple","Entomogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hippocrepis biflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Annual",NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hippocrepis comosa","Hippocrepis comosa",0.82907,1.60831,0.49577,0.40001,0.30269,0.43134,0.13221,"Hippocrepis comosa",7.8,2.9,2,7.4,0,5.2,"Hippocrepis comosa","1","Local non-specific dispersal",0.217666666666667,3.65174722222222,"Hippocrepis comosa","Européen méridional","Jaune","Épizoochore","4-7","Ombelle simple","Entomogame","Hippocrepis comosa","Yellow","Hymenoptere flowers","Flag blossom, fabaceae type",3.482498375,4.5301699,5.957226753,1.881436104,"None","Little","Zygomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hippocrepis comosa","Herb.perenn",15.10166667,"0","Hippocrepis comosa","Autochorous",NA,NA,NA,NA,NA,NA,NA,2.18167,"Perennial","C3",0.4,0.163,"Biotic","Insect","Bee",0.0036416665,152.32,"Hippocrepis comosa","Jaune","Légumineuses",22.5,"Hippocrepis comosa",0.15,2.85,"Hippocrepis comosa",3.5,NA,"""hippocrepis comosa l.""",NA,NA,NA,NA,"Hippocrepis comosa",NA,"0",5,"4",15,NA,"Py",3.79864,"9","Late summer",148.5
"Hippophae rhamnoides","Hippophae rhamnoides",0.99963,1.27559,0.38961,0.31692,0.2691,0.05187,0.21545,"Hippophae rhamnoides",8.6,4.9,3,8,0.8,6,"Hippophae rhamnoides","2","Local non-specific dispersal",4.08333333333333,131.257513333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hippophae rhamnoides","Zoochorous",NA,NA,NA,NA,NA,NA,NA,2.381,"Perennial","C3",5,4.0835,"Abiotic","Wind","Wind",0.0257436,125,NA,NA,NA,NA,"Hippophae rhamnoides",2,5.66666666666667,"Hippophae rhamnoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hirschfeldia incana","Hirschfeldia incana",1.13521,1.94654,0.82555,0.76749,0.21152,0.57045,0.45838,"Hirschfeldia incana",8.4,3,5.6,7.1,0,NA,"Hirschfeldia incana","2","Local non-specific dispersal",0.488125,0.253611111111111,"Erucastrum incanum","Méditerranéen","Jaune","Barochore","6-9","Racème simple","Entomogame","Hirschfeldia incana","Yellow","Flowers with partly hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",5.49,1,5.44,6.22,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hirschfeldia incana","Ann",21.246,NA,"Hirschfeldia incana","Unspecialized",NA,"Yellow",0.9,0.6,NA,NA,NA,48.81,"Annual","C3",1,0.584,"Biotic","Insect","Insect",0.0003401665,245.2,NA,NA,NA,NA,NA,NA,NA,"Sinapis incana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hirschfeldia incana incana","Hirschfeldia incana",1.13521,1.94654,0.82555,0.76749,0.21152,0.57045,0.45838,"Hirschfeldia incana",8.4,3,5.6,7.1,0,NA,"Hirschfeldia incana","2","Local non-specific dispersal",0.488125,0.253611111111111,"Erucastrum incanum","Méditerranéen","Jaune","Barochore","6-9","Racème simple","Entomogame","Hirschfeldia incana","Yellow","Flowers with partly hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",5.49,1,5.44,6.22,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hirschfeldia incana","Ann",21.246,NA,"Hirschfeldia incana","Unspecialized",NA,"Yellow",0.9,0.6,NA,NA,NA,48.81,"Annual","C3",1,0.584,"Biotic","Insect","Insect",0.0003401665,245.2,NA,NA,NA,NA,NA,NA,NA,"Sinapis incana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
