"accepted_taxa","original_taxa_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor"
"Anthemis","Anthemis arvensis_Anthemis arvensis subsp. arvensis_Anthemis arvensis subsp. incrassata_Anthemis cotula_Anthemis maritima_Anthemis ruthenica","Eurasiatique_Eurasiatique méridional_Européen central_Méditerranéen_Méditerranéen occidental","Blanc, jaune_Jaune","Barochore","5-8_6-9","Corymbe de capitules","Entomogame, autogame"
"Anthemis arvensis","Anthemis arvensis","Eurasiatique","Blanc, jaune","Barochore","","Corymbe de capitules","Entomogame, autogame"
"Anthemis arvensis arvensis","Anthemis arvensis subsp. arvensis","Eurasiatique","Blanc, jaune","Barochore","","Corymbe de capitules","Entomogame, autogame"
"Anthemis arvensis incrassata","Anthemis arvensis subsp. incrassata","Méditerranéen","Blanc, jaune","Barochore","6-9","Corymbe de capitules","Entomogame, autogame"
"Anthemis cotula","Anthemis cotula","Eurasiatique méridional","Jaune","Barochore","6-9","Corymbe de capitules","Entomogame, autogame"
"Anthemis maritima","Anthemis maritima","Méditerranéen occidental","Blanc, jaune","Barochore","5-8","Corymbe de capitules","Entomogame, autogame"
"Anthemis ruthenica","Anthemis ruthenica","Européen central","","Barochore","","Corymbe de capitules","Entomogame, autogame"
"Anthoxanthum","Anthoxanthum aristatum_Anthoxanthum odoratum","Holarctique_Méditerranéen(eury)-atlantique(eury)","Jaune","Épizoochore","4-7_4-9","Panicule d'épillets","Anémogame"
"Anthoxanthum aristatum","Anthoxanthum aristatum","Méditerranéen(eury)-atlantique(eury)","Jaune","Épizoochore","4-9","Panicule d'épillets","Anémogame"
"Anthoxanthum odoratum","Anthoxanthum odoratum","Holarctique","Jaune","Épizoochore","4-7","Panicule d'épillets","Anémogame"
"Anthriscus","Anthriscus caucalis_Anthriscus cerefolium_Anthriscus sylvestris_Anthriscus sylvestris subsp. sylvestris","Eurasiatique_Eurasiatique septentrional_Européen oriental","Blanc","Barochore_Épizoochore","5-6_5-7_5-8","Ombelle d'ombellules","Entomogame_Entomogame, autogame"
"Anthriscus caucalis","Anthriscus caucalis","Eurasiatique","Blanc","Épizoochore","5-6","Ombelle d'ombellules","Entomogame, autogame"
"Anthriscus cerefolium","Anthriscus cerefolium","Européen oriental","Blanc","Épizoochore","5-8","Ombelle d'ombellules","Entomogame"
