"accepted_taxa","original_taxa_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor"
"Lolium arundinaceum","Schedonorus arundinaceus","Eurasiatique méridional","Vert, rose","Épizoochore","5-7","Panicule d'épillets","Anémogame"
"Lolium arundinaceum arundinaceum","Poa remota_Schedonorus arundinaceus subsp. uechtritzianus","Eurasiatique","Vert_Vert, rose","Barochore_Épizoochore","","Panicule d'épillets","Anémogame"
"Lolium boucheanum",NA,NA,NA,NA,NA,NA,NA
"Lolium giganteum","Schedonorus giganteus","Eurasiatique","Vert","Épizoochore","6-9","Panicule d'épillets","Anémogame"
"Lolium multiflorum","Lolium multiflorum","Méditerranéen-atlantique","Vert","Barochore","5-8","Épi d'épillets","Anémogame"
"Lolium perenne","Lolium perenne","Circumboréal","Vert","Barochore","5-10","Épi d'épillets","Anémogame"
"Lolium pratense","Schedonorus pratensis","Eurasiatique","Vert, rose","Épizoochore","5-7","Panicule d'épillets","Anémogame"
"Lolium remotum","Lolium remotum","Eurasiatique","Vert","Barochore","5-7","Épi d'épillets","Anémogame"
"Lolium rigidum","Lolium rigidum","Eurasiatique","Vert","Barochore","5-8","Épi d'épillets","Anémogame"
"Lolium temulentum","Lolium temulentum","Cosmopolite","Vert","Épizoochore","5-8","Épi d'épillets","Anémogame"
"Loncomelos narbonense","Loncomelos narbonense","Méditerranéen(eury)-atlantique(eury)","Blanc","Barochore","5-6","Racème simple","Entomogame, autogame"
"Loncomelos pyrenaicum","Loncomelos pyrenaicus","Européen méridional","Blanc","Barochore","5-7","Racème simple","Entomogame, autogame"
"Lonicera","Lonicera japonica_Lonicera periclymenum_Lonicera xylosteum","Eurasiatique septentrional_Européen méridional_Introduit (asie orient.)","Blanc","Endozoochore","5-6_6-9","Cyme multipare","Entomogame_Entomogame, autogame"
"Lonicera japonica","Lonicera japonica","Introduit (asie orient.)","","Endozoochore","","Cyme multipare","Entomogame"
"Lonicera periclymenum","Lonicera periclymenum","Européen méridional","Blanc","Endozoochore","6-9","Cyme multipare","Entomogame, autogame"
"Lonicera xylosteum","Lonicera xylosteum","Eurasiatique septentrional","Blanc","Endozoochore","5-6","Cyme multipare","Entomogame"
"Lotus","Dorycnium hirsutum_Dorycnium pentaphyllum_Dorycnium rectum_Lotus angustissimus_Lotus castellanus_Lotus corniculatus_Lotus corniculatus subsp. corniculatus_Lotus edulis_Lotus hispidus_Lotus maritimus_Lotus ornithopodioides_Lotus parviflorus_Lotus pedunculatus","Eurasiatique_Eurasiatique méridional_Européen méridional_Méditerranéen_Méditerranéen occidental","Blanc_Jaune","Barochore_Épizoochore","4-5_4-6_5-7_5-8_5-9_6-9","Ombelle simple_Racème capituliforme","Entomogame"
"Lotus angustissimus","Lotus angustissimus","Eurasiatique méridional","Jaune","Épizoochore","5-7","Ombelle simple","Entomogame"
"Lotus castellanus","Lotus castellanus","Méditerranéen occidental","","","","Ombelle simple","Entomogame"
"Lotus corniculatus","Lotus corniculatus","Eurasiatique méridional","Jaune","Barochore","5-9","Ombelle simple","Entomogame"
"Lotus corniculatus corniculatus","Lotus corniculatus subsp. corniculatus","Eurasiatique méridional","Jaune","Barochore","5-9","Ombelle simple","Entomogame"
"Lotus dorycnium","Dorycnium pentaphyllum","Européen méridional","Blanc","Barochore","5-7","Racème capituliforme","Entomogame"
"Lotus edulis","Lotus edulis","Méditerranéen","Jaune","Barochore","4-5","Ombelle simple","Entomogame"
"Lotus hirsutus","Dorycnium hirsutum","Méditerranéen","Blanc","Épizoochore","5-7","Racème capituliforme","Entomogame"
"Lotus hispidus","Lotus hispidus","Méditerranéen occidental","Jaune","Épizoochore","5-7","Ombelle simple","Entomogame"
"Lotus maritimus","Lotus maritimus","Européen méridional","Jaune","Barochore","","Ombelle simple","Entomogame"
"Lotus ornithopodioides","Lotus ornithopodioides","Méditerranéen","Jaune","Épizoochore","4-6","Ombelle simple","Entomogame"
"Lotus parviflorus","Lotus parviflorus","Méditerranéen","Jaune","Épizoochore","4-6","Ombelle simple","Entomogame"
"Lotus pedunculatus","Lotus pedunculatus","Eurasiatique","Jaune","Barochore","6-9","Ombelle simple","Entomogame"
"Lotus rectus","Dorycnium rectum","Méditerranéen","Blanc","Épizoochore","5-8","Racème capituliforme","Entomogame"
"Lotus tenuis",NA,NA,NA,NA,NA,NA,NA
"Lunaria","Lunaria annua","Européen oriental","Rose","Anémochore","4-6","Racème simple","Entomogame, autogame"
"Lunaria annua","Lunaria annua","Européen oriental","Rose","Anémochore","4-6","Racème simple","Entomogame, autogame"
"Lupinus","Lupinus albus_Lupinus angustifolius_Lupinus angustifolius subsp. reticulatus_Lupinus luteus","Méditerranéen_Méditerranéen(eury)","Blanc_Bleu_Jaune","Épizoochore","4-6_5-6_5-7","Racème simple","Entomogame"
"Lupinus albus","Lupinus albus","Méditerranéen","Blanc","Épizoochore","4-6","Racème simple","Entomogame"
"Lupinus angustifolius","Lupinus angustifolius","Méditerranéen","Bleu","Épizoochore","5-6","Racème simple","Entomogame"
"Lupinus angustifolius reticulatus","Lupinus angustifolius subsp. reticulatus","Méditerranéen(eury)","Bleu","Épizoochore","5-6","Racème simple","Entomogame"
"Lupinus luteus","Lupinus luteus","Méditerranéen","Jaune","Épizoochore","5-7","Racème simple","Entomogame"
"Luzula","Luzula campestris_Luzula multiflora_Luzula multiflora subsp. multiflora","Cosmopolite","Marron","Myrmécochore","4-6_5-6","Cyme de glomérules","Anémogame"
"Luzula campestris","Luzula campestris","Cosmopolite","Marron","Myrmécochore","4-6","Cyme de glomérules","Anémogame"
"Luzula multiflora","Luzula multiflora","Cosmopolite","Marron","Myrmécochore","5-6","Cyme de glomérules","Anémogame"
"Luzula multiflora multiflora","Luzula multiflora subsp. multiflora","Cosmopolite","Marron","Myrmécochore","5-6","Cyme de glomérules","Anémogame"
"Lycopus europaeus","Lycopus europaeus","Circumboréal","Blanc","Hydrochore","7-9","Glomérules","Entomogame"
"Lysimachia","Lysimachia arvensis_Lysimachia arvensis subsp. latifolia_Lysimachia foemina_Lysimachia nummularia_Lysimachia punctata_Lysimachia vulgaris","Cosmopolite_Eurasiatique_Européen_Méditerranéen","Bleu_Jaune_Rose","Barochore","5-11_6-8","Racème simple","Entomogame_Entomogame, autogame"
"Lysimachia arvensis","Lysimachia arvensis","Cosmopolite","Rose","Barochore","5-11","Racème simple","Entomogame, autogame"
"Lysimachia foemina","Lysimachia foemina","Cosmopolite","Bleu","Barochore","5-11","Racème simple","Entomogame"
"Lysimachia loeflingii","Lysimachia arvensis subsp. latifolia","Méditerranéen","","Barochore","","Racème simple","Entomogame, autogame"
"Lysimachia nummularia","Lysimachia nummularia","Européen","Jaune","Barochore","6-8","Racème simple","Entomogame, autogame"
"Lysimachia punctata","Lysimachia punctata","Européen","","","","",""
"Lysimachia vulgaris","Lysimachia vulgaris","Eurasiatique","","","","",""
"Lythrum","Lythrum acutangulum_Lythrum borysthenicum_Lythrum hyssopifolia_Lythrum salicaria_Lythrum virgatum","Eurasiatique_Européen oriental_Méditerranéen","Rose","Barochore_Hydrochore","5-9_6-9","Glomérules","Entomogame"
"Lythrum acutangulum","Lythrum acutangulum","Méditerranéen","Rose","Barochore","","Glomérules","Entomogame"
"Lythrum borysthenicum","Lythrum borysthenicum","Méditerranéen","Rose","Barochore","5-9","Glomérules","Entomogame"
"Lythrum hyssopifolia","Lythrum hyssopifolia","Eurasiatique","Rose","Barochore","5-9","Glomérules","Entomogame"
"Lythrum salicaria","Lythrum salicaria","Eurasiatique","Rose","Hydrochore","6-9","Glomérules","Entomogame"
"Lythrum virgatum","Lythrum virgatum","Européen oriental","Rose","Barochore","","Glomérules","Entomogame"
"Malus","Malus domestica_Malus sylvestris","Eurasiatique tempéré_Européen oriental","Blanc","Endozoochore","4-5","Corymbe","Entomogame"
"Malus domestica","Malus domestica","Européen oriental","Blanc","Endozoochore","4-5","Corymbe","Entomogame"
"Malus sylvestris","Malus sylvestris","Eurasiatique tempéré","Blanc","Endozoochore","","Corymbe","Entomogame"
"Malva","Malva alcea_Malva arborea_Malva cretica_Malva moschata_Malva multiflora_Malva neglecta_Malva nicaeensis_Malva olbia_Malva parviflora_Malva punctata_Malva pusilla_Malva setigera_Malva sylvestris_Malva thuringiaca","Eurasiatique septentrional_Européen_Européen méridional_Méditerranéen_Méditerranéen-atlantique_Méditerranéen(eury)-atlantique(eury)","Blanc_Blanc, rose_Bleu_Rose","Anémochore_Barochore","4-6_4-7_5-6_5-7_5-9_6-7_6-9","Racème de cymes bipares_Racème de cymes unipares hélicoïdes_Racème de cymes unipares scorpioïdes","Entomogame_Entomogame, autogame"
"Malva alcea","Malva alcea","Européen","Rose","Anémochore","","Racème de cymes unipares hélicoïdes","Entomogame"
"Malva arborea","Malva arborea","Méditerranéen-atlantique","Bleu","Barochore","4-6","Racème de cymes unipares scorpioïdes","Entomogame"
"Malva cretica","Malva cretica","Méditerranéen","Rose","Barochore","","Racème de cymes unipares hélicoïdes","Entomogame"
"Malva moschata","Malva moschata","Méditerranéen(eury)-atlantique(eury)","Rose","Anémochore","6-9","Racème de cymes unipares hélicoïdes","Entomogame, autogame"
"Malva multiflora","Malva multiflora","Méditerranéen-atlantique","Rose","Anémochore","4-6","Racème de cymes unipares scorpioïdes","Entomogame"
"Malva neglecta","Malva neglecta","Eurasiatique septentrional","Blanc","Barochore","","Racème de cymes unipares hélicoïdes","Entomogame, autogame"
"Malva nicaeensis","Malva nicaeensis","Méditerranéen(eury)-atlantique(eury)","Blanc","Barochore","5-7","Racème de cymes unipares hélicoïdes","Entomogame"
"Malva olbia","Malva olbia","Méditerranéen","Rose","Barochore","5-6","Racème de cymes unipares scorpioïdes","Entomogame"
"Malva parviflora","Malva parviflora","Méditerranéen","Blanc","Barochore","4-7","Racème de cymes unipares hélicoïdes","Entomogame"
"Malva punctata","Malva punctata","Méditerranéen","Rose","Barochore","6-7","Racème de cymes unipares scorpioïdes","Entomogame"
"Malva pusilla","Malva pusilla","Eurasiatique septentrional","Blanc, rose","Barochore","5-9","Racème de cymes unipares hélicoïdes","Entomogame"
"Malva setigera","Malva setigera","Européen méridional","Rose","Barochore","5-7","Racème de cymes bipares","Entomogame"
"Malva sylvestris","Malva sylvestris","Européen","Rose","Barochore","","Racème de cymes unipares hélicoïdes","Entomogame, autogame"
"Malva thuringiaca","Malva thuringiaca","Européen","","Barochore","","Racème de cymes unipares scorpioïdes","Entomogame"
"Mantisalca salmantica","Mantisalca salmantica","Méditerranéen","Rose","Épizoochore","7-8","Racème de capitules","Entomogame, autogame"
"Marchantia polymorpha ruderalis",NA,NA,NA,NA,NA,NA,NA
"Marcus-kochia littorea","Malcolmia littorea","Méditerranéen occidental","Rose","Barochore","5-9","Racème simple","Entomogame"
"Marrubium","Marrubium vulgare","Méditerranéen(eury)","Blanc","Épizoochore","5-9","Glomérules","Entomogame"
"Marrubium vulgare","Marrubium vulgare","Méditerranéen(eury)","Blanc","Épizoochore","5-9","Glomérules","Entomogame"
"Matricaria","Matricaria discoidea","Cosmopolite","Jaune","Barochore","6-11","Racème de capitules","Entomogame, autogame"
"Matricaria chamomilla",NA,NA,NA,NA,NA,NA,NA
"Matricaria discoidea","Matricaria discoidea","Cosmopolite","Jaune","Barochore","6-11","Racème de capitules","Entomogame, autogame"
"Matricaria matricarioides",NA,NA,NA,NA,NA,NA,NA
"Matricaria recutita",NA,NA,NA,NA,NA,NA,NA
"Matricaria recutita recutita",NA,NA,NA,NA,NA,NA,NA
"Matthiola",NA,NA,NA,NA,NA,NA,NA
"Medicago","Medicago arabica_Medicago ciliaris_Medicago disciformis_Medicago doliata_Medicago laciniata_Medicago littoralis_Medicago lupulina_Medicago minima_Medicago monspeliaca_Medicago murex_Medicago orbicularis_Medicago polyceratia_Medicago polymorpha_Medicago praecox_Medicago rigidula_Medicago rugosa_Medicago sativa_Medicago sativa subsp. falcata_Medicago sativa subsp. sativa_Medicago scutellata_Medicago truncatula_Medicago turbinata","Cosmopolite_Eurasiatique_Eurasiatique méridional_Méditerranéen_Méditerranéen occidental_Méditerranéen septentrional_Méditerranéen(eury)","Bleu_Jaune","Anémochore_Barochore_Épizoochore","4-6_4-7_5-6_5-7_5-9_6-9","Racème capituliforme_Racème simple","Autogame_Entomogame_Entomogame, autogame"
"Medicago arabica","Medicago arabica","Eurasiatique méridional","Jaune","Épizoochore","5-7","Racème capituliforme","Entomogame, autogame"
"Medicago ciliaris","Medicago ciliaris","Méditerranéen","Jaune","Épizoochore","5-6","Racème capituliforme","Entomogame"
"Medicago disciformis","Medicago disciformis","Méditerranéen septentrional","Jaune","Épizoochore","4-6","Racème capituliforme","Entomogame"
"Medicago doliata","Medicago doliata","Méditerranéen","Jaune","Épizoochore","","Racème capituliforme","Entomogame"
"Medicago falcata","Medicago sativa subsp. falcata","Eurasiatique","Jaune","Épizoochore","5-9","Racème capituliforme","Entomogame"
"Medicago laciniata","Medicago laciniata","Méditerranéen","Jaune","Épizoochore","","Racème capituliforme","Entomogame"
"Medicago littoralis","Medicago littoralis","Méditerranéen","Jaune","Épizoochore","","Racème capituliforme","Entomogame"
"Medicago lupulina","Medicago lupulina","Eurasiatique méridional","Jaune","Barochore","","Racème capituliforme","Entomogame"
"Medicago minima","Medicago minima","Méditerranéen(eury)","Jaune","Épizoochore","","Racème capituliforme","Entomogame"
"Medicago monspeliaca","Medicago monspeliaca","Méditerranéen(eury)","Jaune","Anémochore","4-7","Racème capituliforme","Entomogame"
"Medicago murex","Medicago murex","Méditerranéen","Jaune","Épizoochore","","Racème capituliforme","Entomogame"
"Medicago orbicularis","Medicago orbicularis","Méditerranéen","Jaune","Anémochore","","Racème capituliforme","Entomogame"
"Medicago polyceratia","Medicago polyceratia","Méditerranéen occidental","Jaune","Épizoochore","4-7","Racème capituliforme","Entomogame"
"Medicago polymorpha","Medicago polymorpha","Cosmopolite","Jaune","Épizoochore","","Racème capituliforme","Autogame"
"Medicago praecox","Medicago praecox","Méditerranéen","Jaune","Épizoochore","4-6","Racème capituliforme","Entomogame"
"Medicago rigidula","Medicago rigidula","Méditerranéen","Jaune","Épizoochore","5-7","Racème capituliforme","Entomogame"
"Medicago rugosa","Medicago rugosa","Méditerranéen","Jaune","Barochore","4-6","Racème capituliforme","Entomogame"
"Medicago sativa","Medicago sativa","Eurasiatique","Bleu","Barochore","","Racème simple","Entomogame, autogame"
"Medicago sativa sativa","Medicago sativa subsp. sativa","Eurasiatique","Bleu","Barochore","6-9","Racème simple","Entomogame, autogame"
"Medicago scutellata","Medicago scutellata","Méditerranéen","Jaune","Épizoochore","4-6","Racème capituliforme","Entomogame"
"Medicago truncatula","Medicago truncatula","Méditerranéen","Jaune","Épizoochore","4-6","Racème capituliforme","Entomogame"
"Medicago turbinata","Medicago turbinata","Méditerranéen","Jaune","Épizoochore","4-6","Racème capituliforme","Entomogame"
"Medicago x varia",NA,NA,NA,NA,NA,NA,NA
"Melampyrum","Melampyrum arvense","Eurasiatique","Rose","Barochore","","Épi simple","Entomogame, autogame"
"Melampyrum arvense","Melampyrum arvense","Eurasiatique","Rose","Barochore","","Épi simple","Entomogame, autogame"
"Melia azedarach","Melia azedarach","Introduit (asie mér.)","Blanc, rose","Endozoochore","","","Entomogame"
"Melica ciliata","Melica ciliata","Eurasiatique","Blanc","Anémochore","","Panicule d'épillets","Anémogame"
"Melica nutans","Melica nutans","Européen","Blanc","Myrmécochore","5-7","Panicule d'épillets","Anémogame"
"Melica transsilvanica","Melica ciliata subsp. transsilvanica","Européen oriental","Blanc","Anémochore","","Panicule d'épillets","Anémogame"
"Melica uniflora","Melica uniflora","Européen","Rose","Myrmécochore","5-7","Panicule d'épillets","Anémogame"
"Melilotus","Melilotus albus_Melilotus altissimus_Melilotus indicus_Melilotus officinalis_Melilotus spicatus_Melilotus sulcatus","Eurasiatique_Européen méridional_Méditerranéen","Blanc_Jaune","Épizoochore","4-6_5-7_5-9_6-9","Racème simple","Entomogame"
"Melilotus alba",NA,NA,NA,NA,NA,NA,NA
"Melilotus albus","Melilotus albus","Eurasiatique","Blanc","Épizoochore","6-9","Racème simple","Entomogame"
"Melilotus altissimus","Melilotus altissimus","Eurasiatique","Jaune","Épizoochore","6-9","Racème simple","Entomogame"
"Melilotus indicus","Melilotus indicus","Eurasiatique","Jaune","Épizoochore","5-7","Racème simple","Entomogame"
"Melilotus neapolitanus","Melilotus spicatus","Européen méridional","Jaune","Épizoochore","5-7","Racème simple","Entomogame"
"Melilotus officinalis","Melilotus officinalis","Eurasiatique","Jaune","Épizoochore","5-9","Racème simple","Entomogame"
"Melilotus officinalis","Melilotus officinalis","Eurasiatique","Jaune","Épizoochore","5-9","Racème simple","Entomogame"
"Melilotus sulcatus","Melilotus sulcatus","Méditerranéen","Jaune","Épizoochore","4-6","Racème simple","Entomogame"
"Melissa officinalis","Melissa officinalis","Européen méridional","Blanc","Épizoochore","","Glomérules","Entomogame"
"Melissa officinalis officinalis","Melissa officinalis subsp. officinalis","Méditerranéen oriental","Blanc","Épizoochore","6-9","Glomérules","Entomogame"
"Melissa officinalis officinalis","Melissa officinalis subsp. officinalis","Méditerranéen oriental","Blanc","Épizoochore","6-9","Glomérules","Entomogame"
"Melittis melissophyllum","Melittis melissophyllum","Européen méridional","Blanc, rose","Barochore","","Glomérules","Entomogame"
"Melomphis arabica","Melomphis arabica","Méditerranéen","Blanc","Barochore","4-5","Corymbe","Entomogame, autogame"
"Mentha","Mentha aquatica_Mentha arvensis_Mentha longifolia_Mentha pulegium_Mentha spicata_Mentha suaveolens_Mentha suaveolens subsp. suaveolens","Cosmopolite_Eurasiatique_Européen_Européen tempéré_Méditerranéen-atlantique","Blanc, rose_Rose","Épizoochore_Hydrochore","7-10_7-9","Cyme capituliforme_Glomérules_Glomérules spiciformes","Entomogame"
"Mentha aquatica","Mentha aquatica","Européen","Blanc, rose","Hydrochore","","Cyme capituliforme","Entomogame"
"Mentha arvensis","Mentha arvensis","Cosmopolite","Rose","Hydrochore","7-10","Glomérules","Entomogame"
"Mentha longifolia","Mentha longifolia","Européen tempéré","Rose","Épizoochore","","Glomérules spiciformes","Entomogame"
"Mentha pulegium","Mentha pulegium","Eurasiatique","Rose","Épizoochore","","Glomérules","Entomogame"
"Mentha spicata","Mentha spicata","Européen","Rose","Épizoochore","","Glomérules spiciformes","Entomogame"
"Mentha suaveolens","Mentha suaveolens","Méditerranéen-atlantique","Blanc, rose","Épizoochore","","Glomérules spiciformes","Entomogame"
"Mentha suaveolens suaveolens","Mentha suaveolens subsp. suaveolens","Méditerranéen-atlantique","Blanc, rose","Épizoochore","7-9","Glomérules spiciformes","Entomogame"
"Mentha x piperita",NA,NA,NA,NA,NA,NA,NA
"Mentha x villosa",NA,NA,NA,NA,NA,NA,NA
"Mercurialis","Mercurialis annua_Mercurialis perennis","Européen","Vert","Épizoochore_Myrmécochore","4-6","Cyathe","Entomogame_Entomogame, anémogame"
"Mercurialis annua","Mercurialis annua","Européen","Vert","Myrmécochore","","Cyathe","Entomogame, anémogame"
"Mercurialis perennis","Mercurialis perennis","Européen","Vert","Épizoochore","4-6","Cyathe","Entomogame"
"Meum athamanticum","Meum athamanticum","Orophyte européen","Blanc","Barochore","","Ombelle d'ombellules","Entomogame"
"Mibora minima","Mibora minima","Méditerranéen-atlantique","Rose","Barochore","2-5","Épi d'épillets","Anémogame"
"Micromeria graeca","Micromeria graeca","Méditerranéen","Rose","Épizoochore","","Glomérules","Entomogame"
"Microthlaspi perfoliatum","Microthlaspi perfoliatum","Eurasiatique","Blanc","Anémochore","","Racème simple","Entomogame"
"Milium",NA,NA,NA,NA,NA,NA,NA
"Minuartia","Minuartia mediterranea","Méditerranéen","Blanc","Anémochore","","Cyme bipare","Entomogame"
"Minuartia campestris",NA,NA,NA,NA,NA,NA,NA
"Minuartia mediterranea","Minuartia mediterranea","Méditerranéen","Blanc","Anémochore","","Cyme bipare","Entomogame"
"Miscanthus sinensis","Miscanthus sinensis","Introduit (asie orient.)","Rose","","","Panicule d'épillets","Anémogame"
"Misopates orontium","Misopates orontium","Européen","Rose","Épizoochore","6-9","Épi simple","Entomogame, autogame"
"Moehringia",NA,NA,NA,NA,NA,NA,NA
"Molinia caerulea","Molinia caerulea","Holarctique","Bleu","Barochore","","Panicule d'épillets","Anémogame"
"Montia fontana","Montia fontana","Européen septentrional","Blanc","Barochore","","Cyme bipare","Autogame"
"Montia fontana chondrosperma","Montia fontana","Européen septentrional","Blanc","Barochore","","Cyme bipare","Autogame"
"Moorochloa eruciformis","Moorochloa eruciformis","Méditerranéen","Vert","Épizoochore","8-10","Épi d'épillets","Anémogame"
"Morus","Morus alba_Morus nigra","Introduit (asie mér.)_Introduit (asie occ.)","Vert","Endozoochore","4-5","Épi simple","Anémogame"
"Morus alba","Morus alba","Introduit (asie mér.)","Vert","Endozoochore","4-5","Épi simple","Anémogame"
"Morus nigra","Morus nigra","Introduit (asie occ.)","Vert","Endozoochore","4-5","Épi simple","Anémogame"
"Muhlenbergia",NA,NA,NA,NA,NA,NA,NA
"Mummenhoffia alliacea","Thlaspi alliaceum","Européen méridional","Blanc","Anémochore","4-5","Racème simple","Entomogame"
"Muscari","Muscari botryoides_Muscari botryoides subsp. lelievrei_Muscari comosum_Muscari neglectum","Atlantique(eury)_Européen_Européen méridional","Bleu","Barochore","2-4_3-5_4-7","Racème simple","Entomogame"
"Muscari botryoides","Muscari botryoides","Européen","Bleu","Barochore","","Racème simple","Entomogame"
"Muscari botryoides lelievrei","Muscari botryoides subsp. lelievrei","Atlantique(eury)","Bleu","Barochore","2-4","Racème simple","Entomogame"
"Muscari comosum","Muscari comosum","Européen méridional","Bleu","Barochore","4-7","Racème simple","Entomogame"
"Muscari neglectum","Muscari neglectum","Européen méridional","Bleu","Barochore","3-5","Racème simple","Entomogame"
"Muscari racemosum",NA,NA,NA,NA,NA,NA,NA
"Mutarda arvensis","Sinapis arvensis","Européen tempéré","Jaune","Barochore","","Racème simple","Entomogame"
"Mutarda carinata",NA,NA,NA,NA,NA,NA,NA
"Mutarda nigra","Brassica nigra","Cosmopolite","Jaune","Barochore","6-9","Racème simple","Entomogame"
"Myagrum perfoliatum","Myagrum perfoliatum","Européen méridional","Jaune","Barochore","5-7","Racème simple","Entomogame"
"Myosotis","Myosotis arvensis_Myosotis corsicana_Myosotis discolor_Myosotis minutiflora_Myosotis ramosissima_Myosotis scorpioides_Myosotis stricta_Myosotis sylvatica","Circumboréal_Eurasiatique_Européen_Européen septentrional_Méditerranéen(eury)-atlantique(eury)_Orophyte corse","Bleu_Bleu, blanc, rose_Bleu, jaune_Bleu, rose","Barochore_Épizoochore","4-6_5-9","Cyme biscorpioïde","Entomogame_Entomogame, autogame"
"Myosotis arvensis","Myosotis arvensis","Circumboréal","Bleu, rose","Épizoochore","","Cyme biscorpioïde","Entomogame, autogame"
"Myosotis corsicana","Myosotis corsicana","Orophyte corse","Bleu","Épizoochore","","Cyme biscorpioïde","Entomogame"
"Myosotis discolor","Myosotis discolor","Méditerranéen(eury)-atlantique(eury)","Bleu, jaune","Épizoochore","","Cyme biscorpioïde","Entomogame, autogame"
"Myosotis minutiflora","Myosotis minutiflora","Européen","Bleu","Épizoochore","","Cyme biscorpioïde","Entomogame"
"Myosotis palustris",NA,NA,NA,NA,NA,NA,NA
"Myosotis ramosissima","Myosotis ramosissima","Eurasiatique","Bleu","Épizoochore","","Cyme biscorpioïde","Entomogame, autogame"
"Myosotis scorpioides","Myosotis scorpioides","Eurasiatique","Bleu, blanc, rose","Barochore","5-9","Cyme biscorpioïde","Entomogame"
"Myosotis stricta","Myosotis stricta","Eurasiatique","Bleu","Épizoochore","4-6","Cyme biscorpioïde","Entomogame"
"Myosotis sylvatica","Myosotis sylvatica","Européen septentrional","Bleu","Épizoochore","","Cyme biscorpioïde","Entomogame, autogame"
"Myrrhis odorata","Myrrhis odorata","Orophyte méridional","Blanc","Épizoochore","6-8","Ombelle d'ombellules","Entomogame"
"Nardus stricta","Nardus stricta","Circumboréal","Rose","Épizoochore","5-8","Épi d'épillets","Anémogame"
"Nasturtium officinale","Nasturtium officinale","Cosmopolite","Blanc","Barochore","","Racème simple","Entomogame, autogame"
"Nelumbo nucifera","Nelumbo nucifera","Introduit (asie mér.)","Rose","Hydrochore","","","Entomogame"
"Neottia ovata","Neottia ovata","Eurasiatique","Vert","Anémochore","5-6","Racème simple","Entomogame"
"Nepeta cataria","Nepeta cataria","Européen méridional","Rose","Épizoochore","6-9","Glomérules spiciformes","Entomogame"
"Nepeta nepetella","Nepeta nepetella","Méditerranéen occidental","Blanc","Barochore","","Glomérules","Entomogame"
"Neslia apiculata","Neslia paniculata subsp. thracica","Méditerranéen","Jaune","Barochore","5-7","Racème simple","Entomogame"
"Neslia paniculata",NA,NA,NA,NA,NA,NA,NA
"Nicandra physalodes","Nicandra physalodes","Introduit (amér. du sud)","Bleu","Endozoochore","6-9","Racème simple","Entomogame"
"Nigella arvensis","Nigella arvensis","Méditerranéen","Bleu","Épizoochore","","Fleur solitaire terminale","Entomogame"
"Nigella damascena","Nigella damascena","Méditerranéen","Bleu","Épizoochore","6-7","Fleur solitaire terminale","Entomogame"
"Nigella gallica",NA,NA,NA,NA,NA,NA,NA
"Nigella hispanica","Nigella hispanica var. intermedia","Eurasiatique méridional","Bleu","Épizoochore","","Fleur solitaire terminale","Entomogame"
"Nigella nigellastrum","Nigella nigellastrum","Méditerranéen","Blanc","Barochore","5-6","Cyme unipare hélicoïde","Entomogame"
"Noccaea caerulescens","Noccaea caerulescens","Européen septentrional","Blanc","Anémochore","","Racème simple","Entomogame"
"Nonea lutea",NA,NA,NA,NA,NA,NA,NA
"Nonea pallens","Nonea pallens","Européen méridional","Blanc","Épizoochore","","","Entomogame"
"Nonea pulla","Nonea erecta","Européen central","Blanc","Épizoochore","","Racème de cymes unipares scorpioïdes","Entomogame"
"Odontites","Odontites jaubertianus var. chrysanthus_Odontites luteus subsp. lanceolatus_Odontites vernus_Odontites vernus subsp. serotinus_Odontites vernus subsp. vernus","Atlantique(eury)_Eurasiatique_Européen occidental_Orophyte méridional","Jaune_Rose","Anémochore_Épizoochore","5-7_6-9_8-10","Racème simple","Entomogame"
"Odontites jaubertianus chrysanthus","Odontites jaubertianus var. chrysanthus","Atlantique(eury)","Jaune","Épizoochore","8-10","Racème simple","Entomogame"
"Odontites lanceolatus","Odontites luteus subsp. lanceolatus","Orophyte méridional","Jaune","Épizoochore","6-9","Racème simple","Entomogame"
"Odontites vernus","Odontites vernus","Européen occidental","Rose","Anémochore","","Racème simple","Entomogame"
"Odontites vernus vernus","Odontites vernus subsp. vernus","Européen occidental","Rose","Anémochore","5-7","Racème simple","Entomogame"
"Odontites vulgaris","Odontites vernus subsp. serotinus","Eurasiatique","Rose","Épizoochore","8-10","Racème simple","Entomogame"
"Odontites vulgaris vulgaris","Odontites vernus subsp. serotinus","Eurasiatique","Rose","Épizoochore","8-10","Racème simple","Entomogame"
"Oenanthe crocata","Oenanthe crocata","Atlantique","Blanc","Hydrochore","6-7","Ombelle d'ombellules","Entomogame"
"Oenanthe fistulosa","Oenanthe fistulosa","Eurasiatique","Blanc","Hydrochore","","Ombelle d'ombellules","Entomogame"
"Oenanthe lachenalii","Oenanthe lachenalii","Atlantique(eury)","Blanc","Barochore","7-9","Ombelle d'ombellules","Entomogame"
"Oenanthe pimpinelloides","Oenanthe pimpinelloides","Méditerranéen-atlantique","Blanc","Épizoochore","6-7","Ombelle d'ombellules","Entomogame"
"Oenothera","Oenothera biennis_Oenothera glazioviana","Européen_Introduit (amér. du nord)","Jaune","Barochore","","Racème simple","Entomogame, autogame"
