original_taxa,accepted_wfo,wfo_taxonID,wfo_rank,wfo_authorship,wfo_family,wfo_genus,wfo_status,wfo_match,verified
Lathyris tuberosus,Lathyrus tuberosus,wfo-0000213826,species,L.,Fabaceae,Lathyrus,Accepted,FUZZY,0
Lathyrus sativa,Lathyrus sativus,wfo-0000212703,species,L.,Fabaceae,Lathyrus,Accepted,FUZZY,1
Lencanthemum vulgare,Leucanthemum vulgare,wfo-0000036932,species,Lam.,Asteraceae,Leucanthemum,Accepted,FUZZY,0
Leontodon autumnale,Scorzoneroides autumnalis,wfo-0000022256,species,(L.) Moench,Asteraceae,Scorzoneroides,Accepted,FUZZY,0
Leontodon taraxacoides hispidus,Taraxacum taraxacoides,wfo-0000008241,species,(Hoppe & Hornsch.) Willk.,Asteraceae,Taraxacum,Accepted,FUZZY,0
Leontodon taraxacoides taraxacoides,Taraxacum taraxacoides,wfo-0000008241,species,(Hoppe & Hornsch.) Willk.,Asteraceae,Taraxacum,Accepted,FUZZY,0
Linum usitatissimum angustifolium,Linum bienne,wfo-0000363872,species,Mill.,Linaceae,Linum,Accepted,FUZZY,0
Loncomelos narbonensis,Loncomelos narbonense,wfo-0000678643,species,(L.) Raf.,Asparagaceae,Loncomelos,Accepted,FUZZY,1
Loncomelos pyrenaicus,Loncomelos pyrenaicum,wfo-0000687118,species,(L.) L.D.Hrouda,Asparagaceae,Loncomelos,Accepted,FUZZY,1
Lotus corniculatus tenuifolius,Lotus tenuis,wfo-0001053826,species,Waldst. & Kit. ex Willd.,Fabaceae,Lotus,Accepted,FUZZY,0
Matricaria maritima maritima x inodorum,Tripleurospermum maritimum,wfo-0000063085,species,(L.) W.D.J.Koch,Asteraceae,Tripleurospermum,Accepted,FUZZY,0
Mentha x piperita,Mentha × piperita,wfo-0000241184,species,L.,Lamiaceae,Mentha,Accepted,FUZZY,0
Mentha x villosa,Mentha × villosa,wfo-0000241572,species,Huds.,Lamiaceae,Mentha,Accepted,FUZZY,0
Minuartia hybrida tenuifolia,Sabulina tenuifolia subsp. hybrida,wfo-1200115314,subspecies,(Vill.) Dillenb.,Caryophyllaceae,Sabulina,Accepted,FUZZY,0
Odontites verna,Odontites vernus,wfo-0001136632,species,(Bellardi) Dumort.,Orobanchaceae,Odontites,Accepted,FUZZY,1
Onopordon,Onopordum,wfo-4000026888,genus,L.,Asteraceae,Onopordum,Accepted,FUZZY,1
Oreganum vulgare,Origanum vulgare,wfo-0000260765,species,L.,Lamiaceae,Origanum,Accepted,FUZZY,1
Oxybasis rubra,Oxybasis,wfo-4000027538,genus,Kar. & Kir.,Chenopodiaceae,Oxybasis,Accepted,FUZZY,0
Papaver x hungaricum,Papaver × strigosum,wfo-0000480973,species,(Boenn.) Schur,Papaveraceae,Papaver,Accepted,FUZZY,0
Paspalum dilatum,Paspalum dilatatum,wfo-0000887560,species,Poir.,Poaceae,Paspalum,Accepted,FUZZY,1
