"accepted_taxa","original_taxa_FlorealData","Flower.color_FlorealData","Lifeform_FlorealData","Plant.height_cm_FlorealData"
"Hieracium laevigatum",NA,NA,NA,NA
"Hieracium murorum",NA,NA,NA,NA
"Hieracium sabaudum",NA,NA,NA,NA
"Hieracium umbellatum",NA,NA,NA,NA
"Hieracium villosum",NA,NA,NA,NA
"Himantoglossum hircinum","Himantoglossum hircinum","Blanc","Autre",60
"Himantoglossum robertianum",NA,NA,NA,NA
"Hippocrepis","Hippocrepis comosa","Jaune","Légumineuses",22.5
"Hippocrepis biflora",NA,NA,NA,NA
"Hippocrepis comosa","Hippocrepis comosa","Jaune","Légumineuses",22.5
"Hippophae rhamnoides",NA,NA,NA,NA
"Hirschfeldia incana",NA,NA,NA,NA
"Hirschfeldia incana incana",NA,NA,NA,NA
"Holcus","Holcus lanatus","Rose","Graminées",NA
"Holcus hybridus",NA,NA,NA,NA
"Holcus lanatus","Holcus lanatus","Rose","Graminées",NA
"Holcus mollis",NA,NA,NA,NA
"Holcus mollis mollis",NA,NA,NA,NA
"Holosteum umbellatum",NA,NA,NA,NA
"Honorius nutans",NA,NA,NA,NA
"Hordelymus europaeus",NA,NA,NA,NA
"Hordeum","Hordeum murinum_Hordeum secalinum","Vert","Graminées",NA
"Hordeum distichon",NA,NA,NA,NA
"Hordeum marinum",NA,NA,NA,NA
"Hordeum murinum","Hordeum murinum","Vert","Graminées",NA
"Hordeum murinum leporinum","Hordeum murinum","Vert","Graminées",NA
"Hordeum murinum murinum","Hordeum murinum","Vert","Graminées",NA
"Hordeum secalinum","Hordeum secalinum","Vert","Graminées",NA
"Hordeum vulgare",NA,NA,NA,NA
"Hordeum vulgare distichon",NA,NA,NA,NA
"Hornungia petraea",NA,NA,NA,NA
"Humulus lupulus",NA,NA,NA,NA
"Hyacinthoides",NA,NA,NA,NA
"Hyacinthoides non-scripta",NA,NA,NA,NA
"Hyacinthus orientalis",NA,NA,NA,NA
"Hydrocotyle sibthorpioides",NA,NA,NA,NA
"Hylotelephium",NA,NA,NA,NA
"Hylotelephium maximum",NA,NA,NA,NA
"Hylotelephium telephium",NA,NA,NA,NA
"Hylotelephium telephium fabaria",NA,NA,NA,NA
"Hyoscyamus niger",NA,NA,NA,NA
"Hyoseris radiata",NA,NA,NA,NA
"Hypecoum",NA,NA,NA,NA
"Hypecoum imberbe",NA,NA,NA,NA
"Hypecoum pendulum",NA,NA,NA,NA
"Hypecoum procumbens",NA,NA,NA,NA
"Hypericum","Hypericum","","Autre",NA
"Hypericum androsaemum",NA,NA,NA,NA
"Hypericum australe",NA,NA,NA,NA
"Hypericum hirsutum",NA,NA,NA,NA
"Hypericum humifusum","Hypericum humifusum","Jaune","Autre",12.5
"Hypericum linariifolium","Hypericum pulchrum","","Autre",50
"Hypericum maculatum","Hypericum maculatum","Jaune","Autre",30
"Hypericum perfoliatum",NA,NA,NA,NA
"Hypericum perforatum","Hypericum perforatum","Jaune","Autre",70
"Hypericum perforatum veronense","Hypericum perforatum","Jaune","Autre",70
"Hypericum tetrapterum","Hypericum tetrapterum","Jaune","Autre",50
"Hypericum triquetrifolium",NA,NA,NA,NA
"Hypochaeris",NA,NA,NA,NA
"Hypochaeris achyrophorus",NA,NA,NA,NA
"Hypochaeris glabra",NA,NA,NA,NA
"Hypochaeris radicata",NA,NA,NA,NA
"Hyssopus officinalis",NA,NA,NA,NA
"Iberis amara",NA,NA,NA,NA
"Iberis pinnata",NA,NA,NA,NA
"Iberis sempervirens",NA,NA,NA,NA
"Ilex aquifolium","Ilex aquifolium","Blanc","Ligneux",100
"Illecebrum verticillatum",NA,NA,NA,NA
"Imbribryum subapiculatum",NA,NA,NA,NA
"Impatiens glandulifera",NA,NA,NA,NA
"Imperata cylindrica",NA,NA,NA,NA
"Inula britannica",NA,NA,NA,NA
"Inula conyza",NA,NA,NA,NA
"Inula conyzae",NA,NA,NA,NA
"Inula helenium","Inula helenium","","Autre",100
"Ipomoea purpurea",NA,NA,NA,NA
"Iris foetidissima",NA,NA,NA,NA
"Iris pseudacorus","Iris pseudacorus","Jaune","Autre",100
"Isatis tinctoria",NA,NA,NA,NA
"Iva xanthiifolia",NA,NA,NA,NA
"Jacobaea","Jacobaea erucifolia_Jacobaea vulgaris","Jaune","Autre",97.5
"Jacobaea aquatica",NA,NA,NA,NA
"Jacobaea erucifolia","Jacobaea erucifolia","","Autre",100
"Jacobaea vulgaris","Jacobaea vulgaris","Jaune","Autre",95
"Jacobaea vulgaris vulgaris","Jacobaea vulgaris","Jaune","Autre",95
"Jasione",NA,NA,NA,NA
"Jasione maritima",NA,NA,NA,NA
"Jasione montana",NA,NA,NA,NA
"Juglans",NA,NA,NA,NA
"Juglans nigra",NA,NA,NA,NA
"Juglans regia",NA,NA,NA,NA
"Juncus","Juncus","","Juncaceae",NA
"Juncus acutiflorus","Juncus acutiflorus","Marron","Juncaceae",65
"Juncus articulatus","Juncus articulatus","Marron","Juncaceae",35
"Juncus bufonius","Juncus bufonius","","Juncaceae",32.5
"Juncus capitatus",NA,NA,NA,NA
"Juncus conglomeratus","Juncus conglomeratus","Marron","Juncaceae",65
"Juncus effusus","Juncus effusus","Vert","Juncaceae",80
"Juncus filiformis",NA,NA,NA,NA
"Juncus inflexus","Juncus inflexus","Vert","Juncaceae",100
"Juncus tenuis","Juncus tenuis","","Juncaceae",37.5
"Juniperus oxycedrus",NA,NA,NA,NA
"Kandis perfoliata",NA,NA,NA,NA
"Kernera saxatilis",NA,NA,NA,NA
"Kickxia",NA,NA,NA,NA
"Kickxia commutata",NA,NA,NA,NA
"Kickxia elatine",NA,NA,NA,NA
"Kickxia elatine elatine",NA,NA,NA,NA
"Kickxia spuria",NA,NA,NA,NA
"Knautia","Knautia arvensis","Rose","Autre",90
"Knautia arvensis","Knautia arvensis","Rose","Autre",90
"Knautia collina",NA,NA,NA,NA
"Knautia integrifolia",NA,NA,NA,NA
"Koeleria vallesiana","Koeleria vallesiana","","Autre",30
"Krubera peregrina",NA,NA,NA,NA
"Lactuca",NA,NA,NA,NA
"Lactuca muralis",NA,NA,NA,NA
"Lactuca perennis",NA,NA,NA,NA
"Lactuca saligna",NA,NA,NA,NA
"Lactuca sativa",NA,NA,NA,NA
"Lactuca serriola",NA,NA,NA,NA
"Lactuca viminea",NA,NA,NA,NA
"Lactuca virosa",NA,NA,NA,NA
"Lagurus ovatus",NA,NA,NA,NA
"Lamiaceae",NA,NA,NA,NA
"Lamium","Lamium purpureum","Purpurine","Autre",17.5
"Lamium album",NA,NA,NA,NA
"Lamium album album",NA,NA,NA,NA
"Lamium amplexicaule",NA,NA,NA,NA
"Lamium galeobdolon",NA,NA,NA,NA
"Lamium hybridum",NA,NA,NA,NA
"Lamium maculatum",NA,NA,NA,NA
"Lamium purpureum","Lamium purpureum","Purpurine","Autre",17.5
"Laphangium luteoalbum","Laphangium luteoalbum","Blanc","Autre",35
"Lappula squarrosa",NA,NA,NA,NA
"Lapsana","Lapsana communis","Jaune","Autre",90
"Lapsana communis","Lapsana communis","Jaune","Autre",90
"Lapsana communis communis","Lapsana communis","Jaune","Autre",90
"Larix decidua",NA,NA,NA,NA
"Lasiospora hirsuta",NA,NA,NA,NA
"Lathyrus","Lathyrus","","Légumineuses",NA
"Lathyrus angulatus",NA,NA,NA,NA
"Lathyrus annuus",NA,NA,NA,NA
"Lathyrus aphaca","Lathyrus aphaca","Jaune","Légumineuses",30
"Lathyrus cicera",NA,NA,NA,NA
"Lathyrus clymenum",NA,NA,NA,NA
"Lathyrus hirsutus",NA,NA,NA,NA
"Lathyrus inconspicuus",NA,NA,NA,NA
"Lathyrus latifolius",NA,NA,NA,NA
"Lathyrus linifolius","Lathyrus linifolius montanus","Violet","Légumineuses",35
"Lathyrus niger",NA,NA,NA,NA
"Lathyrus niger niger",NA,NA,NA,NA
"Lathyrus nissolia","Lathyrus nissolia","Rouge","Légumineuses",35
"Lathyrus ochrus",NA,NA,NA,NA
"Lathyrus odoratus",NA,NA,NA,NA
"Lathyrus oleraceus",NA,NA,NA,NA
"Lathyrus palustris",NA,NA,NA,NA
"Lathyrus pratensis","Lathyrus pratensis pratensis","Jaune","Légumineuses",60
"Lathyrus sativus",NA,NA,NA,NA
"Lathyrus setifolius",NA,NA,NA,NA
"Lathyrus sphaericus","Lathyrus sphaericus","Rouge","Légumineuses",30
"Lathyrus sylvestris",NA,NA,NA,NA
"Lathyrus tuberosus",NA,NA,NA,NA
"Laurus nobilis",NA,NA,NA,NA
"Lavandula",NA,NA,NA,NA
"Lavatera thuringiaca",NA,NA,NA,NA
"Leersia oryzoides",NA,NA,NA,NA
"Legousia",NA,NA,NA,NA
"Legousia falcata",NA,NA,NA,NA
"Legousia hybrida",NA,NA,NA,NA
"Legousia speculum-veneris",NA,NA,NA,NA
"Lemna minor","Lemna minor","","Autre",5.5
"Lemna trisulca",NA,NA,NA,NA
"Leontodon","Leontodon hispidus","Jaune","Autre",32.5
"Leontodon hirtus",NA,NA,NA,NA
"Leontodon hispidus","Leontodon hispidus","Jaune","Autre",32.5
"Leontodon hispidus hispidus","Leontodon hispidus","Jaune","Autre",32.5
"Leontodon saxatilis",NA,NA,NA,NA
"Leontodon saxatilis rothii",NA,NA,NA,NA
"Leontodon saxatilis saxatilis",NA,NA,NA,NA
"Leontodon taraxacoides taraxacoides",NA,NA,NA,NA
"Lepidium","Lepidium campestre","Blanc","Autre",50
"Lepidium campestre","Lepidium campestre","Blanc","Autre",50
"Lepidium coronopus",NA,NA,NA,NA
"Lepidium densiflorum densiflorum",NA,NA,NA,NA
"Lepidium didymum",NA,NA,NA,NA
"Lepidium draba",NA,NA,NA,NA
"Lepidium graminifolium",NA,NA,NA,NA
"Lepidium heterophyllum",NA,NA,NA,NA
"Lepidium latifolium",NA,NA,NA,NA
"Lepidium ruderale",NA,NA,NA,NA
"Leucanthemum","Leucanthemum ircutianum_Leucanthemum vulgare","Blanc","Autre",48.75
"Leucanthemum ircutianum","Leucanthemum ircutianum","Blanc","Autre",60
"Leucanthemum superbum",NA,NA,NA,NA
"Leucanthemum vulgare","Leucanthemum vulgare","Blanc","Autre",37.5
"Ligustrum","Ligustrum vulgare","","Autre",100
"Ligustrum lucidum",NA,NA,NA,NA
"Ligustrum vulgare","Ligustrum vulgare","","Autre",100
"Liliaceae",NA,NA,NA,NA
"Lilium",NA,NA,NA,NA
"Linaria","Linaria repens_Linaria vulgaris","Jaune","Autre",50
"Linaria amethystea",NA,NA,NA,NA
"Linaria angustissima",NA,NA,NA,NA
"Linaria arvensis",NA,NA,NA,NA
"Linaria chalepensis",NA,NA,NA,NA
"Linaria hirta",NA,NA,NA,NA
"Linaria latifolia",NA,NA,NA,NA
"Linaria micrantha",NA,NA,NA,NA
"Linaria pelisseriana",NA,NA,NA,NA
"Linaria purpurea",NA,NA,NA,NA
"Linaria reflexa",NA,NA,NA,NA
"Linaria repens","Linaria repens","","Autre",45
"Linaria simplex",NA,NA,NA,NA
"Linaria supina",NA,NA,NA,NA
"Linaria vulgaris","Linaria vulgaris","Jaune","Autre",55
"Lindernia dubia",NA,NA,NA,NA
"Linum","Linum","","Autre",NA
"Linum bienne","Linum usitatissimum angustifolium","Bleu","Autre",65
"Linum catharticum","Linum catharticum","Blanc","Autre",22.5
"Linum leonii",NA,NA,NA,NA
"Linum narbonense",NA,NA,NA,NA
"Linum perenne",NA,NA,NA,NA
"Linum strictum","Linum strictum","","Autre",30
"Linum tenuifolium",NA,NA,NA,NA
"Linum usitatissimum",NA,NA,NA,NA
"Lipandra polysperma",NA,NA,NA,NA
"Lithospermum arvense",NA,NA,NA,NA
"Lobularia maritima",NA,NA,NA,NA
"Logfia gallica",NA,NA,NA,NA
"Lolium","Lolium multiflorum_Lolium perenne_Lolium x boucheanum_Schedonorus arundinaceus_Schedonorus pratensis","Vert","Graminées",NA
"Lolium arundinaceum","Schedonorus arundinaceus","Vert","Graminées",NA
"Lolium arundinaceum arundinaceum","Schedonorus arundinaceus","Vert","Graminées",NA
"Lolium boucheanum","Lolium x boucheanum","Vert","Graminées",NA
"Lolium giganteum",NA,NA,NA,NA
"Lolium multiflorum","Lolium multiflorum","Vert","Graminées",NA
"Lolium perenne","Lolium perenne","Vert","Graminées",NA
"Lolium pratense","Schedonorus pratensis","Vert","Graminées",NA
"Lolium remotum",NA,NA,NA,NA
"Lolium rigidum",NA,NA,NA,NA
"Lolium temulentum",NA,NA,NA,NA
"Loncomelos narbonense",NA,NA,NA,NA
"Loncomelos pyrenaicum","Loncomelos pyrenaicum","Vert","Autre",70
"Lonicera","Lonicera periclymenum","Rose","Ligneux",100
"Lonicera japonica",NA,NA,NA,NA
"Lonicera periclymenum","Lonicera periclymenum","Rose","Ligneux",100
"Lonicera xylosteum",NA,NA,NA,NA
"Lotus","Lotus angustissimus_Lotus corniculatus corniculatus_Lotus pedunculatus","Jaune","Légumineuses",41.6666666666667
"Lotus angustissimus","Lotus angustissimus","Jaune","Légumineuses",22.5
"Lotus castellanus",NA,NA,NA,NA
"Lotus corniculatus",NA,NA,NA,NA
"Lotus corniculatus corniculatus","Lotus corniculatus corniculatus","Jaune","Légumineuses",32.5
"Lotus dorycnium",NA,NA,NA,NA
"Lotus edulis",NA,NA,NA,NA
"Lotus hirsutus",NA,NA,NA,NA
"Lotus hispidus",NA,NA,NA,NA
"Lotus maritimus",NA,NA,NA,NA
"Lotus ornithopodioides",NA,NA,NA,NA
"Lotus parviflorus",NA,NA,NA,NA
"Lotus pedunculatus","Lotus pedunculatus","Jaune","Légumineuses",70
"Lotus rectus",NA,NA,NA,NA
"Lotus tenuis",NA,NA,NA,NA
"Lunaria",NA,NA,NA,NA
"Lunaria annua",NA,NA,NA,NA
"Lupinus",NA,NA,NA,NA
"Lupinus albus",NA,NA,NA,NA
"Lupinus angustifolius",NA,NA,NA,NA
"Lupinus angustifolius reticulatus",NA,NA,NA,NA
"Lupinus luteus",NA,NA,NA,NA
"Luzula","Luzula campestris_Luzula multiflora","Marron","Juncaceae",50
"Luzula campestris","Luzula campestris","Marron","Juncaceae",20
"Luzula multiflora","Luzula multiflora","Marron","Juncaceae",80
"Luzula multiflora multiflora","Luzula multiflora","Marron","Juncaceae",80
"Lycopus europaeus","Lycopus europaeus","Blanc","Autre",50
"Lysimachia","Lysimachia arvensis_Lysimachia nummularia_Lysimachia vulgaris","Jaune","Autre",55.8333333333333
"Lysimachia arvensis","Lysimachia arvensis","","Autre",22.5
"Lysimachia foemina",NA,NA,NA,NA
"Lysimachia loeflingii",NA,NA,NA,NA
"Lysimachia nummularia","Lysimachia nummularia","Jaune","Autre",45
"Lysimachia punctata",NA,NA,NA,NA
"Lysimachia vulgaris","Lysimachia vulgaris","Jaune","Autre",100
"Lythrum","Lythrum salicaria","Rose","Autre",100
"Lythrum acutangulum",NA,NA,NA,NA
"Lythrum borysthenicum",NA,NA,NA,NA
"Lythrum hyssopifolia",NA,NA,NA,NA
"Lythrum salicaria","Lythrum salicaria","Rose","Autre",100
"Lythrum virgatum",NA,NA,NA,NA
"Malus",NA,NA,NA,NA
"Malus domestica",NA,NA,NA,NA
"Malus sylvestris",NA,NA,NA,NA
"Malva","Malva","","Autre",NA
"Malva alcea",NA,NA,NA,NA
"Malva arborea",NA,NA,NA,NA
"Malva cretica",NA,NA,NA,NA
"Malva moschata","Malva moschata","Rose","Autre",65
"Malva multiflora",NA,NA,NA,NA
"Malva neglecta",NA,NA,NA,NA
"Malva nicaeensis",NA,NA,NA,NA
"Malva olbia",NA,NA,NA,NA
"Malva parviflora",NA,NA,NA,NA
"Malva punctata",NA,NA,NA,NA
"Malva pusilla",NA,NA,NA,NA
"Malva setigera",NA,NA,NA,NA
"Malva sylvestris","Malva sylvestris","Rose","Autre",75
"Malva thuringiaca",NA,NA,NA,NA
"Mantisalca salmantica",NA,NA,NA,NA
"Marchantia polymorpha ruderalis",NA,NA,NA,NA
"Marcus-kochia littorea",NA,NA,NA,NA
"Marrubium",NA,NA,NA,NA
"Marrubium vulgare",NA,NA,NA,NA
"Matricaria",NA,NA,NA,NA
"Matricaria chamomilla",NA,NA,NA,NA
"Matricaria discoidea",NA,NA,NA,NA
"Matricaria matricarioides",NA,NA,NA,NA
"Matricaria recutita",NA,NA,NA,NA
"Matricaria recutita recutita",NA,NA,NA,NA
"Matthiola",NA,NA,NA,NA
"Medicago","Medicago arabica_Medicago lupulina_Medicago minima_Medicago polymorpha polymorpha_Medicago sativa sativa","Bleu_Jaune","Légumineuses",37.5
"Medicago arabica","Medicago arabica","Jaune","Légumineuses",45
"Medicago ciliaris",NA,NA,NA,NA
"Medicago disciformis",NA,NA,NA,NA
"Medicago doliata",NA,NA,NA,NA
"Medicago falcata",NA,NA,NA,NA
"Medicago laciniata",NA,NA,NA,NA
"Medicago littoralis",NA,NA,NA,NA
"Medicago lupulina","Medicago lupulina","Jaune","Légumineuses",32.5
"Medicago minima","Medicago minima","Jaune","Légumineuses",25
"Medicago monspeliaca",NA,NA,NA,NA
"Medicago murex",NA,NA,NA,NA
"Medicago orbicularis",NA,NA,NA,NA
"Medicago polyceratia",NA,NA,NA,NA
"Medicago polymorpha","Medicago polymorpha polymorpha","Jaune","Légumineuses",35
"Medicago praecox",NA,NA,NA,NA
"Medicago rigidula",NA,NA,NA,NA
"Medicago rugosa",NA,NA,NA,NA
"Medicago sativa",NA,NA,NA,NA
"Medicago sativa sativa","Medicago sativa sativa","Bleu","Légumineuses",50
"Medicago scutellata",NA,NA,NA,NA
"Medicago truncatula",NA,NA,NA,NA
"Medicago turbinata",NA,NA,NA,NA
"Medicago x varia",NA,NA,NA,NA
"Melampyrum",NA,NA,NA,NA
"Melampyrum arvense",NA,NA,NA,NA
"Melia azedarach",NA,NA,NA,NA
"Melica ciliata",NA,NA,NA,NA
"Melica nutans","Melica nutans","Violet","Graminées",NA
"Melica transsilvanica",NA,NA,NA,NA
"Melica uniflora",NA,NA,NA,NA
"Melilotus",NA,NA,NA,NA
"Melilotus alba",NA,NA,NA,NA
"Melilotus albus",NA,NA,NA,NA
"Melilotus altissimus",NA,NA,NA,NA
"Melilotus indicus",NA,NA,NA,NA
"Melilotus neapolitanus",NA,NA,NA,NA
"Melilotus officinalis",NA,NA,NA,NA
"Melilotus officinalis",NA,NA,NA,NA
"Melilotus sulcatus",NA,NA,NA,NA
"Melissa officinalis",NA,NA,NA,NA
"Melissa officinalis officinalis",NA,NA,NA,NA
"Melissa officinalis officinalis",NA,NA,NA,NA
"Melittis melissophyllum","Melittis melissophyllum","Blanc","Autre",32.5
"Melomphis arabica",NA,NA,NA,NA
"Mentha","Mentha aquatica_Mentha arvensis_Mentha longifolia_Mentha pulegium_Mentha suaveolens","Blanc_Rose","Autre",48
"Mentha aquatica","Mentha aquatica","Blanc","Autre",50
"Mentha arvensis","Mentha arvensis","Rose","Autre",35
"Mentha longifolia","Mentha longifolia","Rose","Autre",80
"Mentha pulegium","Mentha pulegium","Rose","Autre",25
"Mentha spicata",NA,NA,NA,NA
"Mentha suaveolens","Mentha suaveolens","Blanc","Autre",50
"Mentha suaveolens suaveolens","Mentha suaveolens","Blanc","Autre",50
"Mentha x piperita",NA,NA,NA,NA
"Mentha x villosa",NA,NA,NA,NA
"Mercurialis",NA,NA,NA,NA
"Mercurialis annua",NA,NA,NA,NA
"Mercurialis perennis",NA,NA,NA,NA
"Meum athamanticum","Meum athamanticum","Blanc","Autre",37.5
"Mibora minima",NA,NA,NA,NA
"Micromeria graeca",NA,NA,NA,NA
"Microthlaspi perfoliatum",NA,NA,NA,NA
"Milium",NA,NA,NA,NA
"Minuartia",NA,NA,NA,NA
"Minuartia campestris",NA,NA,NA,NA
"Minuartia mediterranea",NA,NA,NA,NA
"Miscanthus sinensis",NA,NA,NA,NA
"Misopates orontium",NA,NA,NA,NA
"Moehringia",NA,NA,NA,NA
"Molinia caerulea","Molinia caerulea","Bleu","Graminées",NA
"Montia fontana","Montia fontana","Blanc","Autre",16
"Montia fontana chondrosperma","Montia fontana","Blanc","Autre",16
"Moorochloa eruciformis",NA,NA,NA,NA
"Morus",NA,NA,NA,NA
"Morus alba",NA,NA,NA,NA
"Morus nigra",NA,NA,NA,NA
"Muhlenbergia",NA,NA,NA,NA
"Mummenhoffia alliacea",NA,NA,NA,NA
"Muscari","Muscari comosum_Muscari neglectum","Bleu","Autre",28.75
"Muscari botryoides",NA,NA,NA,NA
"Muscari botryoides lelievrei",NA,NA,NA,NA
"Muscari comosum","Muscari comosum","Bleu","Autre",37.5
"Muscari neglectum","Muscari neglectum","Bleu","Autre",20
"Muscari racemosum",NA,NA,NA,NA
"Mutarda arvensis","Sinapis arvensis","Jaune","Autre",40
"Mutarda carinata",NA,NA,NA,NA
"Mutarda nigra",NA,NA,NA,NA
"Myagrum perfoliatum","Myagrum perfoliatum","Jaune","Autre",50
"Myosotis","Myosotis","Bleu","Autre",NA
"Myosotis arvensis",NA,NA,NA,NA
"Myosotis corsicana",NA,NA,NA,NA
"Myosotis discolor","Myosotis discolor","Bleu","Autre",15
"Myosotis minutiflora",NA,NA,NA,NA
"Myosotis palustris",NA,NA,NA,NA
"Myosotis ramosissima","Myosotis ramosissima","Rose","Autre",17.5
"Myosotis scorpioides","Myosotis scorpioides","Bleu","Autre",50
"Myosotis stricta","Myosotis stricta","Bleu","Autre",17.5
"Myosotis sylvatica","Myosotis sylvatica","","Autre",35
"Myrrhis odorata","Myrrhis odorata","Blanc","Autre",100
"Nardus stricta","Nardus stricta","Rose","Graminées",NA
"Nasturtium officinale",NA,NA,NA,NA
"Nelumbo nucifera",NA,NA,NA,NA
"Neottia ovata","Neottia ovata","Vert","Autre",40
"Nepeta cataria",NA,NA,NA,NA
"Nepeta nepetella",NA,NA,NA,NA
"Neslia apiculata",NA,NA,NA,NA
"Neslia paniculata",NA,NA,NA,NA
"Nicandra physalodes",NA,NA,NA,NA
"Nigella arvensis",NA,NA,NA,NA
"Nigella damascena",NA,NA,NA,NA
"Nigella gallica",NA,NA,NA,NA
"Nigella hispanica",NA,NA,NA,NA
"Nigella nigellastrum",NA,NA,NA,NA
"Noccaea caerulescens",NA,NA,NA,NA
"Nonea lutea",NA,NA,NA,NA
"Nonea pallens",NA,NA,NA,NA
"Nonea pulla",NA,NA,NA,NA
"Odontites",NA,NA,NA,NA
"Odontites jaubertianus chrysanthus",NA,NA,NA,NA
"Odontites lanceolatus",NA,NA,NA,NA
"Odontites vernus",NA,NA,NA,NA
"Odontites vernus vernus",NA,NA,NA,NA
"Odontites vulgaris",NA,NA,NA,NA
"Odontites vulgaris vulgaris",NA,NA,NA,NA
"Oenanthe crocata",NA,NA,NA,NA
"Oenanthe fistulosa","Oenanthe fistulosa","Blanc","Autre",65
"Oenanthe lachenalii",NA,NA,NA,NA
"Oenanthe pimpinelloides","Oenanthe pimpinelloides","Blanc","Autre",65
"Oenothera",NA,NA,NA,NA
"Oenothera biennis",NA,NA,NA,NA
"Oenothera glazioviana",NA,NA,NA,NA
"Olea europaea",NA,NA,NA,NA
"Oloptum miliaceum",NA,NA,NA,NA
"Omalotheca sylvatica",NA,NA,NA,NA
"Onobrychis alba",NA,NA,NA,NA
"Onobrychis arenaria",NA,NA,NA,NA
"Onobrychis caput-galli",NA,NA,NA,NA
"Onobrychis viciifolia","Onobrychis viciifolia viciifolia","Rose","Légumineuses",65
"Ononis","Ononis","","Légumineuses",NA
"Ononis minutissima",NA,NA,NA,NA
"Ononis natrix",NA,NA,NA,NA
"Ononis reclinata",NA,NA,NA,NA
"Ononis rotundifolia",NA,NA,NA,NA
"Ononis spinosa",NA,NA,NA,NA
"Ononis spinosa procurrens","Ononis spinosa procurrens","Violet","Autre",27.5
"Ononis spinosa procurrens","Ononis spinosa procurrens","Violet","Autre",27.5
"Ononis viscosa viscosa",NA,NA,NA,NA
"Onopordum",NA,NA,NA,NA
"Onopordum acanthium",NA,NA,NA,NA
"Onopordum acaulon",NA,NA,NA,NA
"Onopordum corymbosum",NA,NA,NA,NA
"Onopordum illyricum",NA,NA,NA,NA
"Onopordum nervosum",NA,NA,NA,NA
"Ophioglossum vulgatum","Ophioglossum vulgatum","Vert","Autre",20
"Ophrys apifera","Ophrys apifera","Marron","Autre",35
"Ophrys insectifera",NA,NA,NA,NA
"Ophrys sphegodes sphegodes",NA,NA,NA,NA
"Orchidaceae",NA,NA,NA,NA
"Orchis",NA,NA,NA,NA
"Origanum","Origanum vulgare vulgare","Rose","Autre",50
"Origanum majorana",NA,NA,NA,NA
"Origanum vulgare",NA,NA,NA,NA
"Origanum vulgare vulgare","Origanum vulgare vulgare","Rose","Autre",50
"Orlaya",NA,NA,NA,NA
"Orlaya daucoides",NA,NA,NA,NA
"Orlaya grandiflora",NA,NA,NA,NA
"Ornithogalum","Ornithogalum","","Autre",NA
"Ornithogalum boucheanum",NA,NA,NA,NA
"Ornithogalum divergens","Ornithogalum divergens","Blanc","Autre",20
"Ornithogalum pyramidale",NA,NA,NA,NA
"Ornithogalum umbellatum","Ornithogalum umbellatum","Blanc","Autre",25
"Ornithopus","Ornithopus perpusillus","Blanc","Légumineuses",17.5
"Ornithopus compressus",NA,NA,NA,NA
"Ornithopus perpusillus","Ornithopus perpusillus","Blanc","Légumineuses",17.5
"Ornithopus sativus",NA,NA,NA,NA
"Orobanche","Orobanche","","Autre",NA
"Orobanche amethystea",NA,NA,NA,NA
"Orobanche caryophyllacea",NA,NA,NA,NA
"Orobanche cernua",NA,NA,NA,NA
"Orobanche crenata","Orobanche alba","","Autre",12.5
"Orobanche cumana",NA,NA,NA,NA
"Orobanche minor","Orobanche minor","","Autre",35
"Orobanche nana",NA,NA,NA,NA
"Orobanche picridis",NA,NA,NA,NA
"Orobanche picridis-hieracioidis",NA,NA,NA,NA
"Orobanche purpurea",NA,NA,NA,NA
"Orobanche ramosa",NA,NA,NA,NA
"Oryza",NA,NA,NA,NA
"Oryza sativa",NA,NA,NA,NA
"Osyris alba",NA,NA,NA,NA
"Oxalis",NA,NA,NA,NA
"Oxalis acetosella",NA,NA,NA,NA
"Oxalis corniculata",NA,NA,NA,NA
"Oxalis dillenii",NA,NA,NA,NA
"Oxalis latifolia",NA,NA,NA,NA
"Oxalis pes-caprae",NA,NA,NA,NA
"Oxalis stricta",NA,NA,NA,NA
"Oxybasis glauca",NA,NA,NA,NA
"Oxybasis urbica",NA,NA,NA,NA
"Pallenis spinosa",NA,NA,NA,NA
"Pancratium maritimum",NA,NA,NA,NA
"Panicum",NA,NA,NA,NA
"Panicum capillare",NA,NA,NA,NA
"Panicum dichotomiflorum",NA,NA,NA,NA
"Panicum hillmanii",NA,NA,NA,NA
"Panicum miliaceum",NA,NA,NA,NA
"Panicum virgatum",NA,NA,NA,NA
"Papaver","Papaver","","Autre",NA
"Papaver dubium",NA,NA,NA,NA
"Papaver dubium dubium",NA,NA,NA,NA
"Papaver rhoeas",NA,NA,NA,NA
"Papaver rhoeas rhoeas",NA,NA,NA,NA
"Papaver somniferum",NA,NA,NA,NA
"Papaver x strigosum",NA,NA,NA,NA
"Parameconopsis cambrica",NA,NA,NA,NA
"Parapholis cylindrica",NA,NA,NA,NA
"Pardoglossum cheirifolium",NA,NA,NA,NA
"Parentucellia","Parentucellia viscosa","Jaune","Autre",45
"Parentucellia latifolia",NA,NA,NA,NA
"Parentucellia viscosa","Parentucellia viscosa","Jaune","Autre",45
"Parietaria judaica",NA,NA,NA,NA
"Paronychia",NA,NA,NA,NA
"Parthenocissus",NA,NA,NA,NA
"Parthenocissus quinquefolia",NA,NA,NA,NA
"Paspalum",NA,NA,NA,NA
"Paspalum dilatatum",NA,NA,NA,NA
"Paspalum distichum",NA,NA,NA,NA
"Pastinaca",NA,NA,NA,NA
"Pastinaca sativa",NA,NA,NA,NA
