"original_taxa","accepted_taxref","taxref_key","taxref_rank","taxref_full_name","taxref_class","taxref_order","taxref_family","taxref_status","G1_INPN","G2_INPN","G3_INPN","habitat","accepted_gbif","gbif_key","gbif_rank","gbif_full_name","gbif_phylum","gbif_order","gbif_family","gbif_status","accepted_taxa","full_name","accepted_rank","in_AT_VIN_SECBIVIT","in_AT_VINEDIVERS","in_BE_ANN_EXPLORE","in_DE_VIN_SECBIVIT","in_EU_HMETCALF","in_FR_ABY","in_FR_ALL_500_ENI","in_FR_ALL_LANGUEDOC","in_FR_ANN_37","in_FR_ANN_45","in_FR_ANN_BARR","in_FR_ANN_BIOVIGILANCE","in_FR_ANN_BOURGOGNE","in_FR_ANN_CASDAR","in_FR_ANN_DEEPIMPACT","in_FR_ANN_FENAY_GFPHD","in_FR_ANN_MP","in_FR_CASYS","in_FR_CBN","in_FR_OLI_GENTY","in_FR_SECBIVIT","in_FR_SUN_ENIVTH","in_FR_VIN_ALPES","in_FR_VIN_BIOVIGILANCE","in_FR_VIN_FLAVI","in_FR_VIN_GIGNAC","in_FR_VIN_HERAULT","in_FR_VIN_SAVM","in_FR_VINE_BDX","in_FR_VINE_CA33","in_RO_VIN_SECBIVIT","in_UK_ANN_Boundary_Margin_Verge"
"Carex hirta","Carex hirta",88569,"ES","Carex hirta L., 1753","Equisetopsida","Poales","Cyperaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Carex hirta",2724661,"SPECIES","Carex hirta L.","Tracheophyta","Poales","Cyperaceae","EXACT_ACCEPTED","Carex hirta","Carex hirta L., 1753","SPECIES",0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
"Carex muricata","Carex muricata",88702,"ES","Carex muricata L., 1753","Equisetopsida","Poales","Cyperaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Carex muricata",2722926,"SPECIES","Carex muricata L.","Tracheophyta","Poales","Cyperaceae","EXACT_ACCEPTED","Carex muricata","Carex muricata L., 1753","SPECIES",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Carex nigra","Carex nigra",88720,"ES","Carex nigra (L.) Reichard, 1778","Equisetopsida","Poales","Cyperaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Carex nigra",2724925,"SPECIES","Carex nigra (L.) Reichard","Tracheophyta","Poales","Cyperaceae","EXACT_ACCEPTED","Carex nigra","Carex nigra (L.) Reichard, 1778","SPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Carex otrubae","Carex otrubae",88741,"ES","Carex otrubae Podp., 1922","Equisetopsida","Poales","Cyperaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Carex otrubae",2723259,"SPECIES","Carex otrubae Podp.","Tracheophyta","Poales","Cyperaceae","EXACT_ACCEPTED","Carex otrubae","Carex otrubae Podp., 1922","SPECIES",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"Carex pairae","Carex pairae",88745,"ES","Carex pairae F.W.Schultz, 1868","Equisetopsida","Poales","Cyperaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Carex pairae",2727765,"SPECIES","Carex pairae F.W.Schultz","Tracheophyta","Poales","Cyperaceae","EXACT_ACCEPTED","Carex pairae","Carex pairae F.W.Schultz, 1868","SPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Carex pallescens","Carex pallescens",88747,"ES","Carex pallescens L., 1753","Equisetopsida","Poales","Cyperaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Carex pallescens",2726592,"SPECIES","Carex pallescens L.","Tracheophyta","Poales","Cyperaceae","EXACT_ACCEPTED","Carex pallescens","Carex pallescens L., 1753","SPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Carex pendula","Carex pendula",88766,"ES","Carex pendula Huds., 1762","Equisetopsida","Poales","Cyperaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",7,"Carex pendula",2722051,"SPECIES","Carex pendula Huds.","Tracheophyta","Poales","Cyperaceae","EXACT_ACCEPTED","Carex pendula","Carex pendula Huds., 1762","SPECIES",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Carex riparia","Carex riparia",88833,"ES","Carex riparia Curtis, 1783","Equisetopsida","Poales","Cyperaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",7,"Carex riparia",2718117,"SPECIES","Carex riparia Curtis","Tracheophyta","Poales","Cyperaceae","EXACT_ACCEPTED","Carex riparia","Carex riparia Curtis, 1783","SPECIES",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carex spicata","Carex spicata",88885,"ES","Carex spicata Huds., 1762","Equisetopsida","Poales","Cyperaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Carex spicata",2722210,"SPECIES","Carex spicata Huds.","Tracheophyta","Poales","Cyperaceae","EXACT_ACCEPTED","Carex spicata","Carex spicata Huds., 1762","SPECIES",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Carex vulpina","Carex vulpina",88952,"ES","Carex vulpina L., 1753","Equisetopsida","Poales","Cyperaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",7,"Carex vulpina",2728514,"SPECIES","Carex vulpina L.","Tracheophyta","Poales","Cyperaceae","EXACT_ACCEPTED","Carex vulpina","Carex vulpina L., 1753","SPECIES",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Carlina corymbosa","Carlina corymbosa",89155,"ES","Carlina corymbosa L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Carlina corymbosa",3105391,"SPECIES","Carlina corymbosa L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Carlina corymbosa","Carlina corymbosa L., 1753","SPECIES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carlina lanata","Carlina lanata",89161,"ES","Carlina lanata L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Carlina lanata",3105444,"SPECIES","Carlina lanata L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Carlina lanata","Carlina lanata L., 1753","SPECIES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carlina vulgaris","Carlina vulgaris",89180,"ES","Carlina vulgaris L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Carlina vulgaris",3105380,"SPECIES","Carlina vulgaris L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Carlina vulgaris","Carlina vulgaris L., 1753","SPECIES",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carpinus betulus","Carpinus betulus",89200,"ES","Carpinus betulus L., 1753","Equisetopsida","Fagales","Betulaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Carpinus betulus",2875818,"SPECIES","Carpinus betulus L.","Tracheophyta","Fagales","Betulaceae","EXACT_ACCEPTED","Carpinus betulus","Carpinus betulus L., 1753","SPECIES",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Carthamus lanatus","Carthamus lanatus",89232,"ES","Carthamus lanatus L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Carthamus lanatus",3138230,"SPECIES","Carthamus lanatus L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Carthamus lanatus","Carthamus lanatus L., 1753","SPECIES",0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"Carthamus mitissimus","Carthamus mitissimus",89235,"ES","Carthamus mitissimus L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Carduncellus mitissimus",3138354,"SPECIES","Carduncellus mitissimus (L.) DC.","Tracheophyta","Asterales","Asteraceae","EXACT_SYNONYM","Carthamus mitissimus","Carthamus mitissimus L., 1753","SPECIES",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carum carvi","Carum carvi",89250,"ES","Carum carvi L., 1753","Equisetopsida","Apiales","Apiaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Carum carvi",3034714,"SPECIES","Carum carvi L.","Tracheophyta","Apiales","Apiaceae","EXACT_ACCEPTED","Carum carvi","Carum carvi L., 1753","SPECIES",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caryophyllaceae","Caryophyllaceae",187285,"FM","Caryophyllaceae Juss., 1789","Equisetopsida","Caryophyllales","Caryophyllaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Caryophyllaceae",2518,"FAMILY","Caryophyllaceae","Tracheophyta","Caryophyllales","Caryophyllaceae","EXACT_ACCEPTED","Caryophyllaceae","Caryophyllaceae Juss., 1789","FAMILY",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Castanea sativa","Castanea sativa",89304,"ES","Castanea sativa Mill., 1768","Equisetopsida","Fagales","Fagaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Castanea sativa",5333294,"SPECIES","Castanea sativa Mill.","Tracheophyta","Fagales","Fagaceae","EXACT_ACCEPTED","Castanea sativa","Castanea sativa Mill., 1768","SPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Catananche caerulea","Catananche caerulea",89330,"ES","Catananche caerulea L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Catananche caerulea",3134867,"SPECIES","Catananche caerulea L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Catananche caerulea","Catananche caerulea L., 1753","SPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catapodium rigidum","Catapodium rigidum",89338,"ES","Catapodium rigidum (L.) C.E.Hubb., 1953","Equisetopsida","Poales","Poaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Catapodium rigidum",2705228,"SPECIES","Catapodium rigidum (L.) C.E.Hubb.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","Catapodium rigidum","Catapodium rigidum (L.) C.E.Hubb., 1953","SPECIES",0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
"Caucalis platycarpos","Caucalis platycarpos",89415,"ES","Caucalis platycarpos L., 1753","Equisetopsida","Apiales","Apiaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Caucalis platycarpos",3034523,"SPECIES","Caucalis platycarpos L.","Tracheophyta","Apiales","Apiaceae","EXACT_ACCEPTED","Caucalis platycarpos","Caucalis platycarpos L., 1753","SPECIES",0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Celtis australis","Celtis australis",89468,"ES","Celtis australis L., 1753","Equisetopsida","Rosales","Cannabaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Celtis australis",2984492,"SPECIES","Celtis australis L.","Tracheophyta","Rosales","Cannabaceae","EXACT_ACCEPTED","Celtis australis","Celtis australis L., 1753","SPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"Cenchrus incertus","Cenchrus incertus",89484,"ES","Cenchrus incertus M.A.Curtis, 1835","Equisetopsida","Poales","Poaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Cenchrus spinifex",5289726,"SPECIES","Cenchrus spinifex Cav.","Tracheophyta","Poales","Poaceae","EXACT_SYNONYM","Cenchrus incertus","Cenchrus incertus M.A.Curtis, 1835","SPECIES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cenchrus spicatus","Cenchrus americanus",717119,"ES","Cenchrus americanus (L.) Morrone, 2010","Equisetopsida","Poales","Poaceae","EXACT_SYNONYM","Trachéophytes","Angiospermes","Autres",3,"Cenchrus americanus",5828197,"SPECIES","Cenchrus americanus (L.) Morrone","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","Cenchrus americanus","Cenchrus americanus (L.) Morrone, 2010","SPECIES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea","Centaurea",190443,"GN","Centaurea L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurea",3127469,"GENUS","Centaurea L.","Tracheophyta","Asterales","Asteraceae","HIGHERRANK_ACCEPTED","Centaurea","Centaurea L., 1753","GENUS",0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Centaurea argentea",NA,NA,NA,NA,NA,NA,NA,"NOT FOUND",NA,NA,NA,NA,"Centaurea argentea",3127890,"SPECIES","Centaurea argentea L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Centaurea argentea","Centaurea argentea L.","SPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Centaurea aspera","Centaurea aspera",89525,"ES","Centaurea aspera L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurea aspera",3128166,"SPECIES","Centaurea aspera L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Centaurea aspera","Centaurea aspera L., 1753","SPECIES",0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"Centaurea benedicta","Centaurea benedicta",89531,"ES","Centaurea benedicta (L.) L., 1763","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurea benedicta",3127691,"SPECIES","Centaurea benedicta (L.) L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Centaurea benedicta","Centaurea benedicta (L.) L., 1763","SPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea calcitrapa","Centaurea calcitrapa",89542,"ES","Centaurea calcitrapa L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurea calcitrapa",3128483,"SPECIES","Centaurea calcitrapa L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Centaurea calcitrapa","Centaurea calcitrapa L., 1753","SPECIES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea collina","Centaurea collina",89557,"ES","Centaurea collina L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurea collina",3128943,"SPECIES","Centaurea collina L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Centaurea collina","Centaurea collina L., 1753","SPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Centaurea cyanus","Cyanus segetum",93680,"ES","Cyanus segetum Hill, 1762","Equisetopsida","Asterales","Asteraceae","EXACT_SYNONYM","Trachéophytes","Angiospermes","Autres",3,"Centaurea cyanus",3089561,"SPECIES","Centaurea cyanus L.","Tracheophyta","Asterales","Asteraceae","EXACT_SYNONYM","Cyanus segetum","Cyanus segetum Hill, 1762","SPECIES",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea decipiens","Centaurea decipiens",89579,"ES","Centaurea decipiens Thuill., 1799","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurea decipiens",3128156,"SPECIES","Centaurea decipiens Thuill.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Centaurea decipiens","Centaurea decipiens Thuill., 1799","SPECIES",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea diluta","Centaurea diluta",89582,"ES","Centaurea diluta Aiton, 1789","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurea diluta",3129010,"SPECIES","Centaurea diluta Aiton","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Centaurea diluta","Centaurea diluta Aiton, 1789","SPECIES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea eriophora","Centaurea eriophora",717126,"ES","Centaurea eriophora L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",7,"Centaurea eriophora",3127830,"SPECIES","Centaurea eriophora L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Centaurea eriophora","Centaurea eriophora L., 1753","SPECIES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea jacea","Centaurea jacea",89619,"ES","Centaurea jacea L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurea jacea",3128547,"SPECIES","Centaurea jacea L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Centaurea jacea","Centaurea jacea L., 1753","SPECIES",0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0
"Centaurea jacea jacea","Centaurea jacea subsp. jacea",161380,"SSES","Centaurea jacea subsp. jacea L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurea jacea jacea",7223260,"SUBSPECIES","Centaurea jacea subsp. jacea","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Centaurea jacea subsp. jacea","Centaurea jacea subsp. jacea L., 1753","SUBSPECIES",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea jacea timbalii","Centaurea jacea subsp. timbalii",132917,"SSES","Centaurea jacea subsp. timbalii (Martrin-Donos) Braun-Blanq., 1952","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurea timbalii",6076285,"SPECIES","Centaurea timbalii Martrin-Donos","Tracheophyta","Asterales","Asteraceae","EXACT_SYNONYM","Centaurea jacea subsp. timbalii","Centaurea jacea subsp. timbalii (Martrin-Donos) Braun-Blanq., 1952","SUBSPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea melitensis","Centaurea melitensis",89639,"ES","Centaurea melitensis L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurea melitensis",3128091,"SPECIES","Centaurea melitensis L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Centaurea melitensis","Centaurea melitensis L., 1753","SPECIES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea nigra","Centaurea nigra",89653,"ES","Centaurea nigra L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurea nigra",3128225,"SPECIES","Centaurea nigra L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Centaurea nigra","Centaurea nigra L., 1753","SPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Centaurea nigrescens","Centaurea nigrescens",89655,"ES","Centaurea nigrescens Willd., 1803","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurea nigrescens",3128228,"SPECIES","Centaurea nigrescens Willd.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Centaurea nigrescens","Centaurea nigrescens Willd., 1803","SPECIES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea paniculata","Centaurea paniculata",89659,"ES","Centaurea paniculata L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurea paniculata",3127613,"SPECIES","Centaurea paniculata L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Centaurea paniculata","Centaurea paniculata L., 1753","SPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Centaurea pullata","Centaurea pullata",89681,"ES","Centaurea pullata L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurea pullata",3127841,"SPECIES","Centaurea pullata L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Centaurea pullata","Centaurea pullata L., 1753","SPECIES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea scabiosa","Centaurea scabiosa",89697,"ES","Centaurea scabiosa L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurea scabiosa",8087525,"SPECIES","Centaurea scabiosa L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Centaurea scabiosa","Centaurea scabiosa L., 1753","SPECIES",1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Centaurea solstitialis","Centaurea solstitialis",89710,"ES","Centaurea solstitialis L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurea solstitialis",3128888,"SPECIES","Centaurea solstitialis L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Centaurea solstitialis","Centaurea solstitialis L., 1753","SPECIES",0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"Centaurea stoebe","Centaurea stoebe",89716,"ES","Centaurea stoebe L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurea stoebe",3127727,"SPECIES","Centaurea stoebe L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Centaurea stoebe","Centaurea stoebe L., 1753","SPECIES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurium","Centaurium",190444,"GN","Centaurium Hill, 1756","Equisetopsida","Gentianales","Gentianaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurium",7412173,"GENUS","Centaurium Hill","Tracheophyta","Gentianales","Gentianaceae","HIGHERRANK_ACCEPTED","Centaurium","Centaurium Hill, 1756","GENUS",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Centaurium erythraea","Centaurium erythraea",89840,"ES","Centaurium erythraea Rafn, 1800","Equisetopsida","Gentianales","Gentianaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurium erythraea",5414457,"SPECIES","Centaurium erythraea Rafn","Tracheophyta","Gentianales","Gentianaceae","EXACT_ACCEPTED","Centaurium erythraea","Centaurium erythraea Rafn, 1800","SPECIES",0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0
"Centaurium erythraea erythraea","Centaurium erythraea subsp. erythraea",133028,"SSES","Centaurium erythraea subsp. erythraea Rafn, 1800","Equisetopsida","Gentianales","Gentianaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurium erythraea erythraea",8061255,"SUBSPECIES","Centaurium erythraea subsp. erythraea","Tracheophyta","Gentianales","Gentianaceae","EXACT_ACCEPTED","Centaurium erythraea subsp. erythraea","Centaurium erythraea subsp. erythraea Rafn, 1800","SUBSPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Centaurium pulchellum","Centaurium pulchellum",1011337,"ES","Centaurium pulchellum (Sw.) Druce, 1907","Equisetopsida","Gentianales","Gentianaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurium pulchellum",7439391,"SPECIES","Centaurium pulchellum (Sw.) Druce","Tracheophyta","Gentianales","Gentianaceae","EXACT_ACCEPTED","Centaurium pulchellum","Centaurium pulchellum (Sw.) Druce, 1907","SPECIES",0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Centaurium tenuiflorum","Centaurium tenuiflorum",89858,"ES","Centaurium tenuiflorum (Hoffmanns. & Link) Fritsch, 1907","Equisetopsida","Gentianales","Gentianaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Centaurium tenuiflorum",6367342,"SPECIES","Centaurium tenuiflorum (Hoffmanns. & Link) Fritsch","Tracheophyta","Gentianales","Gentianaceae","EXACT_ACCEPTED","Centaurium tenuiflorum","Centaurium tenuiflorum (Hoffmanns. & Link) Fritsch, 1907","SPECIES",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
