"original_taxa","accepted_taxref","taxref_key","taxref_rank","taxref_full_name","taxref_class","taxref_order","taxref_family","taxref_status","G1_INPN","G2_INPN","G3_INPN","habitat","accepted_gbif","gbif_key","gbif_rank","gbif_full_name","gbif_phylum","gbif_order","gbif_family","gbif_status","accepted_taxa","full_name","accepted_rank","in_AT_VIN_SECBIVIT","in_AT_VINEDIVERS","in_BE_ANN_EXPLORE","in_DE_VIN_SECBIVIT","in_EU_HMETCALF","in_FR_ABY","in_FR_ALL_500_ENI","in_FR_ALL_LANGUEDOC","in_FR_ANN_37","in_FR_ANN_45","in_FR_ANN_BARR","in_FR_ANN_BIOVIGILANCE","in_FR_ANN_BOURGOGNE","in_FR_ANN_CASDAR","in_FR_ANN_DEEPIMPACT","in_FR_ANN_FENAY_GFPHD","in_FR_ANN_MP","in_FR_CASYS","in_FR_CBN","in_FR_OLI_GENTY","in_FR_SECBIVIT","in_FR_SUN_ENIVTH","in_FR_VIN_ALPES","in_FR_VIN_BIOVIGILANCE","in_FR_VIN_FLAVI","in_FR_VIN_GIGNAC","in_FR_VIN_HERAULT","in_FR_VIN_SAVM","in_FR_VINE_BDX","in_FR_VINE_CA33","in_RO_VIN_SECBIVIT","in_UK_ANN_Boundary_Margin_Verge"
"Achillea odorata","Achillea odorata",79915,"ES","Achillea odorata L., 1759","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Achillea odorata",7674113,"SPECIES","Achillea odorata L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Achillea odorata","Achillea odorata L., 1759","SPECIES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achillea ptarmica","Achillea ptarmica",79921,"ES","Achillea ptarmica L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Achillea ptarmica",3120333,"SPECIES","Achillea ptarmica L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Achillea ptarmica","Achillea ptarmica L., 1753","SPECIES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achnatherum calamagrostis","Achnatherum calamagrostis",79970,"ES","Achnatherum calamagrostis (L.) P.Beauv., 1812","Equisetopsida","Poales","Poaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Achnatherum calamagrostis",4142326,"SPECIES","Achnatherum calamagrostis (L.) P.Beauv.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","Achnatherum calamagrostis","Achnatherum calamagrostis (L.) P.Beauv., 1812","SPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Acinos arvensis","Ziziphora acinos",970955,"ES","Ziziphora acinos (L.) Melnikov, 2016","Equisetopsida","Lamiales","Lamiaceae","EXACT_SYNONYM","Trachéophytes","Angiospermes","Autres",3,"Clinopodium acinos",2927118,"SPECIES","Clinopodium acinos (L.) Kuntze","Tracheophyta","Lamiales","Lamiaceae","EXACT_SYNONYM","Ziziphora acinos","Ziziphora acinos (L.) Melnikov, 2016","SPECIES",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adonis","Adonis",188828,"GN","Adonis L., 1753","Equisetopsida","Ranunculales","Ranunculaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Adonis",3033821,"GENUS","Adonis L.","Tracheophyta","Ranunculales","Ranunculaceae","HIGHERRANK_ACCEPTED","Adonis","Adonis L., 1753","GENUS",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Adonis aestivalis","Adonis aestivalis",80211,"ES","Adonis aestivalis L., 1762","Equisetopsida","Ranunculales","Ranunculaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Adonis aestivalis",5371707,"SPECIES","Adonis aestivalis L.","Tracheophyta","Ranunculales","Ranunculaceae","EXACT_ACCEPTED","Adonis aestivalis","Adonis aestivalis L., 1762","SPECIES",0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Adonis aestivalis squarrosa","Adonis aestivalis",80211,"ES","Adonis aestivalis L., 1762","Equisetopsida","Ranunculales","Ranunculaceae","EXACT_SYNONYM","Trachéophytes","Angiospermes","Autres",3,"Adonis aestivalis",5371707,"SPECIES","Adonis aestivalis L.","Tracheophyta","Ranunculales","Ranunculaceae","EXACT_ACCEPTED","Adonis aestivalis","Adonis aestivalis L., 1762","SPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adonis annua","Adonis annua",80212,"ES","Adonis annua L., 1753","Equisetopsida","Ranunculales","Ranunculaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Adonis annua",5371709,"SPECIES","Adonis annua L.","Tracheophyta","Ranunculales","Ranunculaceae","EXACT_ACCEPTED","Adonis annua","Adonis annua L., 1753","SPECIES",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adonis flammea","Adonis flammea",80224,"ES","Adonis flammea Jacq., 1776","Equisetopsida","Ranunculales","Ranunculaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Adonis flammea",8246651,"SPECIES","Adonis flammea Jacq.","Tracheophyta","Ranunculales","Ranunculaceae","EXACT_ACCEPTED","Adonis flammea","Adonis flammea Jacq., 1776","SPECIES",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adoxa moschatellina","Adoxa moschatellina",80243,"ES","Adoxa moschatellina L., 1753","Equisetopsida","Dipsacales","Viburnaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Adoxa moschatellina",2888794,"SPECIES","Adoxa moschatellina L.","Tracheophyta","Dipsacales","Viburnaceae","EXACT_ACCEPTED","Adoxa moschatellina","Adoxa moschatellina L., 1753","SPECIES",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
