"accepted_taxa","original_taxa_Dcube","Diaspore.exposure_Dcube","Diaspore.height_mm_Dcube","Diaspore.mass_mg_Dcube","Diaspore.type_Dcube","Fruit.type_Dcube","Anemochory_rank_Dcube","Epizoochory_rank_Dcube","Hydrochory_rank_Dcube"
"Cirsium vulgare subsp. vulgare","Cirsium vulgare (savi) ten.","Exposed",NA,3.1684,"Fruit","Non-fleshy fruit",0.97,NA,0.59
"Cistus albidus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cistus monspeliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cistus salviifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cladanthus mixtus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clematis","Clematis vitalba l.","Exposed",NA,2.966667,"Fruit segment","Non-fleshy fruit",0.88,NA,NA
"Clematis flammula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clematis vitalba","Clematis vitalba l.","Exposed",NA,2.966667,"Fruit segment","Non-fleshy fruit",0.88,NA,NA
"Clinopodium","Calamintha nepeta agg._Clinopodium vulgare l.","Covered partly_Exposed",NA,0.3694,"Fruit_Fruit segment","Non-fleshy fruit",0.48,0.68,0.51
"Clinopodium nepeta","Calamintha nepeta agg.","Covered partly",NA,0.2888,"Fruit segment","Non-fleshy fruit",0.35,0.57,NA
"Clinopodium nepeta subsp. ascendens","Calamintha nepeta agg.","Covered partly",NA,0.2888,"Fruit segment","Non-fleshy fruit",0.35,0.57,NA
"Clinopodium nepeta subsp. sylvaticum","Calamintha nepeta agg.","Covered partly",NA,0.2888,"Fruit segment","Non-fleshy fruit",0.35,0.57,NA
"Clinopodium vulgare","Clinopodium vulgare l.","Exposed",NA,0.45,"Fruit","Non-fleshy fruit",0.61,0.79,0.51
"Cochlearia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coincya monensis subsp. cheiranthos","Coincya monensis ssp. recurvata (all.) leadlay","Covered partly",1.5,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Colchicum autumnale","Colchicum autumnale l.","Enclosed",NA,6.938,"Seed","Fruit with upright aperture",0.06,0.11,0.2
"Coleostephus myconis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina communis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conium","Conium maculatum l.","Exposed",NA,2.775,"Fruit segment","Non-fleshy fruit",0.39,0.5,0.55
"Conium maculatum","Conium maculatum l.","Exposed",NA,2.775,"Fruit segment","Non-fleshy fruit",0.39,0.5,0.55
"Conopodium majus","Conopodium majus (gouan) loret","Exposed",1.44,2.145,"Fruit segment","Non-fleshy fruit",0.22,0.71,NA
"Conringia orientalis","Conringia orientalis (l.) dumort.","Covered partly",NA,NA,"Seed","Fruit with lateral aperture",0.17,0.35,NA
"Convolvulus","Calystegia sepium (l.) r. br._Calystegia soldanella (l.) r. br._Convolvulus arvensis l.","Covered partly",2,28.73,"Seed","Fruit with lateral aperture",0.0566666666666667,0.123333333333333,NA
"Convolvulus althaeoides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Convolvulus arvensis","Convolvulus arvensis l.","Covered partly",NA,12.2,"Seed","Fruit with lateral aperture",0.04,0.22,NA
"Convolvulus cantabrica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Convolvulus sepium","Calystegia sepium (l.) r. br.","Covered partly",2,24.94,"Seed","Fruit with lateral aperture",0.11,0.09,NA
"Convolvulus soldanella","Calystegia soldanella (l.) r. br.","Covered partly",2,49.05,"Seed","Fruit with lateral aperture",0.02,0.06,NA
"Coriandrum sativum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coris monspeliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corispermum nitidum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornus","Cornus mas l._Cornus sanguinea l.","Exposed",NA,729.4416665,"Fruit","Fleshy fruit",0.01,0.015,NA
"Cornus alba",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornus mas","Cornus mas l.","Exposed",NA,1271.533333,"Fruit","Fleshy fruit",0.01,0,NA
"Cornus sanguinea","Cornus sanguinea l.","Exposed",NA,187.35,"Fruit","Fleshy fruit",NA,0.03,NA
"Cornus sanguinea subsp. sanguinea","Cornus sanguinea l.","Exposed",NA,187.35,"Fruit","Fleshy fruit",NA,0.03,NA
"Coronilla","Coronilla varia l.","Exposed",NA,5.2,"Fruit segment","Non-fleshy fruit",0.36,0.31,NA
"Coronilla scorpioides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coronilla varia","Coronilla varia l.","Exposed",NA,5.2,"Fruit segment","Non-fleshy fruit",0.36,0.31,NA
"Corrigiola litoralis","Corrigiola litoralis l.","Exposed",0.8,NA,"Fruit","Non-fleshy fruit",0.75,NA,0.7
"Corrigiola littoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corylus avellana","Corylus avellana l.","Covered partly",12,1083.475,"Fruit","Non-fleshy fruit",0.03,NA,NA
"Cosmos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota altissima",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota austriaca",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota segetalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota tinctoria","Anthemis tinctoria l.","Covered partly",NA,0.4592,"Fruit","Non-fleshy fruit",0.49,0.55,NA
"Crambe abyssinica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crambe hispanica abyssinica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassula tillaea","Crassula tillaea lest.-garl.","Enclosed",0.1,NA,"Seed","Fruit with upright aperture",NA,NA,NA
"Crataegus","Crataegus laevigata (poir.) dc. s.l._Crataegus monogyna jacq. s.l.","Exposed",NA,481.25,"Fruit","Fleshy fruit",NA,0.02,NA
"Crataegus laevigata","Crataegus laevigata (poir.) dc. s.l.","Exposed",NA,507.5,"Fruit","Fleshy fruit",NA,NA,NA
"Crataegus monogyna","Crataegus monogyna jacq. s.l.","Exposed",NA,455,"Fruit","Fleshy fruit",NA,0.02,NA
"Crataegus x subsphaerica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis","Crepis biennis l._Crepis capillaris (l.) wallr._Crepis foetida l._Crepis pulchra ssp. pulchra_Crepis setosa haller f._Crepis tectorum l._Crepis vesicaria ssp. taraxacifolia (thuill.) thell.","Exposed",NA,0.652166666666667,"Fruit","Non-fleshy fruit",0.8825,0.94,0.32
"Crepis bellidifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis biennis","Crepis biennis l.","Exposed",NA,1.1065,"Fruit","Non-fleshy fruit",0.91,0.93,0.32
"Crepis bursifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis capillaris","Crepis capillaris (l.) wallr.","Exposed",NA,0.35,"Fruit","Non-fleshy fruit",0.95,NA,NA
"Crepis foetida","Crepis foetida l.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.89,0.95,NA
"Crepis foetida subsp. rhoeadifolia","Crepis foetida l.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.89,0.95,NA
"Crepis leontodontoides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis micrantha",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis neglecta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis neglecta corymbosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis pulchra","Crepis pulchra ssp. pulchra","Exposed",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Crepis pygmaea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis rubra",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis sancta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis setosa","Crepis setosa haller f.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Crepis tectorum","Crepis tectorum l.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.78,NA,NA
"Crepis vesicaria","Crepis vesicaria ssp. taraxacifolia (thuill.) thell.","Exposed",NA,0.5,"Fruit","Non-fleshy fruit",NA,NA,NA
"Crepis vesicaria subsp. taraxacifolia","Crepis vesicaria ssp. taraxacifolia (thuill.) thell.","Exposed",NA,0.5,"Fruit","Non-fleshy fruit",NA,NA,NA
"Cruciata glabra","Cruciata glabra (l.) ehrend.","Exposed",1,NA,"Fruit segment","Non-fleshy fruit",0.53,NA,NA
"Cruciata laevipes","Cruciata laevipes opiz","Exposed",1,4.04,"Fruit segment","Non-fleshy fruit",0.1,0.44,NA
"Cucurbita",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cucurbita pepo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cullen americanum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cupressus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuscuta","Cuscuta campestris yunck._Cuscuta epilinum weihe","Exposed",0.8,0.5692,"Fruit","Non-fleshy fruit",0.285,0.67,0.65
"Cuscuta campestris","Cuscuta campestris yunck.","Exposed",0.8,0.5692,"Fruit","Non-fleshy fruit",0.31,0.58,NA
"Cuscuta epilinum","Cuscuta epilinum weihe","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.26,0.76,0.65
"Cuscuta monogyna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyanus depressus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyanus segetum","Centaurea cyanus l.","Covered partly",NA,4.5,"Fruit","Non-fleshy fruit",0.3,0.73,NA
"Cydonia oblonga","Cydonia oblonga mill.","Exposed",NA,NA,"Fruit","Fleshy fruit",NA,NA,NA
"Cymbalaria muralis","Cymbalaria muralis p. gaertn., b. mey. & scherb.","Enclosed",NA,NA,"Seed","Fruit with upright aperture",0.61,0.4,NA
"Cynanchum acutum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynara cardunculus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynodon","Cynodon dactylon (l.) pers.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.61,0.55,0.77
"Cynodon dactylon","Cynodon dactylon (l.) pers.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.61,0.55,0.77
"Cynoglossum cheirifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynoglossum creticum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynoglossum officinale","Cynoglossum officinale l.","Exposed",NA,32,"Fruit segment","Non-fleshy fruit",0.12,0.9,NA
"Cynosurus cristatus","Cynosurus cristatus l.","Covered partly",0.61,0.493,"Fruit","Non-fleshy fruit",0.6,0.78,0.2
"Cynosurus echinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus","Cyperus longus l. s.l.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",NA,0.75,NA
"Cyperus difformis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus eragrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus esculentus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus longus","Cyperus longus l. s.l.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",NA,0.75,NA
"Cyperus rotundus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cytisus scoparius","Cytisus scoparius (l.) link","Enclosed",NA,8.3,"Seed","Explosive release mechanism",0.08,0.09,NA
"Dactylis","Dactylis glomerata l.","Covered partly",0.9,0.9,"Fruit","Non-fleshy fruit",0.64,0.73,0.15
"Dactylis glomerata","Dactylis glomerata l.","Covered partly",0.9,0.9,"Fruit","Non-fleshy fruit",0.64,0.73,0.15
"Dactylis glomerata subsp. glomerata","Dactylis glomerata l.","Covered partly",0.9,0.9,"Fruit","Non-fleshy fruit",0.64,0.73,0.15
"Dasypyrum villosum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Datura stramonium","Datura stramonium l.","Enclosed",NA,8.89,"Seed","Fruit with upright aperture",0.07,0.09,NA
"Daucus","Daucus carota l.","Exposed",0.71,1.1894,"Fruit segment","Non-fleshy fruit",0.66,0.95,0.26
"Daucus carota","Daucus carota l.","Exposed",0.71,1.1894,"Fruit segment","Non-fleshy fruit",0.66,0.95,0.26
"Daucus carota subsp. carota","Daucus carota l.","Exposed",0.71,1.1894,"Fruit segment","Non-fleshy fruit",0.66,0.95,0.26
"Daucus crinitus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium","Consolida regalis gray","Covered partly",NA,NA,"Seed","Fruit with upright aperture",0.22,0.22,0
"Delphinium ajacis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium consolida","Consolida regalis gray","Covered partly",NA,NA,"Seed","Fruit with upright aperture",0.22,0.22,0
"Delphinium halteratum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium hispanicum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium verdunense",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deschampsia cespitosa","Deschampsia cespitosa (l.) p. beauv.","Covered partly",0.6,0.308667,"Fruit","Non-fleshy fruit",0.79,0.85,0.48
"Descurainia sophia","Descurainia sophia (l.) prantl","Covered partly",NA,0.1194,"Seed","Fruit with lateral aperture",0.67,0.63,NA
"Dianthus","Dianthus armeria ssp. armeria_Dianthus carthusianorum l.","Enclosed",NA,0.774,"Seed","Fruit with upright aperture",0.6,0.11,NA
"Dianthus armeria","Dianthus armeria ssp. armeria","Enclosed",NA,NA,"Seed","Fruit with upright aperture",NA,NA,NA
"Dianthus carthusianorum","Dianthus carthusianorum l.","Enclosed",NA,0.774,"Seed","Fruit with upright aperture",0.6,0.11,NA
"Dianthus carthusianorum subsp. carthusianorum","Dianthus carthusianorum l.","Enclosed",NA,0.774,"Seed","Fruit with upright aperture",0.6,0.11,NA
"Digitalis","Digitalis grandiflora mill._Digitalis purpurea l.","Enclosed",NA,0.0542,"Seed","Fruit with lateral aperture",0.65,0.36,NA
"Digitalis grandiflora","Digitalis grandiflora mill.","Enclosed",NA,NA,"Seed","Fruit with lateral aperture",0.63,0.32,NA
"Digitalis purpurea","Digitalis purpurea l.","Enclosed",NA,0.0542,"Seed","Fruit with lateral aperture",0.67,0.4,NA
"Digitaria","Digitaria ischaemum (schreb. ex schweigg.) schreb. ex muhl._Digitaria sanguinalis (l.) scop.","Covered partly",0.6,0.21,"Fruit","Non-fleshy fruit",0.615,0.775,NA
"Digitaria ischaemum","Digitaria ischaemum (schreb. ex schweigg.) schreb. ex muhl.","Covered partly",0.6,NA,"Fruit","Non-fleshy fruit",0.67,0.79,NA
"Digitaria sanguinalis","Digitaria sanguinalis (l.) scop.","Covered partly",0.6,0.21,"Fruit","Non-fleshy fruit",0.56,0.76,NA
"Dioscorea communis","Tamus communis l.","Exposed",NA,700,"Fruit","Fleshy fruit",NA,NA,NA
"Diplotaxis","Diplotaxis muralis (l.) dc._Diplotaxis tenuifolia (l.) dc._Diplotaxis viminea (l.) dc.","Covered partly",0.5,0.2736,"Seed","Fruit with lateral aperture",0.325,0.62,NA
"Diplotaxis erucoides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplotaxis muralis","Diplotaxis muralis (l.) dc.","Covered partly",NA,0.2472,"Seed","Fruit with lateral aperture",0.35,NA,NA
"Diplotaxis tenuifolia","Diplotaxis tenuifolia (l.) dc.","Covered partly",NA,0.3,"Seed","Fruit with lateral aperture",0.3,0.62,NA
"Diplotaxis viminea","Diplotaxis viminea (l.) dc.","Covered partly",0.5,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Diplotaxis virgata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dipsacus fullonum","Dipsacus fullonum l.","Covered partly",NA,2.5,"Fruit","Non-fleshy fruit",0.57,0.45,0
"Dipsacus sativus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dittrichia graveolens","Inula graveolens (l.) desf.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Dittrichia viscosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Draba","Erophila praecox (steven) dc._Erophila spathulata lang_Erophila verna (l.) dc. s.str._Erophila verna agg.","Covered partly",NA,0.05,"Seed","Fruit with lateral aperture",0.87,0.8,0.82
"Draba verna","Erophila praecox (steven) dc._Erophila spathulata lang_Erophila verna (l.) dc. s.str._Erophila verna agg.","Covered partly",NA,0.05,"Seed","Fruit with lateral aperture",0.87,0.8,0.82
"Dryopteris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dryopteris filix-mas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dysphania ambrosioides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dysphania aristata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ecballium elaterium","Ecballium elaterium (l.) rich. f.","Enclosed",NA,18.626667,"Seed","Explosive release mechanism",0.04,0.07,NA
"Echinaria capitata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa","Echinochloa crus-galli (l.) p. beauv.","Exposed",NA,1.5,"Fruit","Non-fleshy fruit",0.6,0.91,0.4
"Echinochloa colona",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa crus-galli","Echinochloa crus-galli (l.) p. beauv.","Exposed",NA,1.5,"Fruit","Non-fleshy fruit",0.6,0.91,0.4
"Echinops ritro",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium","Echium vulgare l.","Covered partly",NA,3.04,"Fruit segment","Non-fleshy fruit",0.45,0.45,0.43
"Echium arenarium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium asperrimum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium plantagineum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium vulgare","Echium vulgare l.","Covered partly",NA,3.04,"Fruit segment","Non-fleshy fruit",0.45,0.45,0.43
"Eleocharis palustris","Eleocharis palustris (l.) roem. & schult.","Exposed",NA,0.7016,"Fruit","Non-fleshy fruit",0.29,0.89,NA
"Elymus","Elymus caninus (l.) l.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.4,0.51,0.06
"Elymus caninus","Elymus caninus (l.) l.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.4,0.51,0.06
"Elytrigia","Elymus hispidus (opiz) melderis_Elymus repens (l.) gould","Covered partly",1.05,7.23,"Fruit","Non-fleshy fruit",0.54,0.51,NA
"Elytrigia campestris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elytrigia elongata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elytrigia intermedia","Elymus hispidus (opiz) melderis","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Elytrigia intermedia subsp. intermedia","Elymus hispidus (opiz) melderis","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Elytrigia juncea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elytrigia repens","Elymus repens (l.) gould","Covered partly",1.05,7.23,"Fruit","Non-fleshy fruit",0.54,0.51,NA
"Ephippiger perforatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium","Epilobium ciliatum raf._Epilobium hirsutum l._Epilobium lanceolatum sebast. & mauri_Epilobium montanum l._Epilobium obscurum schreb._Epilobium palustre l._Epilobium parviflorum schreb._Epilobium roseum schreb._Epilobium tetragonum ssp. lamyi (f. w. schultz) nyman_Epilobium tetragonum ssp. tetragonum","Covered partly",NA,0.102961166666667,"Seed","Fruit with lateral aperture",0.992857142857143,0.892,0.745
"Epilobium ciliatum","Epilobium ciliatum raf.","Covered partly",NA,0.062,"Seed","Fruit with lateral aperture",1,0.89,0.71
"Epilobium hirsutum","Epilobium hirsutum l.","Covered partly",NA,0.126,"Seed","Fruit with lateral aperture",0.99,NA,NA
"Epilobium lanceolatum","Epilobium lanceolatum sebast. & mauri","Covered partly",NA,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Epilobium montanum","Epilobium montanum l.","Covered partly",NA,0.166,"Seed","Fruit with lateral aperture",0.99,NA,NA
"Epilobium obscurum","Epilobium obscurum schreb.","Covered partly",NA,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Epilobium palustre","Epilobium palustre l.","Covered partly",NA,NA,"Seed","Fruit with lateral aperture",0.99,0.9,0.78
"Epilobium parviflorum","Epilobium parviflorum schreb.","Covered partly",NA,0.0781,"Seed","Fruit with lateral aperture",0.99,0.89,NA
"Epilobium roseum","Epilobium roseum schreb.","Covered partly",NA,0.080467,"Seed","Fruit with lateral aperture",1,0.89,NA
"Epilobium tetragonum","Epilobium tetragonum ssp. lamyi (f. w. schultz) nyman_Epilobium tetragonum ssp. tetragonum","Covered partly",NA,0.1052,"Seed","Fruit with lateral aperture",0.99,0.89,NA
"Epilobium tetragonum subsp. lamyi","Epilobium tetragonum ssp. lamyi (f. w. schultz) nyman","Covered partly",NA,0.1052,"Seed","Fruit with lateral aperture",0.99,0.89,NA
"Epilobium tetragonum subsp. tetragonum","Epilobium tetragonum ssp. tetragonum","Covered partly",NA,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Epipactis","Epipactis helleborine (l.) crantz s.str.","Enclosed",NA,NA,"Seed","Fruit with lateral aperture",0.99,0.48,NA
"Epipactis helleborine","Epipactis helleborine (l.) crantz s.str.","Enclosed",NA,NA,"Seed","Fruit with lateral aperture",0.99,0.48,NA
"Equisetum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equisetum arvense",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equisetum palustre",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equisetum ramosissimum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equisetum sylvaticum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equisetum telmateia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis barrelieri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis cilianensis","Eragrostis cilianensis (all.) vignolo ex janch.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Eragrostis minor","Eragrostis minor host","Covered partly",NA,0.07,"Fruit","Non-fleshy fruit",0.66,NA,NA
"Eragrostis pilosa","Eragrostis pilosa (l.) p. beauv.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Erigeron","Conyza canadensis (l.) cronquist_Erigeron acris l._Erigeron annuus (l.) pers.","Exposed",NA,0.0853333333333333,"Fruit","Non-fleshy fruit",0.97,0.94,NA
"Erigeron acris","Erigeron acris l.","Exposed",NA,0.176,"Fruit","Non-fleshy fruit",0.98,NA,NA
"Erigeron annuus","Erigeron annuus (l.) pers.","Exposed",NA,0.03,"Fruit","Non-fleshy fruit",NA,NA,NA
"Erigeron bonariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron canadensis","Conyza canadensis (l.) cronquist","Exposed",NA,0.05,"Fruit","Non-fleshy fruit",0.96,0.94,NA
"Erigeron canadensis x Erigeron sumatrensis","Conyza canadensis (l.) cronquist","Exposed",NA,0.05,"Fruit","Non-fleshy fruit",0.96,0.94,NA
"Erigeron floribundus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron glabratus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron sumatrensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erodium","Erodium ciconium (l.) l'her._Erodium cicutarium agg._Erodium moschatum (l.) l'her.","Covered partly",1,8.695,"Fruit segment","Explosive release mechanism",0.393333333333333,0.82,NA
"Erodium chium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erodium ciconium","Erodium ciconium (l.) l'her.","Covered partly",NA,8.96,"Fruit segment","Explosive release mechanism",0.19,NA,NA
"Erodium cicutarium","Erodium cicutarium agg.","Covered partly",1,8.43,"Fruit segment","Explosive release mechanism",0.47,0.82,NA
"Erodium cicutarium subsp. cicutarium","Erodium cicutarium agg.","Covered partly",1,8.43,"Fruit segment","Explosive release mechanism",0.47,0.82,NA
"Erodium malacoides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erodium moschatum","Erodium moschatum (l.) l'her.","Covered partly",NA,NA,"Fruit segment","Explosive release mechanism",0.52,NA,NA
"Eruca vesicaria","Eruca sativa mill.","Covered partly",NA,1.8628,"Seed","Fruit with lateral aperture",0.15,0.35,NA
"Erucastrum gallicum","Erucastrum gallicum (willd.) o. e. schulz","Covered partly",NA,NA,"Seed","Fruit with lateral aperture",0.26,0.6,NA
"Erucastrum nasturtiifolium","Erucastrum nasturtiifolium (poir.) o. e. schulz","Covered partly",0.69,0.1392,"Seed","Fruit with lateral aperture",0.51,0.57,0.42
"Ervilia hirsuta","Vicia hirsuta (l.) gray","Enclosed",NA,9.5,"Seed","Explosive release mechanism",NA,NA,NA
"Ervilia monanthos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ervilia sativa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ervum gracile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ervum pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ervum tetraspermum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eryngium campestre","Eryngium campestre l.","Exposed",NA,1.8,"Fruit segment","Non-fleshy fruit",0.59,NA,NA
"Eryngium maritimum","Eryngium maritimum l.","Exposed",2,NA,"Fruit segment","Non-fleshy fruit",0.3,0.72,NA
"Erysimum cheiranthoides","Erysimum cheiranthoides l.","Covered partly",NA,0.3264,"Seed","Fruit with lateral aperture",0.33,0.56,NA
"Erysimum cheiri","Erysimum cheiri (l.) crantz","Covered partly",0.55,NA,"Seed","Fruit with lateral aperture",0.39,0.16,0.89
"Erysimum incanum subsp. aurigeranum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erysimum repandum","Erysimum repandum l.","Covered partly",0.5,NA,"Seed","Fruit with lateral aperture",0.49,NA,NA
"Erythranthe moschata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eschscholzia californica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euonymus europaeus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eupatorium cannabinum","Eupatorium cannabinum l.","Exposed",NA,0.303867,"Fruit","Non-fleshy fruit",0.96,0.98,NA
"Euphorbia","Euphorbia amygdaloides l._Euphorbia cyparissias l._Euphorbia esula agg._Euphorbia exigua l._Euphorbia falcata l._Euphorbia helioscopia l._Euphorbia humifusa willd._Euphorbia peplus l._Euphorbia platyphyllos ssp. platyphyllos_Euphorbia prostrata aiton_Euphorbia serrulata thuill._Euphorbia verrucosa l.","Enclosed",1.05333333333333,2.37305366666667,"Seed","Explosive release mechanism",0.269,0.207777777777778,0.24
"Euphorbia amygdaloides","Euphorbia amygdaloides l.","Enclosed",NA,5.033333,"Seed","Explosive release mechanism",0.07,0.14,NA
"Euphorbia chamaesyce",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia characias",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia cyparissias","Euphorbia cyparissias l.","Enclosed",NA,2.62525,"Seed","Explosive release mechanism",0.51,NA,NA
"Euphorbia esula","Euphorbia esula agg.","Enclosed",NA,4.4295,"Seed","Explosive release mechanism",0.1,0.11,0.24
"Euphorbia exigua","Euphorbia exigua l.","Enclosed",NA,0.4,"Seed","Explosive release mechanism",0.5,0.27,NA
