"accepted_taxa","original_taxa_Dcube","Diaspore.exposure_Dcube","Diaspore.height_mm_Dcube","Diaspore.mass_mg_Dcube","Diaspore.type_Dcube","Fruit.type_Dcube","Anemochory_rank_Dcube","Epizoochory_rank_Dcube","Hydrochory_rank_Dcube"
"Oenothera","Oenothera biennis s.l. l.","Enclosed",NA,0.5732,"Seed","Fruit with lateral aperture",0.58,0.26,NA
"Oenothera biennis","Oenothera biennis s.l. l.","Enclosed",NA,0.5732,"Seed","Fruit with lateral aperture",0.58,0.26,NA
"Oenothera glazioviana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Olea europaea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oloptum miliaceum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Omalotheca sylvatica","Gnaphalium sylvaticum l.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",1,NA,NA
"Onobrychis alba",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onobrychis arenaria","Onobrychis arenaria (kit.) dc.","Exposed",2,NA,"Fruit","Non-fleshy fruit",0.09,NA,NA
"Onobrychis caput-galli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onobrychis viciifolia","Onobrychis viciifolia agg.","Exposed",2.33,19.707167,"Fruit","Non-fleshy fruit",0.27,0.59,NA
"Ononis","Ononis natrix l._Ononis repens l._Ononis spinosa agg.","Enclosed",1,6.5326665,"Seed","Explosive release mechanism",0.37,0.12,0.22
"Ononis natrix","Ononis natrix l.","Enclosed",1,NA,"Seed","Explosive release mechanism",NA,0.14,NA
"Ononis reclinata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ononis spinosa","Ononis spinosa agg.","Enclosed",1,5.669333,"Seed","Explosive release mechanism",0.23,0.11,0.22
"Ononis spinosa subsp. procurrens","Ononis repens l.","Enclosed",NA,7.396,"Seed","Explosive release mechanism",0.51,0.11,NA
"Ononis viscosa subsp. viscosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onopordum","Onopordum acanthium l.","Exposed",NA,10.8,"Fruit","Non-fleshy fruit",NA,0.21,NA
"Onopordum acanthium","Onopordum acanthium l.","Exposed",NA,10.8,"Fruit","Non-fleshy fruit",NA,0.21,NA
"Onopordum acaulon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onopordum corymbosum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onopordum gautieri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onopordum illyricum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ophioglossum vulgatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ophrys apifera","Ophrys apifera huds.","Enclosed",NA,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Ophrys exaltata","Ophrys sphegodes agg.","Enclosed",NA,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Ophrys insectifera","Ophrys insectifera l.","Enclosed",NA,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Orchis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Origanum","Origanum vulgare l.","Covered partly",NA,0.085,"Fruit segment","Non-fleshy fruit",0.74,NA,0.59
"Origanum majorana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Origanum vulgare","Origanum vulgare l.","Covered partly",NA,0.085,"Fruit segment","Non-fleshy fruit",0.74,NA,0.59
"Origanum vulgare subsp. vulgare","Origanum vulgare l.","Covered partly",NA,0.085,"Fruit segment","Non-fleshy fruit",0.74,NA,0.59
"Orlaya","Orlaya grandiflora (l.) hoffm.","Exposed",3,NA,"Fruit segment","Non-fleshy fruit",0.27,0.92,NA
"Orlaya grandiflora","Orlaya grandiflora (l.) hoffm.","Exposed",3,NA,"Fruit segment","Non-fleshy fruit",0.27,0.92,NA
"Orlaya platycarpos",NA,NA,NA,NA,NA,NA,NA,NA,NA
