"accepted_taxa","original_taxa_BIEN","Flower.color_BIEN","Leaf.area_mm2_BIEN","SLA_m2.kg-1_BIEN","Leaf.carbon.to.nitrogen.content_mg.g-1_BIEN","Leaf.dry.mass_g_BIEN","Leaf.dry.mass.content_mg.g-1_BIEN","Leaf.nitrogen.content_mg.g-1_BIEN","Flowering_begin.month_BIEN","Seed.mass_mg_BIEN","Growth.form_BIEN","Plant.height_m_BIEN"
"Cyperus papyrus","Cyperus papyrus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus podocarpus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus polystachyos","Cyperus polystachyos","",NA,NA,NA,NA,NA,NA,"",NA,"Graminoid_sedge*_shrub",NA
"Cyperus pustulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus richardii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus rotundus","Cyperus rotundus","",NA,NA,NA,NA,NA,NA,"",0.149666666666667,"Herb",NA
"Cyperus sphacelatus","Cyperus sphacelatus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus squarrosus","Cyperus squarrosus","",NA,NA,NA,NA,NA,NA,"",0.021,"Herb",NA
"Cyperus surinamensis","Cyperus surinamensis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus tenuiculmis","Cyperus tenuiculmis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus tenuifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus tenuis","Cyperus tenuis","",NA,NA,NA,NA,NA,NA,"",NA,"Aquatic_herb",NA
"Cyphostemma adenocaule","Cyphostemma adenocaule","",NA,NA,NA,NA,NA,NA,"",NA,"Climber_herb_herbaceous climber",NA
"Cyphostemma adenopodum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyphostemma cymosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyrtococcum chaetophoron","Cyrtococcum chaetophoron","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Dactylis glomerata","Dactylis glomerata","Yellow",404.410838336449,25.6180945078378,13.5814725,0.0530141463,265.337500018182,27.5965444333333,"5_6_7",0.846644654545455,"Grass_herb",0.27101383
"Dactyloctenium aegyptium","Dactyloctenium aegyptium","",5703.97684210526,NA,NA,0.166601052631579,NA,NA,"",0.327,"Grass_herb",NA
"Dalbergia heudelotii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergia hostilis","Dalbergia hostilis","",NA,NA,NA,NA,NA,NA,"",NA,"Liana_shrub_woody climber",NA
"Dalbergia oblongifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergia saxatilis","Dalbergia saxatilis","",NA,NA,NA,NA,NA,NA,"",NA,"Climber_liana_woody climber",NA
"Dalbergiella welwitschii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalechampia","Dalechampia ipomoeifolia_Dalechampia scandens","",NA,NA,NA,NA,NA,NA,"",32.4091721311475,"Herbaceous climber_Vine",NA
"Dalechampia ipomoeifolia","Dalechampia ipomoeifolia","",NA,NA,NA,NA,NA,NA,"",NA,"Herbaceous climber",NA
"Dalechampia scandens","Dalechampia scandens","",NA,NA,NA,NA,NA,NA,"",32.4091721311475,"Vine",NA
"Daniellia oliveri","Daniellia oliveri","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",NA
"Danthonia decumbens","Danthonia decumbens","",96.5045454545455,17.22,NA,0.00731651023529412,349.118571428571,NA,"6",1.42545454545455,"Grass_herb",0.175
"Datura","Datura innoxia_Datura stramonium","White",14739.875,25.9304849505263,9.772,0.731714,138.868,57.2,"6",11.9762884615385,"Herb_shrub",1.29166666666667
"Datura innoxia","Datura innoxia","White",NA,NA,NA,NA,NA,NA,"",13.5775,"Herb_shrub",NA
"Datura stramonium","Datura stramonium","",14739.875,25.9304849505263,9.772,0.731714,138.868,57.2,"6",10.3750769230769,"Herb_shrub",1.29166666666667
"Daucus carota","Daucus carota","",1920.279598,23.0545981708824,13.2457865,0.016184,228.456823981818,22.7703205,"5_6",1.12313698630137,"Forb_herb",0.450307692307692
"Deinbollia pinnata","Deinbollia pinnata","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",NA
"Delonix regia","Delonix regia","Orange",NA,NA,NA,NA,NA,NA,"10",387.2,"Tree",9.398
"Desmanthus virgatus","Desmanthus virgatus","White",NA,NA,NA,NA,NA,NA,"",4.61,"Herb",NA
"Desmodium","Desmodium distortum_Desmodium incanum_Desmodium scorpiurus_Desmodium tortuosum_Desmodium uncinatum","Blue_Purple",NA,34.624,10.734,NA,NA,34.57,"",3.2675,"Herb_Sub-shrub",NA
"Desmodium distortum","Desmodium distortum","",NA,NA,NA,NA,NA,NA,"",NA,"Sub-shrub",NA
"Desmodium incanum","Desmodium incanum","Purple",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Desmodium intortum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium scorpiurus","Desmodium scorpiurus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Desmodium tortuosum","Desmodium tortuosum","Blue",NA,34.624,10.734,NA,NA,34.57,"",2.285,"Herb",NA
"Desmodium uncinatum","Desmodium uncinatum","",NA,NA,NA,NA,NA,NA,"",4.25,"Herb",NA
"Detarium microcarpum","Detarium microcarpum","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",NA
"Dialium guineense","Dialium guineense","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",NA
"Dichanthium annulatum","Dichanthium annulatum","",NA,NA,NA,NA,NA,14.2,"",0.418,"Grass_herb",NA
"Dichanthium caricosum","Dichanthium caricosum","",NA,NA,NA,NA,NA,NA,"",NA,"Grass_herb",NA
"Dichapetalum filicaule","Dichapetalum filicaule","",NA,NA,NA,NA,NA,NA,"",NA,"Climber",NA
"Dichapetalum madagascariense","Dichapetalum madagascariense","",NA,NA,NA,NA,NA,NA,"",NA,"Liana_tree_woody climber*",NA
"Dichrocephala integrifolia","Dichrocephala integrifolia","",NA,NA,NA,NA,NA,NA,"",NA,"Forb_herb",NA
"Dichrostachys cinerea","Dichrostachys cinerea","",1955,6.87,17.356065,NA,457.4,27.5,"10",NA,"Shrub_tree",NA
"Dicliptera elliotii","Dicliptera elliotii","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Dicliptera paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicoma tomentosa","Dicoma tomentosa","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Digitalis purpurea","Digitalis purpurea","Purple",32158.6533333333,17.5768771428571,NA,2.441066253,242.5,37.8,"6",0.08917315,"Forb_herb",0.8573469
"Digitaria","Digitaria acuminatissima_Digitaria argillacea_Digitaria bicornis_Digitaria ciliaris_Digitaria diagonalis_Digitaria eriantha_Digitaria fuscescens_Digitaria gayana_Digitaria horizontalis_Digitaria insularis_Digitaria longiflora_Digitaria radicosa_Digitaria sanguinalis","",6069.70667676768,13.1304666666667,NA,0.179764511111111,174.204,18.7,"7_8",0.5805,"Grass_herb_Herb",0.267483333333333
"Digitaria acuminatissima","Digitaria acuminatissima","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Digitaria argillacea","Digitaria argillacea","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Digitaria bicornis","Digitaria bicornis","",5043.544,NA,NA,0.165494,NA,NA,"",NA,"Grass_herb",NA
"Digitaria ciliaris","Digitaria ciliaris","",18060.425,NA,NA,0.578547,NA,NA,"",0.56,"Grass_herb",NA
"Digitaria delicatula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria diagonalis","Digitaria diagonalis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Digitaria eriantha","Digitaria eriantha","",NA,1.6279,NA,NA,NA,14.9,"",NA,"Grass_herb",0.41945
"Digitaria fuscescens","Digitaria fuscescens","",2325.226,NA,NA,0.074094,NA,NA,"",NA,"Herb",NA
"Digitaria gayana","Digitaria gayana","",448.781111111111,NA,NA,0.0159755555555556,NA,NA,"",0.51,"Herb",NA
"Digitaria horizontalis","Digitaria horizontalis","",NA,NA,NA,NA,NA,NA,"",0.73,"Grass_herb",NA
"Digitaria humbertii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria insularis","Digitaria insularis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Digitaria longiflora","Digitaria longiflora","",NA,2.7255,NA,NA,NA,22.5,"",NA,"Grass_herb",0.193
"Digitaria radicosa","Digitaria radicosa","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Digitaria sanguinalis","Digitaria sanguinalis","",4470.55727272727,35.038,NA,0.064712,174.204,NA,"7_8",0.522,"Grass_herb",0.19
"Dimetia capitellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dinebra perrieri","Dinebra perrieri","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Dinebra retroflexa","Dinebra retroflexa","",2241.166,NA,NA,0.068456,NA,NA,"",NA,"Grass_herb",NA
"Diodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diodia rubricosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea","Dioscorea alata_Dioscorea bulbifera_Dioscorea cayenensis_Dioscorea dumetorum_Dioscorea minutiflora_Dioscorea praehensilis_Dioscorea preussii_Dioscorea quartiniana_Dioscorea smilacifolia","",NA,NA,NA,NA,NA,NA,"",NA,"Climber_Climber_herb_Climber_herb_woody climber_Climber_shrub_vine_Herb*_liana*_sub shrub*_vine_woody climber*_Herbaceous climber_vine_Vine_Woody climber",NA
"Dioscorea alata","Dioscorea alata","",NA,NA,NA,NA,NA,NA,"",NA,"Vine",NA
"Dioscorea antaly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea bulbifera","Dioscorea bulbifera","",NA,NA,NA,NA,NA,NA,"",NA,"Herb*_liana*_sub shrub*_vine_woody climber*",NA
"Dioscorea cayenensis","Dioscorea cayenensis","",NA,NA,NA,NA,NA,NA,"",NA,"Climber_shrub_vine",NA
"Dioscorea dumetorum","Dioscorea dumetorum","",NA,NA,NA,NA,NA,NA,"",NA,"Climber_herb",NA
"Dioscorea minutiflora","Dioscorea minutiflora","",NA,NA,NA,NA,NA,NA,"",NA,"Woody climber",NA
"Dioscorea praehensilis","Dioscorea praehensilis","",NA,NA,NA,NA,NA,NA,"",NA,"Climber_herb_woody climber",NA
"Dioscorea preussii","Dioscorea preussii","",NA,NA,NA,NA,NA,NA,"",NA,"Climber",NA
"Dioscorea quartiniana","Dioscorea quartiniana","",NA,NA,NA,NA,NA,NA,"",NA,"Herbaceous climber_vine",NA
"Dioscorea sagittifolia lecardii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea smilacifolia","Dioscorea smilacifolia","",NA,NA,NA,NA,NA,NA,"",NA,"Woody climber",NA
"Dioscorea togoensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscoreophyllum volkensii","Dioscoreophyllum volkensii","",NA,NA,NA,NA,NA,NA,"",NA,"Liana",NA
"Diospyros mespiliformis","Diospyros mespiliformis","",NA,NA,NA,NA,NA,NA,"10",432.5,"Tree",NA
"Diospyros monbuttensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplachne fusca","Diplachne fusca","",NA,NA,NA,NA,NA,NA,"",NA,"5_herb",NA
"Diplotaxis tenuifolia","Diplotaxis tenuifolia","",11937.5507692308,22.45,NA,0.113478777,113,NA,"5",0.32,"Herb",0.35625
"Discoglypremna caloneura","Discoglypremna caloneura","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",10.1111111111111
"Dissotis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dissotis grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distemonanthus benthamianus","Distemonanthus benthamianus","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",NA
"Distimake aegyptius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distimake cissoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distimake dissectus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distimake kentrocaulos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distimake quinquefolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dolichandra unguis-cati","Dolichandra unguis-cati","",NA,21.170396875,NA,NA,NA,NA,"",15.009,"Vine",NA
"Dracaena mannii","Dracaena mannii","",NA,NA,NA,NA,NA,NA,"8",NA,"Shrub",NA
"Drimia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drymaria cordata","Drymaria cordata","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Dysphania ambrosioides","Dysphania ambrosioides","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Echinochloa callopus","Echinochloa callopus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Echinochloa colonum","Echinochloa colonum","",NA,NA,NA,NA,NA,NA,"",0.8,"Aquatic_grass_herb",NA
"Echinochloa crus-galli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa crus-pavonis","Echinochloa crus-pavonis","",2619.51,NA,NA,0.080556,NA,NA,"",NA,"Herb",NA
"Echinochloa obtusiflora","Echinochloa obtusiflora","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Echinochloa polystachya","Echinochloa polystachya","",NA,NA,NA,NA,NA,NA,"",NA,"Aquatic*_herb",NA
"Echinochloa pyramidalis","Echinochloa pyramidalis","",547.774,NA,NA,0.016944,NA,NA,"",NA,"Herb",NA
"Echinochloa stagnina","Echinochloa stagnina","",3500.412,NA,NA,0.137545,NA,NA,"",NA,"Grass_herb",NA
"Echinops mildbraedii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eclipta prostrata","Eclipta prostrata","White",NA,NA,NA,NA,NA,NA,"",0.561156125,"Forb_herb",NA
"Ehretia cymosa","Ehretia cymosa","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub*_tree",NA
"Ehretia trachyphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elaeis guineensis","Elaeis guineensis","",NA,NA,NA,NA,NA,NA,"",2210.9375,"Tree",NA
"Eleocharis","Eleocharis filiculmis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Eleocharis complanata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleocharis filiculmis","Eleocharis filiculmis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Elephantopus mollis","Elephantopus mollis","Purple",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Elephantopus scaber","Elephantopus scaber","",NA,NA,NA,NA,NA,18.5,"",1.5,"Herb",NA
"Eleusine indica","Eleusine indica","",3159.54444444444,24.07,NA,0.05996,222.1,NA,"7",0.3474,"Herb",0.1075
"Eleutheranthera ruderalis","Eleutheranthera ruderalis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Elymandra androphila","Elymandra androphila","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Elytraria marginata","Elytraria marginata","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Elytraria maritima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emilia coccinea","Emilia coccinea","",NA,NA,NA,NA,NA,NA,"",NA,"Herb_shrub*",NA
"Emilia fosbergii","Emilia fosbergii","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Emilia praetermissa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emilia sonchifolia","Emilia sonchifolia","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Enneapogon cenchroides","Enneapogon cenchroides","",NA,NA,NA,NA,NA,NA,"",0.18,"Grass_herb",NA
"Entada africana","Entada africana","",NA,NA,NA,NA,NA,NA,"",250,"",NA
"Enteropogon prieurii","Enteropogon prieurii","",7503.638,NA,NA,0.32417,NA,NA,"",NA,"Grass_herb",NA
"Equisetum","Equisetum ramosissimum","",NA,NA,NA,NA,NA,14.5,"",NA,"Fern ally_herb",0.9
"Equisetum ramosissimum","Equisetum ramosissimum","",NA,NA,NA,NA,NA,14.5,"",NA,"Fern ally_herb",0.9
"Eragrostis aspera","Eragrostis aspera","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Eragrostis atrovirens","Eragrostis atrovirens","",NA,NA,NA,NA,NA,NA,"",NA,"Grass_herb",NA
"Eragrostis cilianensis","Eragrostis cilianensis","",6063.48444444444,NA,NA,0.16844,NA,NA,"6_7",0.078,"Grass_herb",0.3125
"Eragrostis ciliaris","Eragrostis ciliaris","",NA,NA,NA,NA,NA,NA,"",0.028,"Herb",NA
"Eragrostis gangetica","Eragrostis gangetica","",NA,NA,NA,NA,NA,NA,"",NA,"Grass_herb",NA
"Eragrostis macilenta","Eragrostis macilenta","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Eragrostis minor","Eragrostis minor","",118.09,35.55,NA,0.002788,259.226666666667,NA,"7",NA,"Grass_herb",0.125
"Eragrostis pilosa","Eragrostis pilosa","",5145.48111111111,42.116,NA,0.206584444444444,NA,NA,"7",0.045,"Herb",0.1
"Eragrostis squamata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis tenella","Eragrostis tenella","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Eragrostis tenuifolia","Eragrostis tenuifolia","",NA,NA,NA,NA,NA,NA,"",0.163,"Herb",NA
"Eragrostis tremula","Eragrostis tremula","",NA,NA,NA,NA,NA,NA,"",0.075,"Grass_herb",NA
"Eragrostis turgida","Eragrostis turgida","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Eragrostis unioloides","Eragrostis unioloides","",2237.465,NA,NA,0.121925,NA,NA,"",NA,"Grass_herb",NA
"Eragrostis viscosa","Eragrostis viscosa","",NA,NA,NA,NA,NA,NA,"",NA,"Grass_herb",NA
"Eragrotis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erechtites hieraciifolius","Erechtites hieraciifolius","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Erechtites valerianifolius","Erechtites valerianifolius","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Erica galioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron bonariensis","Erigeron bonariensis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Erigeron floribundus","Erigeron floribundus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Erigeron karvinskianus","Erigeron karvinskianus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Erigeron sumatrensis","Erigeron sumatrensis","",NA,NA,NA,NA,NA,NA,"",0.03,"Herb",NA
"Eriochloa barbatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eriosema","Eriosema psoraleoides","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub_vine",NA
"Eriosema glomeratum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eriosema psoraleoides","Eriosema psoraleoides","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub_vine",NA
"Eryngium foetidum","Eryngium foetidum","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Erythrina senegalensis","Erythrina senegalensis","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub",NA
"Erythrina vogelii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethulia conyzoides","Ethulia conyzoides","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Euadenia trifoliolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eugenia leonensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia convolvuloides","Euphorbia convolvuloides","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Euphorbia forskaolii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia heterophylla","Euphorbia heterophylla","",NA,NA,NA,NA,NA,NA,"",6.33857142857143,"Herb",NA
"Euphorbia heterophylla cyathophora","Euphorbia heterophylla","",NA,NA,NA,NA,NA,NA,"",6.33857142857143,"Herb",NA
"Euphorbia hirta","Euphorbia hirta","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Euphorbia hypericifolia","Euphorbia hypericifolia","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Euphorbia hyssopifolia","Euphorbia hyssopifolia","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Euphorbia peplus","Euphorbia peplus","",79,37.75,NA,0.001765363,177,NA,"7",0.703833333333333,"Herb",0.175
"Euphorbia prostrata","Euphorbia prostrata","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Euphorbia scordiifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euploca ovalifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euploca strigosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evolvulus alsinoides","Evolvulus alsinoides","",NA,NA,NA,NA,NA,NA,"",0.766178071428571,"4_herb",NA
"Evolvulus nummularius","Evolvulus nummularius","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Faidherbia albida","Faidherbia albida","",NA,NA,NA,NA,NA,NA,"5",NA,"Tree",NA
"Falcataria falcata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus","Ficus exasperata_Ficus mucuso_Ficus sur_Ficus trichopoda","",NA,NA,NA,NA,NA,NA,"",0.725,"Epiphyte*_tree_Shrub_tree_Shrub*_tree",6.2
"Ficus exasperata","Ficus exasperata","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub_tree",NA
"Ficus mucuso","Ficus mucuso","",NA,NA,NA,NA,NA,NA,"",NA,"",6.2
"Ficus simplicissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus sur","Ficus sur","",NA,NA,NA,NA,NA,NA,"",0.725,"Shrub*_tree",NA
"Ficus trichopoda","Ficus trichopoda","",NA,NA,NA,NA,NA,NA,"",NA,"Epiphyte*_tree",NA
"Ficus variifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus vogeliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis","Fimbristylis dichotoma_Fimbristylis ferruginea_Fimbristylis littoralis","",NA,NA,NA,NA,NA,NA,"",0.7165,"4_aquatic*_herb_sedge_Herb_Herb_sedge",0.6
"Fimbristylis dichotoma","Fimbristylis dichotoma","",NA,NA,NA,NA,NA,NA,"",0.478,"4_aquatic*_herb_sedge",NA
"Fimbristylis dichotoma podocarpa","Fimbristylis dichotoma","",NA,NA,NA,NA,NA,NA,"",0.478,"4_aquatic*_herb_sedge",NA
"Fimbristylis ferruginea","Fimbristylis ferruginea","",NA,NA,NA,NA,NA,NA,"",0.955,"Herb",0.6
"Fimbristylis littoralis","Fimbristylis littoralis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb_sedge",NA
"Fimbristylis scabrida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis signata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Flagellaria guineensis","Flagellaria guineensis","",NA,NA,NA,NA,NA,NA,"",NA,"Climbing grass_herb",NA
"Fleischmannia microstemon","Fleischmannia microstemon","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Flueggea virosa","Flueggea virosa","",200,14.37,14.86207,NA,411.4,29,"10",NA,"Shrub_tree",NA
"Freesia laxa","Freesia laxa","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Fuchsia boliviana","Fuchsia boliviana","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub",NA
"Fuirena ciliaris","Fuirena ciliaris","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Fuirena stricta","Fuirena stricta","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Fuirena umbellata","Fuirena umbellata","",NA,NA,NA,NA,NA,NA,"",NA,"Cyperoid*_herb",NA
"Fumaria muralis","Fumaria muralis","",767,28.3,NA,0.02712561,195,NA,"6",3.088,"Herb",0.67
"Funtumia africana","Funtumia africana","",NA,NA,NA,NA,NA,NA,"10",NA,"Tree",NA
"Funtumia elastica","Funtumia elastica","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",5.76291929824561
"Gagnebina pterocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galinsoga parviflora","Galinsoga parviflora","",535.215,40.3142857142857,NA,0.01368,248.647,NA,"5",0.18,"Herb",0.341428571428571
"Galium aparine","Galium aparine","White",128.94239852,33.0207584241613,18.70786135,0.005695811,142.943029485714,30.9703453,"5_6",9.92278709523809,"Forb_herb_liana*",0.724702416666667
"Gambeya subnuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gamochaeta purpurea","Gamochaeta purpurea","",NA,NA,NA,NA,NA,NA,"",0.0104,"Herb",NA
"Garcinia kola","Garcinia kola","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Gardenia erubescens","Gardenia erubescens","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub",NA
"Geophila repens","Geophila repens","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Geranium robertianum","Geranium robertianum","",1215.60225,36.6050986026087,NA,0.0411824693333333,188.0993265375,25.7682,"5",1.00235255555556,"Forb_herb",0.27012125
"Gisekia","Gisekia pharnaceoides","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Gisekia pharnaceoides","Gisekia pharnaceoides","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Gladiolus","Gladiolus dalenii","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Gladiolus dalenii","Gladiolus dalenii","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Glinus","Glinus lotoides_Glinus oppositifolius_Glinus radiatus","",NA,NA,NA,NA,NA,NA,"",NA,"Aquatic_herb_Herb",NA
"Glinus lotoides","Glinus lotoides","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Glinus oppositifolius","Glinus oppositifolius","",NA,NA,NA,NA,NA,NA,"",NA,"Aquatic_herb",NA
"Glinus radiatus","Glinus radiatus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Gliricidia sepium","Gliricidia sepium","Green_pink_pink-lilac-white",NA,17.45155,NA,NA,239.9,38.09847947,"",99.2357142857143,"Tree",7.32109090909091
"Gloriosa superba","Gloriosa superba","",NA,NA,NA,NA,NA,NA,"",NA,"Climbing herb*_herb_herbaceous climber*_liana*_shrub*_vine*",NA
