"accepted_taxa","original_taxa_BIEN","Flower.color_BIEN","Leaf.area_mm2_BIEN","SLA_m2.kg-1_BIEN","Leaf.carbon.to.nitrogen.content_mg.g-1_BIEN","Leaf.dry.mass_g_BIEN","Leaf.dry.mass.content_mg.g-1_BIEN","Leaf.nitrogen.content_mg.g-1_BIEN","Flowering_begin.month_BIEN","Seed.mass_mg_BIEN","Growth.form_BIEN","Plant.height_m_BIEN"
"Breynia retusa","Breynia retusa","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub",NA
"Bridelia ferruginea","Bridelia ferruginea","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub",NA
"Briza minor","Briza minor","",215.5,54.42,NA,NA,NA,NA,"",0.241714285714286,"Herb",0.6
"Bromus catharticus","Bromus catharticus","Yellow",NA,NA,NA,NA,NA,NA,"6",8.87055,"Grass_herb",NA
"Bulbostylis","Bulbostylis abortiva_Bulbostylis barbata_Bulbostylis hispidula","",NA,NA,NA,NA,NA,NA,"",0.0566666666666667,"Cyperoid_herb_Herb",NA
"Bulbostylis abortiva","Bulbostylis abortiva","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Bulbostylis barbata","Bulbostylis barbata","",NA,NA,NA,NA,NA,NA,"",0.0566666666666667,"Herb",NA
"Bulbostylis cioniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulbostylis hispidula","Bulbostylis hispidula","",NA,NA,NA,NA,NA,NA,"",NA,"Cyperoid_herb",NA
"Bulbostylis hispidula hispidula","Bulbostylis hispidula","",NA,NA,NA,NA,NA,NA,"",NA,"Cyperoid_herb",NA
"Bulbostylis hispidula senegalensis","Bulbostylis hispidula","",NA,NA,NA,NA,NA,NA,"",NA,"Cyperoid_herb",NA
"Bulbostylis pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burnatia enneandra","Burnatia enneandra","",NA,NA,NA,NA,NA,NA,"",NA,"Aquatic_herb",NA
"Cajanus cajan","Cajanus cajan","",NA,NA,NA,NA,NA,NA,"",89.815,"Herb_shrub",NA
"Cajanus scarabaeoides","Cajanus scarabaeoides","",NA,NA,NA,NA,NA,NA,"",41.63,"Grass_herbaceous twiner_shrub",NA
"Caladium bicolor","Caladium bicolor","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Calliandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calopogonium","Calopogonium mucunoides","",NA,NA,NA,NA,NA,NA,"",14.935,"Creeper*_herb_vine",NA
"Calopogonium mucunoides","Calopogonium mucunoides","",NA,NA,NA,NA,NA,NA,"",14.935,"Creeper*_herb_vine",NA
"Calotropis procera","Calotropis procera","",NA,NA,NA,NA,NA,NA,"8",11.708,"Shrub",NA
"Calycobolus africanus","Calycobolus africanus","",NA,NA,NA,NA,NA,NA,"",NA,"Liana_tree_woody climber",NA
"Calycobolus heudelotii","Calycobolus heudelotii","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",NA
"Camonea umbellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campylostemon warneckeanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canna indica","Canna indica","",NA,NA,NA,NA,NA,NA,"",212.333333333333,"Herb",NA
"Canthium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cantinoa americana","Cantinoa americana","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Caperonia fistulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caperonia palustris","Caperonia palustris","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Capsicum annuum","Capsicum annuum","",732.809090909091,26.6739615384615,NA,NA,1.59363636363636,NA,"",5.31992,"Herb_shrub_tree",0.126828181818182
"Capsicum frutescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardamine hirsuta","Cardamine hirsuta","",333.256175,27.7555676923077,NA,0.01121729,126,NA,"3",0.112287714285714,"Forb_herb",0.1595
"Cardiospermum grandiflorum","Cardiospermum grandiflorum","",NA,NA,NA,NA,NA,NA,"",NA,"Vine",NA
