"original_taxa","accepted_gbif","gbif_key","gbif_rank","gbif_full_name","gbif_phylum","gbif_order","gbif_family","gbif_status","accepted_rank","accepted_taxa"
"Lepidium didymum","Lepidium didymum",5377060,"SPECIES","Lepidium didymum L.","Tracheophyta","Brassicales","Brassicaceae","EXACT_ACCEPTED","SPECIES","Lepidium didymum"
"Lepistemon owariensis","Lepistemon owariensis",8705833,"SPECIES","Lepistemon owariensis (P.Beauv.) Hallier fil.","Tracheophyta","Solanales","Convolvulaceae","EXACT_ACCEPTED","SPECIES","Lepistemon owariensis"
"Leptactina densiflora","Leptactina densiflora",2908939,"SPECIES","Leptactina densiflora Hook.f.","Tracheophyta","Gentianales","Rubiaceae","EXACT_ACCEPTED","SPECIES","Leptactina densiflora"
"Leptadenia hastata","Leptadenia lanceolata lanceolata",10993291,"SUBSPECIES","Leptadenia lanceolata subsp. lanceolata","Tracheophyta","Gentianales","Apocynaceae","EXACT_SYNONYM","SUBSPECIES","Leptadenia lanceolata lanceolata"
"Leptadenia madagascariensis","Leptadenia madagascariensis",3580196,"SPECIES","Leptadenia madagascariensis Decne.","Tracheophyta","Gentianales","Apocynaceae","EXACT_ACCEPTED","SPECIES","Leptadenia madagascariensis"
"Leptadenia pyrotechnica","Leptadenia pyrotechnica",3580180,"SPECIES","Leptadenia pyrotechnica (Forssk.) Decne.","Tracheophyta","Gentianales","Apocynaceae","EXACT_ACCEPTED","SPECIES","Leptadenia pyrotechnica"
"Leptocarydion vulpiastrum","Leptocarydion vulpiastrum",4139497,"SPECIES","Leptocarydion vulpiastrum (De Not.) Stapf","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Leptocarydion vulpiastrum"
"Leptochloa","Leptochloa",2703864,"GENUS","Leptochloa P.Beauv.","Tracheophyta","Poales","Poaceae","HIGHERRANK_ACCEPTED","GENUS","Leptochloa"
"Leptochloa caerulescens","Leptochloa caerulescens",5942765,"SPECIES","Leptochloa caerulescens Steud.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Leptochloa caerulescens"
"Leptochloa chinensis","Leptochloa chinensis",2703873,"SPECIES","Leptochloa chinensis (L.) Nees","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Leptochloa chinensis"
"Leptochloa scabra","Leptochloa scabra",2703881,"SPECIES","Leptochloa scabra Nees","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Leptochloa scabra"
"Leptochloa virgata","Leptochloa virgata",2703885,"SPECIES","Leptochloa virgata (L.) P.Beauv.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Leptochloa virgata"
"Leptoderris ledermannii","Leptoderris ledermannii",2954084,"SPECIES","Leptoderris ledermannii Harms","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Leptoderris ledermannii"
"Leptoderris miegei","Leptoderris miegei",2954076,"SPECIES","Leptoderris miegei Aké Assi & Mangenot","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Leptoderris miegei"
"Leptothrium senegalense","Leptothrium senegalense",4116449,"SPECIES","Leptothrium senegalense (Kunth) Clayton","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Leptothrium senegalense"
"Lepturus radicans","Lepturus radicans",5677743,"SPECIES","Lepturus radicans (Steud.) A.Camus","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Lepturus radicans"
"Leucaena leucocephala de","Leucaena leucocephala",2970418,"SPECIES","Leucaena leucocephala (Lam.) de Wit","Tracheophyta","Fabales","Fabaceae","EXACT_SYNONYM","SPECIES","Leucaena leucocephala"
"Leucas lavandulifolia","Leucas lavandulifolia",7307152,"SPECIES","Leucas lavandulifolia Sm.","Tracheophyta","Lamiales","Lamiaceae","EXACT_ACCEPTED","SPECIES","Leucas lavandulifolia"
"Leucas martinicensis","Leucas martinicensis",7775217,"SPECIES","Leucas martinicensis (Jacq.) R.Br.","Tracheophyta","Lamiales","Lamiaceae","EXACT_ACCEPTED","SPECIES","Leucas martinicensis"
"Lindernia","Lindernia",3171875,"GENUS","Lindernia All.","Tracheophyta","Lamiales","Linderniaceae","HIGHERRANK_ACCEPTED","GENUS","Lindernia"
"Lindernia rotundifolia","Lindernia rotundifolia",7394580,"SPECIES","Lindernia rotundifolia (L.) Alston","Tracheophyta","Lamiales","Linderniaceae","EXACT_ACCEPTED","SPECIES","Lindernia rotundifolia"
"Linzia ituriensis","Linzia ituriensis",6064750,"SPECIES","Linzia ituriensis (Muschl.) H.Rob.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","SPECIES","Linzia ituriensis"
"Lipotriche scandens","Lipotriche scandens",9571367,"SPECIES","Lipotriche scandens (Schum.) Orchard","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","SPECIES","Lipotriche scandens"
"Lippia","Lippia",2925383,"GENUS","Lippia L.","Tracheophyta","Lamiales","Verbenaceae","HIGHERRANK_ACCEPTED","GENUS","Lippia"
"Lippia chevalieri","Lippia chevalieri",8153018,"SPECIES","Lippia chevalieri Moldenke","Tracheophyta","Lamiales","Verbenaceae","EXACT_ACCEPTED","SPECIES","Lippia chevalieri"
"Lippia multiflora","Lippia multiflora",4085693,"SPECIES","Lippia multiflora Moldenke","Tracheophyta","Lamiales","Verbenaceae","EXACT_ACCEPTED","SPECIES","Lippia multiflora"
"Litsea glutinosa","Litsea glutinosa",7304140,"SPECIES","Litsea glutinosa (Lour.) C.B.Rob.","Tracheophyta","Laurales","Lauraceae","EXACT_ACCEPTED","SPECIES","Litsea glutinosa"
"Litsea monopetala","Litsea monopetala",4182444,"SPECIES","Litsea monopetala (Roxb. ex Baker) Pers.","Tracheophyta","Laurales","Lauraceae","EXACT_ACCEPTED","SPECIES","Litsea monopetala"
"Lobelia cliffortiana","Lobelia cliffortiana",5408958,"SPECIES","Lobelia cliffortiana L.","Tracheophyta","Asterales","Campanulaceae","EXACT_ACCEPTED","SPECIES","Lobelia cliffortiana"
"Lolium perenne","Lolium perenne",2706241,"SPECIES","Lolium perenne L.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Lolium perenne"
"Lonchocarpus sericeus","Lonchocarpus sericeus",2969156,"SPECIES","Lonchocarpus sericeus (Poir.) Kunth ex DC.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Lonchocarpus sericeus"
"Lonicera confusa","Lonicera confusa",7272667,"SPECIES","Lonicera confusa (Sweet) DC.","Tracheophyta","Dipsacales","Caprifoliaceae","EXACT_ACCEPTED","SPECIES","Lonicera confusa"
"Lophira lanceolata","Lophira lanceolata",3695585,"SPECIES","Lophira lanceolata Tiegh. ex Keay","Tracheophyta","Malpighiales","Ochnaceae","EXACT_ACCEPTED","SPECIES","Lophira lanceolata"
"Lotononis rostrata","Lotononis rostrata",7302526,"SPECIES","Lotononis rostrata Benth.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Lotononis rostrata"
"Lotus arabicus","Lotus arabicus",5356903,"SPECIES","Lotus arabicus Sol. ex L.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Lotus arabicus"
"Loudetia togoensis","Loudetia togoensis",5675621,"SPECIES","Loudetia togoensis (Pilg.) C.E.Hubb.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Loudetia togoensis"
"Ludwigia",NA,NA,NA,NA,NA,NA,NA,"NONE_NA","GENUS","Ludwigia"
"Ludwigia abyssinica","Ludwigia abyssinica",5544776,"SPECIES","Ludwigia abyssinica A.Rich.","Tracheophyta","Myrtales","Onagraceae","EXACT_ACCEPTED","SPECIES","Ludwigia abyssinica"
"Ludwigia adscendens diffusa","Ludwigia adscendens diffusa",11064259,"SUBSPECIES","Ludwigia adscendens subsp. diffusa (Forssk.) P.H.Raven","Tracheophyta","Myrtales","Onagraceae","EXACT_ACCEPTED","SUBSPECIES","Ludwigia adscendens diffusa"
"Ludwigia decurrens","Ludwigia decurrens",5421002,"SPECIES","Ludwigia decurrens Walter","Tracheophyta","Myrtales","Onagraceae","EXACT_ACCEPTED","SPECIES","Ludwigia decurrens"
"Ludwigia erecta","Ludwigia erecta",5420986,"SPECIES","Ludwigia erecta (L.) H.Hara","Tracheophyta","Myrtales","Onagraceae","EXACT_ACCEPTED","SPECIES","Ludwigia erecta"
"Ludwigia hyssopifolia","Ludwigia hyssopifolia",8924323,"SPECIES","Ludwigia hyssopifolia (G.Don) Exell","Tracheophyta","Myrtales","Onagraceae","EXACT_ACCEPTED","SPECIES","Ludwigia hyssopifolia"
"Ludwigia leptocarpa","Ludwigia leptocarpa",5421007,"SPECIES","Ludwigia leptocarpa (Nutt.) H.Hara","Tracheophyta","Myrtales","Onagraceae","EXACT_ACCEPTED","SPECIES","Ludwigia leptocarpa"
"Ludwigia octovalvis","Ludwigia octovalvis",5420987,"SPECIES","Ludwigia octovalvis (Jacq.) P.H.Raven","Tracheophyta","Myrtales","Onagraceae","EXACT_ACCEPTED","SPECIES","Ludwigia octovalvis"
"Ludwigia octovalvis sessiliflora","Ludwigia octovalvis",5420987,"SPECIES","Ludwigia octovalvis (Jacq.) P.H.Raven","Tracheophyta","Myrtales","Onagraceae","EXACT_SYNONYM","SPECIES","Ludwigia octovalvis"
"Ludwigia stenorraphe","Ludwigia stenorraphe",5545117,"SPECIES","Ludwigia stenorraphe (Brenan) H.Hara","Tracheophyta","Myrtales","Onagraceae","EXACT_ACCEPTED","SPECIES","Ludwigia stenorraphe"
"Luffa aegyptiaca","Luffa aegyptiaca",2874599,"SPECIES","Luffa aegyptiaca Mill.","Tracheophyta","Cucurbitales","Cucurbitaceae","EXACT_ACCEPTED","SPECIES","Luffa aegyptiaca"
"Luziola subintegra","Luziola subintegra",4125429,"SPECIES","Luziola subintegra Swallen","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Luziola subintegra"
"Luzula campestris","Luzula campestris",2700828,"SPECIES","Luzula campestris (L.) DC.","Tracheophyta","Poales","Juncaceae","EXACT_ACCEPTED","SPECIES","Luzula campestris"
"Lycopodiella cernua","Palhinhaea cernua",6385660,"SPECIES","Palhinhaea cernua (L.) Vasc. & Franco","Tracheophyta","Lycopodiales","Lycopodiaceae","EXACT_SYNONYM","SPECIES","Palhinhaea cernua"
"Lygodium flexuosum","Lygodium flexuosum",3744838,"SPECIES","Lygodium flexuosum (L.) Sw.","Tracheophyta","Schizaeales","Lygodiaceae","EXACT_ACCEPTED","SPECIES","Lygodium flexuosum"
"Lysimachia arvensis arvensis","Lysimachia arvensis arvensis",9434263,"VARIETY","Lysimachia arvensis var. arvensis","Tracheophyta","Ericales","Primulaceae","EXACT_ACCEPTED","VARIETY","Lysimachia arvensis arvensis"
"Lysimachia foemina","Lysimachia foemina",8368021,"SPECIES","Lysimachia foemina (Mill.) U.Manns & Anderb.","Tracheophyta","Ericales","Primulaceae","EXACT_ACCEPTED","SPECIES","Lysimachia foemina"
"Macropsychanthus comosus","Macropsychanthus comosus",10954319,"SPECIES","Macropsychanthus comosus (G.Mey.) L.P.Queiroz & Snak","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Macropsychanthus comosus"
"Macroptilium","Macroptilium",2945015,"GENUS","Macroptilium (Benth.) Urb.","Tracheophyta","Fabales","Fabaceae","HIGHERRANK_ACCEPTED","GENUS","Macroptilium"
"Macroptilium atropurpureum","Macroptilium atropurpureum",2945047,"SPECIES","Macroptilium atropurpureum (DC.) Urb.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Macroptilium atropurpureum"
"Macroptilium lathyroides","Macroptilium lathyroides",2945063,"SPECIES","Macroptilium lathyroides (L.) Urb.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Macroptilium lathyroides"
"Macroptilium longepedunculatum","Macroptilium longepedunculatum",2945056,"SPECIES","Macroptilium longepedunculatum (Mart. ex Benth.) Urb.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Macroptilium longepedunculatum"
"Macrotyloma biflorum biflorum","Macrotyloma biflorum biflorum",7301760,"VARIETY","Macrotyloma biflorum var. biflorum","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","VARIETY","Macrotyloma biflorum biflorum"
"Maesobotrya barteri","Maesobotrya barteri",3079229,"SPECIES","Maesobotrya barteri (Baill.) Hutch.","Tracheophyta","Malpighiales","Phyllanthaceae","EXACT_ACCEPTED","SPECIES","Maesobotrya barteri"
"Malachra radiata","Malachra radiata",3152762,"SPECIES","Malachra radiata (L.) L.","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","SPECIES","Malachra radiata"
"Mallotus",NA,NA,NA,NA,NA,NA,NA,"NONE_NA","GENUS","Mallotus"
"Mallotus oppositifolius","Mallotus oppositifolius",5378557,"SPECIES","Mallotus oppositifolius (Geiseler) Müll.Arg.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Mallotus oppositifolius"
"Malva","Malva",3152364,"GENUS","Malva L.","Tracheophyta","Malvales","Malvaceae","HIGHERRANK_ACCEPTED","GENUS","Malva"
"Malva parviflora","Malva parviflora",3152378,"SPECIES","Malva parviflora L.","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","SPECIES","Malva parviflora"
"Malvastrum coromandelianum","Malvastrum coromandelianum",3152268,"SPECIES","Malvastrum coromandelianum (L.) Garcke","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","SPECIES","Malvastrum coromandelianum"
"Mangifera indica","Mangifera indica",3190638,"SPECIES","Mangifera indica L.","Tracheophyta","Sapindales","Anacardiaceae","EXACT_ACCEPTED","SPECIES","Mangifera indica"
"Manihot esculenta","Manihot esculenta",3060998,"SPECIES","Manihot esculenta Crantz","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Manihot esculenta"
"Manotes expansa","Manotes expansa",5550220,"SPECIES","Manotes expansa Sol. ex Planch.","Tracheophyta","Oxalidales","Connaraceae","EXACT_ACCEPTED","SPECIES","Manotes expansa"
"Mansonia altissima","Mansonia altissima",7342771,"SPECIES","Mansonia altissima A.Chev.","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","SPECIES","Mansonia altissima"
"Marantochloa cuspidata","Marantochloa cuspidata",2761157,"SPECIES","Marantochloa cuspidata (Roscoe) Milne-Redh.","Tracheophyta","Zingiberales","Marantaceae","EXACT_ACCEPTED","SPECIES","Marantochloa cuspidata"
"Mareya micrantha","Mareya micrantha",3055859,"SPECIES","Mareya micrantha (Benth.) Müll.Arg.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Mareya micrantha"
"Margaritaria discoidea","Margaritaria discoidea",5383225,"SPECIES","Margaritaria discoidea (Baill.) G.L.Webster","Tracheophyta","Malpighiales","Phyllanthaceae","EXACT_ACCEPTED","SPECIES","Margaritaria discoidea"
"Mariscus","Mariscus",7895341,"GENUS","Mariscus Zinn, 1757","Tracheophyta","Poales","Cyperaceae","HIGHERRANK_ACCEPTED","GENUS","Mariscus"
"Marsdenia angolensis","Gongronemopsis angolensis",12224869,"SPECIES","Gongronemopsis angolensis (N.E.Br.) S.Reuss, Liede & Meve","Tracheophyta","Gentianales","Apocynaceae","EXACT_SYNONYM","SPECIES","Gongronemopsis angolensis"
"Marsilea",NA,NA,NA,NA,NA,NA,NA,NA,"GENUS","Marsilea"
"Marsilea minuta","Marsilea minuta",5274876,"SPECIES","Marsilea minuta L.","Tracheophyta","Salviniales","Marsileaceae","EXACT_ACCEPTED","SPECIES","Marsilea minuta"
"Marsypianthes chamaedrys","Marsypianthes chamaedrys",2926970,"SPECIES","Marsypianthes chamaedrys (Vahl) Kuntze","Tracheophyta","Lamiales","Lamiaceae","EXACT_ACCEPTED","SPECIES","Marsypianthes chamaedrys"
"Mecardonia procumbens","Mecardonia procumbens",3172014,"SPECIES","Mecardonia procumbens (Mill.) Small","Tracheophyta","Lamiales","Plantaginaceae","EXACT_ACCEPTED","SPECIES","Mecardonia procumbens"
"Medicago","Medicago",2965200,"GENUS","Medicago L.","Tracheophyta","Fabales","Fabaceae","HIGHERRANK_ACCEPTED","GENUS","Medicago"
"Medicago polymorpha","Medicago polymorpha",2965531,"SPECIES","Medicago polymorpha L.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Medicago polymorpha"
"Melaleuca quinquenervia","Melaleuca quinquenervia",5415832,"SPECIES","Melaleuca quinquenervia (Cav.) S.T.Blake","Tracheophyta","Myrtales","Myrtaceae","EXACT_ACCEPTED","SPECIES","Melaleuca quinquenervia"
"Melasma melampyroides","Melasma melampyroides",7652789,"SPECIES","Melasma melampyroides (Rich.) Pennell ex Britton & Wilson","Tracheophyta","Lamiales","Orobanchaceae","EXACT_ACCEPTED","SPECIES","Melasma melampyroides"
"Melastoma","Melastoma",3188510,"GENUS","Melastoma L.","Tracheophyta","Myrtales","Melastomataceae","HIGHERRANK_ACCEPTED","GENUS","Melastoma"
"Melastomastrum capitatum","Melastomastrum capitatum",3868815,"SPECIES","Melastomastrum capitatum (Vahl) A.Fern. & R.Fern.","Tracheophyta","Myrtales","Melastomataceae","EXACT_ACCEPTED","SPECIES","Melastomastrum capitatum"
"Melia azedarach","Melia azedarach",5914287,"SPECIES","Melia azedarach L.","Tracheophyta","Sapindales","Meliaceae","EXACT_ACCEPTED","SPECIES","Melia azedarach"
"Melicope pteleifolia","Melicope pteleifolia",3831820,"SPECIES","Melicope pteleifolia (Champ. ex Benth.) T.G.Hartley","Tracheophyta","Sapindales","Rutaceae","EXACT_ACCEPTED","SPECIES","Melicope pteleifolia"
"Melilotus albus","Melilotus albus",2971095,"SPECIES","Melilotus albus Medik.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Melilotus albus"
"Melilotus indicus","Melilotus indicus",2971016,"SPECIES","Melilotus indicus (L.) All.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Melilotus indicus"
"Melinis minutiflora","Melinis minutiflora",2702503,"SPECIES","Melinis minutiflora P.Beauv.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Melinis minutiflora"
"Melinis repens","Melinis repens",2702504,"SPECIES","Melinis repens (Willd.) Zizka","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Melinis repens"
"Melliniella micrantha","Melliniella micrantha",2945123,"SPECIES","Melliniella micrantha Harms","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Melliniella micrantha"
"Melochia corchorifolia","Melochia corchorifolia",3152125,"SPECIES","Melochia corchorifolia L.","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","SPECIES","Melochia corchorifolia"
"Melochia pyramidata","Melochia pyramidata",6686326,"SPECIES","Melochia pyramidata L.","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","SPECIES","Melochia pyramidata"
"Merremia","Merremia",2928639,"GENUS","Merremia Dennst. ex Endl.","Tracheophyta","Solanales","Convolvulaceae","HIGHERRANK_ACCEPTED","GENUS","Merremia"
"Merremia emarginata","Merremia emarginata",5549041,"SPECIES","Merremia emarginata (Burm.fil.) Hallier fil.","Tracheophyta","Solanales","Convolvulaceae","EXACT_ACCEPTED","SPECIES","Merremia emarginata"
"Merremia hederacea","Merremia hederacea",5341744,"SPECIES","Merremia hederacea (Burm.fil.) Hallier fil.","Tracheophyta","Solanales","Convolvulaceae","EXACT_ACCEPTED","SPECIES","Merremia hederacea"
"Merremia pterygocaulos","Merremia pterygocaulos",5548939,"SPECIES","Merremia pterygocaulos (Choisy) Hallier fil.","Tracheophyta","Solanales","Convolvulaceae","EXACT_ACCEPTED","SPECIES","Merremia pterygocaulos"
"Mesosphaerum pectinatum","Mesosphaerum pectinatum",3889976,"SPECIES","Mesosphaerum pectinatum (L.) Kuntze","Tracheophyta","Lamiales","Lamiaceae","EXACT_ACCEPTED","SPECIES","Mesosphaerum pectinatum"
"Mesosphaerum suaveolens","Mesosphaerum suaveolens",3889017,"SPECIES","Mesosphaerum suaveolens (L.) Kuntze","Tracheophyta","Lamiales","Lamiaceae","EXACT_ACCEPTED","SPECIES","Mesosphaerum suaveolens"
"Mezoneuron benthamianum","Mezoneuron benthamianum",5354728,"SPECIES","Mezoneuron benthamianum Baill.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Mezoneuron benthamianum"
"Miconia crenata","Miconia crenata",9404220,"SPECIES","Miconia crenata (Vahl) Michelang.","Tracheophyta","Myrtales","Melastomataceae","EXACT_ACCEPTED","SPECIES","Miconia crenata"
"Microchloa indica","Microchloa indica",4112143,"SPECIES","Microchloa indica (L.f.) P.Beauv.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Microchloa indica"
"Micrococca mercurialis","Micrococca mercurialis",3072557,"SPECIES","Micrococca mercurialis (L.) Benth.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Micrococca mercurialis"
"Microdesmis keayana","Microdesmis keayana",3075530,"SPECIES","Microdesmis keayana J.Léonard","Tracheophyta","Malpighiales","Pandaceae","EXACT_ACCEPTED","SPECIES","Microdesmis keayana"
"Mikania","Mikania",7722389,"GENUS","Mikania Willd.","Tracheophyta","Asterales","Asteraceae","HIGHERRANK_ACCEPTED","GENUS","Mikania"
"Mikania cordata ","Mikania cordata",5398634,"SPECIES","Mikania cordata (Burm.fil.) B.L.Rob.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","SPECIES","Mikania cordata"
"Mikania micrantha","Mikania micrantha",5398421,"SPECIES","Mikania micrantha Kunth","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","SPECIES","Mikania micrantha"
"Milicia excelsa","Milicia excelsa",3763589,"SPECIES","Milicia excelsa (Welw.) C.C.Berg","Tracheophyta","Rosales","Moraceae","EXACT_ACCEPTED","SPECIES","Milicia excelsa"
"Milicia regia","Milicia regia",3763583,"SPECIES","Milicia regia (A.Chev.) C.C.Berg","Tracheophyta","Rosales","Moraceae","EXACT_ACCEPTED","SPECIES","Milicia regia"
"Millettia thonningii","Millettia thonningii",5355788,"SPECIES","Millettia thonningii (Schumach. & Thonn.) Baker","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Millettia thonningii"
"Millettia zechiana","Millettia zechiana",5355815,"SPECIES","Millettia zechiana Harms","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Millettia zechiana"
"Mimosa","Mimosa",2969235,"GENUS","Mimosa L.","Tracheophyta","Fabales","Fabaceae","HIGHERRANK_ACCEPTED","GENUS","Mimosa"
"Mimosa candollei","Mimosa candollei",2969714,"SPECIES","Mimosa candollei R.Grether","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Mimosa candollei"
"Mimosa diplotricha","Mimosa diplotricha",7808904,"SPECIES","Mimosa diplotricha C.Wright","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Mimosa diplotricha"
"Mimosa pigra","Mimosa pigra",2969431,"SPECIES","Mimosa pigra L.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Mimosa pigra"
"Mimosa pudica","Mimosa pudica",2969284,"SPECIES","Mimosa pudica L.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Mimosa pudica"
"Mirabilis jalapa","Mirabilis jalapa",3086240,"SPECIES","Mirabilis jalapa L.","Tracheophyta","Caryophyllales","Nyctaginaceae","EXACT_ACCEPTED","SPECIES","Mirabilis jalapa"
"Miscanthus violaceus","Miscanthidium violaceum",4122850,"SPECIES","Miscanthidium violaceum (K.Schum.) Robyns","Tracheophyta","Poales","Poaceae","EXACT_SYNONYM","SPECIES","Miscanthidium violaceum"
"Mitracarpus hirtus","Mitracarpus hirtus",2912993,"SPECIES","Mitracarpus hirtus (L.) DC.","Tracheophyta","Gentianales","Rubiaceae","EXACT_ACCEPTED","SPECIES","Mitracarpus hirtus"
"Mitragyna inermis","Mitragyna inermis",2900458,"SPECIES","Mitragyna inermis (Willd.) Kuntze","Tracheophyta","Gentianales","Rubiaceae","EXACT_ACCEPTED","SPECIES","Mitragyna inermis"
"Mitragyna stipulosa","Mitragyna stipulosa",2896586,"SPECIES","Mitragyna stipulosa (DC.) Kuntze","Tracheophyta","Gentianales","Rubiaceae","EXACT_ACCEPTED","SPECIES","Mitragyna stipulosa"
"Mollugo","Mollugo",3084606,"GENUS","Mollugo L.","Tracheophyta","Caryophyllales","Molluginaceae","HIGHERRANK_ACCEPTED","GENUS","Mollugo"
"Mollugo verticillata","Mollugo verticillata",3084611,"SPECIES","Mollugo verticillata L.","Tracheophyta","Caryophyllales","Molluginaceae","EXACT_ACCEPTED","SPECIES","Mollugo verticillata"
"Momordica balsamina","Momordica balsamina",2874582,"SPECIES","Momordica balsamina L.","Tracheophyta","Cucurbitales","Cucurbitaceae","EXACT_ACCEPTED","SPECIES","Momordica balsamina"
"Momordica charantia","Momordica charantia",2874581,"SPECIES","Momordica charantia L.","Tracheophyta","Cucurbitales","Cucurbitaceae","EXACT_ACCEPTED","SPECIES","Momordica charantia"
"Momordica cissoides","Momordica cissoides",3625921,"SPECIES","Momordica cissoides Planch. ex Benth.","Tracheophyta","Cucurbitales","Cucurbitaceae","EXACT_ACCEPTED","SPECIES","Momordica cissoides"
"Momordica foetida","Momordica foetida",3625538,"SPECIES","Momordica foetida Schum.","Tracheophyta","Cucurbitales","Cucurbitaceae","EXACT_ACCEPTED","SPECIES","Momordica foetida"
"Mondia whitei","Mondia whitei",4940092,"SPECIES","Mondia whitei (Hook.fil.) Skeels","Tracheophyta","Gentianales","Apocynaceae","EXACT_ACCEPTED","SPECIES","Mondia whitei"
"Monechma ciliatum",NA,NA,NA,NA,NA,NA,NA,NA,"GENUS","Monechma ciliatum"
"Monodora tenuifolia","Monodora tenuifolia",3154093,"SPECIES","Monodora tenuifolia Benth.","Tracheophyta","Magnoliales","Annonaceae","EXACT_ACCEPTED","SPECIES","Monodora tenuifolia"
"Monodora undulata","Monodora undulata",3648846,"SPECIES","Monodora undulata (P.Beauv.) Couvreur","Tracheophyta","Magnoliales","Annonaceae","EXACT_ACCEPTED","SPECIES","Monodora undulata"
"Montrichardia arborescens","Montrichardia arborescens",2868256,"SPECIES","Montrichardia arborescens (L.) Schott","Tracheophyta","Alismatales","Araceae","EXACT_ACCEPTED","SPECIES","Montrichardia arborescens"
"Moorochloa eruciformis","Moorochloa eruciformis",4155246,"SPECIES","Moorochloa eruciformis (Sm.) Veldkamp","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Moorochloa eruciformis"
"Morinda citrifolia","Morinda citrifolia",5339879,"SPECIES","Morinda citrifolia L.","Tracheophyta","Gentianales","Rubiaceae","EXACT_ACCEPTED","SPECIES","Morinda citrifolia"
"Morinda lucida","Morinda lucida",5339834,"SPECIES","Morinda lucida Benth.","Tracheophyta","Gentianales","Rubiaceae","EXACT_ACCEPTED","SPECIES","Morinda lucida"
"Morus mesozygia","Afromorus mesozygia",11122103,"SPECIES","Afromorus mesozygia (Stapf ex A.Chev.) E.M.Gardner","Tracheophyta","Rosales","Moraceae","EXACT_SYNONYM","SPECIES","Afromorus mesozygia"
"Motandra paniculata","Motandra paniculata",9478144,"SPECIES","Motandra paniculata (Poir.) I.M.Turner","Tracheophyta","Gentianales","Apocynaceae","EXACT_ACCEPTED","SPECIES","Motandra paniculata"
