"original_taxa","accepted_gbif","gbif_key","gbif_rank","gbif_full_name","gbif_phylum","gbif_order","gbif_family","gbif_status","accepted_rank","accepted_taxa"
"Chloris gayana","Chloris gayana",5289618,"SPECIES","Chloris gayana Kunth","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Chloris gayana"
"Chloris pilosa","Chloris pilosa",4142045,"SPECIES","Chloris pilosa Schumach.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Chloris pilosa"
"Chloris pycnothrix","Chloris pycnothrix",5678495,"SPECIES","Chloris pycnothrix Trin.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Chloris pycnothrix"
"Chloris virgata","Chloris virgata",5289624,"SPECIES","Chloris virgata Sw.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Chloris virgata"
"Chlorophytum lancifolium","Chlorophytum lancifolium",2774582,"SPECIES","Chlorophytum lancifolium Welw. ex Baker","Tracheophyta","Asparagales","Asparagaceae","EXACT_ACCEPTED","SPECIES","Chlorophytum lancifolium"
"Christella dentata ","Christella dentata",7160028,"SPECIES","Christella dentata (Forssk.) Brownsey & Jermy","Tracheophyta","Polypodiales","Thelypteridaceae","EXACT_ACCEPTED","SPECIES","Christella dentata"
"Chromolaena odorata","Chromolaena odorata",3087725,"SPECIES","Chromolaena odorata (L.) R.M.King & H.Rob.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","SPECIES","Chromolaena odorata"
"Chrozophora brocchiana","Chrozophora brocchiana",10963294,"SPECIES","Chrozophora brocchiana Vis.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Chrozophora brocchiana"
"Chrysanthellum americanum","Chrysanthellum americanum",3088353,"SPECIES","Chrysanthellum americanum (L.) Vatke","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","SPECIES","Chrysanthellum americanum"
"Chrysopogon aciculatus","Chrysopogon aciculatus",5290133,"SPECIES","Chrysopogon aciculatus (Retz.) Trin.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Chrysopogon aciculatus"
"Chrysopogon zizanioides","Chrysopogon zizanioides",5677150,"SPECIES","Chrysopogon zizanioides (L.) Roberty","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Chrysopogon zizanioides"
"Cinnamomum verum","Cinnamomum verum",3033987,"SPECIES","Cinnamomum verum J.Presl","Tracheophyta","Laurales","Lauraceae","EXACT_ACCEPTED","SPECIES","Cinnamomum verum"
"Cissampelos owariensis","Cissampelos owariensis",3829287,"SPECIES","Cissampelos owariensis P.Beauv. ex DC.","Tracheophyta","Ranunculales","Menispermaceae","EXACT_ACCEPTED","SPECIES","Cissampelos owariensis"
