"synonym_taxa","accepted_taxa"
"Chlorophora excelsa","Milicia excelsa"
"Mimosa invisa","Mimosa diplotricha"
"Euodia lepta","Melicope pteleifolia"
"Mollugo cerviana","Hypertelis cerviana"
"Mollugo nudicaulis","Paramollugo nudicaulis"
"Mollugo stricta","Trigastrotheca stricta"
"Motandra guineensis","Motandra paniculata"
"Merremia cissoides","Distimake cissoides"
"Merremia dissecta","Distimake dissectus"
"Merremia kentrocaulos rendle","Distimake kentrocaulos"
"Merremia pinnata","Xenostegia pinnata"
"Merremia quinquefolia hallier","Distimake quinquefolius"
"Merremia tridentata","Xenostegia tridentata"
"Merremia umbellata","Camonea umbellata"
"Gongronema angolense","Gongronemopsis angolensis"
"Mitracarpus villosus","Mitracarpus hirtus"
"Manotes longiflora bak","Manotes expansa"
"Dolichos chrysanthus","Macrotyloma biflorum biflorum"
"Justicia canescens lam","Nelsonia canescens"
"Sarcocephalus latifolius","Nauclea latifolia"
"Ocimum canum","Ocimum americanum"
"Oldenlandia pauciflora","Scleromitrion diffusum"
"Paederia grevei","Paederia farinosa farinosa"
"Brachiaria fasciculata parodi","Urochloa fusca"
"Paspalidium geminatum stapf","Setaria geminata"
"Panicum laxum","Steinchisma laxum"
"Panicum maximum","Megathyrsus maximus"
"Panicum pilosum sw","Rugoloa pilosa"
"Barchiaria mutica","Urochloa mutica"
"Panicum pseudowoeltzkovii","Panicum voeltzkowii"
"Brachiaria ramosa","Urochloa ramosa"
"Brachiaria reptans cagardner & cehubb","Urochloa reptans"
"Panicum grand","Urochloa"
"Paspalum distichum l paspalodes thell","Paspalum distichum"
"Paspalum orbiculare gforst","Paspalum scrobiculatum"
"Peristrophe bicalyculata","Dicliptera paniculata"
"Pennisetum cafrum","Cenchrus cafer"
"Pennisetum clandestinum chiovenda","Cenchrus clandestinus"
"Pennisetum pedicellatum","Cenchrus pedicellatus"
"Pennisetum polystachion","Cenchrus setosus setosus"
"Pennisetum purpureum","Cenchrus purpureus"
"Pennisetum ramosum","Cenchrus ramosus"
"Pennisetum violaceum","Cenchrus violaceus"
"Phaseolus lathyroides","Macroptilium lathyroides"
"Physalis micrantha","Physalis lagascae"
"Phthirusa pyrifolia eichler","Passovia pyrifolia"
"Polygonum chinense","Persicaria chinensis"
"Polygonum senegalense","Persicaria senegalensis"
"Pothomorphe umbellata","Piper umbellatum"
"Polygonum salicifolium willd","Persicaria decipiens"
"Pteris acanthoneura","Pteris hamulosa"
"Ochthocosmus africanus","Phyllocosmus africanus"
"Hibiscus senegalensis","Pavonia senegalensis"
"Chlamydocarya macrocarpa achev ex hutch & dalziel","Pyrenacantha macrocarpa"
"Wrightia parviflora","Pleioceras barteri"
"Pycreus polystachyos pbeauv","Cyperus polystachyos"
"Pycreus macrostachyos j raynal","Cyperus macrostachyos"
"Randia maculata","Rothmannia longiflora"
"Rhynchelytrum repens c e hubb","Melinis repens"
"Byrsocarpus coccineus schum and thonn","Rourea coccinea"
"Rothmannia megalostigma wernham","Rothmannia munsae megalostigma"
"Scleria pterota cpresl","Scleria gaertneri"
"Schrankia leptocarpa dc","Mimosa candollei"
"Schoenoplectus fluitans","Bolboschoenus maritimus"
"Schoenoplectus senegalensis","Schoenoplectiella senegalensis"
"Securinega virosa","Flueggea virosa"
"Sesbania bispinosa wwight","Sesbania bispinosa"
"Sesbania punctata dc","Sesbania sesban punctata"
"Setaria chevalieri","Setaria megaphylla"
"Sida garckeana pol","Sida acuta"
"Sida veronicifolia lam","Sida cordata"
"Sida corymbosa refr","Sida hyssopifolia"
"Sida retusa","Sida alnifolia"
"Sida alba","Sida spinosa"
"Sida stipulata","Sida ulmifolia"
"Solenostemon monostachyus briq","Coleus monostachyus"
"Smilax kraussiana meissner","Smilax anceps"
"Solanum verbascifolium","Solanum donianum"
"Solanum indicum","Solanum violaceum"
"Sorghum verticilliflorum","Sorghum arundinaceum"
"Diodia scabra","Spermacoce ruelliae"
"Lemna major","Spirodela polyrhiza"
"Spilanthes filicaulis c d adams","Acmella caulirhiza"
"Stachytarpheta angustifolia","Stachytarpheta indica"
"Stylosanthes guineensis","Stylosanthes erecta"
"Stylochiton lancifolius","Stylochaeton lancifolium"
"Acacia pentagona","Senegalia pentagona"
"Talinum triangulare","Talinum fruticosum"
"Panicum glaucocladum cehubb","Trichanthecium glaucocladum"
"Thalia welwitschii","Thalia geniculata"
"Trema guineense blume)","Trema orientale"
"Trianthema pentandra","Zaleya pentandra"
"Tylophora sylvatica","Vincetoxicum sylvaticum"
"Brachiaria latifolia","Urochloa arrecta"
"Vicoa leptoclada","Vicoa indica"
"Vernonia ambigua","Vernoniastrum ambiguum"
"Vernonia cinerea  less ","Cyanthillium cinereum"
"Polydora poskeana","Crystallopollen angustifolium"
"Teclea verdoorniana","Vepris verdoorniana"
"Vigna cylindrica skeel","Vigna unguiculata"
"Xanthium pungens wallr","Xanthium strumarium"
"Xanthosoma mafaffa","Xanthosoma sagittifolium"
"Merremia medium hallier","Xenostegia medium"
"Acalypha senensis klotzsch","Acalypha petiolaris"
"Brachiaria distichophylla","Urochloa villosa"
"Brachiaria decumbens stapf","Urochloa eminii"
"Cleome rutidosperma dc","Sieruela rutidosperma"
"Cyclosorus dentatus","Christella dentata"
"Hallea ledermannii verdc","Mitragyna stipulosa"
"Hybanthus heterophyllus","Pigea enneasperma"
"Periploca nigrescens","Cryptolepis nigrescens"
"Mariscus alternifolius","Cyperus cyperoides"
"Mitracarpus scaber zucc","Mitracarpus hirtus"
"Oldenlandia diffusa","Scleromitrion diffusum"
"Panicum fasciculatum sw","Urochloa fusca"
"Pennisetum subangustum","Cenchrus setosus setosus"
"Spermacoce scabra","Spermacoce ruelliae"
"Acridocarpus smeathmanii","Acridocarpus smeathmannii"
"Adenia gracilis","Adenia cissampeloides"
"Afrohybanthus enneaspermus","Pigea enneasperma"
"Alternanthera nodiflora","Alternanthera sessilis"
"Arivela viscosa ","Arivela viscosa"
"Blutaparon vermiculare","Gomphrena vermicularis"
"Borreria","Spermacoce"
"Brachiaria","Urochloa"
"Cephalanthus tetrandra","Cephalanthus tetrandrus"
"Christella dentata ","Christella dentata"
"Clerodendron","Clerodendrum"
"Clidemia","Miconia"
"Crateva monticola","Euadenia trifoliolata"
"Crocosmia x crocosmiiflora","Crocosmia crocosmiiflora"
"Dioscorea cayennensis","Dioscorea cayenensis"
"Gladiolus dalenii van","Gladiolus dalenii"
"Hemionitis doniana","Pellaea doniana"
"Hibiscus asper","Hibiscus cannabinus"
"Ipomoea cairica ","Ipomoea cairica"
"Ipomoea dichroa","Ipomoea arachnosperma"
"Kyllinga","Cyperus"
"Launea","Launaea"
"Leptadenia hastata","Leptadenia lanceolata lanceolata"
"Leucaena leucocephala de","Leucaena leucocephala"
"Ludwigia octovalvis sessiliflora","Ludwigia octovalvis"
"Lycopodiella cernua","Palhinhaea cernua"
"Marsdenia angolensis","Gongronemopsis angolensis"
"Mikania cordata ","Mikania cordata"
"Miscanthus violaceus","Miscanthidium violaceum"
"Morus mesozygia","Afromorus mesozygia"
"Musa x paradisiaca","Musa paradisiaca"
"Oxalis debilis corymbosa","Oxalis debilis"
"Plectranthus monostachyus","Coleus monostachyus"
"Polytrichastrum formosum","Polytrichum formosum"
"Pouteria alnifolia","Malacantha alnifolia"
"Pueraria phaseoloides","Neustanthus phaseoloides"
"Pycreus","Cyperus"
"Rinorea longicuspis","Rinorea welwitschii welwitschii"
"Roripa","Rorippa"
"Rosmarinus officinalis","Salvia rosmarinus"
"Rumex angiocarpus","Rumex acetosella angiocarpus"
"Sesbania aculeata","Sesbania bispinosa"
"Sesbania rostrata et","Sesbania rostrata"
"Sida rhombifolia alnifolia","Sida alnifolia"
"Sida rhombifolia retusa","Sida alnifolia"
"Solanum stramoniifolium","Solanum"
"Stylochaeton lancifolius","Stylochaeton lancifolium"
"Tagetes patula","Tagetes erecta"
"Terminalia glaucescens","Terminalia schimperiana"
"Thelypteris striata","Cyclosorus striatus"
"Ulex europeus","Ulex europaeus"
"Urera keayi","Scepocarpus keayi"
"Urginea","Drimia"
"Urochloa maxima","Megathyrsus maximus"
"Vernonia perrottetii","Crystallopollen serratuloides"
"Vernonia poskeana","Crystallopollen angustifolium"
"Xanthium strumarium brasilicum","Xanthium strumarium"
