"id","euromed_name","tpl_name","ncbitaxon_uri"
679,Lysimachia nummularia,Lysimachia nummularia,
680,Lysimachia punctata,Lysimachia punctata,
681,Lysimachia vulgaris,Lysimachia vulgaris,
682,Lythrum,Lythrum,
683,Lythrum acutangulum,Lythrum acutangulum,
684,Lythrum hyssopifolia,Lythrum hyssopifolia,
685,Lythrum salicaria,Lythrum salicaria,
686,Lythrum virgatum,Lythrum virgatum,
687,Malva,Malva,
688,Malva multiflora,Malva multiflora,
689,Malva neglecta,Malva neglecta,
690,Malva nicaeensis,Malva nicaeensis,
