"id","euromed_name","tpl_name","ncbitaxon_uri"
994,Scorpiurus vermiculatus,Scorpiurus vermiculatus,
995,Scorzonera hirsuta,Lasiospora hirsuta,
996,Scorzoneroides autumnalis,Scorzoneroides autumnalis,
997,Scrophularia nodosa,Scrophularia nodosa,
998,Scutellaria galericulata,Scutellaria galericulata,
999,Secale cereale,Secale cereale,
1000,Securigera varia,Securigera varia,
1001,Sedum acre,Sedum acre,
1002,Sedum album,Sedum album,
1003,Sedum maximum,Sedum maximum,
1004,Senecio,Senecio,
1005,Senecio inaequidens,Senecio inaequidens,
1006,Senecio leucanthemifolius,Senecio leucanthemifolius,
1007,Senecio leucanthemifolius subsp. vernalis,Senecio leucanthemifolius subsp. vernalis,
1008,Senecio viscosus,Senecio viscosus,
1009,Senecio vulgaris,Senecio vulgaris,
1010,Serapias lingua,Serapias lingua,
1011,Setaria,Setaria,
1012,Setaria faberi,Setaria faberi,
1013,Setaria glauca,Pennisetum glaucum,
1014,Setaria italica,Setaria italica,
1015,Setaria pumila,Setaria pumila,
1016,Setaria verticillata,Setaria verticillata,
1017,Setaria viridis,Setaria viridis,
1018,Setaria viridis subsp. viridis,Setaria viridis,
1019,Sherardia arvensis,Sherardia arvensis,
1020,Sicyos,Sicyos,
1021,Sicyos angulatus,Sicyos angulatus,
1022,Sideritis romana,Sideritis romana,
1023,Silene,Silene,
1024,Silene conica,Silene conica,
1025,Silene conoidea,Silene conoidea,
1026,Silene dichotoma,Silene dichotoma,
1027,Silene dioica,Silene dioica,
1028,Silene flos-cuculi,Silene flos-cuculi,
1029,Silene gallica,Silene gallica,
1030,Silene italica,Silene italica,
1031,Silene latifolia,Silene latifolia subsp. alba,
1032,Silene latifolia,Silene latifolia subsp. Alba,
1033,Silene latifolia,Silene latifolia,
1034,Silene muscipula,Silene muscipula,
1035,Silene niceensis,Silene nicaeensis,
1036,Silene noctiflora,Silene noctiflora,
1037,Silene nocturna,Silene nocturna,
1038,Silene stricta,Silene stricta,
1039,Silene vulgaris,Silene vulgaris,
1040,Silphium perfoliatum,Silphium perfoliatum,
1041,Silybum,Silybum,
1042,Silybum marianum,Silybum marianum,
1043,Sinapis,Sinapis,
1044,Sinapis alba,Sinapis alba,
1045,Sinapis arvensis,Sinapis arvensis,
1046,Sisymbrium,Sisymbrium,
1047,Sisymbrium altissimum,Sisymbrium altissimum,
1048,Sisymbrium austriacum,Sisymbrium austriacum,
1049,Sisymbrium irio,Sisymbrium irio,
1050,Sisymbrium loeselii,Sisymbrium loeselii,
1051,Sisymbrium officinale,Sisymbrium officinale,
1052,Sisymbrium orientale,Sisymbrium orientale,
1053,Sisymbrium runcinatum,Sisymbrium runcinatum,
1054,Sixalix atropurpurea subsp. maritima,Scabiosa atropurpurea,
1055,Solanum,Solanum,
1056,Solanum dulcamara,Solanum dulcamara,
1057,Solanum dulcamara,Solanum lycopersicum,
1058,Solanum nigrum,Solanum americanum,
1059,Solanum physalifolium,Solanum physalifolium,
1060,Solanum tuberosum,Solanum tuberosum,
1061,Solidago,Solidago,
1062,Solidago canadensis,Solidago canadensis,
1063,Solidago gigantea,Solidago gigantea,
1064,Solidago virgaurea,Solidago virgaurea,
1065,Sonchus,Sonchus,
1066,Sonchus arvensis,Sonchus arvensis,
1067,Sonchus asper,Sonchus asper,
1068,Sonchus oleraceus,Sonchus oleraceus,
1069,Sonchus tenerrimus,Sonchus tenerrimus,
1070,Sorbus aucuparia,Sorbus aucuparia,
1071,Sorghum bicolor,Sorghum bicolor,
1072,Sorghum halepense,Sorghum halepense,
1073,Spergula arvensis,Spergula arvensis,
1074,Spergularia,Spergularia,
1075,Spergularia media,Spergularia media,
1076,Spergularia rubra,Spergularia rubra,
1077,Stachys,Stachys,
1078,Stachys annua,Stachys annua,
1080,Stachys palustris,Stachys palustris,
1081,Stachys sylvatica,Stachys sylvatica,
1082,Stellaria graminea,Stellaria graminea,
1083,Stellaria holostea,Stellaria holostea,
1084,Stellaria media,Stellaria media,
1085,Stipa capensis,Stipa capensis,
1086,Strigosella africana,Malcolmia africana,
1087,Succowia balearica,Succowia balearica,
1088,Symphytum,Symphytum,
1089,Symphytum officinale,Symphytum officinale,
1090,Taeniatherum caput-medusae,Taeniatherum caput-medusae,
1091,Tanacetum vulgare,Tanacetum vulgare,
1092,Taraxacum,Taraxacum,
1093,Taraxacum campylodes,Taraxacum campylodes,
1094,Teesdalia nudicaulis,Teesdalia nudicaulis,
1095,Teloxys aristata,Dysphania aristata,
1096,Teucrium,Teucrium,
1097,Teucrium chamaedrys,Teucrium chamaedrys,
1098,Teucrium polium,Teucrium polium,
1099,Thalictrum minus,Thalictrum minus,
1100,Thesium dollineri,Thesium dollineri,
1101,Thesium humile,Thesium humile,
1102,Thlaspi,Thlaspi,
1103,Thlaspi arvense,Thlaspi arvense,
1104,Thymbra capitata,Thymbra capitata,
1105,Thymelaea passerina,Thymelaea passerina,
1106,Thymelaea sanamunda,Thymelaea sanamunda,
1107,Thymus,Thymus,
1108,Thymus spinulosus,Thymus spinulosus,
1109,Thymus striatus,Thymus striatus,
1110,Thymus vulgaris,Thymus vulgaris,
1111,Tilia,Tilia,
1112,Tilia platyphyllos,Tilia platyphyllos,
1113,Tordylium apulum,Tordylium apulum,
1114,Tordylium maximum,Tordylium maximum,
1115,Tordylium officinale,Tordylium officinale,
1116,Torilis,Torilis,
1117,Torilis arvensis,Torilis arvensis,
1118,Torilis japonica,Torilis japonica,
1119,Torilis leptophylla,Torilis leptophylla,
1120,Torilis nodosa,Torilis nodosa,
1121,Tragopogon,Tragopogon,
1122,Tragopogon crocifolius,Tragopogon crocifolius,
1123,Tragopogon dubius,Tragopogon dubius,
1124,Tragopogon orientalis,Tragopogon orientalis,
