Family,Accepted Name,Specialists,Data Quality ,Status,SLA,Plant Height,Radial Growth Rate,Flowering Onset,Flowering Duration,Clonal Spread,Clonal Index,Clonal Cyclicity,Seed Mass,Seed/ Ramet,Seedbank Longevity ,Tmin,To,Tmax,Seed Dormancy,Seeding Onset,Seeding Season,DR: unassisted,DR: wind,DR: endo,DR: exo,DR: hem,DR: myrm,DR: hydro,DR: ballis,Clonal Presence,E: Light,E: Temp,E: pH,E: Nitrogen,E: Moisture
 ~ Data Quality (/689 possible records),,,,,,525= 75%,158= 23%,616= 90%,616=90%,283= 41%,281=41%,423=61%,477=69%,224=33%,318=46%,122= 17%,387= 56%,135= 19%,266=    39%,616= 89%,616= 89%,511= 74%,511= 74%,511= 74%,511= 74%,511= 74%,511= 74%,511= 74%,511= 74%,454= 65%,303=44%,238= 35%,308= 45%,300=44%,442=64%
Asparagaceae,Muscari neglectum,C. Alpine,76.92,Included in Analysis,NA,22.5,NA,3,2,0.005,3,1,3.8489,NA,NA,NA,2,NA,MPD,5,spring,0,0.166666667,0.166666667,0.166666667,0.166666667,0,0.166666667,0.166666667,1,8,7,5,NA,3
Asparagaceae,Paradisea liliastrum,Generalist,46.15,Included in Analysis,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,late summer,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
Asparagaceae,Scilla verna,Generalist,53.85,Included in Analysis,NA,7.5,NA,5,3,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,8,late summer,0,0,0.5,0,0,0.5,0,0,NA,8,NA,5,3,5
Boraginaceae,Cynoglossum magellense,Nardus,15.38,Included in Analysis,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,late summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boraginaceae,Echium vulgare,Dry,73.08,Included in Analysis,NA,38,NA,5,6,NA,NA,2,2.980979167,1250,NA,NA,23,NA,PD,11,autumn,0,0.166666667,0.166666667,0.166666667,0.166666667,0,0.166666667,0.166666667,0,NA,NA,NA,NA,3.333333333
Boraginaceae,Myosotis alpestris,Generalist,84.62,Included in Analysis,NA,6.666666667,0.2,6,3,0.005,3,2,0.4696,50,NA,NA,15,NA,PD,9,late summer,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0.166666667,0.166666667,1,8,2,8,4,4.5
Boraginaceae,Myosotis ambigens,C. Alpine,0,Removed for Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boraginaceae,Myosotis sylvatica,Meadow,80.77,Included in Analysis,296.8,28.33333333,NA,4,6,NA,NA,2,1.304,NA,0.5,9,11,22,NA,10,autumn,0,0,0.2,0.2,0.2,0.2,0,0.2,0,6,NA,7,5,4.5
Boraginaceae,Onosma bubanii,Generalist,0,Removed for Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brassicaceae,Alyssum montanum,C. Alpine,73.08,Included in Analysis,12.5,15,0.8,4,2,NA,NA,2,0.8364,NA,NA,NA,25,NA,NA,6,summer,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,2
Brassicaceae,Arabidopsis halleri,Meadow,46.15,Included in Analysis,35.88,5,NA,4,3,0.09875,4,2,0.195,151,NA,NA,NA,NA,NA,7,summer,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Brassicaceae,Arabis collina,C. Alpine,50,Included in Analysis,NA,15,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,late summer,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Brassicaceae,Arabis hirsuta,Dry,73.08,Included in Analysis,281,28.25,NA,5,3,NA,NA,2,0.102723077,NA,0.5,NA,16,NA,NA,8,late summer,0.2,0.2,0,0.2,0,0,0.2,0.2,0,NA,NA,NA,NA,3.75
Brassicaceae,Biscutella laevigata,C. Alpine,92.31,Included in Analysis,16.79,18.93333333,0.3,5,4,0.005,3,2,3.9601,42.95,0.5,NA,15,NA,PD,9,late summer,0,0.25,0,0.25,0,0,0.25,0.25,1,NA,NA,NA,NA,NA
Brassicaceae,Biscutella valentina,Generalist,0,Removed for Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brassicaceae,Cardamine pratensis,Meadow,96.15,Included in Analysis,280.4,38.75,0.4,4,4,1.092000002,4,2,0.609512821,138.6666667,5,12,16,28,NA,8,late summer,0,0.166666667,0.166666667,0.166666667,0.166666667,0,0.166666667,0.166666667,1,NA,NA,NA,NA,6.818181818
Brassicaceae,Cochlearia officinalis,Nardus,84.62,Included in Analysis,24.48,25,0.2,6,3,NA,NA,2,0.447690909,NA,NA,10,11,28,ND,9,late summer,0,0,0.25,0.25,0,0,0.25,0.25,0,8,NA,7,5,6.5
Brassicaceae,Draba aizoides,Generalist,80.77,Included in Analysis,204.8,8.75,NA,3,6,NA,NA,2,0.226933333,64.75,0,NA,16,NA,PD,9,late summer,0,0.333333333,0,0,0,0,0.333333333,0.333333333,0,6,NA,NA,NA,3.666666667
Brassicaceae,Draba incana,Nardus,65.38,Included in Analysis,NA,25.66666667,0.5,5,3,NA,NA,NA,0.12,NA,NA,NA,21,NA,PD,8,late summer,0,0,0,0,0,0,1,0,NA,8,NA,7,2,5
Brassicaceae,Draba norvegica,Nardus,30.77,Included in Analysis,NA,5,NA,6,2,NA,NA,NA,0.12,27.6,NA,NA,21,NA,NA,8,late summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Brassicaceae,Erysimum duriaei,C. Alpine,0,Removed for Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brassicaceae,Erysimum pseudorhaeticum,C. Alpine,15.38,Included in Analysis,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brassicaceae,Iberis sempervirens,Generalist,19.23,Included in Analysis,NA,20,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,late summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brassicaceae,Murbeckiella pinnatifida,A. Alpine,15.38,Included in Analysis,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,late summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brassicaceae,Pritzelago alpina,C. Alpine,65.38,Included in Analysis,NA,5.25,0.08,5,4,NA,NA,NA,NA,NA,2.5,NA,17,NA,PD,9,late summer,0,0,0,0,0,0,0.5,0.5,NA,4,2,9,2,5
Brassicaceae,Thlaspi alpestre,Generalist,53.85,Included in Analysis,NA,NA,NA,5,3,NA,NA,NA,0.225,NA,NA,NA,21,NA,NA,8,late summer,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
Brassicaceae,Thlaspi praecox,C. Alpine,26.92,Included in Analysis,NA,10.5,1.8,4,3,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,7,summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campanulaceae,Campanula alpina,A. Alpine,65.38,Included in Analysis,NA,12.5,0.2,6,3,NA,NA,2,0.17,NA,NA,NA,NA,NA,NA,9,late summer,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,5
Campanulaceae,Campanula barbata,Generalist,76.92,Included in Analysis,NA,21.75,0.2,6,3,0.005,3,2,NA,NA,NA,NA,21,NA,MPD,9,late summer,0,0,0,0,0.5,0,0,0.5,1,4,2,1,2,5
Campanulaceae,Campanula carnica,A. Alpine,30.77,Included in Analysis,NA,NA,NA,6,3,0.0675,3,2,NA,NA,NA,NA,NA,NA,NA,9,late summer,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Campanulaceae,Campanula cochleariifolia,C. Alpine,73.08,Included in Analysis,NA,10,NA,6,3,NA,NA,1,NA,NA,0.5,2,16,35,NA,9,late summer,0,0,0,0,0,0,0.5,0.5,0,NA,NA,NA,NA,7
Campanulaceae,Campanula ficarioides,A. Alpine,0,Removed for Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campanulaceae,Campanula glomerata,Dry,84.62,Included in Analysis,370.6083976,26.02,0.55,6,4,NA,NA,2,0.148285714,28266.75,2.5,NA,21,NA,MPD,10,autumn,0,0,0.2,0.2,0.2,0,0.2,0.2,0,NA,NA,NA,NA,4
Campanulaceae,Campanula herminii,Nardus,0,Removed for Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campanulaceae,Campanula hispanica,Generalist,0,Removed for Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campanulaceae,Campanula micrantha,Nardus,15.38,Included in Analysis,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,late summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campanulaceae,Campanula patula,Meadow,80.77,Included in Analysis,471.1820819,30,1,5,4,NA,NA,2,0.02344,9000,0.5,NA,21,NA,NA,9,late summer,0,0,0,0.333333333,0.333333333,0,0,0.333333333,0,8,6,7,5,4.333333333
Campanulaceae,Campanula rotundifolia,Generalist,96.15,Included in Analysis,263.75,32.242,NA,5,5,0.107272727,3,1,0.062523077,1568.35,1.2,10,25,28,MD,10,autumn,0,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,1,7,5,5,2,4
Campanulaceae,Campanula scheuchzeri,A. Alpine,88.46,Included in Analysis,17.2,14,0.45,6,3,NA,NA,2,0.0572,NA,0.5,10,25,25,MPD,9,late summer,0,0,0,0,0,0,0,1,0,4,2,NA,3,5
Campanulaceae,Campanula serrata,Generalist,46.15,Included in Analysis,NA,30,NA,NA,NA,NA,NA,NA,0.0636,NA,5,NA,NA,NA,NA,NA,unsure,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Campanulaceae,Edraianthus graminifolius,C. Alpine,53.85,Included in Analysis,NA,10,NA,5,3,NA,NA,NA,0.4004,NA,NA,NA,NA,NA,NA,8,late summer,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Campanulaceae,Jasione crispa,Generalist,42.31,Included in Analysis,18.79,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Campanulaceae,Jasione laevis,Generalist,57.69,Included in Analysis,NA,NA,NA,7,3,NA,NA,2,0.053,NA,NA,NA,NA,NA,NA,10,autumn,0,0,0,0.5,0,0,0.5,0,0,NA,NA,3,NA,5
